observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
Sankara,2823697,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,2007,4,,5,,2,
Toisondor,2823672,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2007,6,,2,,7,
Karillon,2823711,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,2007,6,,1,,1,
Caphorn,2823699,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2007,4,,4,,6,
AO07102,2823691,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,27754,https://doi.org/10.15454/7MX1DM,AO07102,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,1,
AO07116,2823712,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,27755,https://doi.org/10.15454/IF7X64,AO07116,VIRTUAL_TRIAL,,,,,,,,2007,6,,2,,1,
RE06048,2823674,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,2007,3,,3,,1,
CF06107,2823685,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,27066,https://doi.org/10.15454/PVLGW3,CF06107,VIRTUAL_TRIAL,,,,,,,,2007,3,,3,,1,
Mendel,2823694,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,2007,6,,6,,1,
CF06153,2823714,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,48401,gnpis_pui:holding-921_taxon-4898_accession-48401,CF06153,VIRTUAL_TRIAL,,,,,,,,2007,3,,4,,1,
EM06064,2823700,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,48404,gnpis_pui:holding-921_taxon-4898_accession-48404,EM06064,VIRTUAL_TRIAL,,,,,,,,2007,3,,3,,2,
RE06057,2823684,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,48964,gnpis_pui:holding-921_taxon-4898_accession-48964,RE06057,VIRTUAL_TRIAL,,,,,,,,2007,6,,6,,1,
RE06008,2823704,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,48727,gnpis_pui:holding-921_taxon-4898_accession-48727,RE06008,VIRTUAL_TRIAL,,,,,,,,2007,6,,1,,1,
AO07127,2823692,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,2007,6,,6,,1,
RE06025,2823703,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,48830,gnpis_pui:holding-921_taxon-4898_accession-48830,RE06025,VIRTUAL_TRIAL,,,,,,,,2007,6,,1,,1,
DI07001,2823677,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,27802,https://doi.org/10.15454/5XXKDL,DI07001,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,1,
EM06017,2823675,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,2007,4,,6,,1,
EM06035,2823713,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,49009,gnpis_pui:holding-921_taxon-4898_accession-49009,EM06035,VIRTUAL_TRIAL,,,,,,,,2007,3,,5,,1,
RE06058,2823696,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,27830,https://doi.org/10.15454/V4CPNJ,RE06058,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,1,
EM06029,2823695,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,49047,gnpis_pui:holding-921_taxon-4898_accession-49047,EM06029,VIRTUAL_TRIAL,,,,,,,,2007,4,,4,,1,
DI07003,2823678,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,48427,gnpis_pui:holding-921_taxon-4898_accession-48427,DI07003,VIRTUAL_TRIAL,,,,,,,,2007,6,,4,,1,
CF06013,2823708,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,49609,gnpis_pui:holding-921_taxon-4898_accession-49609,CF06013,VIRTUAL_TRIAL,,,,,,,,2007,4,,6,,1,
CF06123,2823693,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,48854,gnpis_pui:holding-921_taxon-4898_accession-48854,CF06123,VIRTUAL_TRIAL,,,,,,,,2007,4,,4,,1,
DI07006,2823683,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,48856,gnpis_pui:holding-921_taxon-4898_accession-48856,DI07006,VIRTUAL_TRIAL,,,,,,,,2007,4,,3,,1,
EM06062,2823698,BTH_Rennes_2007_SetB1_PIETIN-VERSE,BTH_Rennes_2007_SetB1_PIETIN-VERSE,49687,gnpis_pui:holding-921_taxon-4898_accession-49687,EM06062,VIRTUAL_TRIAL,,,,,,,,2007,3,,4,,2,
