observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2820021,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"11,98",,"72,2",,,,"81,9",
2,2820019,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"10,87",,"68,5",,9,,"49,51",
1,2820020,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"11,73",,"71,2",,,,"76,4",
1,2819946,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,38",,"63,9",,4,,"47,39",
2,2819947,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,92",,"64,2",,7,,"44,98",
1,2819948,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"12,49",,"70,8",,,,"81,33",
2,2819949,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"12,74",,"70,3",,,,"76,53",
2,2819953,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"12,03",,"74,7",,,,"74,55",
1,2819952,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"11,78",,"74,8",,,,"76,42",
2,2819951,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,86",,"69,1",,"5,8",,"47,01",
