observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
Barokitkt,2853121,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2010,"22,4",,102,,97,,,,"54,8",,,,51,,,,"202,8",,,,61,,"0,6",,170,,74,,408,,"11,7",,,,1710,,35,
Barokitkfi,2853120,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
CF09182itkt,2853171,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48586,https://doi.org/10.15454/TEBGJY,CF09182,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
CF09182itkfi,2853170,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48586,https://doi.org/10.15454/TEBGJY,CF09182,VIRTUAL_TRIAL,,,,,,,,2010,"19,9",,80,,,,100,,,,59,,,,97,,,,256,,81,,"1,01",,213,,81,,360,,"11,2",,"83,9",,,,,
CF09117itkt,2853243,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
CF09117itkfi,2853242,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,2010,22,,98,,,,100,,,,"63,2",,,,"91,1",,,,"254,3",,90,,"0,92",,289,,70,,450,,"12,3",,"83,6",,,,,
CF09225itkt,2853231,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
CF09225itkfi,2853230,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,2010,19,,73,,,,100,,,,60,,,,"95,5",,,,"255,5",,85,,"1,16",,218,,104,,448,,"11,1",,"85,4",,,,,
CF09227itkt,2853255,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
CF09227itkfi,2853254,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,2010,"17,1",,59,,,,100,,,,"64,5",,,,"85,5",,,,250,,115,,"1,95",,245,,93,,395,,11,,"85,6",,,,,
CF09176itkt,2853211,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,49359,https://doi.org/10.15454/HRZCLT,CF09176,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
CF09176itkfi,2853210,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,49359,https://doi.org/10.15454/HRZCLT,CF09176,VIRTUAL_TRIAL,,,,,,,,2010,"19,4",,76,,,,100,,,,63,,,,97,,,,260,,77,,"1,01",,191,,80,,423,,"10,5",,"83,2",,,,,
CF09276itkt,2853169,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
CF09276itkfi,2853168,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,2010,"16,2",,53,,,,100,,,,"67,6",,,,"86,6",,,,"254,3",,127,,"2,4",,260,,105,,459,,"11,5",,"84,2",,,,,
EM08231itkt,2853143,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
EM08231itkfi,2853142,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,2010,21,,89,,,,100,,,,"50,6",,,,"87,4",,,,"237,9",,48,,"0,54",,113,,29,,362,,"10,7",,"82,1",,,,,
DI09006itkfi,2853182,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
DI09006itkt,2853183,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
RE07019itkfi,2853148,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
RE07019itkt,2853149,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
Folkloritkfi,2853140,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
Folkloritkt,2853141,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2010,"19,4",,76,,100,,,,"80,5",,,,94,,,,"274,5",,,,104,,"1,37",,291,,"73,5",,369,,"11,4",,,,1628,,42,
RE09063itkt,2853173,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
RE09063itkfi,2853172,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,2010,"21,7",,95,,,,100,,,,"58,2",,,,"82,2",,,,"240,4",,58,,"0,61",,158,,83,,386,,"10,5",,"81,7",,,,,
RE09079itkt,2853135,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
RE09079itkfi,2853134,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,2010,"17,8",,64,,,,100,,,,"62,2",,,,90,,,,"252,2",,86,,"1,34",,180,,73,,392,,"10,8",,"81,4",,,,,
RE09009itkfi,2853194,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,2010,"18,9",,72,,,,100,,,,"54,8",,,,90,,,,"244,8",,74,,"1,03",,183,,29,,368,,"11,7",,"80,6",,,,,
RE09009itkt,2853195,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
EM09003itkt,2853139,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
EM09003itkfi,2853138,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,2010,13,,34,,,,100,,,,"36,8",,,,"98,5",,,,"235,3",,107,,"3,15",,150,,100,,331,,"10,4",,86,,,,,
RE09073itkt,2853189,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
RE09073itkfi,2853188,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,100,,,,61,,,,87,,,,248,,NA,,NA,,NA,,61,,368,,"10,7",,"80,9",,,,,
EM08019itkfi,2853216,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
EM08019itkt,2853217,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
DI10001itkt,2853207,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
DI10001itkfi,2853206,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,2010,13,,34,,,,100,,,,63,,,,"79,2",,,,"242,2",,128,,"3,76",,189,,62,,440,,"10,9",,"85,3",,,,,
Apacheitkfi,2853176,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
Apacheitkt,2853177,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
Toisondoritkt,2853161,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
Toisondoritkfi,2853160,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
Flamenkoitkt,2853203,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,2010,"21,5",,94,,91,,,,"71,9",,,,85,,,,"247,9",,,,88,,"0,95",,256,,71,,371,,"11,9",,,,1625,,"43,5",
Flamenkoitkfi,2853202,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
Lyrikitkfi,2853250,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
Lyrikitkt,2853251,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2010,"17,1",,59,,94,,,,67,,,,97,,,,258,,,,116,,"1,97",,250,,"68,5",,404,,"11,1",,,,1643,,"41,5",
Musikitkfi,2853152,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
Musikitkt,2853153,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,2010,"19,5",,77,,91,,,,"74,3",,,,96,,,,"261,3",,,,96,,"1,25",,247,,66,,388,,"11,8",,,,1615,,45,
Karillonitkt,2853237,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,2010,"17,8",,64,,85,,,,"69,5",,,,84,,,,"238,5",,,,90,,"1,41",,189,,78,,390,,"11,2",,,,1465,,32,
Karillonitkfi,2853236,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
Ghaytaitkfi,2853228,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
Ghaytaitkt,2853229,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
CF08027itkt,2853257,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
CF08027itkfi,2853256,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
Granamaxitkt,2853221,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
Granamaxitkfi,2853220,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
Gallixeitkfi,2853234,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,2010,"24,9",,125,,,,100,,,,"45,6",,,,"85,9",,,,"231,5",,41,,"0,33",,117,,17,,334,,"10,7",,"82,6",,,,,
Gallixeitkt,2853235,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
Caphornitkt,2853191,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
Caphornitkfi,2853190,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
AO10005itkt,2853193,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,49146,https://doi.org/10.15454/H6MB7G,AO10005,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
AO10005itkfi,2853192,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,49146,https://doi.org/10.15454/H6MB7G,AO10005,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
