observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2826127,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27804,https://doi.org/10.15454/0DEDAU,DI07016,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,2,,"49,49",
2,2826141,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49701,gnpis_pui:holding-921_taxon-4898_accession-49701,DI07018,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,1,,"59,74",
2,2826139,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49704,gnpis_pui:holding-921_taxon-4898_accession-49704,RE06119,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,7,,"46,56",
1,2826138,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49704,gnpis_pui:holding-921_taxon-4898_accession-49704,RE06119,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"5,2",,"49,39",
2,2826175,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49135,gnpis_pui:holding-921_taxon-4898_accession-49135,CF06273,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,7,,"42,4",
2,2826097,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27806,https://doi.org/10.15454/HIUKXE,DI07021,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,6,,"47,08",
2,2826159,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48380,gnpis_pui:holding-921_taxon-4898_accession-48380,RE06106,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"6,8",,"53,71",
1,2826158,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48380,gnpis_pui:holding-921_taxon-4898_accession-48380,RE06106,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"4,2",,"52,2",
1,2826174,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49135,gnpis_pui:holding-921_taxon-4898_accession-49135,CF06273,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"3,8",,"41,77",
2,2826171,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49598,gnpis_pui:holding-921_taxon-4898_accession-49598,CF06235,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,4,,"42,54",
1,2826170,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49598,gnpis_pui:holding-921_taxon-4898_accession-49598,CF06235,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"2,5",,"45,1",
1,2826144,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27834,https://doi.org/10.15454/YQFE3M,RE06140,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,1,,"56,48",
2,2826121,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,9,,"51,1",
1,2826120,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,6,,"48,72",
1,2826096,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27806,https://doi.org/10.15454/HIUKXE,DI07021,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"3,5",,"49,86",
2,2826103,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48387,gnpis_pui:holding-921_taxon-4898_accession-48387,EM06303,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"7,5",,"48,52",
1,2826102,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48387,gnpis_pui:holding-921_taxon-4898_accession-48387,EM06303,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"5,8",,"48,95",
1,2826148,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27762,https://doi.org/10.15454/XHRZAO,AO07438,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"4,5",,"49,03",
2,2826131,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"6,8",,"39,36",
1,2826130,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"5,8",,"44,34",
1,2826112,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"4,2",,"54,29",
1,2826134,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"3,8",,"47,67",
2,2826149,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27762,https://doi.org/10.15454/XHRZAO,AO07438,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"7,5",,"45,66",
2,2826135,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,7,,"50,66",
2,2826145,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27834,https://doi.org/10.15454/YQFE3M,RE06140,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,1,,"58,18",
2,2826163,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27838,https://doi.org/10.15454/0CP8RW,EM06307,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"6,5",,"51,78",
1,2826162,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27838,https://doi.org/10.15454/0CP8RW,EM06307,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"4,2",,"54,99",
1,2826132,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27842,https://doi.org/10.15454/CW6MPE,DI07015,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"1,5",,"51,31",
2,2826095,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27761,https://doi.org/10.15454/KYXZFC,AO07403,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,8,,"47,05",
2,2826133,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27842,https://doi.org/10.15454/CW6MPE,DI07015,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"1,5",,"51,17",
2,2826143,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,61759,https://doi.org/10.15454/SFPRAV,DI07019,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"1,5",,"60,98",
2,2826177,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49487,gnpis_pui:holding-921_taxon-4898_accession-49487,CF06277,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,8,,"36,16",
1,2826176,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49487,gnpis_pui:holding-921_taxon-4898_accession-49487,CF06277,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"6,5",,"37,03",
1,2826094,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27761,https://doi.org/10.15454/KYXZFC,AO07403,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"5,5",,"52,33",
2,2826117,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27068,https://doi.org/10.15454/PIPBFU,CF06227,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"6,8",,"53,16",
1,2826116,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27068,https://doi.org/10.15454/PIPBFU,CF06227,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"4,2",,"50,16",
1,2826142,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,61759,https://doi.org/10.15454/SFPRAV,DI07019,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"1,5",,"64,76",
1,2826172,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27069,https://doi.org/10.15454/PBD8PO,CF06230,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"3,8",,"48,65",
2,2826173,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27069,https://doi.org/10.15454/PBD8PO,CF06230,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"6,2",,"49,28",
2,2826111,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49134,https://doi.org/10.15454/CCJCNN,RE06139,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"4,2",,"57,42",
1,2826110,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49134,https://doi.org/10.15454/CCJCNN,RE06139,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"3,2",,"54,99",
2,2826101,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27268,https://doi.org/10.15454/K6RWJK,RE06134,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"7,5",,"56,57",
1,2826100,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27268,https://doi.org/10.15454/K6RWJK,RE06134,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"2,5",,"57,57",
1,2826124,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48615,gnpis_pui:holding-921_taxon-4898_accession-48615,AO07001,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,5,,"49,72",
2,2826125,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48615,gnpis_pui:holding-921_taxon-4898_accession-48615,AO07001,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"7,5",,"49,11",
2,2826153,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27267,https://doi.org/10.15454/TBKWQN,RE06127,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"6,5",,"57,04",
2,2826123,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,8,,"41,68",
1,2826122,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"6,2",,"42,01",
2,2826151,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,8,,"53,93",
1,2826150,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"4,8",,"53,99",
2,2826137,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27764,https://doi.org/10.15454/NMXDOZ,AO07803,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"6,5",,"54,06",
1,2826152,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27267,https://doi.org/10.15454/TBKWQN,RE06127,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,3,,"61,98",
