observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
1,2829822,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"11,6891975",,"68,79",,1,
2,2829825,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"10,9266968",,"79,35",,2,
2,2829823,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,7207851",,"67,85",,1,
1,2829792,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,3896198",,"85,63",,1,
2,2829793,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,8233633",,"84,13",,"2,5",
2,2829791,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"13,2202902",,"64,68",,1,
1,2829790,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,8730869",,"64,59",,1,
1,2829722,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27830,https://doi.org/10.15454/V4CPNJ,RE06058,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"11,9574785",,"72,89",,1,
1,2829724,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27830,https://doi.org/10.15454/V4CPNJ,RE06058,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"10,2263317",,"79,48",,1,
2,2829725,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27830,https://doi.org/10.15454/V4CPNJ,RE06058,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"10,4627972",,"85,28",,"1,5",
2,2829723,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27830,https://doi.org/10.15454/V4CPNJ,RE06058,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,7116079",,"68,57",,1,
2,2829679,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27832,https://doi.org/10.15454/X0FSJ6,RE06097,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,8444118",,"71,92",,2,
1,2829678,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27832,https://doi.org/10.15454/X0FSJ6,RE06097,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,9011068",,"70,43",,1,
1,2829680,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27832,https://doi.org/10.15454/X0FSJ6,RE06097,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,536397",,"77,86",,1,
2,2829681,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27832,https://doi.org/10.15454/X0FSJ6,RE06097,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,3949547",,"75,4",,9,
2,2829693,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27833,https://doi.org/10.15454/QCSBFW,RE06130,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,1537504",,"75,3",,1,
1,2829692,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27833,https://doi.org/10.15454/QCSBFW,RE06130,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,0083656",,"71,84",,1,
2,2829691,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27833,https://doi.org/10.15454/QCSBFW,RE06130,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,7870827",,"66,53",,1,
1,2829690,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27833,https://doi.org/10.15454/QCSBFW,RE06130,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"13,3642836",,"67,31",,1,
1,2829770,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,61759,https://doi.org/10.15454/SFPRAV,DI07019,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,3210087",,"68,18",,1,
2,2829745,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"10,5899687",,"91,2",,2,
2,2829743,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,9090137",,"80,15",,1,
1,2829742,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"13,0030394",,79,,1,
1,2829744,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,4713707",,"82,27",,1,
1,2829816,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27831,https://doi.org/10.15454/BPSJCE,RE06061,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"10,2642679",,"90,59",,1,
1,2829814,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27831,https://doi.org/10.15454/BPSJCE,RE06061,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,3063374",,"83,42",,1,
2,2829817,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27831,https://doi.org/10.15454/BPSJCE,RE06061,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"10,2580948",,"80,87",,"2,5",
2,2829815,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27831,https://doi.org/10.15454/BPSJCE,RE06061,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,8192482",,"82,15",,1,
2,2829769,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27829,https://doi.org/10.15454/NLT35T,RE06055,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,1552029",,"79,02",,1,
2,2829767,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27829,https://doi.org/10.15454/NLT35T,RE06055,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,8767548",,"68,39",,1,
1,2829766,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27829,https://doi.org/10.15454/NLT35T,RE06055,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,8416042",,"65,74",,1,
1,2829768,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27829,https://doi.org/10.15454/NLT35T,RE06055,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,3485403",,"76,23",,1,
1,2829774,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27827,https://doi.org/10.15454/B5PA3I,RE06023,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,7127819",,"68,41",,1,
2,2829777,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27827,https://doi.org/10.15454/B5PA3I,RE06023,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,6956787",,"82,12",,3,
1,2829776,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27827,https://doi.org/10.15454/B5PA3I,RE06023,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,4107952",,"78,38",,1,
2,2829775,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27827,https://doi.org/10.15454/B5PA3I,RE06023,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,6508865",,"66,9",,1,
2,2829805,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27828,https://doi.org/10.15454/PRTXZC,RE06050,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,3796015",,"85,43",,1,
2,2829803,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27828,https://doi.org/10.15454/PRTXZC,RE06050,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,2763042",,"69,72",,1,
1,2829802,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27828,https://doi.org/10.15454/PRTXZC,RE06050,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,4983387",,"75,79",,1,
1,2829804,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27828,https://doi.org/10.15454/PRTXZC,RE06050,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,043189",,"84,27",,1,
2,2829781,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27834,https://doi.org/10.15454/YQFE3M,RE06140,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,5864344",,"68,66",,"5,5",
2,2829779,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27834,https://doi.org/10.15454/YQFE3M,RE06140,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,6016979",,"61,38",,2,
1,2829780,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27834,https://doi.org/10.15454/YQFE3M,RE06140,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,0089149",,"70,06",,1,
1,2829778,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27834,https://doi.org/10.15454/YQFE3M,RE06140,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,3239717",,"63,32",,1,
2,2829749,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27804,https://doi.org/10.15454/0DEDAU,DI07016,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,2421055",,"82,69",,1,
1,2829746,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27804,https://doi.org/10.15454/0DEDAU,DI07016,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"13,4502411",,"67,4",,1,
1,2829748,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27804,https://doi.org/10.15454/0DEDAU,DI07016,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,5760098",,"79,54",,1,
2,2829747,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27804,https://doi.org/10.15454/0DEDAU,DI07016,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"13,5259132",,"68,06",,1,
1,2829712,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27805,https://doi.org/10.15454/TBYVED,DI07019-2,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,2346802",,"90,75",,1,
2,2829713,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27805,https://doi.org/10.15454/TBYVED,DI07019-2,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"9,8285208",,"83,63",,1,
1,2829710,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27805,https://doi.org/10.15454/TBYVED,DI07019-2,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"11,6810246",,"73,76",,1,
2,2829711,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27805,https://doi.org/10.15454/TBYVED,DI07019-2,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,3304882",,"79,9",,1,
1,2829698,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27806,https://doi.org/10.15454/HIUKXE,DI07021,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,8152523",,"71,48",,1,
2,2829699,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27806,https://doi.org/10.15454/HIUKXE,DI07021,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,2504854",,"82,16",,1,
