observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI10011itkfi,2862717,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,94,,138,,"7,85",,"76,9",,"108,5",,"2,5",,"77,7",,"4,5",
EM09221itkfi,2862773,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,79,,140,,"7,21",,"75,1",,"102,3",,4,,"73,3",,"3,5",
DI10001-2itkt,2862778,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,treated,2012,100,,144,,"9,41",,"79,2",,"97,9",,,,"94,6",,,
Granamaxitkfi,2862751,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,87,,142,,"6,97",,"75,5",,106,,4,,"75,9",,4,
Granamaxitkt,2862752,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2012,94,,141,,"9,02",,"77,7",,"104,6",,,,101,,,
RE09063itkfi,2862755,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,146,,"7,5",,"74,8",,"105,6",,"3,5",,"75,7",,3,
AO11005itkfi,2862745,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,49011,https://doi.org/10.15454/08Z5FH,AO11005,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,76,,140,,"7,75",,76,,"93,5",,"7,5",,67,,"4,5",
EM09318itkt,2862750,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,treated,2012,92,,142,,"9,59",,"78,8",,"97,2",,,,"93,9",,,
RE09063itkt,2862756,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,treated,2012,94,,146,,"9,45",,"74,8",,"102,8",,,,"99,3",,,
AO11011itkt,2862754,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2012,90,,144,,"8,82",,"79,8",,"98,9",,,,"95,5",,,
