observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
RE04035itkfi,2808436,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,49143,gnpis_pui:holding-921_taxon-4898_accession-49143,RE04035,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,1,,141,,"72,8",,"93,6",,1,,"65,7",,4,
CF04184itkfi,2808439,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,1,,"137,5",,"77,8",,108,,1,,"75,9",,"2,8",
DI05019itkfi,2808416,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,49356,gnpis_pui:holding-921_taxon-4898_accession-49356,DI05019,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,91,,1,,137,,"75,2",,"102,8",,"1,5",,"72,2",,3,
DI05018itkfi,2808415,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,48575,gnpis_pui:holding-921_taxon-4898_accession-48575,DI05018,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"88,5",,1,,137,,"76,5",,"107,8",,"2,5",,"75,7",,"3,2",
EM04329itkfi,2808435,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,49271,gnpis_pui:holding-921_taxon-4898_accession-49271,EM04329,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,80,,1,,141,,70,,"92,2",,1,,"64,8",,"2,5",
Caphornitkfi,2808428,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,84,,1,,136,,"74,7",,"111,4",,"1,5",,"78,3",,"4,5",
EM04343itkfi,2808427,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,48611,gnpis_pui:holding-921_taxon-4898_accession-48611,EM04343,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,86,,1,,140,,"67,8",,"90,7",,1,,"63,7",,3,
RE04066itkfi,2808406,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,49212,gnpis_pui:holding-921_taxon-4898_accession-49212,RE04066,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,81,,1,,"140,5",,"74,8",,"90,5",,1,,"63,5",,"3,5",
RE04043itkfi,2808413,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,26832,https://doi.org/10.15454/05HCVU,RE04043,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"88,5",,1,,"140,5",,70,,"97,3",,1,,"68,4",,4,
EM04294itkfi,2808405,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,48735,gnpis_pui:holding-921_taxon-4898_accession-48735,EM04294,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,1,,141,,"65,1",,86,,1,,"60,4",,"4,5",
DI05012itkfi,2808424,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,48954,gnpis_pui:holding-921_taxon-4898_accession-48954,DI05012,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,140,,"73,5",,"97,4",,"1,5",,"68,4",,"3,2",
DI05016itkfi,2808421,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,48795,gnpis_pui:holding-921_taxon-4898_accession-48795,DI05016,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,80,,"2,8",,"140,5",,72,,"88,3",,"2,5",,62,,"2,8",
EM04334itkfi,2808407,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,49302,gnpis_pui:holding-921_taxon-4898_accession-49302,EM04334,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"86,5",,1,,143,,"73,8",,"94,3",,"1,5",,"66,2",,"3,5",
RE04044itkfi,2808433,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,49479,gnpis_pui:holding-921_taxon-4898_accession-49479,RE04044,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"86,5",,1,,140,,"71,6",,"100,2",,1,,"70,4",,"3,8",
CF04076itkfi,2808404,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,87,,1,,140,,"68,8",,"96,6",,"4,5",,"67,8",,2,
DI05015itkfi,2808420,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,49357,gnpis_pui:holding-921_taxon-4898_accession-49357,DI05015,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,80,,"2,5",,138,,"72,2",,100,,"2,8",,"70,3",,"2,5",
DI05011itkfi,2808423,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,48754,gnpis_pui:holding-921_taxon-4898_accession-48754,DI05011,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,1,,141,,"67,9",,"73,9",,1,,"51,9",,7,
CF04012itkfi,2808411,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,48480,gnpis_pui:holding-921_taxon-4898_accession-48480,CF04012,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,96,,1,,140,,"74,1",,"95,9",,1,,"67,4",,7,
RE04020itkfi,2808409,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,49413,gnpis_pui:holding-921_taxon-4898_accession-49413,RE04020,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"86,5",,1,,141,,"66,1",,"94,3",,1,,"66,3",,3,
Apacheitkfi,2808426,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"83,5",,1,,"132,5",,"74,6",,"92,6",,2,,65,,5,
RE04060itkfi,2808408,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,49071,gnpis_pui:holding-921_taxon-4898_accession-49071,RE04060,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,81,,1,,"136,5",,"70,2",,"97,1",,1,,"68,2",,4,
AO05002itkfi,2808417,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,49364,https://doi.org/10.15454/DWZO1B,AO05002,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,105,,1,,131,,"78,4",,"124,4",,1,,"87,4",,"2,5",
RE04071itkfi,2808432,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,49565,gnpis_pui:holding-921_taxon-4898_accession-49565,RE04071,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"78,5",,1,,141,,"70,6",,"91,8",,1,,"64,5",,"4,2",
EM04241itkfi,2808434,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,1,,140,,"76,5",,"100,1",,1,,"70,3",,"3,8",
DI05013itkfi,2808425,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,48379,gnpis_pui:holding-921_taxon-4898_accession-48379,DI05013,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,1,,"140,5",,"75,1",,101,,1,,71,,"3,8",
AO05004itkfi,2808414,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,1,,"136,5",,75,,"107,3",,1,,"75,4",,3,
DI05017itkfi,2808422,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,49658,gnpis_pui:holding-921_taxon-4898_accession-49658,DI05017,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"92,5",,1,,"140,5",,"71,8",,"95,2",,1,,"66,9",,1,
AO05003itkfi,2808418,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,49730,gnpis_pui:holding-921_taxon-4898_accession-49730,AO05003,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,1,,136,,"74,8",,"101,1",,1,,71,,5,
