observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2868116,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49307,https://doi.org/10.15454/S10U8Z,EM11537,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"97,31",,1,
1,2868115,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49307,https://doi.org/10.15454/S10U8Z,EM11537,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"93,23",,1,
1,2868179,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61478,https://doi.org/10.15454/OKDYWQ,CF11158,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"96,35",,1,
2,2868180,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61478,https://doi.org/10.15454/OKDYWQ,CF11158,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"96,43",,1,
2,2868144,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,60865,https://doi.org/10.15454/3HYAKT,AO12016,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"113,42",,1,
1,2868143,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,60865,https://doi.org/10.15454/3HYAKT,AO12016,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"109,03",,1,
1,2868145,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61427,https://doi.org/10.15454/ZA57QR,CF11115,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"79,65",,8,
2,2868146,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61427,https://doi.org/10.15454/ZA57QR,CF11115,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"70,46",,8,
2,2868160,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,62158,https://doi.org/10.15454/4698PG,EM11589,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"105,12",,5,
1,2868159,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,62158,https://doi.org/10.15454/4698PG,EM11589,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"103,75",,5,
2,2868138,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49509,https://doi.org/10.15454/GGHC1S,RE11035,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"101,81",,1,
1,2868137,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49509,https://doi.org/10.15454/GGHC1S,RE11035,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"101,24",,1,
2,2868134,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48495,https://doi.org/10.15454/TIEAR7,RE11059,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"94,22",,1,
1,2868133,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48495,https://doi.org/10.15454/TIEAR7,RE11059,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"84,14",,1,
2,2868114,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"107,73",,1,
1,2868113,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"104,76",,1,
1,2868151,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"94,36",,1,
2,2868152,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"97,44",,1,
1,2868189,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"101,94",,3,
2,2868190,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"108,07",,1,
1,2868185,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48786,https://doi.org/10.15454/TMOAXC,CF11177,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"99,21",,1,
2,2868186,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48786,https://doi.org/10.15454/TMOAXC,CF11177,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"98,75",,2,
1,2868165,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"87,36",,1,
2,2868166,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"85,32",,1,
2,2868120,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48831,https://doi.org/10.15454/IFODWI,RE11045,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"91,99",,5,
1,2868119,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48831,https://doi.org/10.15454/IFODWI,RE11045,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"98,11",,7,
1,2868135,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,48469,https://doi.org/10.15454/ENAZXW,RE11058,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"110,9",,5,
