observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volS(CO_321:1000250),volS(CO_321:1000250).date
CF10042itkfi,2862159,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,61896,https://doi.org/10.15454/RC9XEF,CF10042,VIRTUAL_TRIAL,,,,,,,,2011,"17,4",,61,,100,,,,"62,1",,,,87,,,,"249,1",,,,104,,"1,69",,232,,90,,374,,"10,2",,"80,5",,,
CF10042itkt,2862160,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,61896,https://doi.org/10.15454/RC9XEF,CF10042,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
CF10064itkt,2862214,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
CF10064itkfi,2862213,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,2011,"18,4",,68,,97,,,,"61,1",,,,"85,9",,,,244,,,,83,,"1,21",,206,,16,,361,,"9,4",,"76,6",,,
CF09117itkt,2862218,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
CF09117itkfi,2862217,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
CF09227itkt,2862230,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
CF09227itkfi,2862229,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
EM08231itkt,2862204,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
EM08231itkfi,2862203,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
Folkloritkfi,2862137,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
Folkloritkt,2862138,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2011,"15,7",,50,,,,97,,,,70,,,,91,,,,258,,98,,"1,96",,186,,,,299,,"11,29",,"79,6",,1368,
RE09013itkt,2862190,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49189,https://doi.org/10.15454/FINGUM,RE09013,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
RE09013itkfi,2862189,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49189,https://doi.org/10.15454/FINGUM,RE09013,VIRTUAL_TRIAL,,,,,,,,2011,"21,3",,92,,100,,,,"11,6",,,,"55,2",,,,"166,9",,,,74,,"0,8",,238,,30,,234,,"10,3",,"73,4",,,
RE10040itkt,2862192,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49526,https://doi.org/10.15454/U0AWKP,RE10040,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
RE10040itkfi,2862191,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49526,https://doi.org/10.15454/U0AWKP,RE10040,VIRTUAL_TRIAL,,,,,,,,2011,"15,9",,52,,100,,,,"77,8",,,,"84,4",,,,"262,2",,,,117,,"2,27",,210,,76,,370,,"10,1",,"78,9",,,
RE10072itkt,2862144,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49343,https://doi.org/10.15454/4TBCLY,RE10072,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
RE10072itkfi,2862143,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49343,https://doi.org/10.15454/4TBCLY,RE10072,VIRTUAL_TRIAL,,,,,,,,2011,15,,46,,100,,,,"43,5",,,,74,,,,"217,5",,,,86,,"1,89",,141,,78,,265,,9,,"78,4",,,
RE10095itkt,2862156,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49072,https://doi.org/10.15454/OZM4O0,RE10095,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
RE10095itkfi,2862155,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49072,https://doi.org/10.15454/OZM4O0,RE10095,VIRTUAL_TRIAL,,,,,,,,2011,"16,1",,52,,100,,,,"50,2",,,,77,,,,"227,2",,,,89,,"1,7",,156,,29,,385,,"10,1",,"79,6",,,
RE09063itkfi,2862183,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
RE09063itkt,2862184,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
RE10039itkfi,2862147,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,2011,"19,8",,79,,100,,,,"49,8",,,,"85,5",,,,"235,3",,,,87,,"1,1",,235,,20,,188,,"10,5",,"76,2",,,
RE10039itkt,2862148,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
RE09079itkt,2862124,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
RE09079itkfi,2862123,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
Premioitkt,2862154,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2011,"15,4",,48,,,,97,,,,74,,,,94,,,,265,,77,,"1,6",,139,,,,294,,"11,07",,"79,9",,1450,
Premioitkfi,2862153,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2011,17,,58,,100,,,,"78,7",,,,"92,5",,,,"271,2",,,,72,,"1,22",,153,,71,,353,,"10,1",,"75,8",,,
EM09003itkt,2862136,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
EM09003itkfi,2862135,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
Apacheitkfi,2862165,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2011,"22,6",,104,,100,,,,38,,,,"53,9",,,,"191,9",,,,45,,"0,43",,116,,39,,391,,10,,"76,6",,,
Apacheitkt,2862166,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2011,21,,89,,,,91,,,,31,,,,38,,,,161,,62,,"0,69",,138,,,,316,,"11,72",,"78,9",,1288,
EM10317itkt,2862140,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,61542,https://doi.org/10.15454/GSBZL4,EM10317,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
EM10317itkfi,2862139,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,61542,https://doi.org/10.15454/GSBZL4,EM10317,VIRTUAL_TRIAL,,,,,,,,2011,"19,1",,74,,100,,,,76,,,,"88,5",,,,"264,5",,,,76,,"1,02",,169,,68,,332,,"9,6",,"74,2",,,
Lyrikitkfi,2862227,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
Lyrikitkt,2862228,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2011,"14,4",,42,,,,94,,,,70,,,,86,,,,251,,96,,"2,29",,164,,,,283,,"10,74",,"81,1",,1515,
Ghaytaitkfi,2862209,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
Ghaytaitkt,2862210,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,2011,"18,5",,69,,,,91,,,,24,,,,90,,,,211,,139,,2,,350,,,,324,,"13,65",,81,,1700,
Grapeliitkt,2862152,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,2011,13,,34,,,,94,,,,28,,,,75,,,,197,,82,,"2,38",,111,,,,297,,"10,51",,"80,3",,1339,
Grapeliitkfi,2862151,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
CF08027itkt,2862232,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
CF08027itkfi,2862231,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
Granamaxitkt,2862172,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,2011,"14,1",,40,,,,97,,,,69,,,,94,,,,260,,113,,"2,8",,180,,,,276,,"11,21",,"79,4",,1473,
Granamaxitkfi,2862171,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
AO11011itkt,2862180,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
AO11011itkfi,2862179,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
Gotikitkfi,2862199,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
Gotikitkt,2862200,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
DI11012itkt,2862222,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
DI11012itkfi,2862221,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,2011,"11,5",,27,,82,,,,"24,5",,,,"58,9",,,,"165,4",,,,138,,"5,16",,156,,69,,357,,"9,1",,"78,2",,,
DI11013itkfi,2862219,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,2011,"12,5",,32,,88,,,,"25,2",,,,70,,,,"183,2",,,,119,,"3,76",,152,,68,,404,,"9,2",,"80,2",,,
DI11013itkt,2862220,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
RE10042itkfi,2862163,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,2011,"15,2",,47,,100,,,,"74,8",,,,"84,4",,,,"259,2",,,,99,,"2,13",,179,,71,,373,,"9,8",,"79,1",,,
RE10042itkt,2862164,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
Gallixeitkt,2862216,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
Gallixeitkfi,2862215,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
Croustyitkt,2862194,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
Croustyitkfi,2862193,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
AO10013itkfi,2862125,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
AO10013itkt,2862126,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,2011,"14,8",,44,,,,97,,,,66,,,,97,,,,260,,95,,"2,14",,159,,,,199,,"10,88",,"78,4",,1356,
AO11012itkt,2862130,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48904,https://doi.org/10.15454/QDMSRL,AO11012,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
AO11012itkfi,2862129,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48904,https://doi.org/10.15454/QDMSRL,AO11012,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
AO11013itkt,2862132,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
AO11013itkfi,2862131,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
AO11014itkt,2862196,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48888,https://doi.org/10.15454/2YKLGU,AO11014,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
AO11014itkfi,2862195,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48888,https://doi.org/10.15454/2YKLGU,AO11014,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
DI10001-2itkt,2862212,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
DI10001-2itkfi,2862211,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
EM09227itkfi,2862201,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48498,https://doi.org/10.15454/GGN6HS,EM09227,VIRTUAL_TRIAL,,,,,,,,2011,"16,2",,54,,100,,,,"61,5",,,,"88,5",,,,250,,,,105,,"1,96",,212,,73,,329,,"10,1",,"76,7",,,
EM09227itkt,2862202,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,48498,https://doi.org/10.15454/GGN6HS,EM09227,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
