observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,vp(CO_321:1000225),vp(CO_321:1000225).date
DI04015itkfi,2801834,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26801,https://doi.org/10.15454/5TSZZX,DI04015,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,20,,81,,85,,56,,83,,224,,60,,"0,73",,170,,67,,,,"10,9",,"81,4",,1464,,,
DI04015itkt,2801835,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26801,https://doi.org/10.15454/5TSZZX,DI04015,VIRTUAL_TRIAL,,,,,,,,treated,2004,"21,8",,96,,94,,48,,69,,210,,60,,"0,62",,186,,65,,NA,,"10,3",,"81,5",,1491,,"2,47",
Rytmicitkt,2801847,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,7",,23,,100,,52,,87,,239,,111,,"4,83",,108,,67,,375,,"8,47",,NA,,1142,,"2,96",
Rytmicitkfi,2801846,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
CF01085itkt,2801845,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,treated,2004,"12,2",,30,,100,,"68,2",,"76,7",,245,,98,,"3,27",,127,,42,,313,,"8,98",,NA,,1497,,"3,77",
CF01085itkfi,2801844,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
RE03111itkt,2801897,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,treated,2004,"22,3",,101,,97,,52,,64,,213,,49,,"0,48",,159,,65,,NA,,"10,1",,"81,1",,1556,,"2,26",
RE03111itkfi,2801896,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"21,1",,90,,88,,38,,96,,221,,54,,"0,6",,159,,55,,,,"9,8",,"81,8",,1319,,,
RE03101itkfi,2801824,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26398,https://doi.org/10.15454/OE94BR,RE03101,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"18,9",,72,,76,,45,,94,,215,,59,,"0,81",,170,,62,,,,"9,4",,"82,6",,1335,,,
RE03101itkt,2801825,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26398,https://doi.org/10.15454/OE94BR,RE03101,VIRTUAL_TRIAL,,,,,,,,treated,2004,"19,4",,76,,97,,49,,78,,224,,55,,"0,72",,166,,72,,NA,,10,,"82,5",,1543,,"2,79",
RE03094itkfi,2801900,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26397,https://doi.org/10.15454/A8ZRSZ,RE03094,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"18,5",,69,,64,,5,,40,,109,,33,,"0,47",,72,,19,,,,"10,6",,"79,7",,1125,,,
RE03094itkt,2801901,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26397,https://doi.org/10.15454/A8ZRSZ,RE03094,VIRTUAL_TRIAL,,,,,,,,treated,2004,21,,89,,55,,24,,29,,108,,31,,"0,35",,79,,15,,NA,,"11,2",,"80,1",,1321,,"2,02",
DI02001itkt,2801857,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,1",,25,,100,,"45,8",,"88,1",,234,,130,,"5,2",,142,,71,,341,,"8,75",,NA,,1372,,"3,68",
DI02001itkfi,2801856,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
Soissonsitkfi,2801902,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"26,9",,147,,94,,69,,88,,252,,70,,"0,48",,317,,73,,,,"10,8",,"83,5",,1474,,,
Soissonsitkt,2801903,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2004,"19,8",,"79,5",,"98,5",,"58,85",,"87,25",,"244,5",,73,,"0,93",,"209,5",,63,,380,,"9,655",,"82,3",,"1496,5",,"1,86",
EM01068itkt,2801871,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,treated,2004,"22,5",,103,,79,,52,,79,,210,,64,,"0,62",,195,,60,,NA,,"10,7",,"79,4",,1499,,"2,52",
EM01068itkfi,2801870,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"19,9",,80,,91,,46,,61,,198,,61,,"0,76",,164,,47,,,,"10,7",,"79,6",,1363,,,
EM03028itkfi,2801814,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"20,8",,88,,79,,24,,70,,172,,47,,"0,53",,133,,14,,,,"10,8",,"80,4",,1245,,,
EM03028itkt,2801815,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,treated,2004,21,,89,,91,,35,,62,,188,,49,,"0,55",,145,,20,,NA,,"11,2",,"80,5",,1449,,"2,97",
EM03041itkfi,2801812,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,20,,81,,82,,37,,76,,196,,56,,"0,69",,150,,60,,,,"9,8",,"80,8",,1470,,,
EM03041itkt,2801813,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,treated,2004,"21,5",,94,,88,,56,,73,,217,,57,,"0,61",,170,,72,,NA,,"10,3",,"81,1",,1605,,"2,4",
LM03015itkt,2801885,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,treated,2004,"20,8",,88,,97,,68,,78,,243,,78,,"0,89",,222,,50,,NA,,"10,4",,"78,2",,1545,,"2,94",
