observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
AO10006itkt,2846948,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,49352,https://doi.org/10.15454/NHNCAM,AO10006,VIRTUAL_TRIAL,,,,,,,,treated,2010,4,,142,,"9,86",,"79,8",,108,,"106,5",
DI09017itkt,2847004,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,135,,"11,38",,"78,7",,"89,5",,"88,2",
EM08221itkfi,2846949,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,4,,145,,"9,28",,"69,9",,"100,1",,"84,4",
DI09017itkfi,2847003,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,135,,"9,9",,81,,"99,3",,"83,8",
DI09018itkt,2846994,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,treated,2010,4,,143,,"10,42",,"78,1",,96,,"94,7",
EM08223itkt,2846954,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,139,,"10,38",,76,,"88,9",,"87,7",
EM08223itkfi,2846953,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,139,,"9,99",,"75,8",,"88,2",,"74,4",
DI09004itkt,2846966,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27808,https://doi.org/10.15454/GGTVHF,DI09004,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,141,,"11,34",,"79,8",,"97,8",,"96,4",
DI09004itkfi,2846965,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27808,https://doi.org/10.15454/GGTVHF,DI09004,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,140,,"10,39",,"81,8",,"95,8",,"80,8",
Hadm01601-07itkfi,2846955,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,139,,"9,62",,"75,6",,"101,5",,"85,6",
Hadm01601-07itkt,2846956,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,138,,"11,48",,"75,5",,96,,"94,6",
Croustyitkt,2846976,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,142,,"11,41",,"79,8",,"91,9",,"90,6",
Croustyitkfi,2846975,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,142,,"10,26",,80,,"93,7",,"79,1",
AO10006itkfi,2846947,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,49352,https://doi.org/10.15454/NHNCAM,AO10006,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,4,,142,,"9,56",,81,,"101,1",,"85,3",
Caphornitkfi,2846967,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,4,,139,,"10,06",,"76,7",,"93,4",,"78,8",
Caphornitkt,2846968,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2010,4,,139,,"11,19",,"77,1",,"93,6",,"92,3",
AO09014itkfi,2846943,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27781,https://doi.org/10.15454/NMD5FO,AO09014,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,139,,"10,01",,"82,2",,"101,2",,"85,4",
AO09014itkt,2846944,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27781,https://doi.org/10.15454/NMD5FO,AO09014,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,140,,"10,54",,"81,4",,"103,6",,"102,1",
DI09018itkfi,2846993,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,3,,143,,"8,97",,"80,8",,102,,"86,1",
DI09006itkt,2846962,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,145,,"10,07",,"79,8",,"107,6",,"106,1",
DI09006itkfi,2846961,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,3,,145,,"9,25",,"80,2",,"114,9",,"96,9",
CF08029itkfi,2846995,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27796,https://doi.org/10.15454/9MSP5Q,CF08029,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,132,,"9,34",,79,,"97,3",,"82,1",
CF08049itkt,2847000,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,139,,"10,61",,"81,8",,"101,2",,"99,7",
Bermudeitkt,2846946,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,142,,"9,66",,"78,9",,"101,9",,"100,4",
AO10007itkt,2846970,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,49608,https://doi.org/10.15454/ZH8TXM,AO10007,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,133,,"11,26",,"78,7",,"105,7",,"104,2",
AO10007itkfi,2846969,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,49608,https://doi.org/10.15454/ZH8TXM,AO10007,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,3,,133,,"9,88",,"77,7",,"103,9",,"87,6",
HadmF11671itkfi,2846979,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,141,,"9,22",,"80,8",,"108,1",,"91,2",
HadmF11671itkt,2846980,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,141,,"10,54",,"79,8",,"103,8",,"102,3",
RE08030itkt,2846972,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27308,https://doi.org/10.15454/4AWT90,RE08030,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,142,,"10,89",,"80,6",,"85,8",,"84,5",
RE08030itkfi,2846971,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27308,https://doi.org/10.15454/4AWT90,RE08030,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,144,,"10,74",,"81,6",,"85,8",,"72,3",
Bermudeitkfi,2846945,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,3,,142,,"9,7",,"81,2",,"104,1",,"87,8",
Premioitkfi,2846939,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,137,,"10,02",,"79,4",,"96,4",,"81,3",
CF08049itkfi,2846999,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,139,,"9,88",,"82,4",,"99,8",,"84,2",
Barokitkfi,2846935,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,140,,"9,66",,77,,87,,"73,3",
Premioitkt,2846940,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,136,,"11,24",,"78,6",,"96,1",,"94,8",
AO10008itkt,2846974,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,49349,https://doi.org/10.15454/7PE32Q,AO10008,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,132,,"10,76",,"75,9",,"101,8",,"100,4",
DI09005itkfi,2846963,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27809,https://doi.org/10.15454/VX6AQV,DI09005,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,140,,"10,47",,"80,9",,"96,8",,"81,7",
EM08019itkt,2846984,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,136,,"10,34",,"71,3",,"100,2",,"98,8",
EM08019itkfi,2846983,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,4,,136,,"9,69",,"73,3",,"96,4",,"81,3",
DI09016itkt,2847008,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27313,https://doi.org/10.15454/SGNING,DI09016,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,143,,"10,4",,"79,4",,"101,7",,"100,3",
DI09016itkfi,2847007,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27313,https://doi.org/10.15454/SGNING,DI09016,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,3,,145,,"9,41",,"81,4",,"102,6",,"86,6",
CF08109itkt,2846998,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27799,https://doi.org/10.15454/G9QV0Y,CF08109,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,140,,"10,98",,"78,6",,"96,8",,"95,4",
AO10008itkfi,2846973,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,49349,https://doi.org/10.15454/7PE32Q,AO10008,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,133,,"9,76",,77,,"100,6",,"84,9",
Hadm04969-06itkfi,2846941,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,49117,gnpis_pui:holding-921_taxon-4898_accession-49117,Hadm04969-06,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,144,,"9,59",,"78,3",,"99,1",,"83,6",
Hadm04969-06itkt,2846942,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,49117,gnpis_pui:holding-921_taxon-4898_accession-49117,Hadm04969-06,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,144,,"11,18",,"75,8",,"103,5",,102,
EM08024itkfi,2846957,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27822,https://doi.org/10.15454/KNNDVP,EM08024,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,3,,141,,"10,44",,"73,2",,"92,8",,"78,3",
CF08106itkt,2847006,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27311,https://doi.org/10.15454/4DNWV7,CF08106,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,140,,"10,82",,"79,4",,"94,1",,"92,7",
EM08024itkt,2846958,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27822,https://doi.org/10.15454/KNNDVP,EM08024,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,141,,"11,68",,71,,"92,7",,"91,3",
CF08106itkfi,2847005,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27311,https://doi.org/10.15454/4DNWV7,CF08106,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,139,,"10,16",,80,,"97,2",,"81,9",
CF08084itkfi,2846981,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,3,,143,,"9,04",,"80,4",,"103,9",,"87,6",
CF08084itkt,2846982,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,144,,"9,94",,"77,7",,"106,5",,"104,9",
Apacheitkfi,2846959,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,135,,"8,96",,"82,3",,"106,2",,"89,6",
EM08277itkfi,2847001,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27824,https://doi.org/10.15454/OUS6AU,EM08277,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,143,,"10,3",,"78,5",,91,,"76,7",
Apacheitkt,2846960,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,136,,"10,5",,"83,6",,"108,3",,"106,8",
EM08277itkt,2847002,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27824,https://doi.org/10.15454/OUS6AU,EM08277,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,142,,"10,93",,"76,6",,"94,7",,"93,3",
CF08109itkfi,2846997,BTH_Clermont-Ferrand_2010_SetA2,BTH_Clermont-Ferrand_2010_SetA2,27799,https://doi.org/10.15454/G9QV0Y,CF08109,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,141,,"9,95",,"79,2",,98,,"82,6",
