observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2852122,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48493,gnpis_pui:holding-921_taxon-4898_accession-48493,DI10014,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"58,02",
1,2852159,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48758,gnpis_pui:holding-921_taxon-4898_accession-48758,RE09084,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"62,85",
2,2852160,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48758,gnpis_pui:holding-921_taxon-4898_accession-48758,RE09084,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"54,21",
2,2852138,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48534,gnpis_pui:holding-921_taxon-4898_accession-48534,RE09074,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"57,61",
1,2852137,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48534,gnpis_pui:holding-921_taxon-4898_accession-48534,RE09074,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"57,55",
2,2852142,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"54,67",
1,2852141,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"52,75",
2,2852156,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48783,gnpis_pui:holding-921_taxon-4898_accession-48783,RE09080,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"59,05",
1,2852155,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48783,gnpis_pui:holding-921_taxon-4898_accession-48783,RE09080,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"53,31",
2,2852178,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49315,https://doi.org/10.15454/WVJ13N,AO10026,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"62,63",
1,2852177,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49315,https://doi.org/10.15454/WVJ13N,AO10026,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"59,67",
2,2852170,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48794,https://doi.org/10.15454/1IPVTN,AO10028,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"60,71",
1,2852169,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48794,https://doi.org/10.15454/1IPVTN,AO10028,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"58,71",
2,2852192,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49231,gnpis_pui:holding-921_taxon-4898_accession-49231,EM08215,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"54,99",
1,2852191,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49231,gnpis_pui:holding-921_taxon-4898_accession-49231,EM08215,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"59,67",
1,2852131,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48346,gnpis_pui:holding-921_taxon-4898_accession-48346,DI10017,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"52,81",
2,2852132,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48346,gnpis_pui:holding-921_taxon-4898_accession-48346,DI10017,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"56,65",
2,2852188,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48768,gnpis_pui:holding-921_taxon-4898_accession-48768,CF09206,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"55,89",
1,2852187,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48768,gnpis_pui:holding-921_taxon-4898_accession-48768,CF09206,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"57,82",
2,2852120,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49397,gnpis_pui:holding-921_taxon-4898_accession-49397,DI10016,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"51,31",
1,2852119,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49397,gnpis_pui:holding-921_taxon-4898_accession-49397,DI10016,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"51,31",
2,2852158,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48561,gnpis_pui:holding-921_taxon-4898_accession-48561,CF09216,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"60,49",
1,2852157,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48561,gnpis_pui:holding-921_taxon-4898_accession-48561,CF09216,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"64,41",
1,2852183,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48384,gnpis_pui:holding-921_taxon-4898_accession-48384,Stru061884,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"59,81",
2,2852184,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48384,gnpis_pui:holding-921_taxon-4898_accession-48384,Stru061884,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"64,56",
1,2852173,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49722,gnpis_pui:holding-921_taxon-4898_accession-49722,AO10024,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"51,25",
