observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
RE09009itkt,2852674,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,9",,80,,94,,59,,90,,243,,76,,"0,95",,207,,43,,NA,,12,,"80,2",,1783,,NA,
EM09003itkt,2852646,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,4",,76,,82,,47,,74,,203,,104,,"1,37",,245,,98,,NA,,"12,4",,"83,6",,1535,,NA,
RE09073itkt,2852671,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,treated,2010,25,,126,,100,,68,,79,,247,,51,,"0,4",,181,,46,,NA,,"12,4",,79,,1945,,NA,
EM08019itkt,2852685,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,treated,2010,"16,1",,53,,94,,22,,64,,180,,90,,"1,73",,163,,"74,5",,370,,"12,6",,NA,,1380,,"25,5",
DI10001itkt,2852680,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,treated,2010,"18,9",,72,,97,,87,,77,,261,,119,,"1,65",,322,,98,,NA,,"13,1",,"82,8",,1890,,NA,
Apacheitkt,2852665,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2010,"20,6",,86,,94,,"70,1",,99,,"263,1",,86,,1,,234,,68,,399,,"12,2",,NA,,1613,,40,
Toisondoritkt,2852657,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2010,"15,7",,50,,88,,65,,84,,237,,104,,"2,08",,206,,81,,378,,"12,7",,NA,,1560,,35,
Flamenkoitkt,2852678,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2010,19,,73,,97,,"71,3",,96,,"264,3",,118,,"1,62",,293,,"76,5",,378,,"13,1",,NA,,1838,,52,
Lyrikitkt,2852702,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2010,"13,5",,37,,97,,"69,7",,84,,"250,7",,138,,"3,73",,215,,"72,5",,391,,"11,2",,NA,,1613,,39,
Musikitkt,2852653,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,treated,2010,"18,2",,67,,NA,,NA,,NA,,NA,,120,,"1,79",,272,,65,,442,,"13,6",,NA,,NA,,NA,
Karillonitkt,2852695,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2010,"16,5",,55,,94,,"46,2",,59,,"199,2",,100,,"1,82",,184,,79,,363,,"11,6",,NA,,1540,,31,
Ghaytaitkt,2852691,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,7",,79,,NA,,NA,,NA,,NA,,135,,"1,73",,380,,75,,462,,"15,2",,NA,,NA,,64,
CF08027itkt,2852705,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,1",,59,,94,,47,,91,,232,,89,,"1,51",,191,,"74,5",,373,,"11,8",,NA,,1520,,"32,5",
Granamaxitkt,2852687,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2010,"18,1",,66,,91,,41,,75,,207,,104,,"1,58",,223,,"85,5",,349,,"11,9",,NA,,1608,,35,
Gallixeitkt,2852694,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2010,"28,3",,162,,82,,33,,59,,174,,39,,"0,24",,140,,29,,NA,,"11,4",,"81,4",,1648,,NA,
Caphornitkt,2852672,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2010,"21,8",,96,,100,,"81,8",,89,,"270,8",,106,,"1,1",,323,,80,,405,,"13,1",,NA,,1765,,60,
AO10005itkt,2852673,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,49146,https://doi.org/10.15454/H6MB7G,AO10005,VIRTUAL_TRIAL,,,,,,,,treated,2010,"15,9",,51,,97,,76,,97,,270,,125,,"2,45",,237,,"74,5",,385,,"12,8",,NA,,1700,,"35,5",
AO10008itkt,2852675,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,49349,https://doi.org/10.15454/7PE32Q,AO10008,VIRTUAL_TRIAL,,,,,,,,treated,2010,12,,29,,85,,8,,67,,160,,182,,"6,28",,236,,"73,5",,404,,"13,7",,NA,,1180,,"61,5",
AO10011itkt,2852640,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,49125,https://doi.org/10.15454/CTNPK9,AO10011,VIRTUAL_TRIAL,,,,,,,,treated,2010,"14,4",,42,,97,,67,,74,,238,,137,,"3,26",,228,,76,,376,,12,,NA,,1763,,36,
AO10013itkt,2852642,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,treated,2010,"22,9",,106,,97,,54,,72,,223,,87,,"0,82",,280,,"68,5",,427,,"12,9",,NA,,1643,,"44,5",
EM08024itkt,2852660,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,27822,https://doi.org/10.15454/KNNDVP,EM08024,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,4",,61,,88,,60,,88,,236,,129,,"2,11",,290,,75,,414,,"13,9",,NA,,1735,,"44,5",
CF09027itkt,2852688,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48507,https://doi.org/10.15454/YFD4LO,CF09027,VIRTUAL_TRIAL,,,,,,,,treated,2010,"16,7",,56,,91,,69,,75,,235,,110,,"1,96",,213,,89,,NA,,"12,5",,"82,3",,1683,,NA,
EM09080itkt,2852689,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,49303,https://doi.org/10.15454/WSDK5P,EM09080,VIRTUAL_TRIAL,,,,,,,,treated,2010,"20,6",,86,,100,,70,,77,,247,,81,,"0,94",,211,,82,,NA,,"12,8",,"82,1",,1888,,NA,
EM09189itkt,2852699,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,49252,https://doi.org/10.15454/LVMRPV,EM09189,VIRTUAL_TRIAL,,,,,,,,treated,2010,"23,1",,108,,85,,31,,47,,163,,54,,"0,5",,146,,40,,NA,,12,,"80,4",,1595,,NA,
EM09320itkt,2852645,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2010,17,,58,,88,,76,,66,,230,,122,,"2,1",,271,,80,,NA,,"11,3",,"83,5",,1613,,NA,
Hadm01601-07itkt,2852659,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,treated,2010,"15,3",,47,,97,,71,,83,,251,,142,,"3,02",,269,,"77,5",,429,,"13,6",,NA,,1678,,59,
HadmF11671itkt,2852683,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,treated,2010,"14,8",,44,,100,,"35,6",,83,,"218,6",,117,,"2,66",,205,,"90,5",,393,,"12,4",,NA,,1556,,38,
HadmF11326itkt,2852664,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,60787,https://doi.org/10.15454/LLIFSS,HadmF11326,VIRTUAL_TRIAL,,,,,,,,treated,2010,"15,9",,51,,97,,79,,83,,259,,120,,"2,35",,241,,"80,5",,406,,"12,9",,NA,,1748,,42,
Strub061859-1itkt,2852656,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,treated,2010,"16,2",,53,,94,,59,,75,,228,,104,,"1,96",,215,,78,,367,,"11,7",,NA,,1705,,41,
CF07143itkt,2852686,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2010,"24,1",,118,,85,,29,,72,,186,,67,,"0,57",,209,,"81,5",,398,,"13,6",,NA,,1550,,"44,5",
EM08223itkt,2852658,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,4",,76,,82,,6,,13,,101,,50,,"0,66",,102,,44,,319,,"12,6",,NA,,1125,,16,
CF08049itkt,2852700,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,treated,2010,"22,5",,103,,91,,16,,70,,177,,93,,"0,91",,260,,89,,388,,13,,NA,,1488,,53,
CF08084itkt,2852697,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,treated,2010,"20,8",,88,,91,,8,,64,,163,,72,,"0,83",,173,,"77,5",,391,,"12,1",,NA,,1273,,32,
EM07117itkt,2852701,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,7",,79,,91,,45,,73,,209,,67,,"0,86",,177,,34,,352,,"11,9",,NA,,1468,,27,
CF09169itkt,2852639,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2010,"22,7",,104,,94,,78,,91,,263,,84,,"0,81",,273,,91,,NA,,"13,1",,"82,9",,1783,,NA,
DI10011itkt,2852643,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,treated,2010,"21,8",,96,,88,,57,,84,,229,,106,,"1,1",,330,,105,,NA,,"13,3",,"80,3",,1568,,NA,
AO10006itkt,2852652,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,49352,https://doi.org/10.15454/NHNCAM,AO10006,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,5",,62,,100,,60,,83,,243,,112,,"1,81",,251,,"76,5",,348,,"11,6",,NA,,1795,,35,
EM09318itkt,2852666,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,treated,2010,29,,170,,79,,29,,50,,158,,39,,"0,23",,148,,28,,NA,,12,,"81,2",,1590,,NA,
Soissonsitkt,2852696,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2010,"21,5",,94,,91,,84,,88,,263,,87,,"0,94",,287,,76,,363,,13,,NA,,1795,,40,
DI09018itkt,2852654,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,treated,2010,"15,3",,47,,94,,43,,70,,207,,156,,"3,32",,295,,81,,419,,"12,6",,NA,,1503,,"43,5",
EM08221itkt,2852681,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,treated,2010,"18,9",,72,,82,,3,,21,,106,,43,,"0,6",,90,,28,,352,,"12,3",,NA,,1075,,17,
AO10003itkt,2852669,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,treated,2010,20,,81,,91,,44,,77,,212,,80,,"0,99",,198,,74,,374,,"11,6",,NA,,1670,,36,
AO10015itkt,2852638,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,treated,2010,"18,4",,69,,94,,80,,80,,254,,103,,"1,51",,241,,"61,5",,396,,"12,8",,NA,,1748,,"41,5",
AO10026itkt,2852684,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,49315,https://doi.org/10.15454/WVJ13N,AO10026,VIRTUAL_TRIAL,,,,,,,,treated,2010,17,,59,,85,,6,,50,,141,,87,,"1,5",,161,,31,,356,,"12,7",,NA,,1175,,"24,5",
AO10028itkt,2852677,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48794,https://doi.org/10.15454/1IPVTN,AO10028,VIRTUAL_TRIAL,,,,,,,,treated,2010,"14,9",,45,,91,,80,,83,,254,,122,,"2,71",,219,,"71,5",,367,,"12,5",,NA,,1718,,"40,5",
EM09221itkt,2852690,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,treated,2010,"23,3",,110,,91,,57,,63,,211,,55,,"0,5",,200,,23,,NA,,"11,2",,"82,1",,1685,,NA,
EM09222itkt,2852693,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,8",,64,,97,,75,,75,,247,,90,,"1,41",,238,,61,,NA,,"12,2",,"81,3",,1800,,NA,
