observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
AO11010itkt,2859897,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61350,https://doi.org/10.15454/U7J4EQ,AO11010,VIRTUAL_TRIAL,,,,,,,,treated,2011,86,,136,,"9,78",,"97,2",,,,"103,4",
AO11011itkfi,2859898,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,135,,"8,36",,"103,2",,1,,"90,1",
CF10064itkfi,2859874,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,132,,"9,3",,"97,6",,1,,"85,2",
CF10125itkfi,2859880,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61989,https://doi.org/10.15454/IBHUHA,CF10125,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,130,,"9,05",,"96,3",,"1,5",,"84,1",
RE10080itkt,2859931,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61959,https://doi.org/10.15454/9SDYX3,RE10080,VIRTUAL_TRIAL,,,,,,,,treated,2011,94,,132,,"10,32",,"95,5",,,,"101,6",
RE10080itkfi,2859930,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61959,https://doi.org/10.15454/9SDYX3,RE10080,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,94,,133,,"9,16",,"91,2",,7,,"79,6",
DI11009itkt,2859893,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,60916,https://doi.org/10.15454/SLLOAU,DI11009,VIRTUAL_TRIAL,,,,,,,,treated,2011,86,,136,,"10,06",,"93,3",,,,"99,2",
CF10082itkfi,2859884,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61957,https://doi.org/10.15454/M4RPQP,CF10082,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,136,,"8,43",,"93,9",,"5,5",,82,
AO11012itkt,2859861,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,48904,https://doi.org/10.15454/QDMSRL,AO11012,VIRTUAL_TRIAL,,,,,,,,treated,2011,84,,134,,"9,09",,"104,3",,,,"110,9",
EM10306itkfi,2859908,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61526,https://doi.org/10.15454/MRWRT2,EM10306,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,85,,136,,"9,03",,"88,1",,3,,"76,9",
AO11012itkfi,2859860,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,48904,https://doi.org/10.15454/QDMSRL,AO11012,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,134,,"8,12",,"94,6",,"4,5",,"82,6",
EM10306itkt,2859909,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61526,https://doi.org/10.15454/MRWRT2,EM10306,VIRTUAL_TRIAL,,,,,,,,treated,2011,85,,134,,"10,18",,89,,,,"94,7",
CF10082itkt,2859885,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61957,https://doi.org/10.15454/M4RPQP,CF10082,VIRTUAL_TRIAL,,,,,,,,treated,2011,94,,138,,"9,8",,"101,2",,,,"107,7",
Koreliitkfi,2859888,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,134,,"8,39",,"93,5",,"4,5",,"81,6",
EM10304itkt,2859911,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61512,https://doi.org/10.15454/4AWA2B,EM10304,VIRTUAL_TRIAL,,,,,,,,treated,2011,90,,133,,"9,7",,"93,1",,,,99,
Altigoitkt,2859905,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2011,86,,130,,"9,78",,"99,5",,,,"105,9",
DI11009itkfi,2859892,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,60916,https://doi.org/10.15454/SLLOAU,DI11009,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,85,,134,,"9,46",,"95,2",,1,,"83,1",
EM10304itkfi,2859910,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61512,https://doi.org/10.15454/4AWA2B,EM10304,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,129,,"8,85",,"97,1",,5,,"84,8",
Koreliitkt,2859889,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2011,90,,137,,"9,47",,"91,2",,,,97,
DI11014itkfi,2859926,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,132,,"8,5",,"106,9",,2,,"93,3",
DI11012itkt,2859925,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,treated,2011,90,,136,,"8,46",,"104,9",,,,"111,6",
RE10072itkt,2859879,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,49343,https://doi.org/10.15454/4TBCLY,RE10072,VIRTUAL_TRIAL,,,,,,,,treated,2011,94,,138,,"9,92",,95,,,,101,
EM10322itkfi,2859906,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61572,https://doi.org/10.15454/DD34MP,EM10322,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,87,,134,,"9,14",,"88,4",,4,,"77,2",
EM10322itkt,2859907,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61572,https://doi.org/10.15454/DD34MP,EM10322,VIRTUAL_TRIAL,,,,,,,,treated,2011,84,,133,,"9,94",,"84,2",,,,"89,6",
DI11012itkfi,2859924,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,134,,"8,04",,"102,5",,1,,"89,5",
Bermudeitkfi,2859876,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,138,,"8,69",,"99,3",,3,,"86,7",
DI11013itkfi,2859922,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,132,,"7,98",,"106,3",,1,,"92,8",
RE10072itkfi,2859878,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,49343,https://doi.org/10.15454/4TBCLY,RE10072,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,133,,"9,12",,"97,4",,1,,85,
DI11008itkt,2859891,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,60898,https://doi.org/10.15454/RMGL42,DI11008,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,139,,"10,42",,"92,9",,,,"98,8",
CF10108itkfi,2859864,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61973,https://doi.org/10.15454/I6GJS6,CF10108,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,132,,"9,18",,"92,3",,1,,"80,6",
CF10108itkt,2859865,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61973,https://doi.org/10.15454/I6GJS6,CF10108,VIRTUAL_TRIAL,,,,,,,,treated,2011,83,,135,,"9,47",,"94,6",,,,"100,6",
CF10185itkfi,2859936,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,136,,"9,23",,"104,5",,"3,5",,"91,2",
DI11014itkt,2859927,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2011,91,,136,,"9,64",,"107,4",,,,"114,3",
AO11013itkt,2859863,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,treated,2011,92,,133,,"9,54",,104,,,,"110,6",
Premioitkt,2859859,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,131,,10,,"100,6",,,,107,
DI11013itkt,2859923,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2011,92,,134,,"8,84",,"102,4",,,,"108,9",
CF10185itkt,2859937,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2011,95,,138,,"10,11",,99,,,,"105,3",
AO11013itkfi,2859862,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,133,,"8,24",,"103,8",,"3,5",,"90,6",
Premioitkfi,2859858,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,79,,132,,"9,47",,"97,6",,1,,"85,2",
CF10140itkfi,2859882,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,132,,"9,66",,97,,1,,"84,7",
CF10140itkt,2859883,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,treated,2011,90,,138,,"10,5",,"94,1",,,,"100,1",
RE10057itkt,2859867,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,48915,https://doi.org/10.15454/QZGDLK,RE10057,VIRTUAL_TRIAL,,,,,,,,treated,2011,96,,136,,"10,98",,"91,8",,,,"97,7",
Apacheitkt,2859895,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2011,84,,129,,"9,89",,"98,4",,,,"104,6",
RE10057itkfi,2859866,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,48915,https://doi.org/10.15454/QZGDLK,RE10057,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,96,,132,,"10,23",,"86,4",,2,,"75,4",
Apacheitkfi,2859894,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,133,,"8,98",,"103,5",,2,,"90,3",
AO11008itkt,2859903,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,49376,https://doi.org/10.15454/DLSQIN,AO11008,VIRTUAL_TRIAL,,,,,,,,treated,2011,88,,129,,"9,2",,"97,4",,,,"103,6",
CF10180itkfi,2859932,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,62021,https://doi.org/10.15454/OKKASS,CF10180,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,134,,"9,42",,"103,1",,3,,90,
CF10180itkt,2859933,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,62021,https://doi.org/10.15454/OKKASS,CF10180,VIRTUAL_TRIAL,,,,,,,,treated,2011,92,,134,,"10,18",,"103,7",,,,"110,3",
DI11008itkfi,2859890,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,60898,https://doi.org/10.15454/RMGL42,DI11008,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,133,,"9,38",,"98,4",,1,,"85,9",
CF10186itkfi,2859934,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,62066,https://doi.org/10.15454/DDMJZQ,CF10186,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,132,,"9,51",,"99,4",,"1,5",,"86,8",
Bermudeitkt,2859877,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2011,84,,134,,"9,88",,"101,5",,,,108,
AO11014itkfi,2859868,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,48888,https://doi.org/10.15454/2YKLGU,AO11014,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,134,,"7,75",,"97,7",,"6,5",,"85,3",
DI11010itkt,2859921,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,60932,https://doi.org/10.15454/FGQ2LJ,DI11010,VIRTUAL_TRIAL,,,,,,,,treated,2011,84,,136,,"9,32",,"92,9",,,,"98,8",
RE10060itkfi,2859912,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,48417,https://doi.org/10.15454/FWPPIV,RE10060,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,95,,135,,"10,26",,96,,1,,"83,8",
CF10186itkt,2859935,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,62066,https://doi.org/10.15454/DDMJZQ,CF10186,VIRTUAL_TRIAL,,,,,,,,treated,2011,96,,133,,"9,86",,"100,7",,,,"107,1",
AO11008itkfi,2859902,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,49376,https://doi.org/10.15454/DLSQIN,AO11008,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,134,,"8,41",,"93,1",,"3,5",,"81,3",
DI11010itkfi,2859920,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,60932,https://doi.org/10.15454/FGQ2LJ,DI11010,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,132,,9,,"101,6",,1,,"88,7",
RE10050itkfi,2859872,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61869,https://doi.org/10.15454/ZWYREX,RE10050,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,132,,"8,3",,"104,8",,1,,"91,5",
AO11014itkt,2859869,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,48888,https://doi.org/10.15454/2YKLGU,AO11014,VIRTUAL_TRIAL,,,,,,,,treated,2011,94,,135,,"9,12",,"100,2",,,,"106,6",
RE10050itkt,2859873,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61869,https://doi.org/10.15454/ZWYREX,RE10050,VIRTUAL_TRIAL,,,,,,,,treated,2011,87,,138,,"8,91",,"98,6",,,,"104,9",
EM10317itkt,2859871,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61542,https://doi.org/10.15454/GSBZL4,EM10317,VIRTUAL_TRIAL,,,,,,,,treated,2011,88,,138,,"9,07",,"100,4",,,,"106,7",
EM10317itkfi,2859870,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61542,https://doi.org/10.15454/GSBZL4,EM10317,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,135,,"8,72",,"91,7",,6,,80,
RE10063itkt,2859915,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61927,https://doi.org/10.15454/SHFTXF,RE10063,VIRTUAL_TRIAL,,,,,,,,treated,2011,106,,135,,"10,21",,"99,6",,,,106,
CF10125itkt,2859881,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61989,https://doi.org/10.15454/IBHUHA,CF10125,VIRTUAL_TRIAL,,,,,,,,treated,2011,88,,134,,"9,78",,93,,,,"98,9",
RE10060itkt,2859913,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,48417,https://doi.org/10.15454/FWPPIV,RE10060,VIRTUAL_TRIAL,,,,,,,,treated,2011,96,,138,,"11,05",,"93,6",,,,"99,6",
DI11011itkfi,2859918,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,60948,https://doi.org/10.15454/MPMTXE,DI11011,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,133,,"8,96",,"100,2",,1,,"87,5",
RE10063itkfi,2859914,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61927,https://doi.org/10.15454/SHFTXF,RE10063,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,104,,133,,"9,35",,"98,6",,"2,5",,"86,1",
RE10081itkt,2859929,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61975,https://doi.org/10.15454/WIBYI7,RE10081,VIRTUAL_TRIAL,,,,,,,,treated,2011,84,,136,,"10,02",,"91,5",,,,"97,3",
RE10085itkfi,2859886,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,48649,https://doi.org/10.15454/KBZ1TN,RE10085,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,102,,130,,"9,9",,"99,4",,2,,"86,8",
Altigoitkfi,2859904,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,134,,"8,99",,"99,7",,2,,87,
