observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI04024itkfi,2820084,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,,,"12,68",,"65,1",,98,,"4,5",,"48,3",,1,
Koreliitkfi,2820042,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,,,"12,18",,72,,"103,9",,4,,"51,2",,1,
Koreliitkt,2820043,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,traité,2007,"102,5",,"132,5",,"12,32",,"76,3",,"94,9",,,,"78,5",,1,
CF03287itkfi,2820074,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,,,"13,26",,"69,8",,"113,3",,"2,5",,"55,9",,1,
CF04214itkfi,2820092,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,,,"11,7",,"65,1",,"72,9",,"7,5",,36,,1,
Toisondoritkt,2820033,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,traité,2007,80,,128,,"11,02",,75,,"104,1",,,,"86,1",,1,
Toisondoritkfi,2820032,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,,,"11,39",,"69,5",,"145,9",,1,,72,,1,
Barokitkt,2820027,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,traité,2007,"92,5",,132,,"11,44",,"77,2",,"98,8",,,,"81,8",,"2,8",
RE05074itkfi,2820076,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,,,"12,91",,"66,6",,"125,2",,1,,"61,8",,1,
Soissonsitkfi,2820090,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,,,"10,95",,69,,"95,9",,9,,"47,3",,1,
EM03193itkfi,2820050,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,,,"13,28",,"66,2",,"87,1",,"4,2",,43,,1,
Barokitkfi,2820026,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,,,"11,63",,"66,6",,"120,5",,"3,5",,"59,4",,"1,5",
EM03332itkt,2820089,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,traité,2007,"102,5",,134,,"11,76",,"65,7",,"87,6",,,,"72,5",,1,
EM03332itkfi,2820088,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,,,"12,74",,"62,4",,"97,3",,"4,5",,48,,1,
Flamenkoitkt,2820069,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,traité,2007,"97,5",,"122,5",,"10,9",,"74,2",,"107,6",,,,89,,1,
CF04214itkt,2820093,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,VIRTUAL_TRIAL,,,,,,,,traité,2007,90,,132,,"11,77",,"79,6",,"88,6",,,,"73,3",,1,
EM04241itkt,2820079,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,traité,2007,"92,5",,132,,"11,54",,76,,101,,,,"83,5",,2,
EM04181itkfi,2820072,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,,,"12,78",,"66,2",,"109,7",,"3,2",,"54,1",,1,
DI05014itkt,2820041,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,traité,2007,100,,134,,12,,"74,8",,"100,8",,,,"83,4",,"2,5",
DI05014itkfi,2820040,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,,,"12,58",,"66,1",,"107,2",,"2,5",,"52,9",,"1,5",
EM03193itkt,2820051,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,traité,2007,95,,"134,5",,"11,45",,"70,6",,"91,2",,,,"75,5",,1,
Flamenkoitkfi,2820068,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,,,"11,58",,"69,6",,"132,5",,"4,5",,"65,4",,1,
AO05004itkt,2820037,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,traité,2007,105,,"130,5",,"12,56",,"76,2",,"100,6",,,,"83,2",,1,
AO05004itkfi,2820036,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"97,5",,,,"12,92",,"71,8",,"110,6",,"3,2",,"54,6",,1,
CF03201itkt,2820063,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,traité,2007,"102,5",,130,,"12,81",,"80,4",,"99,5",,,,"82,3",,2,
EM04181itkt,2820073,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,traité,2007,95,,"131,5",,"12,37",,"68,6",,"99,4",,,,"82,2",,1,
Mendelitkt,2820055,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,traité,2007,90,,128,,"12,62",,"70,6",,"95,4",,,,"78,9",,1,
Mendelitkfi,2820054,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,,,"13,15",,64,,"93,6",,7,,"46,2",,1,
CF03201itkfi,2820062,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,,,"13,34",,"73,3",,"127,4",,"2,2",,"62,8",,1,
EM04145itkfi,2820046,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,,,"12,48",,"69,8",,"118,8",,"4,2",,"58,6",,1,
AO06313itkt,2820035,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,traité,2007,95,,122,,"10,99",,"79,1",,"107,2",,,,"88,7",,"3,5",
RE05108itkfi,2820080,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"97,5",,,,"11,58",,"70,6",,"125,9",,"2,5",,"62,1",,3,
RE05108itkt,2820081,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,traité,2007,100,,131,,"11,61",,"74,2",,"92,2",,,,"76,3",,"5,8",
Croustyitkfi,2820070,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"102,5",,,,"12,43",,"69,4",,"93,5",,"4,2",,"46,1",,1,
AO06313itkfi,2820034,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,,,"11,16",,"62,6",,96,,9,,"47,3",,1,
AO05001itkt,2820039,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,traité,2007,"102,5",,121,,"11,86",,"72,6",,"111,3",,,,"92,1",,6,
CF04043itkt,2820065,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,traité,2007,"102,5",,130,,"11,73",,"71,6",,"97,3",,,,"80,5",,3,
Croustyitkt,2820071,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,traité,2007,105,,128,,"12,16",,"75,6",,"97,4",,,,"80,6",,1,
EM04241itkfi,2820078,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,,,"12,42",,"67,9",,"97,4",,"4,5",,"48,1",,1,
AO05001itkfi,2820038,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,,,"12,29",,"67,2",,"112,5",,"8,5",,"55,5",,1,
EM04145itkt,2820047,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,traité,2007,90,,131,,"11,64",,70,,"103,7",,,,"85,8",,1,
CF04043itkfi,2820064,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,,,"12,66",,"71,6",,"112,7",,"3,5",,"55,6",,3,
Hendrixitkt,2820029,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,traité,2007,105,,"131,5",,"12,9",,"79,5",,"91,6",,,,"75,8",,1,
DI04017itkfi,2820056,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,,,"12,92",,"67,8",,90,,"5,8",,"44,4",,1,
Hendrixitkfi,2820028,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"97,5",,,,"12,7",,"71,6",,"116,7",,2,,"57,6",,1,
Caphornitkt,2820061,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,traité,2007,"87,5",,127,,"11,9",,"73,1",,"99,8",,,,"82,5",,2,
Caphornitkfi,2820060,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,,,"13,27",,"62,4",,108,,"4,5",,"53,3",,1,
RE03111itkt,2820083,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,traité,2007,80,,"130,5",,"12,4",,"71,9",,"90,3",,,,"74,7",,1,
DI04018itkt,2820045,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,traité,2007,"92,5",,131,,"12,93",,"72,7",,"95,7",,,,"79,2",,1,
DI04018itkfi,2820044,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,,,"14,11",,63,,98,,6,,"48,4",,"2,5",
RE05091itkfi,2820048,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27043,https://doi.org/10.15454/QCLAYU,RE05091,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,,,"11,64",,68,,"110,3",,"5,5",,"54,4",,1,
RE05091itkt,2820049,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27043,https://doi.org/10.15454/QCLAYU,RE05091,VIRTUAL_TRIAL,,,,,,,,traité,2007,90,,126,,"11,17",,"75,6",,"103,7",,,,"85,8",,1,
DI04017itkt,2820057,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,traité,2007,95,,"131,5",,"11,9",,"74,8",,"91,2",,,,"75,5",,1,
RE03111itkfi,2820082,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"77,5",,,,"14,03",,"62,5",,84,,"7,5",,"41,4",,1,
Apacheitkfi,2820052,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,,,"12,36",,"70,8",,"110,3",,7,,"54,4",,1,
CF04076itkt,2820031,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,traité,2007,100,,132,,"12,22",,"72,4",,89,,,,"73,6",,3,
Apacheitkt,2820053,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,traité,2007,100,,125,,"11,9",,"77,6",,"111,5",,,,"92,2",,2,
CF04076itkfi,2820030,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,,,"12,53",,"63,2",,"76,8",,6,,"37,9",,1,
