observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE06050itkfi,2829900,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27828,https://doi.org/10.15454/PRTXZC,RE06050,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,93,,141,,"11,89",,"76,5",,"96,7",,"72,8",,1,
CF06227itkt,2829863,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27068,https://doi.org/10.15454/PIPBFU,CF06227,VIRTUAL_TRIAL,,,,,,,,treated,2008,96,,144,,"11,38",,76,,"96,3",,"82,3",,"2,5",
RE06140itkfi,2829888,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27834,https://doi.org/10.15454/YQFE3M,RE06140,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,108,,140,,"12,46",,"77,9",,"82,9",,"62,4",,2,
EM06233itkt,2829917,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,treated,2008,98,,138,,"12,17",,"78,3",,100,,"85,5",,"4,5",
CF06230itkfi,2829912,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27069,https://doi.org/10.15454/PBD8PO,CF06230,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,94,,141,,"12,6",,"78,9",,"98,9",,"74,4",,1,
EM06233itkfi,2829916,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,99,,138,,"13,25",,"79,9",,"102,2",,"76,9",,1,
RE06140itkt,2829889,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27834,https://doi.org/10.15454/YQFE3M,RE06140,VIRTUAL_TRIAL,,,,,,,,treated,2008,102,,141,,"11,8",,"77,1",,"81,1",,"69,4",,"5,5",
Sankaraitkt,2829875,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,144,,"11,51",,"75,2",,"100,3",,"85,7",,1,
CF06230itkt,2829913,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27069,https://doi.org/10.15454/PBD8PO,CF06230,VIRTUAL_TRIAL,,,,,,,,treated,2008,96,,142,,"11,3",,"77,1",,"101,9",,"87,1",,3,
Ghaytaitkfi,2829896,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,100,,142,,"14,01",,"79,5",,"99,6",,"74,9",,1,
DI07016itkfi,2829872,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27804,https://doi.org/10.15454/0DEDAU,DI07016,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,88,,146,,"13,49",,"79,9",,"90,1",,"67,7",,1,
Ghaytaitkt,2829897,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2008,98,,144,,"12,4",,"79,7",,"104,7",,"89,5",,1,
DI07016itkt,2829873,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27804,https://doi.org/10.15454/0DEDAU,DI07016,VIRTUAL_TRIAL,,,,,,,,treated,2008,89,,148,,"11,91",,"79,8",,"94,9",,"81,1",,1,
EM06110itkfi,2829910,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,94,,138,,"12,2",,"77,8",,"90,8",,"68,3",,1,
DI07019-2itkt,2829855,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27805,https://doi.org/10.15454/TBYVED,DI07019-2,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,144,,"10,53",,"72,9",,102,,"87,2",,1,
RE06097itkfi,2829838,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27832,https://doi.org/10.15454/X0FSJ6,RE06097,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,97,,140,,"12,87",,79,,"94,6",,"71,2",,2,
DI07019-2itkfi,2829854,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27805,https://doi.org/10.15454/TBYVED,DI07019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,92,,142,,"11,51",,"73,1",,"102,2",,"76,8",,1,
DI07013itkt,2829881,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27803,https://doi.org/10.15454/GVABT5,DI07013,VIRTUAL_TRIAL,,,,,,,,treated,2008,92,,146,,"11,29",,"76,5",,"109,5",,"93,6",,2,
Caphornitkt,2829879,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2008,85,,142,,"12,26",,77,,"100,7",,"86,1",,1,
Caphornitkfi,2829878,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,86,,141,,"14,27",,"78,1",,"93,5",,"70,3",,1,
DI07013itkfi,2829880,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27803,https://doi.org/10.15454/GVABT5,DI07013,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,142,,"13,18",,"77,3",,"106,3",,"79,9",,1,
DI07021itkfi,2829848,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27806,https://doi.org/10.15454/HIUKXE,DI07021,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,94,,142,,"12,53",,"77,8",,"102,2",,"76,8",,1,
CF06107itkfi,2829852,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27066,https://doi.org/10.15454/PVLGW3,CF06107,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,96,,146,,"12,29",,"77,1",,97,,"72,9",,1,
RE06130itkt,2829845,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27833,https://doi.org/10.15454/QCSBFW,RE06130,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,138,,"11,58",,"76,3",,"86,1",,"73,6",,1,
DI07021itkt,2829849,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27806,https://doi.org/10.15454/HIUKXE,DI07021,VIRTUAL_TRIAL,,,,,,,,treated,2008,96,,142,,"10,68",,"77,5",,"107,6",,92,,3,
EM06094itkfi,2829894,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,94,,142,,"13,05",,77,,"85,9",,"64,6",,1,
RE06058itkt,2829861,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27830,https://doi.org/10.15454/V4CPNJ,RE06058,VIRTUAL_TRIAL,,,,,,,,treated,2008,98,,149,,"10,34",,"74,2",,"96,4",,"82,4",,"1,5",
CF06107itkt,2829853,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27066,https://doi.org/10.15454/PVLGW3,CF06107,VIRTUAL_TRIAL,,,,,,,,treated,2008,95,,147,,"10,65",,"72,7",,"103,7",,"88,6",,1,
EM06307itkt,2829857,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,treated,2008,96,,142,,"10,53",,"75,2",,99,,"84,6",,2,
CF06136itkt,2829915,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,treated,2008,100,,138,,"10,75",,"77,5",,"99,6",,"85,2",,"4,5",
EM06017itkt,2829843,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,treated,2008,95,,138,,"11,09",,"80,6",,"106,2",,"90,8",,"2,5",
CF06136itkfi,2829914,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,102,,138,,"12,79",,"79,3",,"109,7",,"82,5",,1,
EM06307itkfi,2829856,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,96,,141,,"11,98",,"75,8",,"99,2",,"74,6",,"1,5",
Mendelitkt,2829869,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,treated,2008,83,,138,,"10,93",,"75,9",,"99,5",,85,,1,
CF06016itkt,2829899,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27782,https://doi.org/10.15454/96DRU4,CF06016,VIRTUAL_TRIAL,,,,,,,,treated,2008,86,,144,,"11,02",,"73,6",,"101,6",,"86,8",,"2,5",
EM06094itkt,2829895,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,treated,2008,94,,142,,"11,61",,"72,3",,"99,3",,"84,9",,"2,5",
CF06016itkfi,2829898,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27782,https://doi.org/10.15454/96DRU4,CF06016,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,88,,140,,14,,"73,6",,"87,4",,"65,7",,1,
Mendelitkfi,2829868,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,88,,138,,"12,27",,"77,1",,"98,9",,"74,4",,1,
RE06134itkfi,2829850,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,88,,138,,"13,68",,"77,1",,"89,7",,"67,5",,1,
RE06134itkt,2829851,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,139,,"11,72",,"76,4",,"94,7",,81,,3,
DI07015itkt,2829877,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27842,https://doi.org/10.15454/CW6MPE,DI07015,VIRTUAL_TRIAL,,,,,,,,treated,2008,86,,146,,"12,4",,"79,8",,"95,2",,"81,4",,1,
DI07015itkfi,2829876,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27842,https://doi.org/10.15454/CW6MPE,DI07015,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,85,,146,,"13,57",,80,,"89,7",,"67,5",,1,
EM06017itkfi,2829842,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,96,,138,,"12,66",,"81,2",,"95,1",,"71,5",,1,
EM06229itkt,2829865,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,140,,"11,32",,"76,5",,"94,6",,"80,9",,1,
RE06060itkfi,2829904,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,92,,139,,"12,85",,"78,1",,"97,3",,"73,2",,1,
RE06048itkfi,2829902,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,140,,"13,15",,"79,2",,"96,2",,"72,4",,2,
EM06089itkfi,2829858,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27815,https://doi.org/10.15454/UZYTX5,EM06089,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,91,,141,,"13,33",,"76,2",,"82,7",,"62,2",,1,
RE06048itkt,2829903,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,treated,2008,92,,141,,"12,24",,"77,5",,"89,5",,"76,5",,9,
RE06060itkt,2829905,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,treated,2008,89,,142,,"11,19",,"76,5",,"97,2",,"83,1",,1,
