observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ps(CO_321:1000220),ps(CO_321:1000220).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2823325,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27830,https://doi.org/10.15454/V4CPNJ,RE06058,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"66,6",,"2,5",,"49,08",,"1,5",
1,2823322,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49047,gnpis_pui:holding-921_taxon-4898_accession-49047,EM06029,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"71,2",,4,,"45,1",,1,
2,2823323,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49047,gnpis_pui:holding-921_taxon-4898_accession-49047,EM06029,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"70,2",,"5,5",,"45,2",,1,
1,2823288,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48427,gnpis_pui:holding-921_taxon-4898_accession-48427,DI07003,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"66,8",,"3,8",,"40,29",,1,
2,2823289,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48427,gnpis_pui:holding-921_taxon-4898_accession-48427,DI07003,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"66,5",,"6,5",,"41,22",,1,
1,2823348,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49609,gnpis_pui:holding-921_taxon-4898_accession-49609,CF06013,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"69,4",,7,,"41,22",,1,
2,2823349,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49609,gnpis_pui:holding-921_taxon-4898_accession-49609,CF06013,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"71,7",,9,,"37,13",,1,
2,2823319,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48854,gnpis_pui:holding-921_taxon-4898_accession-48854,CF06123,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"64,9",,8,,"37,43",,1,
1,2823318,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48854,gnpis_pui:holding-921_taxon-4898_accession-48854,CF06123,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"77,7",,6,,"47,01",,1,
1,2823298,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48856,gnpis_pui:holding-921_taxon-4898_accession-48856,DI07006,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"66,8",,"3,8",,"39,31",,1,
2,2823299,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48856,gnpis_pui:holding-921_taxon-4898_accession-48856,DI07006,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,67,,"5,2",,"45,15",,1,
1,2823328,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49687,gnpis_pui:holding-921_taxon-4898_accession-49687,EM06062,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"74,9",,"3,2",,"49,94",,1,
2,2823329,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49687,gnpis_pui:holding-921_taxon-4898_accession-49687,EM06062,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"75,4",,"5,2",,"54,65",,1,
1,2823308,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"74,8",,"4,8",,"49,6",,1,
2,2823335,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27829,https://doi.org/10.15454/NLT35T,RE06055,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"71,8",,1,,"52,76",,1,
1,2823334,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27829,https://doi.org/10.15454/NLT35T,RE06055,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"70,3",,1,,"45,05",,1,
2,2823345,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27827,https://doi.org/10.15454/B5PA3I,RE06023,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"71,7",,2,,"49,94",,"1,5",
1,2823344,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27827,https://doi.org/10.15454/B5PA3I,RE06023,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"71,7",,1,,"54,96",,1,
2,2823305,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27828,https://doi.org/10.15454/PRTXZC,RE06050,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"72,1",,5,,"52,7",,1,
1,2823304,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27828,https://doi.org/10.15454/PRTXZC,RE06050,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"73,8",,"3,5",,"57,45",,1,
2,2823363,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27783,https://doi.org/10.15454/S3WW0P,CF06136,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"69,3",,8,,"48,85",,1,
1,2823362,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27783,https://doi.org/10.15454/S3WW0P,CF06136,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"69,5",,5,,"49,94",,1,
2,2823347,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27782,https://doi.org/10.15454/96DRU4,CF06016,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"66,7",,"4,5",,"45,2",,1,
1,2823346,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27782,https://doi.org/10.15454/96DRU4,CF06016,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"67,5",,2,,"43,14",,1,
2,2823353,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27757,https://doi.org/10.15454/YPTSA5,AO07210,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"66,1",,"7,5",,"47,22",,"2,5",
1,2823352,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27757,https://doi.org/10.15454/YPTSA5,AO07210,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"67,8",,"5,2",,"55,88",,1,
2,2823351,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27265,https://doi.org/10.15454/OLKQ99,RE06060,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"73,1",,"5,8",,"53,55",,1,
1,2823350,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27265,https://doi.org/10.15454/OLKQ99,RE06060,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"72,4",,"4,5",,"38,72",,1,
2,2823311,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49241,gnpis_pui:holding-921_taxon-4898_accession-49241,CF06003,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"70,6",,8,,"43,82",,1,
1,2823310,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49241,gnpis_pui:holding-921_taxon-4898_accession-49241,CF06003,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"71,8",,5,,"46,79",,1,
1,2823292,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49455,gnpis_pui:holding-921_taxon-4898_accession-49455,DI07005,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"64,6",,"3,8",,"40,29",,1,
2,2823293,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49455,gnpis_pui:holding-921_taxon-4898_accession-49455,DI07005,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"65,9",,"5,8",,"42,35",,1,
2,2823279,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48529,gnpis_pui:holding-921_taxon-4898_accession-48529,EM06010,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"68,4",,"2,5",,"38,15",,1,
1,2823278,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48529,gnpis_pui:holding-921_taxon-4898_accession-48529,EM06010,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"71,7",,"2,5",,"50,81",,1,
2,2823285,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49126,gnpis_pui:holding-921_taxon-4898_accession-49126,RE06007,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"67,4",,"4,5",,"44,74",,"5,5",
1,2823284,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49126,gnpis_pui:holding-921_taxon-4898_accession-49126,RE06007,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"72,4",,"1,5",,"49,71",,2,
2,2823307,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49460,gnpis_pui:holding-921_taxon-4898_accession-49460,CF06001,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"66,9",,7,,"41,27",,1,
1,2823306,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49460,gnpis_pui:holding-921_taxon-4898_accession-49460,CF06001,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"72,8",,"4,8",,"54,53",,1,
2,2823291,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49589,gnpis_pui:holding-921_taxon-4898_accession-49589,DI07002,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"73,1",,5,,"46,74",,1,
1,2823290,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49589,gnpis_pui:holding-921_taxon-4898_accession-49589,DI07002,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"72,2",,4,,53,,1,
1,2823336,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"72,8",,"6,2",,"50,69",,1,
2,2823337,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"71,1",,9,,"45,87",,1,
2,2823343,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49647,gnpis_pui:holding-921_taxon-4898_accession-49647,CF06111,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"62,3",,"5,8",,"35,46",,1,
1,2823342,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49647,gnpis_pui:holding-921_taxon-4898_accession-49647,CF06111,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"62,1",,"4,8",,"36,44",,1,
2,2823295,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48946,gnpis_pui:holding-921_taxon-4898_accession-48946,DI07004,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"64,7",,"6,5",,"42,45",,1,
1,2823294,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48946,gnpis_pui:holding-921_taxon-4898_accession-48946,DI07004,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"64,7",,"4,5",,"36,4",,1,
2,2823313,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48827,gnpis_pui:holding-921_taxon-4898_accession-48827,EM06021,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"73,7",,8,,"45,97",,1,
1,2823312,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48827,gnpis_pui:holding-921_taxon-4898_accession-48827,EM06021,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"74,2",,"5,8",,"48,96",,1,
2,2823297,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48889,gnpis_pui:holding-921_taxon-4898_accession-48889,DI07007,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"63,3",,"5,8",,"39,53",,1,
1,2823296,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48889,gnpis_pui:holding-921_taxon-4898_accession-48889,DI07007,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"65,3",,"2,2",,"35,58",,1,
2,2823327,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"67,1",,"7,2",,"38,5",,1,
1,2823326,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"65,8",,"5,5",,"47,22",,1,
2,2823277,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,74,,1,,"64,11",,1,
1,2823276,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"74,3",,1,,"64,11",,1,
1,2823354,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"68,5",,"2,5",,"49,89",,1,
2,2823355,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"66,9",,"5,5",,"45,1",,1,
