observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE08027,2842605,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,61805,https://doi.org/10.15454/5B16XD,RE08027,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,1,
EM08229,2842589,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,61958,https://doi.org/10.15454/0CU5YP,EM08229,VIRTUAL_TRIAL,,,,,,,,2009,"7,5",,1,
CF08088,2842598,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,61288,https://doi.org/10.15454/SGFBVV,CF08088,VIRTUAL_TRIAL,,,,,,,,2009,3,,4,
RE08038,2842593,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,61373,https://doi.org/10.15454/EQRWYJ,RE08038,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,1,
DI09013,2842615,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,61647,https://doi.org/10.15454/VYSZ9T,DI09013,VIRTUAL_TRIAL,,,,,,,,2009,6,,4,
EM08169,2842583,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,61911,https://doi.org/10.15454/OAFF6Z,EM08169,VIRTUAL_TRIAL,,,,,,,,2009,3,,1,
RE08048,2842604,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,61706,https://doi.org/10.15454/KJ26GM,RE08048,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,1,
EM08146,2842588,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,75856,https://doi.org/10.15454/C6KLT2,EM08146,VIRTUAL_TRIAL,,,,,,,,2009,4,,1,
Koreli,2842591,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2009,2,,6,
DI09015,2842607,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,27811,https://doi.org/10.15454/N3NIWD,DI09015,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,4,
RE08030,2842595,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,27308,https://doi.org/10.15454/4AWT90,RE08030,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,1,
Premio,2842586,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2009,5,,3,
AO09019,2842601,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,27901,https://doi.org/10.15454/S65MX6,AO09019,VIRTUAL_TRIAL,,,,,,,,2009,3,,7,
AO09020,2842582,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,48447,gnpis_pui:holding-921_taxon-4898_accession-48447,AO09020,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,6,
Apache,2842594,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,1,
Sankara,2842596,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,5,
Toisondor,2842581,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,6,
Caphorn,2842597,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2009,7,,6,
AO09017,2842599,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,27899,https://doi.org/10.15454/A4HIHD,AO09017,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,1,
RE08028,2842609,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,61041,https://doi.org/10.15454/CPPPMU,RE08028,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,1,
DI09016,2842618,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,27313,https://doi.org/10.15454/SGNING,DI09016,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,4,
CF08106,2842617,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,27311,https://doi.org/10.15454/4DNWV7,CF08106,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,3,
EM08223,2842587,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,2009,6,,1,
CF08084,2842603,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,2009,4,,5,
CF08109,2842608,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,27799,https://doi.org/10.15454/G9QV0Y,CF08109,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,3,
EM08221,2842585,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,2009,"7,5",,1,
AO09018,2842602,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,27900,https://doi.org/10.15454/3DI7SO,AO09018,VIRTUAL_TRIAL,,,,,,,,2009,7,,6,
EM08227,2842584,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,49083,https://doi.org/10.15454/APNWRY,EM08227,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,4,
