observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
EM09320itkt,2871887,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,152,,"10,7",,"74,9",,"112,5",,,,"85,8",,,
CF09169itkt,2871911,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,152,,"12,6",,"75,8",,"85,7",,,,"65,3",,,
Bermudeitkfi,2871898,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,155,,,,"71,4",,"93,1",,"2,5",,"59,7",,6,
CF10064itkfi,2871896,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,153,,,,"73,3",,"101,9",,3,,"65,3",,"4,5",
AO12035itkfi,2871928,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,49348,https://doi.org/10.15454/NFBGKG,AO12035,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,155,,,,"73,4",,"94,3",,"2,5",,"60,5",,"5,5",
AO12006itkt,2871915,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,154,,"11,9",,"77,1",,"94,3",,,,"71,9",,,
Gotikitkfi,2871936,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,156,,,,"73,1",,100,,"3,5",,"64,1",,"3,5",
CF09169itkfi,2871910,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,151,,,,"77,5",,"78,2",,4,,"50,1",,3,
AO12006itkfi,2871914,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,154,,,,"77,8",,"91,4",,2,,"58,6",,3,
Gotikitkt,2871937,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,97,,156,,"12,4",,"75,7",,"100,2",,,,"76,4",,,
AO12016itkt,2871947,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,153,,"10,5",,"75,9",,"97,9",,,,"74,6",,,
AO12011itkt,2871945,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,treated,2013,94,,156,,"11,6",,"75,5",,"89,7",,,,"68,3",,,
Galibieritkt,2871907,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,treated,2013,97,,146,,"14,2",,"75,3",,"85,2",,,,"64,9",,,
EM09222itkfi,2871940,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,94,,152,,,,"73,6",,"102,8",,"2,5",,"65,9",,4,
AO12016itkfi,2871946,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,94,,154,,,,"75,3",,"95,8",,"4,5",,"61,4",,5,
AO12011itkfi,2871944,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,155,,,,"75,5",,"89,4",,3,,"57,3",,2,
CF09117itkt,2871951,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,154,,"14,6",,"74,8",,"81,5",,,,"62,1",,,
Galibieritkfi,2871906,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,147,,,,"71,1",,"79,1",,"4,5",,"50,7",,6,
AO12014itkfi,2871902,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,94,,154,,,,"62,9",,111,,"4,5",,"71,2",,"2,5",
AO12013itkfi,2871942,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,154,,,,"74,8",,"80,3",,"1,5",,"51,5",,6,
AO12013itkt,2871943,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,treated,2013,92,,154,,"12,1",,"66,6",,"83,3",,,,"63,5",,,
CF09117itkfi,2871950,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,152,,,,"74,8",,"81,9",,3,,"52,5",,"2,5",
EM08231itkfi,2871938,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,79,,154,,,,"70,9",,"99,7",,2,,"63,9",,"2,5",
AO12033itkfi,2871934,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,60771,https://doi.org/10.15454/KH7BKH,AO12033,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,91,,154,,,,"77,2",,"84,1",,2,,"53,9",,6,
EM08231itkt,2871939,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2013,74,,156,,"11,8",,"71,1",,95,,,,"72,4",,,
Pakitoitkt,2871913,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,treated,2013,76,,154,,"11,3",,"76,4",,"109,2",,,,"83,2",,,
AO12033itkt,2871935,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,60771,https://doi.org/10.15454/KH7BKH,AO12033,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,156,,"11,9",,"76,9",,"94,3",,,,"71,9",,,
Pakitoitkfi,2871912,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,154,,,,"69,4",,"107,1",,"3,5",,"68,6",,"6,5",
AO12014itkt,2871903,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,155,,"10,3",,"74,7",,"123,8",,,,"94,3",,,
Bermudeitkt,2871899,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,155,,"11,8",,"77,3",,"86,9",,,,"66,2",,,
DI11012itkt,2871955,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,154,,"10,8",,"72,1",,"114,9",,,,"87,5",,,
Folkloritkt,2871889,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2013,83,,153,,"11,3",,"78,2",,"102,3",,,,78,,,
Folkloritkfi,2871888,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,152,,,,"76,1",,"93,9",,5,,"60,2",,"3,5",
DI11012itkfi,2871954,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,154,,,,"76,1",,"106,6",,2,,"68,4",,"2,5",
RE10039itkt,2871905,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,154,,"12,9",,"72,5",,"87,4",,,,"66,6",,,
RE10039itkfi,2871904,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,154,,,,"71,6",,"89,1",,"1,5",,"57,1",,3,
AO11013itkfi,2871884,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,154,,,,"71,2",,"108,5",,"2,5",,"69,6",,4,
DI11002itkfi,2871922,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,94,,152,,,,"72,3",,"97,6",,3,,"62,6",,2,
DI11013itkfi,2871952,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,93,,154,,,,"67,1",,"108,9",,2,,"69,8",,"2,5",
AO12035itkt,2871929,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,49348,https://doi.org/10.15454/NFBGKG,AO12035,VIRTUAL_TRIAL,,,,,,,,treated,2013,79,,155,,"11,9",,"75,4",,"81,6",,,,"62,2",,,
Apacheitkt,2871917,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2013,81,,152,,"11,7",,"75,5",,"98,1",,,,"74,8",,,
AO11013itkt,2871885,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,153,,"11,4",,"72,1",,"110,1",,,,"83,9",,,
EM09222itkt,2871941,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,152,,"11,6",,"74,6",,"90,9",,,,"69,3",,,
Apacheitkfi,2871916,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,152,,,,76,,"92,8",,3,,"59,5",,7,
DI11013itkt,2871953,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,155,,"10,8",,"77,9",,"106,4",,,,"81,1",,,
DI11002itkt,2871923,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,154,,"11,8",,"71,9",,"96,2",,,,"73,3",,,
AO13009itkfi,2871900,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,49308,https://doi.org/10.15454/X9GHDQ,AO13009,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,152,,,,"75,3",,"99,4",,"2,5",,"63,7",,"2,5",
DI11014itkt,2871957,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,154,,"11,1",,"76,6",,"104,4",,,,"79,6",,,
Lyrikitkfi,2871960,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,154,,,,"67,5",,"118,1",,3,,"75,7",,"2,5",
