observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
AO13004,2876870,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,61621,https://doi.org/10.15454/BJPX1S,AO13004,VIRTUAL_TRIAL,,,,,,,,2013,"4,5",,2,,3,,3,
DI13001,2876899,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,61775,https://doi.org/10.15454/32FK98,DI13001,VIRTUAL_TRIAL,,,,,,,,2013,"7,5",,5,,2,,1,
AO13005,2876877,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,61780,https://doi.org/10.15454/IQQH9F,AO13005,VIRTUAL_TRIAL,,,,,,,,2013,5,,2,,2,,1,
AO13006,2876876,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,61943,https://doi.org/10.15454/95ZYU4,AO13006,VIRTUAL_TRIAL,,,,,,,,2013,"5,5",,5,,6,,1,
AO13014,2876895,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,60818,https://doi.org/10.15454/CYMV5L,AO13014,VIRTUAL_TRIAL,,,,,,,,2013,"4,5",,5,,3,,1,
AO13003,2876873,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,61449,https://doi.org/10.15454/ACXILT,AO13003,VIRTUAL_TRIAL,,,,,,,,2013,8,,2,,3,,1,
DI13002,2876885,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,61791,https://doi.org/10.15454/GW5VMO,DI13002,VIRTUAL_TRIAL,,,,,,,,2013,3,,2,,2,,1,
EM12015,2876904,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,61864,https://doi.org/10.15454/ASTFXF,EM12015,VIRTUAL_TRIAL,,,,,,,,2013,"7,5",,5,,2,,1,
EM12040,2876889,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,2013,4,,5,,4,,1,
AO13013,2876894,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,2013,"6,5",,5,,NA,,1,
AO13015,2876905,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,2013,"6,5",,5,,NA,,NA,
RE12001,2876879,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,49097,https://doi.org/10.15454/ANZWH3,RE12001,VIRTUAL_TRIAL,,,,,,,,2013,4,,2,,2,,3,
RE12040,2876871,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,48352,https://doi.org/10.15454/YWSWUD,RE12040,VIRTUAL_TRIAL,,,,,,,,2013,5,,2,,3,,1,
Apache,2876890,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2013,3,,5,,6,,1,
Attlass,2876900,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,2013,6,,2,,3,,1,
Rubisko,2876903,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,2013,"4,5",,5,,NA,,3,
Pakito,2876887,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,2013,6,,5,,3,,1,
CF12108,2876875,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,48357,https://doi.org/10.15454/2XAWEY,CF12108,VIRTUAL_TRIAL,,,,,,,,2013,"3,5",,5,,2,,3,
EM12096,2876868,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,2013,"3,5",,2,,4,,4,
RE12002,2876880,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,2013,4,,2,,2,,1,
RE12018,2876892,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,49597,https://doi.org/10.15454/0WGKSR,RE12018,VIRTUAL_TRIAL,,,,,,,,2013,4,,2,,NA,,1,
RE12020,2876882,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,2013,"3,5",,2,,3,,1,
EM12044,2876888,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,49319,https://doi.org/10.15454/QHF1AL,EM12044,VIRTUAL_TRIAL,,,,,,,,2013,"5,5",,5,,3,,5,
AO13011,2876893,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,60766,https://doi.org/10.15454/IIFLIA,AO13011,VIRTUAL_TRIAL,,,,,,,,2013,"5,5",,5,,6,,1,
AO13008,2876901,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,60717,https://doi.org/10.15454/QBK7AX,AO13008,VIRTUAL_TRIAL,,,,,,,,2013,4,,5,,NA,,9,
Altigo,2876891,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,2013,6,,5,,NA,,8,
Bermude,2876878,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,2013,9,,2,,3,,6,
CF12053,2876902,BTH_Rennes_2013_SetB1_PIETIN-VERSE,BTH_Rennes_2013_SetB1_PIETIN-VERSE,48635,https://doi.org/10.15454/EYGP9K,CF12053,VIRTUAL_TRIAL,,,,,,,,2013,"5,5",,2,,3,,4,
