observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Apacheitkt,2799136,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,98",,"102,7",,"96,8",
DI04013itkfi,2799119,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49312,gnpis_pui:holding-921_taxon-4898_accession-49312,DI04013,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,66",,"106,9",,"90,9",
DI04013itkt,2799120,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49312,gnpis_pui:holding-921_taxon-4898_accession-49312,DI04013,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,22",,"103,2",,"97,2",
LM03013itkt,2799130,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49649,gnpis_pui:holding-921_taxon-4898_accession-49649,LM03013,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,39",,"97,5",,"91,9",
LM03013itkfi,2799129,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49649,gnpis_pui:holding-921_taxon-4898_accession-49649,LM03013,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"11,23",,"98,4",,"83,7",
CF03260itkfi,2799131,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48947,gnpis_pui:holding-921_taxon-4898_accession-48947,CF03260,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,82",,"108,2",,92,
CF03260itkt,2799132,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48947,gnpis_pui:holding-921_taxon-4898_accession-48947,CF03260,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,57",,"103,6",,"97,6",
EM03067itkfi,2799103,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48874,gnpis_pui:holding-921_taxon-4898_accession-48874,EM03067,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,66",,"104,8",,"89,2",
EM03067itkt,2799104,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48874,gnpis_pui:holding-921_taxon-4898_accession-48874,EM03067,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,29",,"99,7",,"93,9",
LM03012itkt,2799128,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49456,gnpis_pui:holding-921_taxon-4898_accession-49456,LM03012,VIRTUAL_TRIAL,,,,,,,,treated,2004,"12,57",,"94,2",,"88,7",
LM03012itkfi,2799127,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49456,gnpis_pui:holding-921_taxon-4898_accession-49456,LM03012,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"11,72",,"93,5",,"79,5",
Chargeritkt,2799148,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,94",,"98,7",,93,
Chargeritkfi,2799147,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,28",,"95,3",,"81,1",
Caphornitkt,2799144,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,31",,"96,6",,91,
Caphornitkfi,2799143,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,31",,"97,1",,"82,6",
CF03125itkfi,2799165,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48636,gnpis_pui:holding-921_taxon-4898_accession-48636,CF03125,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,54",,"97,3",,"82,7",
