observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM09232itkfi,2861198,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61369,https://doi.org/10.15454/KFBZGP,EM09232,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,128,,"8,04",,"91,3",,3,,"72,2",,1,,1,
EM09232itkt,2861199,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61369,https://doi.org/10.15454/KFBZGP,EM09232,VIRTUAL_TRIAL,,,,,,,,treated,2011,84,,129,,"9,08",,"100,9",,,,"97,8",,,,,
DI11019itkfi,2861212,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61080,https://doi.org/10.15454/9DKTE7,DI11019,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,136,,"8,61",,"90,7",,3,,"71,7",,3,,1,
Bermudeitkt,2861147,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2011,86,,135,,"10,1",,"99,1",,,,96,,,,,
AO11021itkt,2861179,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61540,https://doi.org/10.15454/YZ8LJO,AO11021,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,130,,"10,3",,"94,1",,,,"91,2",,,,,
Altigoitkt,2861189,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2011,86,,131,,"9,91",,"104,9",,,,"101,7",,,,,
AO11021itkfi,2861178,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61540,https://doi.org/10.15454/YZ8LJO,AO11021,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,75,,129,,"8,91",,"95,4",,6,,"75,4",,1,,1,
Folkloritkfi,2861152,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,133,,"8,38",,"101,1",,"2,5",,80,,1,,1,
Altigoitkfi,2861188,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,130,,"9,09",,"102,9",,2,,"81,4",,1,,1,
AO11016itkfi,2861190,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61463,https://doi.org/10.15454/K63AY1,AO11016,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,133,,"8,9",,"97,6",,"1,5",,"77,2",,1,,1,
AO11016itkt,2861191,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61463,https://doi.org/10.15454/K63AY1,AO11016,VIRTUAL_TRIAL,,,,,,,,treated,2011,86,,134,,"9,51",,"104,8",,,,"101,6",,,,,
Attlassitkfi,2861196,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,132,,"9,2",,"101,1",,1,,80,,1,,1,
AO11020itkfi,2861180,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61525,https://doi.org/10.15454/ZEJBVE,AO11020,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,132,,"7,8",,"83,1",,1,,"65,7",,3,,1,
AO11020itkt,2861181,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61525,https://doi.org/10.15454/ZEJBVE,AO11020,VIRTUAL_TRIAL,,,,,,,,treated,2011,90,,135,,"9,02",,"106,7",,,,"103,4",,,,,
CF10270itkfi,2861160,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,62129,https://doi.org/10.15454/OHTVUX,CF10270,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,128,,"8,22",,90,,5,,"71,2",,2,,1,
CF10270itkt,2861161,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,62129,https://doi.org/10.15454/OHTVUX,CF10270,VIRTUAL_TRIAL,,,,,,,,treated,2011,88,,129,,"9,86",,97,,,,94,,,,,
RE09013itkt,2861151,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,49189,https://doi.org/10.15454/FINGUM,RE09013,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,135,,"9,09",,"104,6",,,,"101,3",,,,,
AO11019itkfi,2861140,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61511,https://doi.org/10.15454/AMZBK5,AO11019,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,102,,136,,"9,28",,"82,2",,5,,65,,1,,3,
AO11019itkt,2861141,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61511,https://doi.org/10.15454/AMZBK5,AO11019,VIRTUAL_TRIAL,,,,,,,,treated,2011,103,,138,,"10,38",,"96,3",,,,"93,3",,,,,
RE10099itkt,2861177,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,49222,https://doi.org/10.15454/YP9ZYW,RE10099,VIRTUAL_TRIAL,,,,,,,,treated,2011,90,,137,,"10,36",,"100,1",,,,97,,,,,
RE09013itkfi,2861150,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,49189,https://doi.org/10.15454/FINGUM,RE09013,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,76,,132,,"8,3",,101,,"3,5",,"79,9",,1,,1,
CF10318itkt,2861175,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61372,https://doi.org/10.15454/QXLWBI,CF10318,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,130,,"9,57",,"98,3",,,,"95,3",,,,,
EM10365itkt,2861183,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,60733,https://doi.org/10.15454/MMJB9N,EM10365,VIRTUAL_TRIAL,,,,,,,,treated,2011,89,,134,,"9,59",,"105,6",,,,"102,4",,,,,
Attlassitkt,2861197,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2011,85,,133,,"10,04",,95,,,,"92,1",,,,,
CF10318itkfi,2861174,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61372,https://doi.org/10.15454/QXLWBI,CF10318,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,77,,129,,"9,52",,"100,1",,2,,"79,2",,1,,1,
EM10358itkfi,2861186,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61586,https://doi.org/10.15454/N3NOLQ,EM10358,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,83,,128,,"7,99",,"92,3",,3,,73,,1,,1,
RE10126itkt,2861201,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,60914,https://doi.org/10.15454/BQJZTG,RE10126,VIRTUAL_TRIAL,,,,,,,,treated,2011,71,,140,,"9,88",,"100,1",,,,97,,,,,
EM10365itkfi,2861182,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,60733,https://doi.org/10.15454/MMJB9N,EM10365,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,132,,"8,11",,"88,3",,4,,"69,8",,1,,1,
EM10358itkt,2861187,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61586,https://doi.org/10.15454/N3NOLQ,EM10358,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,130,,"9,06",,"107,8",,,,"104,5",,,,,
AO11015itkfi,2861154,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61444,https://doi.org/10.15454/0D4TXY,AO11015,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,127,,"9,12",,"92,7",,1,,"73,3",,1,,1,
RE10086itkt,2861205,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,62007,https://doi.org/10.15454/HLXQ85,RE10086,VIRTUAL_TRIAL,,,,,,,,treated,2011,101,,132,,"10,1",,"103,4",,,,"100,3",,,,,
RE10086itkfi,2861204,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,62007,https://doi.org/10.15454/HLXQ85,RE10086,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,106,,131,,"8,88",,"94,7",,2,,"74,9",,1,,1,
Gotikitkfi,2861194,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,134,,"9,34",,"101,3",,"1,5",,"80,2",,1,,1,
RE10095itkt,2861163,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,49072,https://doi.org/10.15454/OZM4O0,RE10095,VIRTUAL_TRIAL,,,,,,,,treated,2011,91,,136,,"10,15",,"105,7",,,,"102,4",,,,,
AO11015itkt,2861155,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61444,https://doi.org/10.15454/0D4TXY,AO11015,VIRTUAL_TRIAL,,,,,,,,treated,2011,90,,125,,"10,8",,101,,,,"97,9",,,,,
RE10095itkfi,2861162,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,49072,https://doi.org/10.15454/OZM4O0,RE10095,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,134,,"9,1",,"94,9",,3,,"75,1",,1,,"1,5",
RE10099itkfi,2861176,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,49222,https://doi.org/10.15454/YP9ZYW,RE10099,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,134,,"10,07",,109,,1,,"86,2",,1,,1,
Gotikitkt,2861195,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2011,98,,136,,"9,48",,"106,5",,,,"103,3",,,,,
CF10205itkfi,2861148,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,62082,https://doi.org/10.15454/BFPKUV,CF10205,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,134,,"8,86",,"95,2",,2,,"75,3",,1,,1,
Premioitkt,2861143,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,131,,"10,02",,"96,4",,,,"93,4",,,,,
CF10205itkt,2861149,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,62082,https://doi.org/10.15454/BFPKUV,CF10205,VIRTUAL_TRIAL,,,,,,,,treated,2011,88,,136,,"9,2",,"98,8",,,,"95,8",,,,,
RE10122itkfi,2861202,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,62116,https://doi.org/10.15454/BDVTEI,RE10122,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,132,,"9,07",,"89,7",,"2,5",,71,,1,,1,
RE10122itkt,2861203,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,62116,https://doi.org/10.15454/BDVTEI,RE10122,VIRTUAL_TRIAL,,,,,,,,treated,2011,88,,134,,"9,6",,"88,8",,,,86,,,,,
Premioitkfi,2861142,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,130,,"9,44",,"95,9",,2,,"75,8",,1,,1,
CF10227itkfi,2861144,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,62098,https://doi.org/10.15454/3BD6BA,CF10227,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,132,,"9,26",,"95,5",,3,,"75,5",,1,,1,
DI11017itkfi,2861208,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61038,https://doi.org/10.15454/42WK1N,DI11017,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,62,,130,,"9,36",,"87,1",,"1,5",,"68,9",,1,,1,
CF10227itkt,2861145,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,62098,https://doi.org/10.15454/3BD6BA,CF10227,VIRTUAL_TRIAL,,,,,,,,treated,2011,86,,136,,"9,72",,"97,2",,,,"94,2",,,,,
DI11017itkt,2861209,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61038,https://doi.org/10.15454/42WK1N,DI11017,VIRTUAL_TRIAL,,,,,,,,treated,2011,64,,132,,"9,98",,"94,7",,,,"91,8",,,,,
CF10272itkfi,2861164,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,60872,https://doi.org/10.15454/BXDSWF,CF10272,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,128,,"8,56",,"105,1",,"1,5",,"83,1",,1,,1,
DI11015itkfi,2861172,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61006,https://doi.org/10.15454/SV7FHG,DI11015,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,132,,"9,01",,"89,7",,"1,5",,"70,9",,3,,1,
RE10117itkt,2861159,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,62100,https://doi.org/10.15454/KA7SVE,RE10117,VIRTUAL_TRIAL,,,,,,,,treated,2011,74,,138,,"9,93",,"94,9",,,,92,,,,,
DI11015itkt,2861173,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61006,https://doi.org/10.15454/SV7FHG,DI11015,VIRTUAL_TRIAL,,,,,,,,treated,2011,92,,136,,"9,35",,"107,1",,,,"103,8",,,,,
RE10117itkfi,2861158,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,62100,https://doi.org/10.15454/KA7SVE,RE10117,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,76,,135,,"9,65",,"94,1",,1,,"74,4",,1,,1,
CF10249itkfi,2861206,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,62114,https://doi.org/10.15454/ZIJCMQ,CF10249,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,134,,"9,25",,"92,6",,2,,"73,2",,1,,1,
DI11020itkt,2861167,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61094,https://doi.org/10.15454/S1L2P9,DI11020,VIRTUAL_TRIAL,,,,,,,,treated,2011,86,,138,,"9,85",,"103,7",,,,"100,5",,,,,
Apacheitkt,2861171,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,130,,"10,14",,"99,7",,,,"96,6",,,,,
DI11020itkfi,2861166,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,61094,https://doi.org/10.15454/S1L2P9,DI11020,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,83,,134,,"9,33",,"95,1",,"3,5",,"75,2",,"1,5",,1,
EM09227itkt,2861185,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,48498,https://doi.org/10.15454/GGN6HS,EM09227,VIRTUAL_TRIAL,,,,,,,,treated,2011,81,,134,,"9,98",,92,,,,"89,2",,,,,
CF10249itkt,2861207,BTH_Le_Moulon_2011_SetB3,BTH_Le_Moulon_2011_SetB3,62114,https://doi.org/10.15454/ZIJCMQ,CF10249,VIRTUAL_TRIAL,,,,,,,,treated,2011,87,,136,,"10,2",,94,,,,"91,2",,,,,
