observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,vp(CO_321:1000225),vp(CO_321:1000225).date
AO03002itkt,2792591,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,48579,gnpis_pui:holding-921_taxon-4898_accession-48579,AO03002,VIRTUAL_TRIAL,,,,,,,,2003,"19,5",,77,,94,,"80,5",,"91,1",,266,,78,,"1,01",,205,,83,,286,,"10,83",,NA,,"2,85",
DI02006itkt,2792615,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,2003,"17,9",,65,,100,,"60,3",,"92,6",,253,,104,,"1,6",,259,,78,,364,,"10,67",,NA,,"2,58",
DI01022itkt,2792612,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,2003,"18,5",,69,,94,,"77,2",,"92,6",,264,,78,,"1,13",,214,,29,,396,,"10,765",,NA,,"3,15",
EM00264itkt,2792630,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,2003,"19,8",,79,,97,,"82,6",,"80,4",,260,,71,,"0,89",,191,,81,,423,,"10,505",,NA,,"2,49",
AO03004itkt,2792594,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,48916,gnpis_pui:holding-921_taxon-4898_accession-48916,AO03004,VIRTUAL_TRIAL,,,,,,,,2003,"20,4",,84,,94,,79,,"84,6",,258,,83,,"0,98",,234,,82,,392,,"11,445",,NA,,"2,33",
CF01185itkt,2792631,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26425,https://doi.org/10.15454/LCAXP3,CF01185,VIRTUAL_TRIAL,,,,,,,,2003,17,,58,,73,,55,,61,,189,,45,,"0,77",,116,,20,,341,,"9,9",,"79,9",,"2,16",
EM02024itkt,2792633,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26410,https://doi.org/10.15454/XJYZVF,EM02024,VIRTUAL_TRIAL,,,,,,,,2003,"17,1",,60,,82,,71,,63,,216,,89,,"1,49",,224,,75,,424,,"11,8",,"82,9",,"2,45",
CF03426itkt,2792604,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,48618,https://doi.org/10.15454/XWEHGT,CF03426,VIRTUAL_TRIAL,,,,,,,,2003,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM01214itkt,2792614,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,2003,"17,5",,62,,85,,67,,69,,221,,66,,"1,06",,173,,27,,304,,"10,6",,"80,1",,"2,65",
EM01271itkt,2792610,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,2003,"20,8",,88,,97,,79,,71,,247,,73,,"0,83",,221,,75,,316,,"10,3",,"79,8",,"2,08",
EM02096itkt,2792602,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26413,https://doi.org/10.15454/T6MNTV,EM02096,VIRTUAL_TRIAL,,,,,,,,2003,"21,6",,95,,76,,66,,73,,215,,81,,"0,86",,267,,42,,304,,11,,"83,1",,"2,97",
Skerzzoitkt,2792635,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,2003,"25,8",,135,,88,,81,,64,,233,,66,,"0,49",,286,,60,,330,,"11,3",,"85,4",,"2,89",
Tamaroitkt,2792640,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,2003,"28,4",,164,,88,,91,,70,,249,,65,,"0,4",,330,,74,,347,,"14,6",,"84,9",,"2,09",
CF02170itkt,2792609,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26421,https://doi.org/10.15454/LV5TNC,CF02170,VIRTUAL_TRIAL,,,,,,,,2003,"23,3",,110,,73,,77,,47,,197,,39,,"0,36",,129,,11,,359,,"10,2",,79,,"3,06",
CF02252itkt,2792625,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26422,https://doi.org/10.15454/9B1QCJ,CF02252,VIRTUAL_TRIAL,,,,,,,,2003,"17,4",,61,,91,,69,,66,,225,,69,,"1,13",,173,,71,,436,,"10,8",,"82,1",,"2,04",
CF02266itkt,2792598,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26423,https://doi.org/10.15454/ETPIWK,CF02266,VIRTUAL_TRIAL,,,,,,,,2003,"23,2",,109,,67,,78,,63,,208,,60,,"0,55",,198,,77,,415,,11,,"81,8",,"2,31",
CF02283itkt,2792641,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26424,https://doi.org/10.15454/EQGEJX,CF02283,VIRTUAL_TRIAL,,,,,,,,2003,"20,7",,87,,88,,77,,60,,224,,57,,"0,65",,192,,51,,349,,"10,8",,"79,7",,"1,88",
DI03011itkt,2792596,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26428,https://doi.org/10.15454/QSCEEU,DI03011,VIRTUAL_TRIAL,,,,,,,,2003,"15,9",,52,,94,,60,,64,,218,,98,,"1,91",,226,,23,,355,,"11,5",,81,,"2,94",
DI03008itkt,2792616,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26427,https://doi.org/10.15454/KWRP2T,DI03008,VIRTUAL_TRIAL,,,,,,,,2003,"17,5",,62,,70,,55,,64,,189,,90,,"1,44",,242,,19,,355,,"11,8",,81,,"3,1",
EM02209itkt,2792629,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26414,https://doi.org/10.15454/CCL96G,EM02209,VIRTUAL_TRIAL,,,,,,,,2003,23,,107,,94,,66,,68,,228,,46,,"0,43",,158,,22,,325,,"10,8",,"77,4",,"3,14",
EM02231itkt,2792605,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26415,https://doi.org/10.15454/J3I5NY,EM02231,VIRTUAL_TRIAL,,,,,,,,2003,"20,5",,85,,82,,47,,61,,190,,72,,"0,84",,233,,23,,245,,"11,1",,"81,1",,"3,41",
EM02065itkt,2792623,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26412,https://doi.org/10.15454/8UNSOD,EM02065,VIRTUAL_TRIAL,,,,,,,,2003,18,,65,,73,,64,,69,,206,,73,,"1,12",,201,,72,,413,,"10,5",,"81,9",,"1,96",
EM02233itkt,2792606,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26416,https://doi.org/10.15454/HJAB4N,EM02233,VIRTUAL_TRIAL,,,,,,,,2003,"16,2",,54,,61,,68,,54,,183,,72,,"1,34",,163,,23,,232,,11,,"80,7",,"3,41",
CF02093itkt,2792627,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26417,https://doi.org/10.15454/YM7WOU,CF02093,VIRTUAL_TRIAL,,,,,,,,2003,"20,8",,88,,73,,54,,62,,189,,44,,"0,5",,134,,11,,323,,"10,6",,"77,1",,"3,18",
EM02026itkt,2792636,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26411,https://doi.org/10.15454/CYWIQW,EM02026,VIRTUAL_TRIAL,,,,,,,,2003,"18,6",,70,,58,,50,,59,,167,,99,,"1,41",,289,,78,,453,,"11,9",,"82,4",,"2,48",
EM01023itkt,2792622,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,2003,"20,1",,82,,100,,63,,66,,229,,55,,"0,67",,148,,37,,301,,"11,1",,"84,2",,"2,39",
DI03012itkt,2792595,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26429,https://doi.org/10.15454/FOQIZY,DI03012,VIRTUAL_TRIAL,,,,,,,,2003,"24,1",,118,,88,,81,,65,,234,,74,,"0,63",,252,,75,,285,,"11,7",,"79,2",,"3,48",
CF01046itkt,2792634,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,2003,"15,8",,50,,85,,55,,56,,196,,50,,"0,98",,110,,13,,317,,"9,9",,"79,1",,"2,11",
Rytmicitkt,2792611,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,2003,"16,3",,54,,97,,82,,"85,2",,264,,105,,"1,93",,216,,87,,463,,"11,66",,NA,,"2,26",
CF01085itkt,2792617,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,2003,"19,8",,80,,100,,"84,4",,"83,7",,268,,87,,"1,08",,232,,83,,367,,"11,115",,NA,,"2,98",
EM99017itkt,2792644,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,2003,"23,9",,116,,94,,45,,"83,3",,222,,60,,"0,52",,227,,47,,314,,"11,095",,NA,,"2,06",
CF02143itkt,2792643,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26420,https://doi.org/10.15454/UMTUQX,CF02143,VIRTUAL_TRIAL,,,,,,,,2003,"25,9",,136,,88,,73,,62,,224,,41,,"0,3",,161,,17,,348,,"10,4",,"76,6",,3,
CF01014itkt,2792601,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26418,https://doi.org/10.15454/QCJETR,CF01014,VIRTUAL_TRIAL,,,,,,,,2003,"24,7",,124,,61,,50,,44,,155,,44,,"0,36",,160,,19,,272,,"10,8",,"80,6",,"2,72",
CF02092itkt,2792628,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26419,https://doi.org/10.15454/KRA5IT,CF02092,VIRTUAL_TRIAL,,,,,,,,2003,"21,3",,92,,85,,59,,56,,200,,44,,"0,48",,137,,7,,316,,"10,2",,"76,9",,"3,24",
DI02001itkt,2792599,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,2003,"18,4",,68,,82,,80,,63,,226,,100,,"1,47",,261,,84,,370,,"11,1",,86,,"2,98",
Soissonsitkt,2792639,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2003,"21,65",,95,,"89,5",,"68,2",,"75,5",,"233,5",,"78,5",,"0,825",,275,,77,,"356,5",,"11,255",,"82,9",,"1,69",
RE02101itkt,2792600,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,2003,"19,9",,80,,100,,"85,9",,"88,1",,274,,56,,"0,7",,157,,67,,325,,"10,885",,NA,,"1,44",
EM02207itkt,2792624,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26893,https://doi.org/10.15454/WDQKPV,EM02207,VIRTUAL_TRIAL,,,,,,,,2003,"24,3",,120,,76,,75,,52,,204,,44,,"0,37",,159,,17,,321,,"10,3",,"80,7",,"3,38",
EM99006itkt,2792642,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,2003,"18,1",,66,,100,,"82,9",,97,,280,,97,,"1,47",,241,,94,,392,,"10,94",,NA,,"2,73",
EM00074itkt,2792619,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,2003,"20,1",,82,,97,,"84,1",,"91,1",,272,,63,,"0,77",,184,,86,,420,,"10,23",,NA,,"1,99",
EM00107itkt,2792632,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,2003,"17,8",,64,,100,,"82,9",,77,,260,,91,,"1,42",,204,,83,,423,,"10,93",,NA,,"2,53",
DI03015itkt,2792597,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,49403,gnpis_pui:holding-921_taxon-4898_accession-49403,DI03015,VIRTUAL_TRIAL,,,,,,,,2003,17,,58,,70,,60,,62,,192,,97,,"1,65",,237,,78,,344,,"10,1",,"80,8",,"3,3",
RE02162itkt,2792637,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,26101,https://doi.org/10.15454/FFIEB9,RE02162,VIRTUAL_TRIAL,,,,,,,,2003,"19,1",,74,,58,,54,,54,,166,,72,,"0,97",,199,,67,,381,,"11,2",,"83,4",,"2,29",
AO03003itkt,2792592,BTH_Rennes_2003_TECH,BTH_Rennes_2003_TECH,48378,gnpis_pui:holding-921_taxon-4898_accession-48378,AO03003,VIRTUAL_TRIAL,,,,,,,,2003,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,63,,NA,,"10,3",,NA,,"2,92",
