observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI05027,2809995,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48705,gnpis_pui:holding-921_taxon-4898_accession-48705,DI05027,VIRTUAL_TRIAL,,,,,,,,2005,3,,6,,NA,,3,,4,,1,
CF04159,2809980,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48809,gnpis_pui:holding-921_taxon-4898_accession-48809,CF04159,VIRTUAL_TRIAL,,,,,,,,2005,"3,25",,4,,NA,,2,,7,,1,
EM03271,2809991,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48565,gnpis_pui:holding-921_taxon-4898_accession-48565,EM03271,VIRTUAL_TRIAL,,,,,,,,2005,7,,6,,NA,,2,,4,,1,
EM03204,2809970,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48628,gnpis_pui:holding-921_taxon-4898_accession-48628,EM03204,VIRTUAL_TRIAL,,,,,,,,2005,"5,75",,6,,NA,,3,,6,,1,
Apache,2809976,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",,8,,"7,57",,4349,,6,,1,
RE04100,2809968,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,49735,gnpis_pui:holding-921_taxon-4898_accession-49735,RE04100,VIRTUAL_TRIAL,,,,,,,,2005,"4,5",,4,,NA,,5,,4,,1,
RE04098,2809974,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48437,gnpis_pui:holding-921_taxon-4898_accession-48437,RE04098,VIRTUAL_TRIAL,,,,,,,,2005,6,,6,,NA,,2,,4,,4,
CF04164,2809975,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48363,gnpis_pui:holding-921_taxon-4898_accession-48363,CF04164,VIRTUAL_TRIAL,,,,,,,,2005,"4,75",,4,,NA,,5,,9,,6,
Charger,2809984,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2005,"6,75",,6,,"6,84",,4402,,6,,1,
Caphorn,2809982,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2005,6,,6,,7,,4629,,3,,1,
RE04101,2809967,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,26834,https://doi.org/10.15454/NMELF4,RE04101,VIRTUAL_TRIAL,,,,,,,,2005,5,,6,,NA,,2,,4,,1,
Orvantis,2809988,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,2005,"6,75",,4,,"7,5",,4396,,6,,3,
DI05025,2809963,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,2005,"5,5",,3,,NA,,2,,3,,1,
CF04048,2809981,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,2005,"7,5",,6,,NA,,5,,3,,3,
CF04114,2809966,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48527,https://doi.org/10.15454/5LEWVH,CF04114,VIRTUAL_TRIAL,,,,,,,,2005,5,,6,,NA,,5,,7,,3,
EM03234,2809989,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,2005,"6,5",,4,,NA,,5,,2,,1,
RE04096,2809979,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48421,gnpis_pui:holding-921_taxon-4898_accession-48421,RE04096,VIRTUAL_TRIAL,,,,,,,,2005,"7,5",,4,,NA,,2,,4,,1,
DI05028,2809987,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48436,gnpis_pui:holding-921_taxon-4898_accession-48436,DI05028,VIRTUAL_TRIAL,,,,,,,,2005,"6,5",,4,,NA,,5,,4,,1,
RE04094,2809977,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48721,gnpis_pui:holding-921_taxon-4898_accession-48721,RE04094,VIRTUAL_TRIAL,,,,,,,,2005,"7,25",,6,,NA,,2,,6,,6,
RE04082,2809997,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48348,gnpis_pui:holding-921_taxon-4898_accession-48348,RE04082,VIRTUAL_TRIAL,,,,,,,,2005,"5,75",,6,,NA,,5,,3,,3,
DI05023,2809998,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48851,gnpis_pui:holding-921_taxon-4898_accession-48851,DI05023,VIRTUAL_TRIAL,,,,,,,,2005,"6,75",,6,,NA,,3,,3,,1,
RE04099,2809973,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48855,gnpis_pui:holding-921_taxon-4898_accession-48855,RE04099,VIRTUAL_TRIAL,,,,,,,,2005,"7,5",,4,,NA,,5,,2,,1,
DI05029,2809986,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,49554,gnpis_pui:holding-921_taxon-4898_accession-49554,DI05029,VIRTUAL_TRIAL,,,,,,,,2005,6,,6,,NA,,5,,4,,4,
DI05024,2809994,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,49558,gnpis_pui:holding-921_taxon-4898_accession-49558,DI05024,VIRTUAL_TRIAL,,,,,,,,2005,"7,25",,6,,NA,,5,,4,,1,
RE04108,2809965,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48339,gnpis_pui:holding-921_taxon-4898_accession-48339,RE04108,VIRTUAL_TRIAL,,,,,,,,2005,"5,25",,1,,NA,,2,,3,,1,
Farandole,2809983,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,2005,"5,75",,5,,"5,84",,299,,3,,1,
EM03264,2809972,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,49705,gnpis_pui:holding-921_taxon-4898_accession-49705,EM03264,VIRTUAL_TRIAL,,,,,,,,2005,5,,3,,NA,,5,,3,,1,
RE04125,2809961,BTH_Rennes_2005_SetB3_PIETIN-VERSE,BTH_Rennes_2005_SetB3_PIETIN-VERSE,48485,gnpis_pui:holding-921_taxon-4898_accession-48485,RE04125,VIRTUAL_TRIAL,,,,,,,,2005,5,,3,,NA,,5,,4,,1,
