observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Flamenkoitkt,2837506,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2009,104,,"37,2",,136,,"12,25",,74,,"107,8",,"101,5",,,,1,
Soissonsitkt,2837532,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2009,92,,"33,2",,133,,"12,64",,80,,90,,"84,7",,,,"2,5",
Koreliitkfi,2837487,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,102,,"40,6",,142,,"10,98",,"78,7",,"127,9",,"85,5",,3,,,
Flamenkoitkfi,2837505,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,98,,"37,5",,136,,"11,54",,"71,7",,"129,7",,"86,7",,"3,5",,,
Koreliitkt,2837488,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2009,106,,"38,7",,142,,"12,7",,"80,9",,"106,1",,"99,9",,,,1,
RE06060itkt,2837526,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,treated,2009,102,,"42,1",,139,,"13,04",,"77,2",,"106,5",,"100,2",,,,1,
CF05173itkt,2837512,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2009,98,,"44,8",,143,,"12,62",,"78,6",,"105,9",,"99,7",,,,1,
CF05173itkfi,2837511,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,98,,"41,6",,142,,"11,68",,76,,"128,7",,86,,3,,,
RE06060itkfi,2837525,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,96,,"41,1",,139,,"12,32",,"75,5",,"123,7",,"82,7",,"3,5",,,
Caphornitkfi,2837499,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,88,,"34,8",,141,,"12,59",,"72,2",,"96,4",,"64,4",,7,,,
EM06233itkfi,2837539,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,95,,"38,8",,144,,"13,28",,"74,6",,"103,9",,"69,5",,4,,,
EM06233itkt,2837540,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,treated,2009,96,,"43,9",,144,,"13,82",,"77,1",,"86,2",,"81,1",,,,1,
CF05079itkt,2837510,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2009,106,,"42,7",,140,,"12,73",,"80,6",,97,,"91,3",,,,1,
CF05079itkfi,2837509,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,104,,"40,1",,140,,"11,93",,"78,5",,117,,"78,2",,"3,5",,,
EM06307itkfi,2837481,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,96,,"39,1",,139,,"12,4",,"72,4",,"110,7",,74,,"4,5",,,
Lyrikitkt,2837536,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2009,106,,"38,3",,142,,"12,14",,"77,6",,"111,9",,"105,3",,,,1,
RE06127itkt,2837508,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,treated,2009,98,,"40,5",,135,,"14,02",,"78,7",,"96,1",,"90,5",,,,1,
RE06127itkfi,2837507,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,94,,"40,8",,135,,"12,89",,"75,2",,"107,4",,"71,8",,7,,,
AO08112itkt,2837478,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,treated,2009,105,,"34,2",,140,,"11,63",,78,,"102,2",,"96,2",,,,1,
AO08112itkfi,2837477,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,104,,"31,7",,140,,"10,48",,"72,7",,"98,3",,"65,7",,"4,5",,,
Lyrikitkfi,2837535,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,102,,"40,5",,141,,"10,5",,"76,8",,"142,2",,"95,1",,2,,,
EM06307itkt,2837482,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,treated,2009,100,,"41,5",,140,,"13,77",,"74,7",,"91,6",,"86,2",,,,2,
Premioitkt,2837480,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2009,91,,40,,138,,"12,44",,"76,8",,"109,2",,"102,8",,,,1,
Premioitkfi,2837479,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,88,,"37,8",,138,,"11,57",,"73,2",,"108,8",,"72,7",,6,,,
CF06136itkfi,2837537,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,102,,"36,8",,139,,"10,76",,74,,"104,5",,"69,8",,"5,5",,,
DI07001-2itkt,2837484,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,48645,gnpis_pui:holding-921_taxon-4898_accession-48645,DI07001-2,VIRTUAL_TRIAL,,,,,,,,treated,2009,92,,"36,5",,134,,"12,1",,"75,1",,"101,5",,"95,6",,,,1,
DI07001-2itkfi,2837483,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,48645,gnpis_pui:holding-921_taxon-4898_accession-48645,DI07001-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,91,,36,,134,,"11,03",,"70,6",,"90,8",,"60,7",,"6,5",,,
CF06136itkt,2837538,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,treated,2009,106,,"41,9",,137,,"12,44",,"77,6",,"98,6",,"92,8",,,,2,
Musikitkfi,2837473,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,82,,"34,3",,136,,"11,1",,73,,"93,8",,"62,7",,7,,,
Musikitkt,2837474,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,treated,2009,86,,36,,136,,"12,25",,"77,3",,"101,7",,"95,8",,,,1,
CF05162itkt,2837486,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2009,96,,"41,4",,136,,"12,41",,"74,9",,"101,6",,"95,6",,,,1,
RE06048itkt,2837524,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,treated,2009,98,,"41,7",,137,,"12,78",,"78,6",,"95,1",,"89,6",,,,"5,5",
CF05162itkfi,2837485,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,102,,"40,3",,136,,"11,08",,"72,4",,"114,8",,"76,7",,4,,,
AO07127itkt,2837502,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,treated,2009,95,,"39,7",,138,,"12,72",,"79,8",,"104,7",,"98,6",,,,1,
DI08019-3itkt,2837470,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,49439,gnpis_pui:holding-921_taxon-4898_accession-49439,DI08019-3,VIRTUAL_TRIAL,,,,,,,,treated,2009,105,,"37,9",,141,,"11,77",,"77,6",,"115,6",,"108,9",,,,1,
AO07127itkfi,2837501,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,95,,"36,1",,138,,"11,56",,"76,2",,"113,1",,"75,6",,"4,5",,,
CF03201itkt,2837504,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2009,106,,"39,9",,140,,"13,68",,"79,7",,"91,6",,"86,3",,,,3,
DI08019-3itkfi,2837469,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,49439,gnpis_pui:holding-921_taxon-4898_accession-49439,DI08019-3,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,101,,38,,140,,"10,58",,76,,"142,4",,"95,2",,"1,5",,,
CF03201itkfi,2837503,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,105,,"40,7",,138,,"12,32",,"78,7",,"113,9",,"76,1",,4,,,
RE06048itkfi,2837523,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,98,,38,,137,,"11,62",,"75,5",,"112,8",,"75,4",,"3,5",,,
Apacheitkt,2837492,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2009,100,,43,,137,,"12,51",,"79,4",,99,,"93,2",,,,1,
Karillonitkt,2837530,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2009,100,,"37,1",,141,,"12,32",,"77,8",,103,,"96,9",,,,1,
Karillonitkfi,2837529,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,100,,"32,8",,142,,"12,04",,74,,"106,4",,"71,1",,5,,,
EM06110itkt,2837534,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,treated,2009,100,,"42,1",,136,,12,,"78,5",,"104,7",,"98,6",,,,1,
AO07210itkt,2837528,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,treated,2009,91,,"41,7",,135,,"13,08",,"75,8",,"102,6",,"96,6",,,,2,
AO07210itkfi,2837527,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,92,,"36,5",,138,,"13,19",,"71,4",,"106,1",,"70,9",,"6,5",,,
Apacheitkfi,2837491,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,95,,"35,8",,138,,"11,38",,"75,9",,"94,3",,63,,"6,5",,,
EM06094itkt,2837514,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,treated,2009,97,,"41,9",,140,,"12,76",,"74,8",,"106,4",,"100,2",,,,1,
EM06017itkfi,2837467,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,105,,"44,7",,138,,"11,61",,"78,4",,"129,6",,"86,6",,2,,,
Skerzzoitkt,2837520,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2009,108,,"39,4",,142,,"13,8",,"81,3",,"103,1",,"97,1",,,,1,
AO07302itkfi,2837521,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,101,,"37,9",,138,,"11,83",,"72,9",,"101,3",,"67,7",,"5,5",,,
EM06229itkt,2837490,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,treated,2009,95,,"44,1",,136,,"12,36",,"77,6",,"103,9",,"97,8",,,,1,
AO07302itkt,2837522,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,treated,2009,100,,"42,8",,138,,"11,98",,"77,2",,"101,6",,"95,6",,,,1,
Skerzzoitkfi,2837519,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,104,,"36,5",,142,,"13,29",,"78,1",,"102,2",,"68,3",,"5,5",,,
AO08107itkt,2837516,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,treated,2009,95,,"44,5",,140,,"12,02",,"75,8",,"100,8",,"94,9",,,,1,
Ghaytaitkt,2837518,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2009,104,,"44,5",,143,,"15,46",,"77,7",,"97,9",,"92,2",,,,1,
AO08107itkfi,2837515,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,94,,"38,7",,140,,"11,78",,"70,4",,"104,8",,70,,"5,5",,,
Ghaytaitkfi,2837517,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,100,,"39,5",,142,,"13,08",,"74,2",,"102,2",,"68,3",,"4,5",,,
DI02001itkt,2837498,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,treated,2009,105,,"41,5",,143,,"11,88",,"80,6",,"112,1",,"105,6",,,,1,
Sankaraitkt,2837496,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2009,92,,38,,144,,"14,5",,"76,5",,"94,3",,"88,7",,,,1,
RE06134itkfi,2837475,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,94,,"38,3",,136,,"11,58",,"73,2",,"108,3",,"72,4",,"6,5",,,
DI02001itkfi,2837497,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,100,,"40,9",,142,,"10,94",,"77,6",,"133,2",,89,,2,,,
RE06134itkt,2837476,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,treated,2009,92,,43,,136,,"12,63",,77,,"97,1",,"91,4",,,,1,
EM06017itkt,2837468,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,treated,2009,108,,"42,6",,138,,"13,22",,"80,7",,"110,4",,"103,9",,,,2,
EM06094itkfi,2837513,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,96,,41,,140,,"11,32",,"72,6",,"120,6",,"80,6",,"3,5",,,
Sankaraitkfi,2837495,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,90,,"35,4",,142,,"12,37",,"73,6",,"100,6",,"67,2",,"5,5",,,
Hendrixitkfi,2837461,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,104,,"40,8",,140,,"12,24",,"78,8",,123,,"82,2",,2,,,
Hendrixitkt,2837462,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2009,108,,"39,8",,141,,"13,85",,"79,4",,"97,5",,"91,8",,,,1,
Soissonsitkfi,2837531,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,94,,31,,133,,"12,02",,"74,7",,"84,5",,"56,5",,8,,,
Toisondoritkt,2837464,BTH_Lusignan_2009_SetA1,BTH_Lusignan_2009_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2009,84,,"39,5",,143,,"12,86",,"78,4",,"103,9",,"97,8",,,,1,
