observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
AO13031itkt,2969067,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,traite,2015,94,,47.1,,129,,11.7,,80.9,,100.8,,,,104.5,,,,,
RE12002itknt,2969022,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,79.1,,109.3,,1,,92.92,,1,,4,
Galibieritkt,2969029,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,traite,2015,95,,49.6,,121,,16,,81,,76.4,,,,79.2,,,,,
AO13031itknt,2969066,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,78.3,,102.3,,7,,86.97,,1,,4,
Galibieritknt,2969028,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,79.9,,73.6,,8,,62.56,,1,,6,
Bermudeitkt,2969017,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,46.4,,132,,12.1,,81.3,,101.4,,,,105.1,,,,,
DI14001itknt,2969052,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,76.8,,106.9,,7,,90.82,,1,,2,
Bermudeitknt,2969016,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,74.3,,84.3,,1,,71.66,,1,,1,
DI14001itkt,2969053,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,traite,2015,101,,51.9,,131,,12.4,,78.3,,102.8,,,,106.5,,,,,
DI13002-2itkt,2969013,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,49462,https://doi.org/10.15454/9WA3DH,DI13002-2,VIRTUAL_TRIAL,,,,,,,,traite,2015,95,,41.2,,133,,12.3,,79.5,,88.7,,,,92,,,,,
RUBISKOitkt,2969077,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,51.8,,130,,12.4,,81.8,,99.4,,,,103.1,,,,,
AREZZOitkt,2969081,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,traite,2015,95,,48.3,,130,,13,,84.6,,98.5,,,,102.1,,,,,
AO13042itknt,2969038,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,75.3,,97,,6,,82.44,,1,,5,
AO13042itkt,2969039,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,traite,2015,95,,43.6,,133,,11.9,,77.4,,102.2,,,,106,,,,,
AO13047itknt,2969034,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,80.3,,109.2,,4,,92.8,,1,,4,
RUBISKOitknt,2969076,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,80.9,,106.1,,1,,90.16,,1,,4,
AO13026itkt,2969011,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,traite,2015,96,,45.9,,131,,11.8,,81.8,,100.1,,,,103.8,,,,,
AO13100itkt,2969021,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,76092,https://doi.org/10.15454/MBEFL6,AO13100,VIRTUAL_TRIAL,,,,,,,,traite,2015,100,,46,,134,,11.5,,81,,97,,,,100.6,,,,,
DI14004itkt,2969007,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61305,https://doi.org/10.15454/QTCIDC,DI14004,VIRTUAL_TRIAL,,,,,,,,traite,2015,95,,47.5,,135,,12,,75.6,,97.9,,,,101.5,,,,,
DI14004itknt,2969006,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61305,https://doi.org/10.15454/QTCIDC,DI14004,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,73.9,,113.4,,4,,96.33,,1,,1,
AO13100itknt,2969020,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,76092,https://doi.org/10.15454/MBEFL6,AO13100,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,77,,92.2,,1,,78.32,,1,,6,
RE12020itkt,2969025,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,traite,2015,103,,47,,131,,12.2,,80.1,,86.1,,,,89.2,,,,,
RE12020itknt,2969024,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,80.1,,93.3,,4,,79.25,,1,,5,
DI13003itknt,2969032,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,75.2,,91.3,,4,,77.59,,1,,3,
RE12080itkt,2969027,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,traite,2015,96,,46,,131,,12.7,,76.4,,98.2,,,,101.8,,,,,
RE12080itknt,2969026,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,77.1,,112.9,,1,,95.93,,1,,1,
DI11010itkt,2969075,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,60932,https://doi.org/10.15454/FGQ2LJ,DI11010,VIRTUAL_TRIAL,,,,,,,,traite,2015,95,,43.1,,133,,12.2,,82.7,,99.1,,,,102.7,,,,,
DI11010itknt,2969074,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,60932,https://doi.org/10.15454/FGQ2LJ,DI11010,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,79.2,,90.4,,1,,76.82,,7,,2,
ARKEOSitknt,2969070,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,27751,https://doi.org/10.15454/OYNH7Y,ARKEOS,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,74.1,,106.3,,5,,90.31,,1,,5,
CELLULEitknt,2969050,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,83.8,,109.3,,7,,92.88,,1,,3,
AO14001itkt,2969079,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61803,https://doi.org/10.15454/LCA9U1,AO14001,VIRTUAL_TRIAL,,,,,,,,traite,2015,99,,43.9,,134,,12.8,,78.2,,93.7,,,,97.1,,,,,
CF12202itkt,2969031,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,45.4,,130,,12.1,,78.1,,99,,,,102.6,,,,,
AREZZOitknt,2969080,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,83.2,,100.3,,6,,85.21,,1,,5,
CELLULEitkt,2969051,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,traite,2015,96,,47.3,,128,,12.6,,83.4,,100.7,,,,104.3,,,,,
ARKEOSitkt,2969071,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,27751,https://doi.org/10.15454/OYNH7Y,ARKEOS,VIRTUAL_TRIAL,,,,,,,,traite,2015,97,,43.7,,127,,12.5,,76,,102.9,,,,106.7,,,,,
AO14001itknt,2969078,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61803,https://doi.org/10.15454/LCA9U1,AO14001,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,75.4,,80.1,,1,,68.08,,8,,2,
AO13030itkt,2969065,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,traite,2015,88,,51.4,,130,,11.6,,79.7,,109.1,,,,113.1,,,,,
AO11011itkt,2969009,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,traite,2015,91,,42.9,,135,,12.1,,78.3,,96.7,,,,100.2,,,,,
AO14039itkt,2969049,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,60867,https://doi.org/10.15454/WFL1YX,AO14039,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,46.5,,129,,12.8,,78.5,,102.7,,,,106.4,,,,,
EM11537itkt,2969005,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,traite,2015,91,,45.4,,138,,12.4,,77.8,,93.1,,,,96.5,,,,,
EM11537itknt,2969004,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,75.4,,92.5,,4,,78.57,,1,,5,
EM12096itkt,2969003,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,49.4,,136,,15,,79.1,,86.3,,,,89.5,,,,,
EM12096itknt,2969002,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,78.9,,103.2,,4,,87.71,,1,,3,
AO12021-1itkt,2969055,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61776,https://doi.org/10.15454/DB6YVG,AO12021-1,VIRTUAL_TRIAL,,,,,,,,traite,2015,104,,52.9,,131,,11.9,,80.2,,109.5,,,,113.5,,,,,
AO12021-1itknt,2969054,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61776,https://doi.org/10.15454/DB6YVG,AO12021-1,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,79.5,,115.5,,4,,98.19,,1,,3,
AO11011itknt,2969008,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,76.6,,97.6,,5,,82.95,,1,,5,
AO14039itknt,2969048,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,60867,https://doi.org/10.15454/WFL1YX,AO14039,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,77,,107.6,,5,,91.46,,1,,4,
RE10042itkt,2969057,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,traite,2015,99,,43.8,,136,,11.8,,79.8,,102.2,,,,105.9,,,,,
AO14005itkt,2969069,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61865,https://doi.org/10.15454/AJY3JA,AO14005,VIRTUAL_TRIAL,,,,,,,,traite,2015,79,,45.4,,133,,12.8,,80.8,,88.7,,,,92,,,,,
AO14005itknt,2969068,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61865,https://doi.org/10.15454/AJY3JA,AO14005,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,80.1,,94.9,,6,,80.61,,1,,5,
RE10042itknt,2969056,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,80.4,,120,,1,,101.95,,1,,1,
AO13030itknt,2969064,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,76.4,,99.8,,6,,84.79,,1,,6,
EM12231itknt,2969042,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,80.2,,110.1,,1,,93.52,,1,,7,
CF12202itknt,2969030,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,75.9,,105.9,,6,,89.98,,1,,2,
AO13015itkt,2969063,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,48.3,,133,,12.1,,78.5,,104.6,,,,108.4,,,,,
EM12231itkt,2969043,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,traite,2015,94,,48.8,,132,,11.5,,81.4,,104.5,,,,108.3,,,,,
RE11058itkt,2969059,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,traite,2015,103,,45.1,,130,,12.4,,79.4,,102.6,,,,106.3,,,,,
AO13015itknt,2969062,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,76.9,,106.1,,6,,90.2,,1,,4,
DI13002-2itknt,2969012,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,49462,https://doi.org/10.15454/9WA3DH,DI13002-2,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,74.7,,90,,2,,76.46,,1,,4,
DI13005itkt,2969019,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,traite,2015,99,,45.5,,134,,11.8,,77,,95.1,,,,98.5,,,,,
RE11058itknt,2969058,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,77,,106.4,,1,,90.4,,1,,7,
AO13022itkt,2969047,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,traite,2015,96,,47.9,,132,,11.2,,80.4,,105.2,,,,109.1,,,,,
AO13045itkt,2969037,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,51.6,,133,,11.6,,78.3,,95.3,,,,98.8,,,,,
AO13045itknt,2969036,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,72.8,,84.7,,4,,71.94,,1,,7,
EM12234itknt,2969040,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,74,,113.9,,6,,96.76,,1,,1,
CROUSTYitknt,2969060,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,80,,94.2,,7,,80.09,,1,,5,
CROUSTYitkt,2969061,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,traite,2015,104,,50,,129,,13.3,,80.9,,91.9,,,,95.2,,,,,
DI13005itknt,2969018,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,71.5,,96.7,,7,,82.2,,1,,4,
AO13022itknt,2969046,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,77.4,,101.1,,6,,85.9,,1,,6,
EM12234itkt,2969041,BTH_Epi-centre_2015_SetA1,BTH_Epi-centre_2015_SetA1,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,traite,2015,95,,46.3,,131,,13.1,,76.6,,94.2,,,,97.7,,,,,
