observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volS(CO_321:1000250),volS(CO_321:1000250).date,zel(CO_321:1000222),zel(CO_321:1000222).date
Gallixeitkt,2862114,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Croustyitkt,2862103,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO10013itkt,2862069,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,2011,"21,2",,91,,NA,,79,,NA,,51,,NA,,56,,NA,,186,,53,,"0,58",,140,,NA,,62,,"11,2",,"75,8",,NA,,1152,,NA,
AO11012itkt,2862071,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48904,https://doi.org/10.15454/QDMSRL,AO11012,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO11013itkt,2862072,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO11014itkt,2862104,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48888,https://doi.org/10.15454/2YKLGU,AO11014,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI10001-2itkt,2862112,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48666,https://doi.org/10.15454/MBT1YT,DI10001-2,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM09227itkt,2862107,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48498,https://doi.org/10.15454/GGN6HS,EM09227,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM09320itkt,2862073,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI11002itkt,2862093,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE09001itkt,2862095,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48746,https://doi.org/10.15454/ZEEZIW,RE09001,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM07117itkt,2862081,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,2011,"11,6",,27,,NA,,91,,NA,,6,,NA,,45,,NA,,142,,75,,"2,74",,85,,NA,,211,,"10,66",,"78,6",,NA,,859,,NA,
CF09169itkt,2862085,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI10011itkt,2862070,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE10099itkt,2862094,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,49222,https://doi.org/10.15454/YP9ZYW,RE10099,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI11014itkt,2862118,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM09318itkt,2862091,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO11001itkt,2862099,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48474,https://doi.org/10.15454/72RLFQ,AO11001,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO11002itkt,2862100,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48844,https://doi.org/10.15454/IYISPL,AO11002,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO11005itkt,2862087,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,49011,https://doi.org/10.15454/08Z5FH,AO11005,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO11008itkt,2862097,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,49376,https://doi.org/10.15454/DLSQIN,AO11008,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM09221itkt,2862110,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM09222itkt,2862109,BTH_Orgeval_2011_TECH,BTH_Orgeval_2011_TECH,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
