observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Isengrainitkt,2797800,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,96",,"101,4",,"111,5",,1,
CF03228itkt,2797762,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49099,gnpis_pui:holding-921_taxon-4898_accession-49099,CF03228,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,71",,"94,6",,"103,9",,1,
EM01104.4itkt,2797794,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49267,gnpis_pui:holding-921_taxon-4898_accession-49267,EM01104.4,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,9",,82,,"90,1",,1,
Isengrainitkfi,2797799,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,91",,102,,"87,2",,1,
Caphornitkfi,2797755,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,54",,"101,4",,"86,7",,1,
LM03002itkfi,2797725,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49261,gnpis_pui:holding-921_taxon-4898_accession-49261,LM03002,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,14",,"92,4",,"79,1",,1,
Caphornitkt,2797756,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,82",,99,,"108,8",,1,
LM03002itkt,2797726,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49261,gnpis_pui:holding-921_taxon-4898_accession-49261,LM03002,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,98",,"98,1",,"107,8",,1,
CF03444itkt,2797720,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49239,gnpis_pui:holding-921_taxon-4898_accession-49239,CF03444,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,68",,"92,2",,"101,4",,1,
CF03444itkfi,2797719,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49239,gnpis_pui:holding-921_taxon-4898_accession-49239,CF03444,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,46",,"97,7",,"83,5",,1,
CF03228itkfi,2797761,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49099,gnpis_pui:holding-921_taxon-4898_accession-49099,CF03228,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,88",,"102,9",,88,,1,
CF03305itkfi,2797749,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49537,gnpis_pui:holding-921_taxon-4898_accession-49537,CF03305,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,54",,"98,1",,"83,9",,1,
EM02429itkfi,2797735,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,48367,gnpis_pui:holding-921_taxon-4898_accession-48367,EM02429,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,12",,"92,2",,"78,8",,1,
EM01104.4itkfi,2797793,BTH_Le_Moulon_2004_SetB1,BTH_Le_Moulon_2004_SetB1,49267,gnpis_pui:holding-921_taxon-4898_accession-49267,EM01104.4,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,73",,"92,5",,"79,2",,1,
