observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE09036itkfi,2851319,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,48544,gnpis_pui:holding-921_taxon-4898_accession-48544,RE09036,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,100,,1,,145,,"77,5",,"108,5",,1,,"103,6",,1,,1,
CF09172itkfi,2851342,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,48708,gnpis_pui:holding-921_taxon-4898_accession-48708,CF09172,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,92,,1,,142,,81,,"85,5",,1,,"81,7",,1,,1,
AO10023itkfi,2851326,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,48559,gnpis_pui:holding-921_taxon-4898_accession-48559,AO10023,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,1,,144,,"81,8",,"95,8",,"2,5",,"91,4",,1,,1,
Apacheitkfi,2851333,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,1,,140,,"75,9",,"105,2",,1,,"100,5",,1,,1,
EM09310itkfi,2851332,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,48345,gnpis_pui:holding-921_taxon-4898_accession-48345,EM09310,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,1,,141,,"79,5",,102,,1,,"97,4",,1,,1,
CF09122itkfi,2851335,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,49265,gnpis_pui:holding-921_taxon-4898_accession-49265,CF09122,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,1,,140,,"80,1",,"93,6",,2,,"89,4",,1,,1,
CF09198itkfi,2851353,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,48921,gnpis_pui:holding-921_taxon-4898_accession-48921,CF09198,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,1,,142,,"77,7",,"111,8",,"1,5",,"106,7",,1,,1,
Attlassitkfi,2851349,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,1,,142,,"79,4",,"102,3",,1,,"97,7",,1,,1,
Caphornitkfi,2851336,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,1,,141,,82,,"95,3",,1,,91,,1,,1,
AO10016itkfi,2851320,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,49175,gnpis_pui:holding-921_taxon-4898_accession-49175,AO10016,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,95,,1,,142,,"75,8",,"102,9",,1,,"98,2",,1,,1,
CF09169itkfi,2851329,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,98,,1,,140,,"82,1",,"99,5",,"1,5",,95,,1,,1,
DI10011itkfi,2851322,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,98,,1,,138,,79,,"116,2",,1,,"110,9",,"2,5",,1,
AO10021itkfi,2851344,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,49282,gnpis_pui:holding-921_taxon-4898_accession-49282,AO10021,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,1,,141,,"79,4",,"87,1",,2,,"83,1",,1,,1,
EM09318itkfi,2851334,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,1,,143,,"79,8",,"103,6",,1,,"98,9",,"1,5",,1,
AO10020itkfi,2851343,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,48598,gnpis_pui:holding-921_taxon-4898_accession-48598,AO10020,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,1,,142,,"81,8",,"93,2",,"2,5",,"88,9",,1,,1,
DI10006itkfi,2851348,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,1,,146,,"80,4",,"109,4",,1,,"104,4",,"1,5",,1,
RE09034itkfi,2851318,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,48900,gnpis_pui:holding-921_taxon-4898_accession-48900,RE09034,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,1,,142,,78,,"98,8",,1,,"94,4",,1,,1,
CF09133itkfi,2851330,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,48903,gnpis_pui:holding-921_taxon-4898_accession-48903,CF09133,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,147,,"80,4",,"101,5",,"1,5",,"96,9",,1,,1,
DI10010itkfi,2851327,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,49025,gnpis_pui:holding-921_taxon-4898_accession-49025,DI10010,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,1,,146,,"80,7",,"94,1",,1,,"89,8",,1,,1,
EM09221itkfi,2851352,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,1,,140,,77,,"106,7",,1,,"101,9",,1,,1,
EM09222itkfi,2851351,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,1,,140,,"79,8",,93,,1,,"88,8",,2,,1,
AO10019itkfi,2851337,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,49053,gnpis_pui:holding-921_taxon-4898_accession-49053,AO10019,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,1,,142,,"81,8",,"87,1",,"1,5",,"83,2",,2,,1,
EM09225itkfi,2851350,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,49109,gnpis_pui:holding-921_taxon-4898_accession-49109,EM09225,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,"2,5",,142,,"79,2",,"98,1",,"1,5",,"93,7",,1,,1,
AO10017itkfi,2851324,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,49185,gnpis_pui:holding-921_taxon-4898_accession-49185,AO10017,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,1,,141,,"80,8",,"98,2",,3,,"93,7",,1,,1,
RE09061itkfi,2851338,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,49193,gnpis_pui:holding-921_taxon-4898_accession-49193,RE09061,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,1,,141,,"75,1",,"90,6",,"1,5",,"86,5",,"1,5",,1,
AO10018itkfi,2851339,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,49584,gnpis_pui:holding-921_taxon-4898_accession-49584,AO10018,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,141,,NA,,"98,2",,"2,5",,"93,8",,1,,1,
DI10008itkfi,2851341,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,49226,gnpis_pui:holding-921_taxon-4898_accession-49226,DI10008,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,1,,138,,"81,8",,"90,7",,2,,"86,6",,2,,1,
DI10009itkfi,2851340,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,48858,gnpis_pui:holding-921_taxon-4898_accession-48858,DI10009,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,95,,1,,144,,"79,2",,97,,1,,"92,6",,"1,5",,1,
AO10022itkfi,2851345,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,48862,gnpis_pui:holding-921_taxon-4898_accession-48862,AO10022,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,95,,1,,140,,"81,8",,"99,3",,3,,"94,8",,4,,1,
EM09307itkfi,2851354,BTH_Rennes_2010_SetB2,BTH_Rennes_2010_SetB2,48864,gnpis_pui:holding-921_taxon-4898_accession-48864,EM09307,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,95,,1,,141,,"77,2",,"93,3",,1,,89,,"2,5",,1,
