observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF10064itkfi,2880337,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,133,,"9,7",,80,,"110,7",,1,,"88,7",,1,,1,
RE11116itkfi,2880379,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,138,,"9,4",,"76,5",,"98,1",,1,,"78,6",,1,,1,
DI12005itkfi,2880351,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,138,,"9,2",,"77,5",,"103,7",,1,,"83,1",,1,,1,
EM11537itkfi,2880327,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,138,,"10,3",,78,,"100,1",,1,,"80,3",,1,,1,
EM11441itkfi,2880355,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,135,,"9,4",,"74,5",,"98,9",,1,,"79,3",,1,,1,
EM11537itkt,2880328,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,138,,"9,9",,78,,"105,1",,2,,"102,2",,1,,1,
EM11441itkt,2880356,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,136,,"10,1",,72,,"98,5",,1,,"95,8",,3,,1,
Rubiskoitkfi,2880395,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,128,,"10,2",,77,,"97,7",,1,,"78,3",,1,,1,
AO13013itkt,2880392,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,135,,"9,9",,"73,5",,"106,6",,3,,"103,6",,1,,1,
DI11014itkfi,2880393,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,132,,"10,1",,"78,5",,"101,1",,1,,81,,1,,1,
AO12021-2itkfi,2880363,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48626,https://doi.org/10.15454/QXYFWH,AO12021-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,130,,"10,5",,77,,"97,9",,1,,"78,5",,1,,2,
AO12021itkt,2880336,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,131,,"10,4",,"76,5",,"109,4",,2,,"106,4",,1,,2,
AO13013itkfi,2880391,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,134,,"9,9",,77,,"107,4",,2,,"86,1",,1,,1,
CF09117itkt,2880388,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,132,,"12,5",,79,,"102,4",,2,,"99,6",,1,,1,
EM11604itkt,2880362,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,131,,"10,4",,"76,5",,"97,7",,2,,95,,1,,1,
CF09117itkfi,2880387,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,130,,"11,2",,79,,"107,5",,1,,"86,2",,1,,1,
AO13030itkfi,2880375,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,125,,"10,8",,"75,5",,"113,6",,1,,"91,1",,1,,2,
AO13027itkfi,2880343,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49214,https://doi.org/10.15454/8SM83Z,AO13027,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,137,,"10,3",,80,,"99,3",,1,,"79,6",,1,,1,
Arezzoitkfi,2880325,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,125,,"10,1",,79,,"94,1",,2,,"75,4",,1,,1,
EM11604itkfi,2880361,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,128,,"9,8",,"76,5",,110,,1,,"88,2",,1,,1,
AO13027itkt,2880344,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49214,https://doi.org/10.15454/8SM83Z,AO13027,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,138,,10,,"78,5",,"93,3",,1,,"90,8",,1,,1,
Apacheitkt,2880360,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,125,,"10,3",,"77,5",,"101,7",,3,,"98,9",,1,,1,
RE10042itkt,2880368,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,136,,"9,7",,79,,"102,3",,1,,"99,5",,1,,1,
Apacheitkfi,2880359,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,126,,"9,8",,"79,5",,"108,4",,1,,"86,9",,1,,1,
AO12021itkfi,2880335,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,130,,"10,3",,77,,"101,6",,1,,"81,5",,1,,2,
RE10042itkfi,2880367,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,136,,"10,2",,75,,"105,2",,1,,"84,3",,1,,1,
DI12004itkfi,2880353,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,3,,137,,"10,7",,"80,5",,"108,9",,1,,"87,3",,1,,2,
Lyrikitkt,2880402,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,137,,"9,4",,"77,5",,"101,2",,1,,"98,5",,1,,1,
Lyrikitkfi,2880401,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,134,,"9,6",,"78,5",,"108,2",,1,,"86,7",,1,,1,
Gallixeitkt,2880386,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,137,,"10,1",,"74,5",,"104,9",,2,,102,,1,,1,
Gallixeitkfi,2880385,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,135,,"9,3",,"75,5",,"100,3",,2,,"80,4",,1,,1,
AO13030itkt,2880376,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,125,,"10,7",,77,,"101,1",,1,,"98,3",,1,,1,
RE11058itkt,2880370,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,128,,"10,5",,"79,5",,"105,2",,1,,"102,3",,1,,1,
CF08027itkt,2880400,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,138,,"9,9",,"78,5",,"104,3",,3,,"101,4",,1,,3,
CF08027itkfi,2880399,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,137,,"11,1",,"75,5",,"110,5",,2,,"88,6",,1,,3,
Arezzoitkt,2880326,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,125,,"10,7",,78,,"96,8",,2,,"94,1",,1,,2,
RE11058itkfi,2880369,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,127,,"10,6",,"79,5",,"111,8",,1,,"89,6",,1,,1,
DI12004itkt,2880354,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,137,,"9,7",,"79,5",,"98,5",,1,,"95,8",,1,,2,
EM11366itkfi,2880381,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,132,,"9,4",,81,,"104,4",,1,,"83,7",,1,,1,
RE11073itkfi,2880339,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,132,,"10,4",,81,,"109,1",,3,,"87,4",,1,,2,
EM11366itkt,2880382,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,131,,"9,8",,"79,5",,"104,4",,2,,"101,5",,1,,2,
AO11011itkt,2880330,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,138,,"9,6",,78,,"106,2",,1,,"103,3",,1,,1,
AO11011itkfi,2880329,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,134,,"10,2",,78,,"116,4",,1,,"93,3",,1,,1,
Gotikitkfi,2880383,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,133,,"11,1",,"79,5",,"98,5",,1,,"78,9",,1,,1,
Croustyitkfi,2880371,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,135,,"10,7",,77,,"85,4",,1,,"68,4",,2,,1,
RE11073itkt,2880340,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,133,,"9,9",,79,,"102,2",,1,,"99,4",,1,,2,
AO12021-2itkt,2880364,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48626,https://doi.org/10.15454/QXYFWH,AO12021-2,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,131,,"10,4",,69,,"104,5",,1,,"101,7",,1,,2,
Bermudeitkt,2880342,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,135,,"10,1",,"73,5",,"103,8",,2,,101,,1,,1,
Gotikitkt,2880384,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,135,,"10,7",,79,,"95,7",,1,,"93,1",,1,,1,
CF11029itkt,2880358,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,136,,"9,2",,"74,5",,"94,9",,1,,"92,3",,6,,1,
CF11029itkfi,2880357,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,136,,"9,6",,"76,5",,"114,4",,1,,"91,7",,6,,1,
RE11075itkfi,2880333,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,131,,"10,3",,79,,"105,3",,3,,"84,4",,1,,2,
Croustyitkt,2880372,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,135,,"10,5",,76,,"80,6",,1,,"78,4",,3,,1,
AO12014itkt,2880346,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,129,,"9,1",,"70,5",,"103,5",,4,,"100,7",,4,,4,
AO12014itkfi,2880345,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,130,,"9,4",,75,,110,,3,,"88,2",,4,,4,
CF11051itkfi,2880331,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,133,,10,,80,,"96,5",,3,,"77,3",,1,,1,
CF11051itkt,2880332,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,134,,"10,1",,"78,5",,"99,5",,4,,"96,8",,1,,1,
RE11075itkt,2880334,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,134,,"9,8",,81,,"97,9",,3,,"95,2",,1,,1,
EM11400itkt,2880366,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,131,,"10,4",,"74,5",,"99,5",,4,,"96,7",,1,,1,
RE11087itkfi,2880377,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,132,,"10,6",,"82,5",,"96,5",,3,,"77,3",,1,,2,
Galibieritkt,2880348,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,117,,"13,4",,77,,"69,2",,1,,"67,3",,1,,4,
CF11177itkfi,2880397,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,135,,"9,8",,"77,5",,"106,6",,1,,"85,4",,1,,1,
Galibieritkfi,2880347,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,116,,"11,2",,77,,"72,9",,1,,"58,4",,1,,4,
EM11400itkfi,2880365,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,130,,11,,"74,5",,"110,8",,4,,"88,8",,2,,1,
RE11087itkt,2880378,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,134,,"9,9",,"81,5",,"91,7",,2,,"89,2",,1,,2,
CF11177itkt,2880398,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,136,,"11,3",,77,,"102,8",,2,,100,,1,,1,
AO13047itkfi,2880349,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,133,,"9,6",,80,,"113,9",,1,,"91,3",,1,,2,
DI11013itkt,2880390,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2014,,,135,,9,,80,,"108,3",,1,,"105,3",,2,,1,
DI11013itkfi,2880389,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,134,,"9,2",,"81,5",,"101,4",,1,,"81,3",,1,,1,
RE11113itkfi,2880373,BTH_Clermont-Ferrand_2014_SetA1,BTH_Clermont-Ferrand_2014_SetA1,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,1,,133,,"9,7",,"77,5",,"119,1",,1,,"95,5",,1,,1,
