observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
RE08003itkfi,2841005,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,62068,https://doi.org/10.15454/JFPOJQ,RE08003,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,70,,"44,2",,144,,"11,6",,"77,8",,"87,3",,52,
CF08029itkt,2841012,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27796,https://doi.org/10.15454/9MSP5Q,CF08029,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"49,8",,138,,"10,24",,"75,3",,"101,4",,"92,6",
DI09004itkt,2840980,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27808,https://doi.org/10.15454/GGTVHF,DI09004,VIRTUAL_TRIAL,,,,,,,,treated,2009,92,,"54,4",,144,,"8,88",,"72,4",,"101,3",,"92,6",
EM08024itkt,2840958,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27822,https://doi.org/10.15454/KNNDVP,EM08024,VIRTUAL_TRIAL,,,,,,,,treated,2009,90,,"46,3",,144,,"9,28",,"74,7",,"100,8",,"92,1",
RE08016itkt,2841020,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,62115,https://doi.org/10.15454/Z6L9UC,RE08016,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"44,4",,143,,"10,25",,"73,6",,"87,8",,"80,3",
DI09004itkfi,2840979,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27808,https://doi.org/10.15454/GGTVHF,DI09004,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"55,8",,145,,"9,4",,"70,6",,"109,2",,65,
AO09013itkt,2840986,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27896,https://doi.org/10.15454/22DLWP,AO09013,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"49,6",,138,,"9,05",,"75,1",,"94,2",,"86,1",
Attlassitkfi,2841003,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"51,3",,146,,9,,"76,4",,"116,4",,"69,2",
RE08016itkfi,2841019,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,62115,https://doi.org/10.15454/Z6L9UC,RE08016,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,82,,"46,1",,144,,"9,96",,"72,2",,"100,7",,"59,9",
AO09014itkt,2840994,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27781,https://doi.org/10.15454/NMD5FO,AO09014,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"42,9",,142,,"9,82",,"77,2",,"98,8",,"90,4",
RE08024itkfi,2840951,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,62156,https://doi.org/10.15454/JZPGYG,RE08024,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"52,3",,144,,"10,57",,"75,4",,"94,7",,"56,4",
RE08024itkt,2840952,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,62156,https://doi.org/10.15454/JZPGYG,RE08024,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"51,8",,142,,"10,5",,76,,"82,4",,"75,3",
AO09013itkfi,2840985,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27896,https://doi.org/10.15454/22DLWP,AO09013,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"45,6",,138,,"9,15",,"73,4",,"95,7",,"56,9",
CF08021itkt,2841018,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,49645,https://doi.org/10.15454/GXTRDY,CF08021,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,48,,142,,"8,7",,"73,2",,"106,8",,"97,6",
AO09014itkfi,2840993,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27781,https://doi.org/10.15454/NMD5FO,AO09014,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"39,2",,144,,"9,56",,"73,8",,"94,7",,"56,3",
Apacheitkfi,2840987,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,78,,44,,140,,"8,96",,73,,"95,6",,"56,8",
CF08049itkt,2841014,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,treated,2009,85,,"48,2",,142,,"9,18",,"75,7",,"105,9",,"96,8",
RE08023itkt,2840998,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,62142,https://doi.org/10.15454/DQ0CM1,RE08023,VIRTUAL_TRIAL,,,,,,,,treated,2009,85,,"52,8",,141,,"10,57",,"74,4",,"83,2",,"76,1",
RE08023itkfi,2840997,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,62142,https://doi.org/10.15454/DQ0CM1,RE08023,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,78,,"54,4",,142,,"10,39",,"73,8",,"88,5",,"52,6",
AO09015itkfi,2840991,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,27897,https://doi.org/10.15454/QWJPTN,AO09015,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,78,,"50,8",,138,,"10,57",,"75,8",,"94,5",,"56,2",
Apacheitkt,2840988,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"48,9",,139,,"8,67",,"76,2",,"107,9",,"98,6",
Caphornitkfi,2840983,BTH_Le_Moulon_2009_SetB1,BTH_Le_Moulon_2009_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,"47,8",,143,,"9,59",,"71,9",,"93,1",,"55,4",
