observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2849013,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49716,gnpis_pui:holding-921_taxon-4898_accession-49716,DI10005,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"84,22",
1,2849011,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48382,gnpis_pui:holding-921_taxon-4898_accession-48382,DI10002,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"88,4",
2,2849012,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48382,gnpis_pui:holding-921_taxon-4898_accession-48382,DI10002,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"88,64",
1,2848981,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48471,gnpis_pui:holding-921_taxon-4898_accession-48471,CF09030,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"82,02",
2,2848982,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48471,gnpis_pui:holding-921_taxon-4898_accession-48471,CF09030,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"84,91",
1,2848987,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"80,4",
2,2848984,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48349,https://doi.org/10.15454/DXR4XS,CF09117,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"82,13",
1,2848983,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48349,https://doi.org/10.15454/DXR4XS,CF09117,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"81,23",
2,2848998,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49618,https://doi.org/10.15454/L6UK54,RE09002,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"81,53",
1,2848997,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49618,https://doi.org/10.15454/L6UK54,RE09002,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"80,99",
2,2848972,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48540,https://doi.org/10.15454/82RKSJ,RE09010,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"89,43",
1,2848971,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48540,https://doi.org/10.15454/82RKSJ,RE09010,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"85,81",
2,2848966,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"84,8",
1,2848965,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,79,
1,2849001,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49096,https://doi.org/10.15454/PSFHWC,RE09009,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"80,79",
2,2849002,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49096,https://doi.org/10.15454/PSFHWC,RE09009,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"80,59",
2,2848970,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49087,https://doi.org/10.15454/53EBXZ,EM09003,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"78,6",
1,2848969,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49087,https://doi.org/10.15454/53EBXZ,EM09003,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"83,1",
2,2848964,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48576,gnpis_pui:holding-921_taxon-4898_accession-48576,EM09021,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"83,98",
1,2848963,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48576,gnpis_pui:holding-921_taxon-4898_accession-48576,EM09021,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"97,11",
1,2848995,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49152,gnpis_pui:holding-921_taxon-4898_accession-49152,CF09077,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"80,16",
2,2848996,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49152,gnpis_pui:holding-921_taxon-4898_accession-49152,CF09077,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"77,49",
2,2849030,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49657,gnpis_pui:holding-921_taxon-4898_accession-49657,CF09085,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"80,87",
1,2849029,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49657,gnpis_pui:holding-921_taxon-4898_accession-49657,CF09085,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"84,96",
1,2848979,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49247,gnpis_pui:holding-921_taxon-4898_accession-49247,RE09031,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"84,5",
2,2848980,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49247,gnpis_pui:holding-921_taxon-4898_accession-49247,RE09031,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"85,69",
1,2848967,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48523,gnpis_pui:holding-921_taxon-4898_accession-48523,AO10012,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"81,23",
2,2848968,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48523,gnpis_pui:holding-921_taxon-4898_accession-48523,AO10012,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"80,47",
2,2849004,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48682,gnpis_pui:holding-921_taxon-4898_accession-48682,AO10009,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"83,71",
1,2849003,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48682,gnpis_pui:holding-921_taxon-4898_accession-48682,AO10009,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"95,68",
2,2849026,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49437,gnpis_pui:holding-921_taxon-4898_accession-49437,CF09028,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"88,5",
1,2849025,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49437,gnpis_pui:holding-921_taxon-4898_accession-49437,CF09028,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"86,94",
2,2849008,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"84,99",
1,2849007,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"89,58",
2,2848992,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"84,42",
1,2848991,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"92,02",
2,2848990,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49525,gnpis_pui:holding-921_taxon-4898_accession-49525,CF09093,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"81,42",
1,2848989,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49525,gnpis_pui:holding-921_taxon-4898_accession-49525,CF09093,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"79,7",
1,2848961,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49497,gnpis_pui:holding-921_taxon-4898_accession-49497,RE09030,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"74,65",
2,2848962,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49497,gnpis_pui:holding-921_taxon-4898_accession-49497,RE09030,REPLICATION,2,,,,,,REPLICATION:2,treated,2010,"67,82",
1,2849031,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,49444,gnpis_pui:holding-921_taxon-4898_accession-49444,CF09081,REPLICATION,1,,,,,,REPLICATION:1,treated,2010,"69,74",
