observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pel(CO_321:1000223),pel(CO_321:1000223).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,volC(CO_321:1000235),volC(CO_321:1000235).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI9714itkt,2767194,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,treated,2000,"21,6",,95,,164,,81,,245,,101,,"1,06",,331,,37,,317,,195,,"10,9",,"75,5",,57,,1671,,"3,14",,37,
Voltigeitkt,2767201,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,treated,2000,"16,8",,58,,122,,43,,165,,52,,"0,9",,126,,6,,292,,113,,"10,5",,76,,37,,1355,,"1,59",,23,
EM99012itkt,2767225,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,treated,2000,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI00008itkt,2767196,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26858,https://doi.org/10.15454/PRC5QN,DI00008,VIRTUAL_TRIAL,,,,,,,,treated,2000,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM00018itkt,2767213,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,treated,2000,19,,73,,142,,57,,199,,52,,"0,71",,139,,4,,255,,93,,"10,8",,"75,5",,33,,1429,,"1,91",,18,
EM99001itkt,2767207,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,treated,2000,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM00020itkt,2767187,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26863,https://doi.org/10.15454/CM80JS,EM00020,VIRTUAL_TRIAL,,,,,,,,treated,2000,"21,2",,91,,131,,63,,194,,51,,"0,56",,167,,-2,,259,,122,,11,,"74,5",,38,,1480,,"1,79",,19,
RE99017itkt,2767222,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,treated,2000,"18,4",,68,,138,,60,,198,,46,,"0,67",,124,,4,,173,,128,,"10,8",,"74,5",,34,,1450,,"1,64",,17,
DI00010itkt,2767218,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,treated,2000,"18,4",,68,,134,,60,,194,,77,,"1,13",,205,,2,,279,,113,,11,,78,,47,,1457,,"2,88",,22,
EM00002itkt,2767189,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,treated,2000,"22,3",,101,,139,,57,,196,,45,,"0,44",,162,,4,,173,,112,,"11,1",,75,,44,,1521,,"1,68",,23,
DI00024itkt,2767192,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,treated,2000,"23,9",,116,,128,,53,,181,,46,,"0,4",,151,,1,,207,,94,,"11,3",,74,,43,,1500,,"2,47",,20,
RE99123itkt,2767216,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26875,https://doi.org/10.15454/WJONCW,RE99123,VIRTUAL_TRIAL,,,,,,,,treated,2000,"16,7",,56,,128,,63,,191,,66,,"1,17",,151,,-5,,244,,134,,"10,7",,"75,5",,41,,1420,,"2,62",,21,
EM99002itkt,2767206,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,28763,https://doi.org/10.15454/HUTRYE,EM99002,VIRTUAL_TRIAL,,,,,,,,treated,2000,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF9825itkt,2767186,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,treated,2000,"17,7",,63,,140,,63,,203,,63,,"0,99",,163,,-3,,231,,106,,"10,4",,"77,5",,35,,1513,,"2,14",,22,
EM99017itkt,2767226,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,treated,2000,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI9812itkt,2767209,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,28762,https://doi.org/10.15454/F89VYP,DI9812,VIRTUAL_TRIAL,,,,,,,,treated,2000,"12,3",,31,,133,,73,,206,,151,,"4,92",,209,,45,,226,,220,,"10,9",,"74,5",,54,,1481,,"2,12",,33,
RE9819itkt,2767190,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,treated,2000,"21,4",,93,,135,,56,,191,,54,,"0,58",,144,,11,,258,,53,,"10,7",,"75,5",,42,,1505,,"2,29",,23,
RE99003itkt,2767204,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,28767,https://doi.org/10.15454/PDD081,RE99003,VIRTUAL_TRIAL,,,,,,,,treated,2000,"16,1",,52,,132,,67,,199,,72,,"1,38",,153,,33,,161,,194,,"10,3",,"72,5",,50,,1445,,"1,84",,30,
RE99004itkt,2767202,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,treated,2000,"18,2",,67,,120,,47,,167,,48,,"0,71",,108,,10,,109,,72,,"10,6",,70,,33,,1410,,"1,76",,16,
Soissonsitkt,2767223,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2000,"22,5",,103,,161,,66,,227,,62,,"0,61",,221,,34,,181,,78,,10,,"73,5",,37,,1752,,"2,15",,26,
DI00004itkt,2767215,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26856,https://doi.org/10.15454/N04VLE,DI00004,VIRTUAL_TRIAL,,,,,,,,treated,2000,22,,98,,136,,67,,203,,59,,"0,61",,195,,-2,,246,,128,,"11,7",,74,,50,,1390,,"1,97",,22,
EM99003itkt,2767205,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,28757,https://doi.org/10.15454/22NWEC,EM99003,VIRTUAL_TRIAL,,,,,,,,treated,2000,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM00006itkt,2767193,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26861,https://doi.org/10.15454/UEZ7EW,EM00006,VIRTUAL_TRIAL,,,,,,,,treated,2000,18,,65,,131,,65,,196,,92,,"1,41",,210,,58,,283,,198,,"11,2",,78,,43,,1455,,"1,82",,29,
EM00019itkt,2767214,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26862,https://doi.org/10.15454/SKKWNL,EM00019,VIRTUAL_TRIAL,,,,,,,,treated,2000,"18,1",,66,,132,,58,,190,,49,,"0,74",,129,,-5,,262,,119,,"10,5",,74,,32,,1355,,"1,71",,19,
EM00004itkt,2767191,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26860,https://doi.org/10.15454/4WHHJZ,EM00004,VIRTUAL_TRIAL,,,,,,,,treated,2000,"25,9",,136,,139,,65,,204,,61,,"0,44",,228,,54,,255,,140,,"10,8",,77,,53,,1657,,"2,62",,35,
RE00010itkt,2767199,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26869,https://doi.org/10.15454/46HA0A,RE00010,VIRTUAL_TRIAL,,,,,,,,treated,2000,"15,8",,50,,141,,65,,206,,108,,"2,15",,203,,41,,369,,135,,"10,5",,78,,51,,1470,,"3,95",,34,
RE00009itkt,2767210,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26868,https://doi.org/10.15454/NP8MBD,RE00009,VIRTUAL_TRIAL,,,,,,,,treated,2000,19,,73,,86,,46,,132,,91,,"1,24",,204,,35,,359,,50,,12,,76,,50,,1260,,"4,74",,37,
RE00014itkt,2767224,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26870,https://doi.org/10.15454/SUO7RH,RE00014,VIRTUAL_TRIAL,,,,,,,,treated,2000,"19,1",,74,,135,,63,,198,,69,,"0,92",,150,,35,,234,,96,,"10,6",,"74,5",,40,,1498,,"2,66",,26,
RE00008itkt,2767203,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,26867,https://doi.org/10.15454/PZEUL6,RE00008,VIRTUAL_TRIAL,,,,,,,,treated,2000,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM99006itkt,2767208,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,treated,2000,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM00015itkt,2767198,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,48653,gnpis_pui:holding-921_taxon-4898_accession-48653,EM00015,VIRTUAL_TRIAL,,,,,,,,treated,2000,"13,6",,38,,121,,51,,172,,102,,"2,7",,167,,36,,281,,154,,"10,2",,78,,52,,1317,,"2,78",,34,
CF99075itkt,2767200,BTH_Le_Moulon_2000_TECH,BTH_Le_Moulon_2000_TECH,48935,https://doi.org/10.15454/KCTYDW,CF99075,VIRTUAL_TRIAL,,,,,,,,treated,2000,"23,5",,112,,158,,62,,220,,49,,"0,44",,190,,0,,151,,127,,"11,3",,75,,51,,1670,,"1,67",,26,
