observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pel(CO_321:1000223),pel(CO_321:1000223).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
CF00110itkt,2775377,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26048,https://doi.org/10.15454/7WIU47,CF00110,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,5",,103,,121,,52,,173,,49,,"0,48",,177,,10,,251,,141,,"45,1",,"12,2",,78,,55,,"2,87",,32,
CF00117itkt,2775380,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26049,https://doi.org/10.15454/NGVK7J,CF00117,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,4",,102,,143,,57,,200,,45,,"0,44",,156,,12,,294,,144,,"46,3",,"11,6",,79,,49,,"2,56",,28,
CF00020itkt,2775347,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,49725,https://doi.org/10.15454/PNW0L6,CF00020,VIRTUAL_TRIAL,,,,,,,,treated,2001,"23,2",,109,,147,,69,,216,,67,,"0,62",,252,,6,,319,,135,,"46,6",,"12,3",,"81,5",,59,,"2,88",,34,
EM00002itkt,2775351,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,6",,95,,145,,56,,201,,48,,"0,5",,184,,1,,225,,62,,"43,95",,"12,1",,78,,58,,"1,7",,32,
DI00024itkt,2775354,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,7",,105,,117,,56,,173,,43,,"0,41",,149,,4,,267,,100,,"47,85",,"11,9",,77,,49,,"2,67",,29,
RE01002itkt,2775363,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26110,https://doi.org/10.15454/PY1VVU,RE01002,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,6",,78,,131,,64,,195,,50,,"0,63",,156,,21,,252,,106,,"42,55",,"11,6",,81,,50,,"1,85",,30,
CF00108itkt,2775349,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26103,https://doi.org/10.15454/VUCZZU,CF00108,VIRTUAL_TRIAL,,,,,,,,treated,2001,26,,137,,147,,65,,212,,46,,"0,33",,199,,12,,264,,120,,"46,1",,"11,9",,"79,5",,53,,"2,74",,31,
Rytmicitkt,2775371,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,treated,2001,"17,1",,60,,141,,75,,216,,112,,"1,89",,253,,50,,357,,168,,"49,5",,"12,7",,80,,56,,"2,55",,36,
EM99017itkt,2775402,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,treated,2001,"17,5",,62,,159,,68,,227,,64,,"1,03",,175,,23,,238,,188,,"45,2",,12,,"79,5",,53,,"1,72",,36,
RE9819itkt,2775399,BTH_Le_Moulon_2001_TECH,BTH_Le_Moulon_2001_TECH,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,treated,2001,"26,3",,140,,133,,50,,183,,38,,"0,27",,149,,10,,303,,50,,"46,65",,"11,8",,80,,49,,"2,37",,26,
