observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE06073itkt,2824617,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49748,https://doi.org/10.15454/UUJTP5,RE06073,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,"131,5",,"11,58",,"74,3",,"93,7",,,,"96,3",,,,1,
RE06083itkt,2824647,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49633,gnpis_pui:holding-921_taxon-4898_accession-49633,RE06083,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,"128,5",,"10,36",,"72,2",,"99,4",,,,"102,2",,,,1,
CF06167itkt,2824633,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48968,gnpis_pui:holding-921_taxon-4898_accession-48968,CF06167,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,"129,5",,"11,36",,"70,7",,"94,9",,,,"97,5",,,,1,
RE06073itkfi,2824616,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49748,https://doi.org/10.15454/UUJTP5,RE06073,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,129,,"9,92",,"71,8",,"106,3",,1,,"78,8",,1,,1,
Koreliitkt,2824631,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,"130,5",,"11,02",,"74,5",,"97,8",,,,"100,5",,,,1,
CF06166itkt,2824635,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49254,gnpis_pui:holding-921_taxon-4898_accession-49254,CF06166,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,"131,5",,"10,8",,"71,6",,"101,6",,,,"104,4",,,,1,
CF06166itkfi,2824634,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49254,gnpis_pui:holding-921_taxon-4898_accession-49254,CF06166,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,132,,"9,21",,"68,7",,"100,8",,5,,"74,8",,1,,1,
AO07319itkfi,2824674,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49264,gnpis_pui:holding-921_taxon-4898_accession-49264,AO07319,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,"130,5",,"9,37",,"70,6",,"109,7",,"2,5",,"81,3",,1,,1,
EM06094itkfi,2824666,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,128,,"9,8",,"68,2",,"101,1",,2,,75,,1,,1,
CF06200itkfi,2824642,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48479,gnpis_pui:holding-921_taxon-4898_accession-48479,CF06200,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,126,,"10,94",,"69,6",,"94,7",,"1,5",,"70,2",,1,,1,
EM06090itkt,2824661,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49553,gnpis_pui:holding-921_taxon-4898_accession-49553,EM06090,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,128,,"10,86",,"72,3",,"102,6",,,,"105,4",,,,1,
AO07319itkt,2824675,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49264,gnpis_pui:holding-921_taxon-4898_accession-49264,AO07319,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,"132,5",,"11,12",,"69,8",,"99,5",,,,"102,3",,,,1,
EM06072itkt,2824603,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48553,gnpis_pui:holding-921_taxon-4898_accession-48553,EM06072,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,129,,"11,4",,"72,8",,"105,3",,,,"108,3",,,,1,
CF06194itkfi,2824658,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49708,gnpis_pui:holding-921_taxon-4898_accession-49708,CF06194,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"130,5",,"9,09",,69,,"105,1",,"2,5",,"77,9",,1,,1,
EM06072itkfi,2824602,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48553,gnpis_pui:holding-921_taxon-4898_accession-48553,EM06072,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,"128,5",,"9,64",,"69,8",,"103,8",,3,,77,,1,,1,
Sankaraitkt,2824645,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,130,,"11,26",,"71,1",,"100,2",,,,103,,,,1,
EM06094itkt,2824667,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,129,,"10,22",,"70,5",,"91,8",,,,"94,4",,,,1,
Sankaraitkfi,2824644,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,129,,"10,18",,"70,2",,"97,5",,4,,"72,3",,"2,5",,1,
EM06090itkfi,2824660,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49553,gnpis_pui:holding-921_taxon-4898_accession-49553,EM06090,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,"127,5",,"9,41",,"70,4",,"101,3",,"3,5",,"75,1",,1,,1,
CF06183itkt,2824613,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48740,gnpis_pui:holding-921_taxon-4898_accession-48740,CF06183,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,"130,5",,"11,11",,"71,8",,"97,1",,,,"99,8",,,,1,
Mendelitkt,2824639,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,124,,"11,58",,"69,5",,"97,8",,,,"100,5",,,,1,
CF06183itkfi,2824612,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48740,gnpis_pui:holding-921_taxon-4898_accession-48740,CF06183,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"129,5",,"9,3",,"70,2",,"98,7",,3,,"73,2",,1,,1,
DI07011itkfi,2824654,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49661,gnpis_pui:holding-921_taxon-4898_accession-49661,DI07011,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,128,,"10,35",,"70,7",,"94,3",,5,,"69,9",,2,,1,
DI07011itkt,2824655,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49661,gnpis_pui:holding-921_taxon-4898_accession-49661,DI07011,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,"129,5",,"11,36",,"72,2",,"92,1",,,,"94,6",,,,1,
Mendelitkfi,2824638,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,124,,"9,7",,"65,9",,"95,3",,4,,"70,6",,1,,1,
EM06091itkt,2824663,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49611,gnpis_pui:holding-921_taxon-4898_accession-49611,EM06091,VIRTUAL_TRIAL,,,,,,,,treated,2007,"97,5",,131,,"10,24",,73,,"98,6",,,,"101,4",,,,1,
Toisondoritkt,2824599,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2007,"72,5",,"125,5",,"11,46",,68,,"105,9",,,,"108,8",,,,1,
RE06078itkt,2824625,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49672,gnpis_pui:holding-921_taxon-4898_accession-49672,RE06078,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,"127,5",,"11,18",,"74,6",,"91,3",,,,"93,9",,,,1,
DI07008itkt,2824609,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48548,gnpis_pui:holding-921_taxon-4898_accession-48548,DI07008,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,136,,"10,12",,72,,"99,1",,,,"101,9",,,,1,
DI07012itkfi,2824610,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48866,gnpis_pui:holding-921_taxon-4898_accession-48866,DI07012,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"77,5",,"128,5",,"10,34",,67,,"99,9",,"2,5",,"74,1",,1,,1,
DI07008itkfi,2824608,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48548,gnpis_pui:holding-921_taxon-4898_accession-48548,DI07008,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"133,5",,"9,48",,"63,8",,"97,7",,2,,"72,4",,2,,1,
Toisondoritkfi,2824598,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"77,5",,124,,"8,98",,"68,6",,"113,4",,"2,5",,"84,1",,"3,5",,1,
DI07014itkt,2824605,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49677,gnpis_pui:holding-921_taxon-4898_accession-49677,DI07014,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,132,,"10,54",,"71,5",,"99,9",,,,"102,7",,,,1,
DI07009itkfi,2824606,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49392,gnpis_pui:holding-921_taxon-4898_accession-49392,DI07009,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,129,,"10,24",,"69,3",,"97,9",,"1,5",,"72,6",,1,,1,
Ghaytaitkt,2824673,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,130,,"11,5",,"73,6",,"96,6",,,,"99,2",,,,1,
Ghaytaitkfi,2824672,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,129,,"10,09",,"69,2",,"99,7",,3,,"73,9",,2,,1,
DI07012itkt,2824611,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48866,gnpis_pui:holding-921_taxon-4898_accession-48866,DI07012,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,129,,"11,75",,"67,9",,"93,3",,,,"95,9",,,,1,
RE06085itkt,2824615,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49128,gnpis_pui:holding-921_taxon-4898_accession-49128,RE06085,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,129,,"10,32",,"72,2",,"104,7",,,,"107,6",,,,1,
RE06085itkfi,2824614,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49128,gnpis_pui:holding-921_taxon-4898_accession-49128,RE06085,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"126,5",,"8,64",,"71,4",,111,,2,,"82,3",,1,,1,
DI07009itkt,2824607,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49392,gnpis_pui:holding-921_taxon-4898_accession-49392,DI07009,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,130,,"11,49",,"70,2",,"96,7",,,,"99,4",,,,"1,5",
CF06154itkt,2824683,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49465,gnpis_pui:holding-921_taxon-4898_accession-49465,CF06154,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,132,,"9,82",,"70,4",,"104,7",,,,"107,6",,,,1,
CF06154itkfi,2824682,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49465,gnpis_pui:holding-921_taxon-4898_accession-49465,CF06154,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,"128,5",,"9,16",,"69,6",,"114,3",,1,,"84,8",,1,,1,
DI07013itkt,2824651,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27803,https://doi.org/10.15454/GVABT5,DI07013,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,"121,5",,"11,02",,71,,"99,2",,,,102,,,,1,
DI07013itkfi,2824650,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27803,https://doi.org/10.15454/GVABT5,DI07013,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,122,,"9,04",,"71,2",,111,,1,,"82,3",,3,,1,
EM06091itkfi,2824662,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49611,gnpis_pui:holding-921_taxon-4898_accession-49611,EM06091,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"131,5",,"9,33",,"71,5",,"97,9",,2,,"72,6",,1,,1,
Caphornitkfi,2824648,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"402,5",,"123,5",,"9,61",,"68,4",,"107,5",,"1,5",,"79,7",,1,,1,
RE06094itkt,2824629,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49599,gnpis_pui:holding-921_taxon-4898_accession-49599,RE06094,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,125,,"12,8",,68,,"88,7",,,,"91,1",,,,1,
EM06170itkt,2824601,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48712,gnpis_pui:holding-921_taxon-4898_accession-48712,EM06170,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,119,,"10,38",,"65,3",,"99,3",,,,102,,,,2,
RE06094itkfi,2824628,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49599,gnpis_pui:holding-921_taxon-4898_accession-49599,RE06094,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,124,,"11,72",,"69,4",,"99,6",,2,,"73,8",,1,,1,
Caphornitkt,2824649,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,124,,"11,12",,"69,4",,"97,8",,,,"100,5",,,,1,
DI07010itkfi,2824652,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49542,gnpis_pui:holding-921_taxon-4898_accession-49542,DI07010,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"128,5",,"9,74",,"70,2",,"100,4",,"2,5",,"74,4",,3,,1,
CF06200itkt,2824643,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,48479,gnpis_pui:holding-921_taxon-4898_accession-48479,CF06200,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,"126,5",,"12,25",,"66,1",,"90,3",,,,"92,8",,,,1,
CF06204itkt,2824641,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49620,gnpis_pui:holding-921_taxon-4898_accession-49620,CF06204,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,132,,"10,88",,"72,1",,"98,7",,,,"101,4",,,,1,
RE06079itkt,2824623,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49477,gnpis_pui:holding-921_taxon-4898_accession-49477,RE06079,VIRTUAL_TRIAL,,,,,,,,treated,2007,"97,5",,132,,"11,94",,"75,3",,"92,8",,,,"95,4",,,,1,
EM06089itkt,2824627,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,"129,5",,"11,39",,74,,"101,2",,,,104,,,,1,
CF06204itkfi,2824640,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49620,gnpis_pui:holding-921_taxon-4898_accession-49620,CF06204,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,131,,"9,8",,"68,2",,"94,1",,5,,"69,8",,1,,1,
EM06089itkfi,2824626,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,128,,"10,01",,"70,8",,"106,9",,"1,5",,"79,3",,"2,5",,1,
