observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE07019,2839913,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,2009,"2,5",,3,,1,
RE07093,2839921,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,2009,5,,3,,1,
RE07012,2839906,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,2009,4,,3,,1,
RE07040,2839934,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,2009,6,,3,,3,
Premio,2839901,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2009,5,,NA,,3,
Apache,2839920,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,NA,,1,
CF07022,2839937,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,2009,3,,2,,1,
Attlass,2839932,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,NA,,2,
Sankara,2839924,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,NA,,5,
AO09012,2839927,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,49365,https://doi.org/10.15454/BQSLNQ,AO09012,VIRTUAL_TRIAL,,,,,,,,2009,3,,5,,5,
Grapeli,2839915,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,2009,4,,2,,1,
Caphorn,2839925,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2009,7,,NA,,6,
CF07311,2839918,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27837,https://doi.org/10.15454/CYACZC,CF07311,VIRTUAL_TRIAL,,,,,,,,2009,5,,3,,1,
RE07095,2839923,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,2009,4,,2,,1,
CF07143,2839926,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,2009,"2,5",,2,,1,
EM07117,2839914,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,2,,1,
RE07089,2839936,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,48646,https://doi.org/10.15454/TXCHAY,RE07089,VIRTUAL_TRIAL,,,,,,,,2009,4,,3,,1,
AO09006,2839910,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27775,https://doi.org/10.15454/WU0VNG,AO09006,VIRTUAL_TRIAL,,,,,,,,2009,3,,5,,6,
CF07193,2839916,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27793,https://doi.org/10.15454/0F480I,CF07193,VIRTUAL_TRIAL,,,,,,,,2009,3,,2,,1,
CF07267,2839935,BTH_Rennes_2009_SetA2_PIETIN-VERSE,BTH_Rennes_2009_SetA2_PIETIN-VERSE,27794,https://doi.org/10.15454/LNBBQV,CF07267,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,3,,1,
