observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM05312itkfi,2821834,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,48450,https://doi.org/10.15454/XWZ3V6,EM05312,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,,,"12,74",,"68,8",,"105,9",,"4,8",,"49,6",,1,
CF05140itkt,2821847,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49523,https://doi.org/10.15454/MMQSM6,CF05140,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,"129,5",,"12,23",,79,,91,,,,"72,4",,"2,5",
CF05091itkt,2821871,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26973,https://doi.org/10.15454/GWNEQR,CF05091,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,"127,5",,"12,32",,"73,9",,"88,4",,,,"70,4",,1,
CF05091itkfi,2821870,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26973,https://doi.org/10.15454/GWNEQR,CF05091,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,,,"13,04",,"65,4",,"94,3",,"6,5",,"44,2",,1,
CF05070itkfi,2821886,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49098,https://doi.org/10.15454/YQH6B1,CF05070,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,,,"13,59",,"69,8",,"95,4",,"6,5",,"44,7",,1,
CF04046itkfi,2821878,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26983,https://doi.org/10.15454/Z7JXFB,CF04046,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,,,"13,02",,"66,4",,"88,3",,"4,8",,"41,4",,"4,2",
CF05140itkfi,2821846,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49523,https://doi.org/10.15454/MMQSM6,CF05140,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,,,"12,7",,"71,4",,"107,7",,"4,2",,"50,4",,2,
RE05037itkfi,2821848,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26901,https://doi.org/10.15454/WC63BJ,RE05037,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,,,"11,18",,"70,6",,"118,9",,"5,2",,"55,7",,"4,2",
CF05086itkfi,2821844,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49341,https://doi.org/10.15454/RKQK2G,CF05086,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,,,"13,1",,"66,3",,"75,8",,"7,2",,"35,5",,1,
RE05007itkt,2821831,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,128,,"11,46",,"70,5",,"92,2",,,,"73,4",,1,
RE05007itkfi,2821830,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,,,"12,82",,"68,2",,"125,6",,1,,"58,8",,1,
CF05161itkt,2821855,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,129,,"12,26",,"73,6",,"92,9",,,,74,,1,
CF05161itkfi,2821854,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,,,"13,11",,67,,"95,5",,"3,5",,"44,7",,1,
DI06007itkfi,2821892,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,,,"12,11",,"73,2",,"135,1",,"1,5",,"63,3",,1,
CF05162itkt,2821851,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,129,,"11,22",,"76,6",,105,,,,"83,6",,1,
RE05037itkt,2821849,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26901,https://doi.org/10.15454/WC63BJ,RE05037,VIRTUAL_TRIAL,,,,,,,,treated,2007,100,,131,,"10,64",,"75,4",,"99,6",,,,"79,3",,"3,2",
CF05162itkfi,2821850,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,,,"12,42",,"68,7",,"110,7",,"6,2",,"51,8",,1,
CF05086itkt,2821845,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49341,https://doi.org/10.15454/RKQK2G,CF05086,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,127,,"11,72",,"76,8",,"99,9",,,,"79,5",,1,
AO06407itkt,2821841,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26982,https://doi.org/10.15454/FCNCUR,AO06407,VIRTUAL_TRIAL,,,,,,,,treated,2007,100,,133,,"10,99",,76,,"92,2",,,,"73,4",,"1,5",
RE05050itkfi,2821868,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,,,"13,14",,"66,2",,"100,6",,"5,8",,"47,1",,1,
EM05230itkt,2821891,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26988,https://doi.org/10.15454/FV0GUM,EM05230,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,136,,"10,85",,"74,6",,"93,6",,,,"74,5",,1,
EM05230itkfi,2821890,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26988,https://doi.org/10.15454/FV0GUM,EM05230,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,,,"11,76",,"69,8",,"120,2",,3,,"56,3",,1,
RE05039itkt,2821857,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,27825,https://doi.org/10.15454/FYAJT8,RE05039,VIRTUAL_TRIAL,,,,,,,,treated,2007,100,,"130,5",,"12,59",,73,,"96,4",,,,"76,7",,6,
AO06407itkfi,2821840,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26982,https://doi.org/10.15454/FCNCUR,AO06407,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,,,"11,95",,69,,"89,8",,"4,8",,"42,1",,1,
CF05138itkt,2821881,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49473,https://doi.org/10.15454/MHX4J5,CF05138,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,134,,"12,24",,"74,4",,"91,5",,,,"72,8",,1,
EM05162itkt,2821833,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26971,https://doi.org/10.15454/IAEYHC,EM05162,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,122,,"10,77",,"78,6",,"115,5",,,,"91,9",,1,
EM05162itkfi,2821832,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26971,https://doi.org/10.15454/IAEYHC,EM05162,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,,,"12,38",,"72,6",,"110,4",,"8,5",,"51,7",,1,
RE05039itkfi,2821856,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,27825,https://doi.org/10.15454/FYAJT8,RE05039,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,,,"12,04",,68,,"122,4",,"3,5",,"57,3",,"3,5",
Mendelitkt,2821861,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,128,,"12,2",,"74,4",,"95,2",,,,"75,8",,1,
CF04046itkt,2821879,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26983,https://doi.org/10.15454/Z7JXFB,CF04046,VIRTUAL_TRIAL,,,,,,,,treated,2007,"102,5",,"133,5",,"11,2",,"75,2",,"90,6",,,,"72,2",,"3,2",
RE05011itkt,2821877,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26899,https://doi.org/10.15454/3NYQAY,RE05011,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,132,,"12,06",,"75,6",,"95,8",,,,"76,2",,1,
Folkloritkfi,2821836,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,,,"11,38",,"70,7",,"135,3",,"3,2",,"63,4",,"1,5",
CF05138itkfi,2821880,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49473,https://doi.org/10.15454/MHX4J5,CF05138,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,,,"13,7",,"65,8",,"90,6",,"5,5",,"42,4",,1,
EM05178itkfi,2821862,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26987,https://doi.org/10.15454/KGPOGY,EM05178,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,,,"11,96",,"67,3",,"91,1",,"4,2",,"42,6",,1,
EM05178itkt,2821863,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26987,https://doi.org/10.15454/KGPOGY,EM05178,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,"135,5",,"11,66",,"75,7",,94,,,,"74,8",,"3,5",
Folkloritkt,2821837,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2007,100,,"132,5",,"11,18",,"75,7",,"109,6",,,,"87,3",,"2,2",
RE05041itkt,2821839,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,27042,https://doi.org/10.15454/1NUEUQ,RE05041,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,"132,5",,"12,64",,"77,8",,"96,8",,,,"77,1",,4,
RE05041itkfi,2821838,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,27042,https://doi.org/10.15454/1NUEUQ,RE05041,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,,,"12,28",,"74,9",,"132,8",,"1,5",,"62,2",,"2,5",
RE05005itkt,2821829,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,128,,"11,96",,"71,1",,"89,1",,,,"70,9",,1,
Caphornitkfi,2821866,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,,,"13,5",,"65,4",,"106,7",,"5,5",,50,,2,
RE05050itkt,2821869,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,"129,5",,"12,16",,"75,2",,"91,9",,,,"73,2",,1,
