observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
1,2862309,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"8,98",,"96,14",,,
1,2862315,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"9,68",,"97,89",,6,
2,2862314,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"8,76",,"85,23",,,
2,2862316,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"9,66",,"98,29",,1,
1,2862313,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"8,74",,"89,87",,,
2,2862342,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"10,1",,"87,57",,,
1,2862341,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"10,21",,"87,78",,,
2,2862344,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"10,84",,"93,07",,1,
1,2862343,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"10,52",,"99,82",,2,
2,2862368,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"9,99",,"101,11",,1,
2,2862366,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2012,"9,05",,"93,58",,,
1,2862365,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"8,8",,"89,6",,,
1,2862367,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"9,75",,"97,19",,1,
2,2862288,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"9,7",,"102,08",,2,
1,2862287,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"9,37",,"105,25",,2,
1,2862285,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2012,"8,42",,"83,16",,,
