observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO13001itkfi,2871610,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,143,,"10,2",,75,,"93,6",,2,,"99,3",,1,,1,
EM09320itkfi,2871606,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,144,,"9,7",,76,,91,,1,,"96,5",,3,,1,
Croustyitkt,2871653,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,146,,"12,2",,81,,"92,3",,,,"107,7",,,,1,
AO11011itkt,2871645,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,151,,"11,4",,"79,5",,"102,1",,,,"119,1",,,,1,
AO13001itkt,2871611,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,147,,"11,8",,"76,5",,"96,2",,,,"112,2",,,,1,
CF10064itkt,2871617,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,145,,"11,2",,"79,5",,"92,9",,,,"108,3",,,,1,
CF10064itkfi,2871616,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,146,,"10,1",,78,,"96,1",,2,,102,,1,,1,
Croustyitkfi,2871652,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,147,,"10,5",,"77,5",,"88,1",,1,,"93,6",,1,,1,
CF09169itkfi,2871630,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,142,,"10,6",,"74,5",,"85,1",,2,,"90,4",,1,,1,
AO12014itkfi,2871622,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,146,,9,,"76,5",,"96,6",,1,,"102,5",,7,,2,
EM09320itkt,2871607,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,144,,"10,4",,"78,5",,"95,8",,,,"111,8",,,,1,
AO12006itkt,2871635,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,145,,"11,8",,"78,5",,"83,4",,,,"97,3",,,,1,
Gotikitkt,2871657,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,148,,"11,8",,79,,"88,5",,,,"103,3",,,,1,
Galibieritkt,2871627,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,134,,"11,7",,80,,"80,7",,,,"94,2",,,,5,
Gotikitkfi,2871656,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,152,,"11,1",,78,,90,,1,,"95,5",,1,,1,
AO12035itkfi,2871648,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,49348,https://doi.org/10.15454/NFBGKG,AO12035,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,148,,"10,1",,"80,5",,"97,5",,1,,"103,5",,1,,1,
AO12006itkfi,2871634,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,149,,"11,1",,75,,"85,4",,1,,"90,7",,1,,1,
AO12011itkt,2871665,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,148,,"10,8",,80,,"92,6",,,,108,,,,1,
CF09169itkt,2871631,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,143,,"12,1",,"81,5",,"81,3",,,,"94,8",,,,1,
Galibieritkfi,2871626,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,134,,"11,4",,78,,"81,3",,1,,"86,3",,1,,1,
AO12033itkt,2871655,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,60771,https://doi.org/10.15454/KH7BKH,AO12033,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,145,,"11,8",,79,,"98,8",,,,"115,3",,,,1,
AO12016itkfi,2871666,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,150,,"9,8",,"73,5",,"95,5",,2,,"101,3",,1,,1,
AO12016itkt,2871667,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,145,,"10,4",,77,,102,,,,119,,,,1,
AO12011itkfi,2871664,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,150,,"10,3",,"77,5",,"94,5",,3,,"100,3",,4,,1,
CF09117itkfi,2871670,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,142,,"11,3",,76,,"85,3",,1,,"90,5",,1,,1,
Altigoitkt,2871647,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,140,,"11,8",,"77,5",,"102,4",,,,"119,4",,,,1,
AO12013itkfi,2871662,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,146,,"9,4",,76,,98,,1,,104,,1,,1,
CF09117itkt,2871671,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,143,,"13,4",,80,,"92,6",,,,108,,,,1,
Pakitoitkt,2871633,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,142,,"10,8",,"81,5",,"102,3",,,,"119,4",,,,1,
Pakitoitkfi,2871632,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,144,,"10,1",,"75,5",,"104,5",,1,,"110,9",,1,,1,
EM09222itkt,2871661,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,139,,"11,6",,76,,"103,1",,,,"120,3",,,,2,
AO12013itkt,2871663,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,147,,"10,6",,79,,"99,8",,,,"116,4",,,,1,
EM08231itkfi,2871658,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,148,,"10,8",,"68,5",,"95,1",,1,,"100,9",,1,,1,
AO12033itkfi,2871654,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,60771,https://doi.org/10.15454/KH7BKH,AO12033,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,143,,"10,7",,"77,5",,"99,9",,1,,106,,3,,1,
EM08231itkt,2871659,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,143,,"10,7",,74,,"92,7",,,,"108,2",,,,1,
DI11012itkfi,2871674,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,4,,147,,"9,8",,79,,"102,1",,1,,"108,4",,5,,1,
Bermudeitkt,2871619,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,143,,"10,4",,"78,5",,"95,7",,,,"111,7",,,,1,
Folkloritkfi,2871608,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,149,,"10,5",,75,,"97,5",,1,,"103,5",,1,,1,
DI11012itkt,2871675,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,147,,11,,"79,5",,"98,7",,,,"115,1",,,,1,
Folkloritkt,2871609,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,144,,"11,2",,"76,5",,"104,3",,,,"121,6",,,,1,
EM09222itkfi,2871660,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,140,,10,,74,,"95,5",,1,,"101,3",,1,,1,
DI11002itkfi,2871642,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,146,,"10,1",,"72,5",,"84,5",,1,,"89,7",,1,,1,
RE10039itkt,2871625,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,143,,"11,9",,74,,"90,6",,,,"105,7",,,,1,
DI11014itkfi,2871676,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,3,,150,,"9,8",,77,,103,,1,,"109,3",,1,,1,
DI11013itkfi,2871672,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,5,,151,,"9,6",,"77,5",,"94,4",,1,,"100,2",,5,,2,
Bermudeitkfi,2871618,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,147,,"10,3",,"76,5",,"97,4",,5,,"103,4",,1,,1,
RE10039itkfi,2871624,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,147,,"10,7",,73,,"85,1",,1,,"90,3",,1,,1,
Apacheitkfi,2871636,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,141,,"10,4",,78,,"97,2",,1,,"103,2",,1,,1,
AO11013itkt,2871605,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,145,,11,,"77,5",,"97,9",,,,"114,2",,,,1,
DI11013itkt,2871673,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,147,,"10,2",,"82,5",,"98,7",,,,"115,2",,,,1,
AO11013itkfi,2871604,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,151,,"10,4",,73,,"92,5",,1,,"98,2",,1,,1,
DI11002itkt,2871643,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,143,,"11,9",,74,,"95,3",,,,"111,1",,,,1,
Apacheitkt,2871637,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,142,,"10,7",,"81,5",,"99,6",,,,"116,2",,,,1,
Lyrikitkfi,2871680,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,149,,10,,"73,5",,108,,1,,"114,7",,1,,1,
RE10042itkfi,2871650,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,151,,"10,4",,76,,"91,6",,1,,"97,2",,1,,1,
Lyrikitkt,2871681,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,145,,"10,1",,"77,5",,"102,2",,,,"119,2",,,,1,
