observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2824179,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49392,gnpis_pui:holding-921_taxon-4898_accession-49392,DI07009,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,99",,69,,67,,4,
1,2824178,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49392,gnpis_pui:holding-921_taxon-4898_accession-49392,DI07009,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,93",,"68,3",,"69,17",,1,
2,2824267,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,82",,"68,3",,"79,45",,"7,5",
1,2824266,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,91",,"67,6",,"74,63",,1,
2,2824265,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,34",,"69,5",,"74,46",,"4,5",
1,2824264,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,29",,"72,4",,"72,17",,"1,5",
2,2824217,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,12",,"73,5",,"67,93",,"4,5",
2,2824219,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,29",,"72,4",,"76,42",,7,
1,2824218,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,43",,"73,1",,"75,96",,2,
1,2824216,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,95",,"73,7",,"70,86",,"1,5",
2,2824327,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,68",,"73,6",,"87,38",,"4,5",
1,2824326,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,97",,"71,1",,"80,44",,"2,5",
2,2824325,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,51",,"73,7",,"74,99",,3,
1,2824324,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,16",,"72,8",,"72,38",,"1,5",
1,2824298,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"13,02",,"70,8",,"79,66",,"1,5",
2,2824297,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,92",,"69,7",,"67,07",,"5,5",
1,2824296,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,56",,"69,7",,"63,97",,"1,5",
2,2824299,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,85",,"70,3",,"76,27",,"6,5",
2,2824291,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49611,gnpis_pui:holding-921_taxon-4898_accession-49611,EM06091,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,52",,"72,4",,"74,26",,7,
1,2824290,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49611,gnpis_pui:holding-921_taxon-4898_accession-49611,EM06091,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,19",,73,,"67,14",,1,
2,2824289,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49611,gnpis_pui:holding-921_taxon-4898_accession-49611,EM06091,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,63",,"69,8",,"57,74",,5,
1,2824288,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49611,gnpis_pui:holding-921_taxon-4898_accession-49611,EM06091,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,3",,73,,"60,92",,1,
2,2824165,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,48712,gnpis_pui:holding-921_taxon-4898_accession-48712,EM06170,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,09",,"69,2",,"64,52",,4,
2,2824167,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,48712,gnpis_pui:holding-921_taxon-4898_accession-48712,EM06170,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,87",,"68,7",,"69,83",,"5,5",
1,2824164,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,48712,gnpis_pui:holding-921_taxon-4898_accession-48712,EM06170,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,73",,"68,7",,"63,29",,2,
1,2824166,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,48712,gnpis_pui:holding-921_taxon-4898_accession-48712,EM06170,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,18",,"69,7",,"53,42",,2,
1,2824200,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,48857,gnpis_pui:holding-921_taxon-4898_accession-48857,AO07301,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,74",,"64,5",,"51,5",,1,
2,2824203,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,48857,gnpis_pui:holding-921_taxon-4898_accession-48857,AO07301,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,55",,"66,2",,"65,3",,"6,5",
1,2824202,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,48857,gnpis_pui:holding-921_taxon-4898_accession-48857,AO07301,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,32",,"65,4",,"66,08",,1,
2,2824201,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,48857,gnpis_pui:holding-921_taxon-4898_accession-48857,AO07301,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,27",,"62,6",,"52,82",,4,
1,2824186,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,48866,gnpis_pui:holding-921_taxon-4898_accession-48866,DI07012,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"14,6",,"66,6",,"70,45",,1,
2,2824185,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,48866,gnpis_pui:holding-921_taxon-4898_accession-48866,DI07012,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,7",,"64,3",,"60,43",,2,
1,2824184,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,48866,gnpis_pui:holding-921_taxon-4898_accession-48866,DI07012,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"14,01",,"65,6",,"64,18",,1,
2,2824187,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,48866,gnpis_pui:holding-921_taxon-4898_accession-48866,DI07012,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"13,8",,"67,2",,"68,72",,3,
2,2824271,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49542,gnpis_pui:holding-921_taxon-4898_accession-49542,DI07010,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"13,26",,"68,7",,"67,17",,2,
2,2824269,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49542,gnpis_pui:holding-921_taxon-4898_accession-49542,DI07010,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,07",,"68,5",,"58,79",,"2,5",
1,2824270,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49542,gnpis_pui:holding-921_taxon-4898_accession-49542,DI07010,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"13,24",,"66,3",,"62,68",,1,
1,2824268,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49542,gnpis_pui:holding-921_taxon-4898_accession-49542,DI07010,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,77",,"68,2",,"57,38",,1,
2,2824287,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49553,gnpis_pui:holding-921_taxon-4898_accession-49553,EM06090,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"13,22",,"71,1",,"66,93",,7,
1,2824286,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49553,gnpis_pui:holding-921_taxon-4898_accession-49553,EM06090,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"13,62",,"69,5",,"76,2",,1,
2,2824285,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49553,gnpis_pui:holding-921_taxon-4898_accession-49553,EM06090,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,79",,"69,3",,"54,42",,"5,5",
1,2824284,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49553,gnpis_pui:holding-921_taxon-4898_accession-49553,EM06090,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,89",,"70,1",,"62,62",,1,
2,2824251,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,48479,gnpis_pui:holding-921_taxon-4898_accession-48479,CF06200,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"14,46",,"70,1",,"73,88",,7,
