observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ps(CO_321:1000220),ps(CO_321:1000220).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2824698,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48866,gnpis_pui:holding-921_taxon-4898_accession-48866,DI07012,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"63,6",,"2,5",,"39,17",
2,2824699,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48866,gnpis_pui:holding-921_taxon-4898_accession-48866,DI07012,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"64,3",,"5,8",,"38,56",
1,2824740,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49542,gnpis_pui:holding-921_taxon-4898_accession-49542,DI07010,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"66,9",,"2,8",,"45,42",
2,2824741,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49542,gnpis_pui:holding-921_taxon-4898_accession-49542,DI07010,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"67,7",,"4,5",,"47,83",
2,2824749,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49553,gnpis_pui:holding-921_taxon-4898_accession-49553,EM06090,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"72,6",,"5,8",,"53,49",
1,2824748,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49553,gnpis_pui:holding-921_taxon-4898_accession-49553,EM06090,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"72,6",,"3,2",,"54,62",
2,2824731,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48479,gnpis_pui:holding-921_taxon-4898_accession-48479,CF06200,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"70,7",,"4,2",,"48,65",
1,2824730,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48479,gnpis_pui:holding-921_taxon-4898_accession-48479,CF06200,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"71,7",,2,,"51,31",
1,2824712,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49672,gnpis_pui:holding-921_taxon-4898_accession-49672,RE06078,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"76,3",,"1,5",,"55,27",
2,2824713,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49672,gnpis_pui:holding-921_taxon-4898_accession-49672,RE06078,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"73,4",,3,,"48,94",
2,2824693,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49677,gnpis_pui:holding-921_taxon-4898_accession-49677,DI07014,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"69,1",,"2,5",,"51,39",
1,2824692,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49677,gnpis_pui:holding-921_taxon-4898_accession-49677,DI07014,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"67,6",,"1,8",,"46,2",
1,2824746,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49708,gnpis_pui:holding-921_taxon-4898_accession-49708,CF06194,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"69,2",,"3,5",,"42,59",
2,2824747,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49708,gnpis_pui:holding-921_taxon-4898_accession-49708,CF06194,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"69,6",,"5,8",,"40,98",
2,2824767,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27831,https://doi.org/10.15454/BPSJCE,RE06061,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"68,6",,"3,2",,"56,9",
1,2824766,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27831,https://doi.org/10.15454/BPSJCE,RE06061,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"69,5",,"1,5",,"59,65",
2,2824759,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27758,https://doi.org/10.15454/HQFX9Y,AO07218,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"73,7",,"6,8",,"44,98",
1,2824758,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27758,https://doi.org/10.15454/HQFX9Y,AO07218,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"72,8",,"4,2",,"45,43",
1,2824708,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27759,https://doi.org/10.15454/VOAXIV,AO07302,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"69,8",,"4,5",,"51,21",
2,2824709,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27759,https://doi.org/10.15454/VOAXIV,AO07302,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,70,,"6,8",,"52,15",
1,2824752,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27760,https://doi.org/10.15454/RMDMGI,AO07311,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"77,3",,"1,5",,"56,41",
2,2824753,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,27760,https://doi.org/10.15454/RMDMGI,AO07311,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"72,6",,2,,"47,46",
2,2824735,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49633,gnpis_pui:holding-921_taxon-4898_accession-49633,RE06083,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"69,5",,1,,"50,98",
1,2824734,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49633,gnpis_pui:holding-921_taxon-4898_accession-49633,RE06083,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"72,7",,1,,"49,81",
2,2824723,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49254,gnpis_pui:holding-921_taxon-4898_accession-49254,CF06166,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"64,7",,8,,"38,44",
1,2824722,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49254,gnpis_pui:holding-921_taxon-4898_accession-49254,CF06166,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"64,2",,"5,5",,"38,62",
2,2824691,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48553,gnpis_pui:holding-921_taxon-4898_accession-48553,EM06072,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"71,2",,"5,8",,"48,24",
1,2824690,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48553,gnpis_pui:holding-921_taxon-4898_accession-48553,EM06072,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"70,1",,"3,5",,"45,79",
2,2824701,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48740,gnpis_pui:holding-921_taxon-4898_accession-48740,CF06183,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,69,,"5,2",,"45,6",
1,2824700,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48740,gnpis_pui:holding-921_taxon-4898_accession-48740,CF06183,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"69,5",,"3,2",,"50,84",
2,2824743,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49661,gnpis_pui:holding-921_taxon-4898_accession-49661,DI07011,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"68,8",,"8,5",,"40,58",
1,2824742,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49661,gnpis_pui:holding-921_taxon-4898_accession-49661,DI07011,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"68,1",,5,,"42,03",
1,2824696,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48548,gnpis_pui:holding-921_taxon-4898_accession-48548,DI07008,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"63,1",,2,,"40,11",
1,2824702,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49128,gnpis_pui:holding-921_taxon-4898_accession-49128,RE06085,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"71,4",,3,,"53,51",
2,2824703,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49128,gnpis_pui:holding-921_taxon-4898_accession-49128,RE06085,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"70,4",,"5,2",,"51,98",
2,2824771,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49465,gnpis_pui:holding-921_taxon-4898_accession-49465,CF06154,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"62,2",,"1,5",,"49,88",
1,2824770,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49465,gnpis_pui:holding-921_taxon-4898_accession-49465,CF06154,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"66,5",,"1,5",,"54,11",
1,2824716,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49599,gnpis_pui:holding-921_taxon-4898_accession-49599,RE06094,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"73,3",,3,,"48,54",
2,2824717,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49599,gnpis_pui:holding-921_taxon-4898_accession-49599,RE06094,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"73,9",,"4,5",,"53,09",
1,2824728,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49620,gnpis_pui:holding-921_taxon-4898_accession-49620,CF06204,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"68,9",,"5,5",,"39,78",
2,2824729,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49620,gnpis_pui:holding-921_taxon-4898_accession-49620,CF06204,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"66,9",,7,,"38,34",
1,2824756,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49628,gnpis_pui:holding-921_taxon-4898_accession-49628,RE06068,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,75,,2,,"46,16",
2,2824757,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49628,gnpis_pui:holding-921_taxon-4898_accession-49628,RE06068,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"74,2",,"4,2",,"51,66",
2,2824685,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49641,gnpis_pui:holding-921_taxon-4898_accession-49641,RE06065,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"73,9",,"3,5",,"49,81",
1,2824684,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49641,gnpis_pui:holding-921_taxon-4898_accession-49641,RE06065,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"73,9",,1,,"49,66",
1,2824724,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"71,5",,"5,8",,"51,06",
2,2824725,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"72,1",,9,,"44,77",
1,2824720,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48968,gnpis_pui:holding-921_taxon-4898_accession-48968,CF06167,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"67,3",,"5,8",,"43,24",
2,2824721,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,48968,gnpis_pui:holding-921_taxon-4898_accession-48968,CF06167,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"67,3",,8,,"45,93",
2,2824763,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49264,gnpis_pui:holding-921_taxon-4898_accession-49264,AO07319,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"71,1",,3,,"53,28",
1,2824762,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,49264,gnpis_pui:holding-921_taxon-4898_accession-49264,AO07319,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"71,9",,"2,5",,"54,42",
1,2824732,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"67,6",,"4,8",,"39,93",
2,2824733,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"68,2",,"6,2",,"42,79",
2,2824687,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"73,9",,1,,"64,12",
1,2824686,BTH_Lusignan_2007_SetB2,BTH_Lusignan_2007_SetB2,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"74,8",,1,,"60,56",
