observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,volC(CO_321:1000235),volC(CO_321:1000235).date,vp(CO_321:1000225),vp(CO_321:1000225).date
RE01086,2784523,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,2002,"19,3",,75,,90,,58,,148,,89,,"1,18",,202,,76,,364,,"14,5",,"80,4",,56,,1230,,"2,74",
EM00264,2784531,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,2002,"20,7",,87,,136,,71,,207,,63,,"0,72",,172,,74,,355,,"11,2",,"81,3",,45,,1450,,"2,77",
CF01043,2784533,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,48822,gnpis_pui:holding-921_taxon-4898_accession-48822,CF01043,VIRTUAL_TRIAL,,,,,,,,2002,"27,1",,149,,121,,71,,192,,35,,"0,23",,145,,37,,299,,"12,9",,"82,2",,44,,1337,,"1,79",
EM01063,2784504,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49119,gnpis_pui:holding-921_taxon-4898_accession-49119,EM01063,VIRTUAL_TRIAL,,,,,,,,2002,"22,1",,99,,148,,62,,210,,46,,"0,47",,134,,40,,269,,"11,8",,"82,8",,35,,1452,,"2,01",
DI02028,2784522,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,2002,"28,1",,160,,128,,63,,191,,36,,"0,23",,168,,34,,305,,"12,3",,"83,3",,35,,1340,,"1,67",
Apache,2784509,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2002,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF01196,2784497,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49532,gnpis_pui:holding-921_taxon-4898_accession-49532,CF01196,VIRTUAL_TRIAL,,,,,,,,2002,"22,3",,101,,127,,76,,203,,51,,"0,51",,169,,36,,321,,"11,6",,"81,6",,38,,1298,,"2,22",
EM01062,2784503,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,48872,gnpis_pui:holding-921_taxon-4898_accession-48872,EM01062,VIRTUAL_TRIAL,,,,,,,,2002,"19,8",,79,,125,,59,,184,,74,,"0,94",,186,,70,,303,,"12,8",,"81,9",,44,,1382,,"2,04",
EM01214,2784489,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,2002,"23,6",,113,,166,,77,,243,,54,,"0,48",,217,,30,,140,,"12,6",,"82,4",,43,,1772,,"2,3",
EM01271,2784505,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,2002,"21,1",,90,,161,,76,,237,,63,,"0,7",,200,,66,,226,,"11,5",,"78,5",,50,,1627,,"1,66",
Skerzzo,2784536,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,2002,"28,2",,161,,107,,64,,171,,61,,"0,38",,312,,55,,359,,"13,8",,85,,51,,1313,,"2,49",
CF99351,2784506,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,25899,https://doi.org/10.15454/QG5OJU,CF99351,VIRTUAL_TRIAL,,,,,,,,2002,"22,6",,104,,82,,62,,144,,105,,"1,01",,411,,47,,326,,"13,6",,"82,9",,33,,1198,,"2,92",
EM00018,2784526,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,2002,"24,3",,120,,136,,64,,200,,39,,"0,33",,151,,32,,234,,"11,8",,"80,5",,35,,1451,,"1,79",
EM01324,2784508,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,VIRTUAL_TRIAL,,,,,,,,2002,"19,8",,79,,133,,59,,192,,65,,"0,83",,175,,70,,162,,"11,5",,"78,2",,41,,1572,,"2,21",
DI00010,2784487,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,2002,"21,4",,93,,151,,68,,219,,59,,"0,63",,200,,29,,335,,"12,1",,"84,6",,40,,1523,,"2,69",
CF00116,2784517,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,2002,"26,3",,140,,118,,68,,186,,41,,"0,3",,159,,28,,323,,"12,9",,"81,2",,40,,1342,,"2,55",
EM00072,2784528,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26102,https://doi.org/10.15454/WNKZ9X,EM00072,VIRTUAL_TRIAL,,,,,,,,2002,"23,1",,108,,138,,62,,200,,39,,"0,36",,134,,38,,288,,"11,2",,"77,3",,33,,1411,,"2,14",
EM00002,2784490,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,2002,"29,6",,178,,149,,77,,226,,43,,"0,24",,235,,34,,283,,"13,2",,"83,4",,49,,1592,,"1,58",
DI00024,2784491,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,2002,"27,6",,155,,132,,50,,182,,40,,"0,26",,154,,24,,295,,"12,3",,"82,1",,37,,1520,,"2,65",
RE01002,2784529,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26110,https://doi.org/10.15454/PY1VVU,RE01002,VIRTUAL_TRIAL,,,,,,,,2002,"26,5",,142,,154,,51,,205,,31,,"0,22",,131,,40,,168,,"13,2",,"83,3",,35,,1654,,"1,39",
CF00108,2784488,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26103,https://doi.org/10.15454/VUCZZU,CF00108,VIRTUAL_TRIAL,,,,,,,,2002,26,,137,,119,,51,,170,,41,,"0,3",,159,,17,,316,,"12,6",,81,,34,,1342,,"2,68",
EM01023,2784521,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,2002,23,,107,,143,,78,,221,,67,,"0,63",,217,,82,,259,,"13,2",,"81,3",,50,,1572,,"1,55",
Rytmic,2784513,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,2002,"17,8",,64,,148,,76,,224,,101,,"1,57",,235,,80,,325,,13,,"80,3",,54,,1637,,"2,52",
CF01085,2784518,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,2002,"23,2",,109,,149,,69,,218,,65,,"0,6",,218,,78,,307,,"11,7",,"79,3",,51,,1530,,"2,69",
EM99017,2784542,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,2002,"21,8",,96,,167,,79,,246,,51,,"0,53",,191,,39,,122,,"12,7",,"82,2",,44,,1708,,"1,72",
DI02001,2784515,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,2002,21,,89,,115,,66,,181,,87,,"0,98",,274,,81,,346,,"12,9",,"84,7",,50,,1230,,"2,58",
DI02032,2784492,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,48751,gnpis_pui:holding-921_taxon-4898_accession-48751,DI02032,VIRTUAL_TRIAL,,,,,,,,2002,"20,5",,85,,121,,67,,188,,48,,"0,56",,162,,27,,334,,"11,5",,"81,8",,36,,1337,,"1,86",
Soissons,2784540,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2002,"24,8",,125,,127,,75,,202,,73,,"0,58",,329,,89,,337,,"12,8",,"84,7",,NA,,1388,,"1,35",
Isengrain,2784535,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,2002,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE01037,2784494,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26096,https://doi.org/10.15454/9ZI12M,RE01037,VIRTUAL_TRIAL,,,,,,,,2002,"23,7",,114,,142,,71,,213,,72,,"0,63",,292,,62,,339,,"13,4",,"83,5",,51,,1548,,"2,02",
RE02101,2784499,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,2002,"22,3",,101,,139,,72,,211,,53,,"0,53",,176,,62,,246,,"12,4",,"81,2",,46,,1462,,"1,57",
CF00060,2784495,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,VIRTUAL_TRIAL,,,,,,,,2002,"21,6",,95,,157,,78,,235,,79,,"0,83",,292,,71,,345,,"15,1",,"82,4",,54,,1510,,"1,69",
EM01325,2784507,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,VIRTUAL_TRIAL,,,,,,,,2002,"21,6",,95,,155,,78,,233,,67,,"0,7",,209,,77,,270,,12,,"82,4",,55,,1572,,"2,37",
EM99006,2784512,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,2002,"23,2",,109,,121,,66,,187,,77,,"0,71",,283,,73,,356,,"12,8",,"85,3",,45,,1260,,2,
CF01216,2784498,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49614,gnpis_pui:holding-921_taxon-4898_accession-49614,CF01216,VIRTUAL_TRIAL,,,,,,,,2002,"21,6",,95,,131,,58,,189,,50,,"0,53",,147,,64,,361,,"11,6",,83,,40,,1437,,"2,32",
EM01328,2784534,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,VIRTUAL_TRIAL,,,,,,,,2002,"19,8",,79,,158,,81,,239,,74,,"0,93",,216,,73,,357,,12,,"82,8",,50,,1611,,"2,13",
EM00074,2784530,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,2002,"22,9",,106,,146,,76,,222,,51,,"0,48",,169,,83,,326,,"11,4",,"82,9",,47,,1571,,"2,03",
CF00037,2784516,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,48714,gnpis_pui:holding-921_taxon-4898_accession-48714,CF00037,VIRTUAL_TRIAL,,,,,,,,2002,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,79,,NA,,"13,6",,NA,,52,,NA,,"2,86",
EM00107,2784511,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,2002,"23,4",,111,,134,,62,,196,,60,,"0,54",,197,,72,,330,,"12,4",,"83,3",,46,,1484,,"2,37",
DI02021,2784527,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49148,gnpis_pui:holding-921_taxon-4898_accession-49148,DI02021,VIRTUAL_TRIAL,,,,,,,,2002,"23,5",,112,,139,,72,,211,,43,,"0,39",,170,,29,,335,,"12,1",,82,,39,,1501,,"2,03",
EM01024,2784502,BTH_Le_Moulon_2002_TECH,BTH_Le_Moulon_2002_TECH,49713,gnpis_pui:holding-921_taxon-4898_accession-49713,EM01024,VIRTUAL_TRIAL,,,,,,,,2002,"23,2",,109,,131,,73,,204,,77,,"0,71",,258,,71,,286,,"14,8",,"81,7",,51,,1483,,"1,78",
