observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
RE11058itkt,2870906,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,treated,2012,"23,5",,112,,NA,,100,,NA,,"61,65",,NA,,"86,63",,NA,,"248,28",,89,,"0,79",,322,,74,,241,,"37,88",,"11,4",,77,,NA,,1580,,NA,
RE11073itkt,2870883,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,treated,2012,"21,5",,94,,NA,,94,,NA,,"7,38",,NA,,"77,5",,NA,,"178,88",,91,,"0,97",,265,,62,,215,,"35,51",,"11,5",,"73,8",,NA,,1180,,NA,
RE11075itkt,2870880,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,treated,2012,"21,6",,95,,NA,,100,,NA,,16,,NA,,"83,5",,NA,,"199,5",,85,,"0,89",,256,,58,,186,,"36,71",,"11,3",,"75,8",,NA,,1450,,NA,
RE11087itkt,2870907,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,treated,2012,"22,5",,103,,NA,,100,,NA,,"31,1",,NA,,88,,NA,,"219,1",,78,,"0,76",,228,,72,,197,,"41,53",,"11,9",,"76,4",,NA,,1420,,NA,
RE11113itkt,2870909,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,treated,2012,"27,9",,158,,NA,,100,,NA,,"14,58",,NA,,"66,38",,NA,,"180,96",,65,,"0,41",,246,,60,,245,,"31,69",,"12,6",,"74,2",,NA,,1440,,NA,
RE11116itkt,2870911,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,treated,2012,"30,9",,194,,NA,,100,,NA,,38,,NA,,"73,88",,NA,,"211,88",,42,,"0,22",,169,,56,,184,,"34,15",,"11,6",,"71,1",,NA,,1550,,NA,
AO11013itkt,2870876,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,treated,2012,"19,5",,77,,97,,NA,,28,,NA,,74,,NA,,199,,NA,,97,,"1,26",,247,,77,,249,,NA,,"11,9",,NA,,1630,,NA,,41,
EM09320itkt,2870903,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2012,"14,4",,42,,88,,NA,,11,,NA,,72,,NA,,171,,NA,,140,,"3,33",,248,,"67,5",,317,,NA,,"12,3",,NA,,1263,,NA,,"53,5",
DI11002itkt,2870902,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,treated,2012,"24,1",,118,,79,,NA,,15,,NA,,53,,NA,,148,,NA,,61,,"0,52",,212,,45,,172,,NA,,"13,7",,NA,,1448,,NA,,"35,5",
AO12021itkt,2870881,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,6",,70,,94,,NA,,54,,NA,,78,,NA,,226,,NA,,106,,"1,51",,270,,77,,196,,NA,,"13,1",,NA,,1790,,NA,,47,
EM11366itkt,2870912,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,treated,2012,26,,137,,NA,,100,,NA,,"34,4",,NA,,"98,5",,NA,,"232,9",,79,,"0,58",,287,,76,,236,,"41,39",,"12,4",,"76,1",,NA,,1480,,NA,
EM11400itkt,2870904,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,treated,2012,"26,2",,139,,NA,,100,,NA,,"42,5",,NA,,"89,63",,NA,,"232,13",,66,,"0,48",,274,,52,,243,,"45,62",,"12,4",,"73,8",,NA,,1600,,NA,
CF09169itkt,2870895,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,2",,67,,79,,NA,,5,,NA,,21,,NA,,105,,NA,,39,,"0,58",,76,,74,,267,,NA,,"13,5",,NA,,1025,,NA,,45,
DI11014itkt,2870923,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2012,"20,2",,83,,91,,NA,,13,,NA,,66,,NA,,170,,NA,,85,,"1,04",,218,,83,,214,,NA,,"13,1",,NA,,1368,,NA,,"43,5",
DI12004itkt,2870873,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,treated,2012,"26,1",,138,,NA,,100,,NA,,41,,NA,,100,,NA,,241,,73,,"0,53",,273,,50,,272,,"35,61",,"11,4",,"76,5",,NA,,1600,,NA,
EM09222itkt,2870914,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,1",,66,,82,,NA,,7,,NA,,45,,NA,,134,,NA,,75,,"1,14",,196,,44,,289,,NA,,13,,NA,,1290,,NA,,"38,5",
AO12014itkt,2870919,BTH_Estrées-Mons_2012_TECH,BTH_Estrées-Mons_2012_TECH,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2012,"20,8",,88,,91,,NA,,68,,NA,,69,,NA,,228,,NA,,71,,"0,82",,195,,84,,102,,NA,,"12,3",,NA,,1763,,NA,,"41,5",
