observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
RE09036itkt,2850159,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,48544,gnpis_pui:holding-921_taxon-4898_accession-48544,RE09036,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,144,,"80,4",,"95,3",,1,,"92,1",
CF09172itkt,2850182,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,48708,gnpis_pui:holding-921_taxon-4898_accession-48708,CF09172,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,140,,"83,5",,"95,2",,3,,92,
AO10023itkt,2850166,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,48559,gnpis_pui:holding-921_taxon-4898_accession-48559,AO10023,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,144,,"80,4",,"97,5",,5,,"94,2",
Apacheitkt,2850173,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,136,,"82,7",,"103,7",,5,,"100,2",
EM09310itkt,2850172,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,48345,gnpis_pui:holding-921_taxon-4898_accession-48345,EM09310,VIRTUAL_TRIAL,,,,,,,,treated,2010,4,,135,,"72,5",,"99,8",,1,,"96,4",
CF09122itkt,2850175,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,49265,gnpis_pui:holding-921_taxon-4898_accession-49265,CF09122,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,135,,83,,100,,1,,"96,6",
CF09198itkt,2850193,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,48921,gnpis_pui:holding-921_taxon-4898_accession-48921,CF09198,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,140,,78,,"105,8",,3,,"102,2",
Attlassitkt,2850189,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,140,,"79,7",,"105,6",,1,,102,
Caphornitkt,2850176,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2010,4,,139,,"76,4",,"94,5",,1,,"91,3",
AO10016itkt,2850160,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,49175,gnpis_pui:holding-921_taxon-4898_accession-49175,AO10016,VIRTUAL_TRIAL,,,,,,,,treated,2010,4,,142,,"76,8",,"104,4",,5,,"100,8",
CF09169itkt,2850169,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,137,,"81,4",,"103,7",,1,,"100,2",
DI10011itkt,2850162,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,135,,"79,6",,103,,1,,"99,5",
AO10021itkt,2850184,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,49282,gnpis_pui:holding-921_taxon-4898_accession-49282,AO10021,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,141,,"79,7",,"101,5",,1,,"98,1",
EM09318itkt,2850174,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,treated,2010,4,,142,,"79,3",,"98,4",,1,,"95,1",
AO10020itkt,2850183,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,48598,gnpis_pui:holding-921_taxon-4898_accession-48598,AO10020,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,144,,"78,6",,"100,8",,5,,"97,4",
Bermudeitkt,2850165,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,142,,"79,5",,"103,5",,3,,100,
RE09034itkt,2850158,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,48900,gnpis_pui:holding-921_taxon-4898_accession-48900,RE09034,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,142,,"79,6",,"90,3",,1,,"87,2",
CF09133itkt,2850170,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,48903,gnpis_pui:holding-921_taxon-4898_accession-48903,CF09133,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,146,,"75,9",,"104,2",,1,,"100,6",
DI10010itkt,2850167,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,49025,gnpis_pui:holding-921_taxon-4898_accession-49025,DI10010,VIRTUAL_TRIAL,,,,,,,,treated,2010,4,,144,,"73,6",,"95,2",,1,,92,
EM09221itkt,2850192,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,140,,"80,3",,"113,9",,1,,"110,1",
EM09222itkt,2850191,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,135,,"81,1",,"103,9",,1,,"100,4",
AO10019itkt,2850177,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,49053,gnpis_pui:holding-921_taxon-4898_accession-49053,AO10019,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,139,,"80,9",,"91,4",,1,,"88,3",
EM09225itkt,2850190,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,49109,gnpis_pui:holding-921_taxon-4898_accession-49109,EM09225,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,140,,"80,8",,"94,1",,5,,"90,9",
AO10017itkt,2850164,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,49185,gnpis_pui:holding-921_taxon-4898_accession-49185,AO10017,VIRTUAL_TRIAL,,,,,,,,treated,2010,4,,141,,"79,9",,100,,5,,"96,6",
DI10006itkt,2850188,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,145,,"78,5",,"101,5",,1,,"98,1",
AO10018itkt,2850179,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,49584,gnpis_pui:holding-921_taxon-4898_accession-49584,AO10018,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,139,,"80,7",,"99,9",,5,,"96,5",
DI10008itkt,2850181,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,49226,gnpis_pui:holding-921_taxon-4898_accession-49226,DI10008,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,135,,"78,1",,"87,4",,7,,"84,4",
DI10009itkt,2850180,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,48858,gnpis_pui:holding-921_taxon-4898_accession-48858,DI10009,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,144,,"79,7",,"99,1",,1,,"95,7",
AO10022itkt,2850185,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,48862,gnpis_pui:holding-921_taxon-4898_accession-48862,AO10022,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,140,,"77,4",,"102,6",,3,,"99,1",
EM09307itkt,2850194,BTH_Clermont-Ferrand_2010_SetB2,BTH_Clermont-Ferrand_2010_SetB2,48864,gnpis_pui:holding-921_taxon-4898_accession-48864,EM09307,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,137,,"74,6",,"101,3",,1,,"97,9",
