observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE07047itkfi,2833210,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49013,gnpis_pui:holding-921_taxon-4898_accession-49013,RE07047,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,95,,146,,"10,36",,"111,8",,"87,4",,1,,3,,1,
CF07143itkt,2833207,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,105,,146,,"11,24",,"95,1",,"99,8",,,,,,"1,5",
RE07075itkt,2833219,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49516,gnpis_pui:holding-921_taxon-4898_accession-49516,RE07075,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"87,5",,139,,"11,54",,"89,3",,"93,7",,,,,,1,
RE07075itkfi,2833218,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49516,gnpis_pui:holding-921_taxon-4898_accession-49516,RE07075,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,90,,138,,"11,28",,"97,1",,"75,9",,"4,5",,"4,5",,1,
CF07097itkt,2833179,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"92,5",,"145,5",,"10,86",,"100,2",,"105,2",,,,,,1,
CF07080itkfi,2833216,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48671,gnpis_pui:holding-921_taxon-4898_accession-48671,CF07080,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,90,,"145,5",,"10,07",,"107,7",,"84,2",,4,,4,,1,
DI08009itkt,2833203,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48494,gnpis_pui:holding-921_taxon-4898_accession-48494,DI08009,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"78,5",,"147,5",,"10,2",,"92,7",,"97,3",,,,,,1,
CF07097itkfi,2833178,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,"97,5",,146,,"10,32",,"112,1",,"87,6",,1,,3,,1,
DI08009itkfi,2833202,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48494,gnpis_pui:holding-921_taxon-4898_accession-48494,DI08009,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,80,,"146,5",,"10,04",,"99,4",,"77,7",,"3,5",,3,,1,
Apacheitkt,2833185,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,85,,139,,"11,46",,102,,"107,1",,,,,,1,
DI08012itkfi,2833158,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49381,gnpis_pui:holding-921_taxon-4898_accession-49381,DI08012,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,"77,5",,139,,"10,6",,99,,"77,4",,"6,5",,5,,1,
RE07040itkt,2833169,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"87,5",,145,,"10,7",,"93,6",,"98,2",,,,,,1,
RE07040itkfi,2833168,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,90,,145,,"10,46",,"109,4",,"85,5",,3,,3,,1,
AO08337itkfi,2833166,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49535,gnpis_pui:holding-921_taxon-4898_accession-49535,AO08337,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,85,,136,,"10,14",,"108,8",,85,,"3,5",,4,,1,
RE07045itkt,2833213,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48757,gnpis_pui:holding-921_taxon-4898_accession-48757,RE07045,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,86,,145,,"11,59",,"91,2",,"95,8",,,,,,1,
EM07246itkfi,2833154,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48496,gnpis_pui:holding-921_taxon-4898_accession-48496,EM07246,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,"82,5",,137,,"11,62",,"98,9",,"77,3",,"4,5",,"4,5",,1,
Premioitkt,2833153,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"82,5",,141,,"10,42",,"108,7",,"114,1",,,,,,1,
Premioitkfi,2833152,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,85,,140,,"10,49",,"101,6",,"79,4",,5,,5,,1,
CF07193itkt,2833177,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,27793,https://doi.org/10.15454/0F480I,CF07193,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,90,,"145,5",,"10,92",,"103,4",,"108,5",,,,,,1,
CF07080itkt,2833217,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48671,gnpis_pui:holding-921_taxon-4898_accession-48671,CF07080,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"87,5",,"145,5",,"10,62",,"104,7",,"109,9",,,,,,1,
AO08337itkt,2833167,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49535,gnpis_pui:holding-921_taxon-4898_accession-49535,AO08337,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"82,5",,136,,"11,08",,"95,4",,"100,1",,,,,,1,
EM07246itkt,2833155,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48496,gnpis_pui:holding-921_taxon-4898_accession-48496,EM07246,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,76,,138,,"11,52",,94,,"98,7",,,,,,1,
RE07028itkt,2833199,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48952,gnpis_pui:holding-921_taxon-4898_accession-48952,RE07028,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,80,,145,,"11,68",,"87,3",,"91,7",,,,,,1,
CF07193itkfi,2833176,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,27793,https://doi.org/10.15454/0F480I,CF07193,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,"92,5",,146,,"10,99",,"110,6",,"86,5",,3,,3,,1,
RE07071itkfi,2833156,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49005,gnpis_pui:holding-921_taxon-4898_accession-49005,RE07071,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,"87,5",,142,,12,,"103,1",,"80,5",,1,,"2,5",,1,
Sankaraitkt,2833193,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"87,5",,"146,5",,"11,48",,94,,"98,6",,,,,,1,
RE07028itkfi,2833198,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48952,gnpis_pui:holding-921_taxon-4898_accession-48952,RE07028,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,80,,143,,"11,7",,"90,4",,"70,7",,5,,"4,5",,1,
AO08511itkt,2833197,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48515,gnpis_pui:holding-921_taxon-4898_accession-48515,AO08511,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"72,5",,138,,"10,72",,"103,6",,"108,7",,,,,,1,
Sankaraitkfi,2833192,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,90,,146,,"11,72",,"100,2",,"78,3",,3,,3,,1,
RE07036itkfi,2833174,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48462,gnpis_pui:holding-921_taxon-4898_accession-48462,RE07036,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,4,,90,,140,,"10,43",,100,,"78,2",,2,,"3,5",,1,
AO08511itkfi,2833196,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48515,gnpis_pui:holding-921_taxon-4898_accession-48515,AO08511,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,"77,5",,138,,"11,64",,"72,8",,"56,9",,8,,"5,5",,1,
RE07036itkt,2833175,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48462,gnpis_pui:holding-921_taxon-4898_accession-48462,RE07036,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,90,,"139,5",,"10,92",,"92,3",,"96,8",,,,,,1,
RE07045itkfi,2833212,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48757,gnpis_pui:holding-921_taxon-4898_accession-48757,RE07045,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"1,5",,90,,146,,"10,7",,"106,6",,"83,3",,1,,3,,1,
EM07213itkt,2833183,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48541,gnpis_pui:holding-921_taxon-4898_accession-48541,EM07213,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,75,,137,,"10,46",,"95,2",,"99,9",,,,,,1,
RE07047itkt,2833211,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49013,gnpis_pui:holding-921_taxon-4898_accession-49013,RE07047,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,90,,"145,5",,"10,81",,"100,4",,"105,4",,,,,,1,
CF07138itkt,2833191,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49475,gnpis_pui:holding-921_taxon-4898_accession-49475,CF07138,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,90,,145,,"11,8",,"94,3",,99,,,,,,1,
CF07138itkfi,2833190,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49475,gnpis_pui:holding-921_taxon-4898_accession-49475,CF07138,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,"88,5",,146,,"11,52",,"112,4",,"87,8",,2,,3,,1,
EM07213itkfi,2833182,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48541,gnpis_pui:holding-921_taxon-4898_accession-48541,EM07213,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,85,,137,,"10,87",,"101,6",,"79,4",,4,,4,,1,
RE07071itkt,2833157,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49005,gnpis_pui:holding-921_taxon-4898_accession-49005,RE07071,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,80,,143,,"12,08",,"87,1",,"91,4",,,,,,1,
Musikitkt,2833171,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"77,5",,142,,"10,72",,"102,2",,"107,3",,,,,,1,
Mendelitkt,2833187,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,80,,139,,"11,36",,"103,3",,"108,4",,,,,,1,
RE07087itkfi,2833224,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49201,gnpis_pui:holding-921_taxon-4898_accession-49201,RE07087,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,95,,146,,"10,48",,"110,8",,"86,6",,1,,3,,1,
DI08011itkt,2833161,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"78,5",,142,,"11,08",,"104,8",,110,,,,,,1,
RE07027itkfi,2833204,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49172,gnpis_pui:holding-921_taxon-4898_accession-49172,RE07027,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,91,,141,,"11,34",,"93,3",,"72,9",,4,,4,,1,
RE07087itkt,2833225,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49201,gnpis_pui:holding-921_taxon-4898_accession-49201,RE07087,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"92,5",,147,,"10,98",,"95,5",,"100,3",,,,,,"1,5",
DI08010itkfi,2833162,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48734,gnpis_pui:holding-921_taxon-4898_accession-48734,DI08010,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"3,5",,85,,142,,"11,04",,"84,3",,"65,9",,"4,5",,4,,1,
AO08514itkt,2833227,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49416,gnpis_pui:holding-921_taxon-4898_accession-49416,AO08514,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,80,,136,,"11,84",,"102,6",,"107,6",,,,,,1,
Musikitkfi,2833170,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"3,5",,"77,5",,142,,"10,42",,"100,4",,"78,5",,4,,4,,1,
AO08514itkfi,2833226,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49416,gnpis_pui:holding-921_taxon-4898_accession-49416,AO08514,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,80,,136,,"11,1",,"101,2",,"79,1",,7,,5,,1,
RE07027itkt,2833205,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49172,gnpis_pui:holding-921_taxon-4898_accession-49172,RE07027,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,85,,141,,"11,46",,"92,4",,97,,,,,,1,
Mendelitkfi,2833186,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"3,5",,"83,5",,139,,"10,44",,100,,"78,2",,5,,4,,1,
DI08010itkt,2833163,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48734,gnpis_pui:holding-921_taxon-4898_accession-48734,DI08010,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"82,5",,144,,"11,66",,"91,9",,"96,4",,,,,,1,
DI08008itkt,2833201,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49441,gnpis_pui:holding-921_taxon-4898_accession-49441,DI08008,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,85,,"148,5",,"11,52",,"92,7",,"97,3",,,,,,1,
RE07038itkt,2833215,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48821,gnpis_pui:holding-921_taxon-4898_accession-48821,RE07038,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"83,5",,145,,"11,02",,"94,8",,"99,5",,,,,,1,
RE07038itkfi,2833214,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48821,gnpis_pui:holding-921_taxon-4898_accession-48821,RE07038,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,"87,5",,144,,"10,1",,"118,3",,"92,4",,2,,3,,1,
RE07082itkt,2833223,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48501,gnpis_pui:holding-921_taxon-4898_accession-48501,RE07082,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,90,,137,,"11,18",,"92,1",,"96,6",,,,,,2,
DI08008itkfi,2833200,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49441,gnpis_pui:holding-921_taxon-4898_accession-49441,DI08008,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"3,5",,"87,5",,147,,"11,1",,"93,4",,73,,"3,5",,4,,1,
Caphornitkt,2833195,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"82,5",,144,,"10,63",,"100,7",,"105,7",,,,,,1,
RE07082itkfi,2833222,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,48501,gnpis_pui:holding-921_taxon-4898_accession-48501,RE07082,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,90,,137,,"11,12",,"111,3",,87,,3,,3,,3,
CF07141itkfi,2833208,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,27903,https://doi.org/10.15454/EWNN9Q,CF07141,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,85,,140,,"10,45",,"115,7",,"90,4",,4,,"3,5",,1,
CF07098itkfi,2833172,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49624,gnpis_pui:holding-921_taxon-4898_accession-49624,CF07098,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,95,,146,,"10,28",,"108,8",,"85,1",,1,,3,,1,
EM07219itkt,2833189,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,49294,gnpis_pui:holding-921_taxon-4898_accession-49294,EM07219,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,80,,138,,"10,4",,"97,3",,"102,1",,,,,,1,
Caphornitkfi,2833194,BTH_Estrées-Mons_2008_SetB2,BTH_Estrées-Mons_2008_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,"83,5",,144,,11,,"101,8",,"79,6",,4,,4,,1,
