observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,vp(CO_321:1000225),vp(CO_321:1000225).date
LM03004itkt,2802012,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,48678,gnpis_pui:holding-921_taxon-4898_accession-48678,LM03004,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM00264itkt,2802045,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,88,,53,,68,,209,,NA,,NA,,NA,,21,,"14,8",,"69,4",,NA,
LM03001itkt,2802010,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Apacheitkt,2802025,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Skerzzoitkt,2802048,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,18,,"12,7",,NA,,"1,67",
Tamaroitkt,2802053,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,treated,2004,"28,3",,163,,88,,83,,84,,255,,57,,"0,35",,307,,17,,"14,9",,73,,NA,
Caphornitkt,2802030,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI04018itkt,2802022,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF03287itkt,2802039,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE03108itkt,2802015,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,48423,https://doi.org/10.15454/5BUDKG,RE03108,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE03014itkt,2802047,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,26396,https://doi.org/10.15454/DY3IJJ,RE03014,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF03167itkt,2802038,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,26797,https://doi.org/10.15454/VTWXME,CF03167,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF03104itkt,2802031,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,26795,https://doi.org/10.15454/VI1CVR,CF03104,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF03163itkt,2802040,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,26796,https://doi.org/10.15454/FR99SD,CF03163,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF03102itkt,2802028,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,26794,https://doi.org/10.15454/NWP5WQ,CF03102,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF01046itkt,2802046,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,88,,82,,80,,250,,NA,,NA,,NA,,47,,"14,1",,"70,2",,NA,
CF03226itkt,2802033,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI04015itkt,2802018,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,26801,https://doi.org/10.15454/5TSZZX,DI04015,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Rytmicitkt,2802024,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,60,,16,,NA,,"2,71",
CF01085itkt,2802023,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,29,,"12,9",,NA,,"1,84",
RE03111itkt,2802049,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE03101itkt,2802013,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,26398,https://doi.org/10.15454/OE94BR,RE03101,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE03094itkt,2802051,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,26397,https://doi.org/10.15454/A8ZRSZ,RE03094,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI02001itkt,2802029,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,39,,"13,7",,NA,,"2,27",
Soissonsitkt,2802052,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,76,,27,,80,,184,,NA,,NA,,NA,,11,,"14,7",,"69,2",,NA,
EM01068itkt,2802036,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM03028itkt,2802008,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM03041itkt,2802007,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
LM03015itkt,2802043,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
LM03014itkt,2802042,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM02207itkt,2802037,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,26893,https://doi.org/10.15454/WDQKPV,EM02207,VIRTUAL_TRIAL,,,,,,,,treated,2004,22,,98,,64,,5,,42,,110,,50,,"0,51",,217,,27,,"14,3",,"70,7",,NA,
EM03149itkt,2802019,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,26894,https://doi.org/10.15454/HOEWQF,EM03149,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF03342itkt,2802035,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,49674,https://doi.org/10.15454/WDI3KM,CF03342,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI04017itkt,2802017,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI04019itkt,2802021,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,48415,gnpis_pui:holding-921_taxon-4898_accession-48415,DI04019,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
LM03005itkt,2802011,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,49046,gnpis_pui:holding-921_taxon-4898_accession-49046,LM03005,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM00074itkt,2802044,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,4,,"13,4",,NA,,"3,01",
EM00107itkt,2802016,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,treated,2004,"25,5",,132,,97,,63,,84,,244,,78,,"0,59",,394,,62,,"14,7",,"74,3",,NA,
DI03015itkt,2802009,BTH_Lusignan_2004_TECH,BTH_Lusignan_2004_TECH,49403,gnpis_pui:holding-921_taxon-4898_accession-49403,DI03015,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,48,,"13,9",,NA,,"3,07",
