observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volS(CO_321:1000250),volS(CO_321:1000250).date
CF10064itkfi,2871188,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
CF10064itkt,2871189,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,
AO12006itkfi,2871216,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
AO12006itkt,2871217,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,
EM11537itkt,2871175,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,
EM11537itkfi,2871174,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,2012,"27,3",,151,,100,,,,"44,3",,,,"87,38",,,,"231,68",,,,108,,"0,71",,434,,79,,410,,"30,83",,"13,5",,"74,6",,,
AO12016itkt,2871261,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,
AO12016itkfi,2871260,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
CF09117itkfi,2871264,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
CF09117itkt,2871265,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,
EM08231itkt,2871251,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,
EM08231itkfi,2871250,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
RE10039itkfi,2871202,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
RE10039itkt,2871203,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,
RE11035itkt,2871209,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,
RE11035itkfi,2871208,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,2012,"18,4",,68,,100,,,,"9,63",,,,"65,63",,,,"175,26",,,,162,,"2,38",,395,,40,,376,,"31,65",,"13,1",,"75,6",,,
RE11059itkfi,2871204,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,2012,"25,7",,134,,100,,,,"40,7",,,,"88,13",,,,"228,83",,,,94,,"0,7",,367,,52,,364,,"31,77",,"12,1",,"79,3",,,
RE11059itkt,2871205,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,
RE11091itkfi,2871200,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,VIRTUAL_TRIAL,,,,,,,,2012,"28,8",,168,,100,,,,"11,65",,,,87,,,,"198,65",,,,69,,"0,41",,324,,12,,350,,"36,34",,"11,7",,"76,5",,,
RE11091itkt,2871201,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,
RE11094itkt,2871199,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,48366,https://doi.org/10.15454/ZSJORF,RE11094,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,
RE11094itkfi,2871198,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,48366,https://doi.org/10.15454/ZSJORF,RE11094,VIRTUAL_TRIAL,,,,,,,,2012,"28,9",,170,,100,,,,"11,65",,,,"80,75",,,,"192,4",,,,57,,"0,34",,268,,12,,330,,"37,09",,"11,6",,"75,5",,,
RE11095itkt,2871197,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,49685,https://doi.org/10.15454/NZBGQD,RE11095,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,
RE11095itkfi,2871196,BTH_Rennes_2012_TECH,BTH_Rennes_2012_TECH,49685,https://doi.org/10.15454/NZBGQD,RE11095,VIRTUAL_TRIAL,,,,,,,,2012,"27,2",,150,,100,,,,"10,75",,,,80,,,,"190,75",,,,65,,"0,44",,288,,7,,341,,"39,94",,"12,1",,"77,4",,,
