observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Stru061884itkfi,2852103,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48384,gnpis_pui:holding-921_taxon-4898_accession-48384,Stru061884,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,98,,1,,152,,"10,3",,"80,6",,"97,7",,"1,5",,"97,4",,1,
CF09226itkt,2852116,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48589,gnpis_pui:holding-921_taxon-4898_accession-48589,CF09226,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,,,144,,"10,84",,"81,8",,"96,2",,,,"105,9",,1,
RE09073itkt,2852084,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,treated,2010,71,,,,145,,"10,75",,"77,4",,"95,6",,,,"105,2",,1,
Apacheitkfi,2852073,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,"2,5",,144,,"10,84",,"80,2",,"99,3",,"1,5",,"99,1",,1,
Apacheitkt,2852074,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,,,144,,"10,2",,"80,6",,"97,7",,,,"107,5",,1,
AO10026itkfi,2852097,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49315,https://doi.org/10.15454/WVJ13N,AO10026,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,87,,1,,145,,"9,93",,"79,6",,"102,1",,1,,"101,8",,1,
RE09073itkfi,2852083,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,77,,1,,145,,"10,5",,"76,4",,"99,8",,1,,"99,6",,1,
CF09216itkt,2852078,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48561,gnpis_pui:holding-921_taxon-4898_accession-48561,CF09216,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,,,144,,"11,24",,83,,"94,7",,,,"104,2",,1,
RE09084itkt,2852080,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48758,gnpis_pui:holding-921_taxon-4898_accession-48758,RE09084,VIRTUAL_TRIAL,,,,,,,,treated,2010,84,,,,150,,"12,14",,"79,7",,89,,,,"97,9",,1,
DI10016itkt,2852040,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49397,gnpis_pui:holding-921_taxon-4898_accession-49397,DI10016,VIRTUAL_TRIAL,,,,,,,,treated,2010,67,,,,145,,"10,7",,"81,5",,"94,3",,,,"103,8",,1,
AO10027itkt,2852100,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49344,gnpis_pui:holding-921_taxon-4898_accession-49344,AO10027,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,,,144,,"10,69",,"81,6",,"93,9",,,,"103,4",,1,
CF09284itkfi,2852043,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49521,gnpis_pui:holding-921_taxon-4898_accession-49521,CF09284,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,140,,"11,3",,"80,6",,"93,8",,"2,5",,"93,6",,5,
AO10027itkfi,2852099,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49344,gnpis_pui:holding-921_taxon-4898_accession-49344,AO10027,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,92,,"1,5",,144,,"10,98",,"81,6",,"98,7",,"1,5",,"98,5",,1,
DI10017itkfi,2852051,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48346,gnpis_pui:holding-921_taxon-4898_accession-48346,DI10017,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,1,,145,,"10,42",,"81,4",,"93,1",,"1,5",,"92,8",,2,
DI10013itkfi,2852047,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49728,gnpis_pui:holding-921_taxon-4898_accession-49728,DI10013,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,1,,150,,"10,51",,"81,2",,"94,2",,1,,94,,1,
AO10026itkt,2852098,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49315,https://doi.org/10.15454/WVJ13N,AO10026,VIRTUAL_TRIAL,,,,,,,,treated,2010,84,,,,145,,"10,06",,"81,2",,"102,6",,,,113,,1,
RE09084itkfi,2852079,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48758,gnpis_pui:holding-921_taxon-4898_accession-48758,RE09084,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,148,,"11,88",,"79,2",,"87,8",,1,,"87,6",,5,
DI10017itkt,2852052,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48346,gnpis_pui:holding-921_taxon-4898_accession-48346,DI10017,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,,,145,,"10,83",,"81,4",,"92,3",,,,"101,6",,"1,5",
DI10013itkt,2852048,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49728,gnpis_pui:holding-921_taxon-4898_accession-49728,DI10013,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,,,150,,"10,52",,"81,8",,"89,8",,,,"98,8",,1,
CF09284itkt,2852044,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49521,gnpis_pui:holding-921_taxon-4898_accession-49521,CF09284,VIRTUAL_TRIAL,,,,,,,,treated,2010,74,,,,142,,"10,9",,"81,2",,91,,,,"100,2",,1,
AO10025itkt,2852096,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49420,gnpis_pui:holding-921_taxon-4898_accession-49420,AO10025,VIRTUAL_TRIAL,,,,,,,,treated,2010,86,,,,150,,"10,05",,"80,1",,"97,2",,,,107,,"8,5",
CF09257itkt,2852106,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48873,gnpis_pui:holding-921_taxon-4898_accession-48873,CF09257,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,,,144,,"10,6",,"82,2",,"100,1",,,,"110,2",,1,
AO10025itkfi,2852095,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,49420,gnpis_pui:holding-921_taxon-4898_accession-49420,AO10025,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,89,,1,,150,,"9,56",,"78,9",,"92,4",,1,,"92,2",,1,
RE09074itkfi,2852057,BTH_Le_Moulon_2010_SetB3,BTH_Le_Moulon_2010_SetB3,48534,gnpis_pui:holding-921_taxon-4898_accession-48534,RE09074,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,1,,145,,"11,7",,"83,4",,"81,2",,2,,81,,"1,5",
