observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF06193itkt,2829611,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27067,https://doi.org/10.15454/739FBM,CF06193,VIRTUAL_TRIAL,,,,,,,,treated,2008,2,,135,,"11,49",,"76,2",,"106,6",,"90,9",
EM06089itkt,2829579,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27815,https://doi.org/10.15454/UZYTX5,EM06089,VIRTUAL_TRIAL,,,,,,,,treated,2008,4,,135,,"12,9",,77,,"87,4",,"74,5",
Premioitkt,2829561,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,133,,"11,36",,"75,8",,"102,7",,"87,5",
DI07001itkfi,2829566,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27802,https://doi.org/10.15454/5XXKDL,DI07001,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,1,,131,,"10,43",,"70,7",,"108,9",,"85,1",
RE06023itkfi,2829606,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27827,https://doi.org/10.15454/B5PA3I,RE06023,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,138,,"12,16",,"74,9",,89,,"69,5",
Apacheitkfi,2829586,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,1,,132,,"11,45",,78,,"117,2",,"91,6",
CF06227itkt,2829583,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27068,https://doi.org/10.15454/PIPBFU,CF06227,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,137,,"12,84",,"75,7",,"95,4",,"81,3",
DI07001itkt,2829567,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27802,https://doi.org/10.15454/5XXKDL,DI07001,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,131,,"10,9",,"69,7",,109,,"92,9",
EM06110itkfi,2829630,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,132,,"10,5",,"72,6",,"94,5",,"73,8",
RE06023itkt,2829607,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27827,https://doi.org/10.15454/B5PA3I,RE06023,VIRTUAL_TRIAL,,,,,,,,treated,2008,2,,138,,"12,21",,"76,1",,"91,6",,78,
Apacheitkt,2829587,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,132,,"11,78",,"76,9",,"110,6",,"94,2",
EM06233itkfi,2829636,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,1,,132,,"13,05",,"78,8",,"115,3",,"90,1",
Sankaraitkt,2829595,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2008,4,,138,,"12,57",,"72,4",,"89,8",,"76,5",
EM06094itkfi,2829614,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,1,,135,,"12,04",,"74,5",,"101,1",,79,
RE06050itkt,2829621,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27828,https://doi.org/10.15454/PRTXZC,RE06050,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,134,,"11,79",,"70,3",,"92,5",,"78,8",
RE06050itkfi,2829620,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27828,https://doi.org/10.15454/PRTXZC,RE06050,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,134,,"11,6",,"70,4",,"100,4",,"78,4",
CF06227itkfi,2829582,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27068,https://doi.org/10.15454/PIPBFU,CF06227,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,137,,"11,56",,"75,9",,93,,"72,6",
RE06140itkt,2829609,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27834,https://doi.org/10.15454/YQFE3M,RE06140,VIRTUAL_TRIAL,,,,,,,,treated,2008,4,,134,,"11,7",,"74,8",,92,,"78,4",
RE06140itkfi,2829608,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27834,https://doi.org/10.15454/YQFE3M,RE06140,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,134,,"11,64",,"75,5",,"93,4",,73,
RE06058itkfi,2829580,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27830,https://doi.org/10.15454/V4CPNJ,RE06058,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,140,,"10,47",,"74,6",,"99,4",,"77,7",
DI07013itkt,2829601,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27803,https://doi.org/10.15454/GVABT5,DI07013,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,138,,"12,31",,"73,2",,"101,6",,"86,6",
Sankaraitkfi,2829594,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,138,,"12,07",,"74,3",,"90,4",,"70,6",
DI07016itkfi,2829592,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27804,https://doi.org/10.15454/0DEDAU,DI07016,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,140,,"11,71",,"77,8",,"97,5",,"76,2",
DI07016itkt,2829593,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27804,https://doi.org/10.15454/0DEDAU,DI07016,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,141,,"12,61",,"76,5",,"94,2",,"80,3",
CF06230itkfi,2829632,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27069,https://doi.org/10.15454/PBD8PO,CF06230,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,136,,"11,62",,"76,1",,98,,"76,6",
Ghaytaitkt,2829617,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,137,,"13,48",,"76,7",,"101,3",,"86,3",
Ghaytaitkfi,2829616,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,137,,"12,52",,"78,3",,"104,4",,"81,6",
DI07013itkfi,2829600,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27803,https://doi.org/10.15454/GVABT5,DI07013,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,138,,"11,44",,75,,"101,2",,"79,1",
DI07019-2itkt,2829575,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27805,https://doi.org/10.15454/TBYVED,DI07019-2,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,137,,"11,22",,"62,7",,"98,8",,"84,2",
CF06230itkt,2829633,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27069,https://doi.org/10.15454/PBD8PO,CF06230,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,135,,"12,26",,"75,7",,"98,3",,"83,7",
RE06097itkt,2829559,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27832,https://doi.org/10.15454/X0FSJ6,RE06097,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,135,,"11,41",,"74,3",,"97,2",,"82,8",
DI07019-2itkfi,2829574,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27805,https://doi.org/10.15454/TBYVED,DI07019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,136,,"10,42",,"65,4",,"100,1",,"78,2",
CF06107itkt,2829573,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27066,https://doi.org/10.15454/PVLGW3,CF06107,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,141,,"11,72",,"72,5",,"101,8",,"86,7",
Caphornitkfi,2829598,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,134,,"11,83",,"72,5",,"98,1",,"76,7",
EM06233itkt,2829637,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,131,,"12,57",,"78,9",,"101,1",,"86,2",
RE06097itkfi,2829558,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27832,https://doi.org/10.15454/X0FSJ6,RE06097,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,134,,"11,07",,"75,5",,"96,6",,"75,5",
DI07021itkt,2829569,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27806,https://doi.org/10.15454/HIUKXE,DI07021,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,137,,"11,66",,"74,9",,"108,8",,"92,7",
DI07021itkfi,2829568,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27806,https://doi.org/10.15454/HIUKXE,DI07021,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,137,,"11,06",,"75,6",,"105,4",,"82,4",
Caphornitkt,2829599,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,134,,"11,85",,"70,8",,"102,9",,"87,7",
CF06107itkfi,2829572,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27066,https://doi.org/10.15454/PVLGW3,CF06107,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,139,,"11,87",,"72,8",,"104,9",,82,
EM06229itkfi,2829584,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,132,,"11,27",,"77,4",,"99,7",,"77,9",
EM06307itkt,2829577,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,135,,"11,46",,71,,"93,8",,"79,9",
CF06136itkt,2829635,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,131,,"11,17",,"74,2",,"104,5",,"89,1",
CF06136itkfi,2829634,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,1,,133,,"11,01",,"76,8",,"108,7",,"84,9",
EM06307itkfi,2829576,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,135,,"11,6",,"69,6",,"89,3",,"69,8",
EM06017itkt,2829563,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,132,,"11,86",,"80,6",,"104,1",,"88,7",
CF06016itkt,2829619,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27782,https://doi.org/10.15454/96DRU4,CF06016,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,136,,"11,99",,"70,4",,"99,3",,"84,6",
Mendelitkt,2829589,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,134,,"12,36",,"68,4",,"96,8",,"82,4",
CF06016itkfi,2829618,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27782,https://doi.org/10.15454/96DRU4,CF06016,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,135,,"11,83",,"72,2",,"99,1",,"77,5",
EM06094itkt,2829615,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,137,,"12,22",,"74,4",,"99,3",,"84,6",
DI07015itkt,2829597,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27842,https://doi.org/10.15454/CW6MPE,DI07015,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,140,,"12,32",,"77,7",,"94,2",,"80,2",
Mendelitkfi,2829588,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,133,,"11,12",,"69,2",,"94,2",,"73,6",
RE06134itkfi,2829570,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,1,,132,,"11,35",,"73,1",,92,,"71,9",
RE06058itkt,2829581,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27830,https://doi.org/10.15454/V4CPNJ,RE06058,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,141,,"10,82",,"72,9",,"97,1",,"82,7",
EM06017itkfi,2829562,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,1,,132,,"11,23",,"81,2",,"105,5",,"82,5",
DI07015itkfi,2829596,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27842,https://doi.org/10.15454/CW6MPE,DI07015,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,140,,"11,8",,"77,7",,"96,4",,"75,3",
RE06134itkt,2829571,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,131,,"11,71",,"70,1",,89,,"75,9",
RE06130itkt,2829565,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27833,https://doi.org/10.15454/QCSBFW,RE06130,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,130,,"12,38",,"71,1",,"89,7",,"76,4",
RE06048itkfi,2829622,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,1,,134,,"11,57",,"75,9",,"97,8",,"76,4",
RE06060itkt,2829625,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,132,,"11,82",,"71,7",,"95,1",,"81,1",
CF06210itkfi,2829628,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27785,https://doi.org/10.15454/BZGBHW,CF06210,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,134,,"11,83",,"71,7",,"110,4",,"86,3",
RE06060itkfi,2829624,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,3,,133,,"11,15",,"72,3",,"96,5",,"75,4",
CF06210itkt,2829629,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27785,https://doi.org/10.15454/BZGBHW,CF06210,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,134,,"11,31",,"71,9",,"102,3",,"87,2",
RE06048itkt,2829623,BTH_Clermont-Ferrand_2008_SetA2,BTH_Clermont-Ferrand_2008_SetA2,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,treated,2008,2,,134,,"11,79",,"74,2",,"98,6",,84,
