observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rj(CO_321:1000162),rj(CO_321:1000162).date
Tremie,2771932,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,2001,NA,,NA,,NA,
CF00116,2771920,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,2001,4,,2,,1,
EM00072,2771933,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,26102,https://doi.org/10.15454/WNKZ9X,EM00072,VIRTUAL_TRIAL,,,,,,,,2001,3,,2,,1,
CF00110,2771917,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,26048,https://doi.org/10.15454/7WIU47,CF00110,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,2,,1,
CF00117,2771921,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,26049,https://doi.org/10.15454/NGVK7J,CF00117,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,2,,1,
CF00020,2771903,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,49725,https://doi.org/10.15454/PNW0L6,CF00020,VIRTUAL_TRIAL,,,,,,,,2001,"2,5",,2,,1,
Rytmic,2771913,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,2001,"5,5",,2,,3,
Soissons,2771940,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2001,NA,,NA,,NA,
Isengrain,2771937,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,2001,NA,,NA,,NA,
EM00073,2771934,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,48841,gnpis_pui:holding-921_taxon-4898_accession-48841,EM00073,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,2,,1,
CF00017,2771923,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,48962,gnpis_pui:holding-921_taxon-4898_accession-48962,CF00017,VIRTUAL_TRIAL,,,,,,,,2001,3,,3,,1,
CF01001,2771928,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,48835,gnpis_pui:holding-921_taxon-4898_accession-48835,CF01001,VIRTUAL_TRIAL,,,,,,,,2001,2,,5,,3,
RE00119,2771939,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,48886,gnpis_pui:holding-921_taxon-4898_accession-48886,RE00119,VIRTUAL_TRIAL,,,,,,,,2001,5,,5,,1,
RE00102,2771916,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,49066,gnpis_pui:holding-921_taxon-4898_accession-49066,RE00102,VIRTUAL_TRIAL,,,,,,,,2001,3,,5,,1,
EM00074,2771911,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,2001,"2,5",,5,,3,
CF00013,2771926,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,48641,gnpis_pui:holding-921_taxon-4898_accession-48641,CF00013,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,3,,1,
RE00116,2771941,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,48651,gnpis_pui:holding-921_taxon-4898_accession-48651,RE00116,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,3,,1,
CF99085,2771944,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,48774,gnpis_pui:holding-921_taxon-4898_accession-48774,CF99085,VIRTUAL_TRIAL,,,,,,,,2001,"2,5",,2,,1,
CF00150,2771935,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,49429,gnpis_pui:holding-921_taxon-4898_accession-49429,CF00150,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,2,,1,
RE00113,2771924,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,49700,gnpis_pui:holding-921_taxon-4898_accession-49700,RE00113,VIRTUAL_TRIAL,,,,,,,,2001,4,,2,,1,
CF00160,2771909,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,49150,gnpis_pui:holding-921_taxon-4898_accession-49150,CF00160,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,5,,1,
RE00109,2771915,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,49703,gnpis_pui:holding-921_taxon-4898_accession-49703,RE00109,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,5,,1,
Farandole,2771919,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,2001,NA,,NA,,NA,
CF00010,2771925,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,48350,https://doi.org/10.15454/YIXHGN,CF00010,VIRTUAL_TRIAL,,,,,,,,2001,"5,5",,5,,1,
