observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2817671,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48619,gnpis_pui:holding-921_taxon-4898_accession-48619,RE05042,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"11,8",,"101,7",
2,2817670,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48619,gnpis_pui:holding-921_taxon-4898_accession-48619,RE05042,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"9,54",,"95,13",
2,2817672,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48619,gnpis_pui:holding-921_taxon-4898_accession-48619,RE05042,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"11,13",,"100,18",
2,2817686,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49266,gnpis_pui:holding-921_taxon-4898_accession-49266,AO06801,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"10,17",,"85,63",
2,2817688,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49266,gnpis_pui:holding-921_taxon-4898_accession-49266,AO06801,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"11,87",,"106,64",
1,2817687,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49266,gnpis_pui:holding-921_taxon-4898_accession-49266,AO06801,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"11,12",,"99,78",
1,2817685,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49266,gnpis_pui:holding-921_taxon-4898_accession-49266,AO06801,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"10,35",,"97,2",
1,2817759,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"11,4",,"100,77",
1,2817757,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"9,77",,"91,96",
2,2817758,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"9,93",,"80,98",
1,2817779,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48840,gnpis_pui:holding-921_taxon-4898_accession-48840,DI06021,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"12,28",,"95,07",
2,2817780,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48840,gnpis_pui:holding-921_taxon-4898_accession-48840,DI06021,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"11,89",,"101,94",
2,2817778,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48840,gnpis_pui:holding-921_taxon-4898_accession-48840,DI06021,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"11,47",,"83,25",
1,2817777,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48840,gnpis_pui:holding-921_taxon-4898_accession-48840,DI06021,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"11,43",,"90,79",
2,2817692,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48655,gnpis_pui:holding-921_taxon-4898_accession-48655,EM05347,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"11,14",,"99,93",
2,2817690,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48655,gnpis_pui:holding-921_taxon-4898_accession-48655,EM05347,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"9,95",,"92,29",
1,2817691,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48655,gnpis_pui:holding-921_taxon-4898_accession-48655,EM05347,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"11,36",,"100,24",
1,2817689,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48655,gnpis_pui:holding-921_taxon-4898_accession-48655,EM05347,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"10,07",,"87,65",
1,2817745,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48989,gnpis_pui:holding-921_taxon-4898_accession-48989,RE05075,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"9,38",,"96,17",
2,2817746,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48989,gnpis_pui:holding-921_taxon-4898_accession-48989,RE05075,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"9,35",,"94,05",
2,2817748,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48989,gnpis_pui:holding-921_taxon-4898_accession-48989,RE05075,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"10,59",,"102,33",
1,2817747,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48989,gnpis_pui:holding-921_taxon-4898_accession-48989,RE05075,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"10,79",,"106,22",
1,2817677,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49001,gnpis_pui:holding-921_taxon-4898_accession-49001,CF05146,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"11,46",,"91,89",
2,2817680,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49001,gnpis_pui:holding-921_taxon-4898_accession-49001,CF05146,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"12,41",,"96,55",
1,2817679,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49001,gnpis_pui:holding-921_taxon-4898_accession-49001,CF05146,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"13,32",,"101,13",
2,2817678,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,49001,gnpis_pui:holding-921_taxon-4898_accession-49001,CF05146,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"11,41",,"91,13",
1,2817673,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48455,gnpis_pui:holding-921_taxon-4898_accession-48455,CF05001,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2006,"9,99",,"93,56",
2,2817676,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48455,gnpis_pui:holding-921_taxon-4898_accession-48455,CF05001,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"11,38",,"97,08",
2,2817674,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48455,gnpis_pui:holding-921_taxon-4898_accession-48455,CF05001,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2006,"9,94",,"87,21",
1,2817675,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,48455,gnpis_pui:holding-921_taxon-4898_accession-48455,CF05001,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"13,2",,"98,56",
1,2817711,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,REPLICATION,1,,,,,,REPLICATION:1,treated,2006,"12,88",,"107,74",
2,2817712,BTH_Le_Moulon_2006_SetB3,BTH_Le_Moulon_2006_SetB3,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,REPLICATION,2,,,,,,REPLICATION:2,treated,2006,"11,16",,"107,57",
