observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Apacheitkfi,2846133,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,85,,"45,6",,142,,"8,69",,"76,4",,"101,1",,"64,4",
CF07143itkt,2846156,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,104,,"56,9",,144,,"10,38",,"79,4",,"105,1",,"83,7",
CF07097itkt,2846128,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,95,,52,,144,,"9,36",,78,,"97,3",,"77,5",
Apacheitkt,2846134,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,87,,"52,1",,143,,"9,28",,"78,6",,"103,1",,"82,1",
CF07097itkfi,2846127,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,3,,88,,"49,4",,144,,"9,41",,"76,8",,"101,9",,"64,9",
EM06017itkfi,2846107,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"1,5",,92,,"49,7",,142,,"10,26",,"81,5",,"100,3",,"63,9",
CF07022itkfi,2846169,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,88,,"53,4",,144,,"9,27",,"78,2",,"102,1",,65,
Ghaytaitkt,2846160,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,95,,"58,4",,144,,"12,92",,"77,8",,"97,5",,"77,7",
CF07002itkt,2846172,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,92,,51,,144,,"10,28",,"79,6",,"90,5",,72,
Ghaytaitkfi,2846159,BTH_Lusignan_2010_SetA1,BTH_Lusignan_2010_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,86,,"52,4",,144,,"9,75",,"75,8",,"95,3",,"60,8",
