observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,pvp(CO_321:1000251),pvp(CO_321:1000251).date
EM00010,2765906,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,48443,gnpis_pui:holding-921_taxon-4898_accession-48443,EM00010,VIRTUAL_TRIAL,,,,,,,,2000,5,
DI00014,2765890,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,49133,gnpis_pui:holding-921_taxon-4898_accession-49133,DI00014,VIRTUAL_TRIAL,,,,,,,,2000,5,
RE00007,2765899,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,48568,gnpis_pui:holding-921_taxon-4898_accession-48568,RE00007,VIRTUAL_TRIAL,,,,,,,,2000,5,
RE00006,2765898,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,48591,gnpis_pui:holding-921_taxon-4898_accession-48591,RE00006,VIRTUAL_TRIAL,,,,,,,,2000,2,
LM00002,2765892,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,48625,gnpis_pui:holding-921_taxon-4898_accession-48625,LM00002,VIRTUAL_TRIAL,,,,,,,,2000,5,
Charger,2765900,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2000,NA,
Tremie,2765902,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,2000,NA,
Balthazar,2765887,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,25537,https://doi.org/10.15454/ISHUU1,BALTHAZAR,VIRTUAL_TRIAL,,,,,,,,2000,NA,
Ornicar,2765895,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,25609,https://doi.org/10.15454/ZUZBM9,ORNICAR,VIRTUAL_TRIAL,,,,,,,,2000,NA,
DI00010,2765914,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,2000,5,
RE99123,2765908,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,26875,https://doi.org/10.15454/WJONCW,RE99123,VIRTUAL_TRIAL,,,,,,,,2000,2,
EM00009,2765888,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,49567,gnpis_pui:holding-921_taxon-4898_accession-49567,EM00009,VIRTUAL_TRIAL,,,,,,,,2000,5,
CF99175,2765886,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,48961,gnpis_pui:holding-921_taxon-4898_accession-48961,CF99175,VIRTUAL_TRIAL,,,,,,,,2000,2,
Soissons,2765919,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2000,NA,
Isengrain,2765910,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,2000,NA,
RE00009,2765897,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,26868,https://doi.org/10.15454/NP8MBD,RE00009,VIRTUAL_TRIAL,,,,,,,,2000,2,
RE00008,2765896,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,26867,https://doi.org/10.15454/PZEUL6,RE00008,VIRTUAL_TRIAL,,,,,,,,2000,5,
DI00013,2765901,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,49391,gnpis_pui:holding-921_taxon-4898_accession-49391,DI00013,VIRTUAL_TRIAL,,,,,,,,2000,5,
RE99107,2765921,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,48500,gnpis_pui:holding-921_taxon-4898_accession-48500,RE99107,VIRTUAL_TRIAL,,,,,,,,2000,5,
CF99087,2765922,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,49070,gnpis_pui:holding-921_taxon-4898_accession-49070,CF99087,VIRTUAL_TRIAL,,,,,,,,2000,2,
CF99106,2765918,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,49192,gnpis_pui:holding-921_taxon-4898_accession-49192,CF99106,VIRTUAL_TRIAL,,,,,,,,2000,3,
DI00018,2765909,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,48991,gnpis_pui:holding-921_taxon-4898_accession-48991,DI00018,VIRTUAL_TRIAL,,,,,,,,2000,3,
DI00015,2765917,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,48998,gnpis_pui:holding-921_taxon-4898_accession-48998,DI00015,VIRTUAL_TRIAL,,,,,,,,2000,3,
EM00011,2765907,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,48448,gnpis_pui:holding-921_taxon-4898_accession-48448,EM00011,VIRTUAL_TRIAL,,,,,,,,2000,5,
RE99133,2765893,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,49137,gnpis_pui:holding-921_taxon-4898_accession-49137,RE99133,VIRTUAL_TRIAL,,,,,,,,2000,5,
EM00012,2765904,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,49139,gnpis_pui:holding-921_taxon-4898_accession-49139,EM00012,VIRTUAL_TRIAL,,,,,,,,2000,3,
RE99111,2765894,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,49369,gnpis_pui:holding-921_taxon-4898_accession-49369,RE99111,VIRTUAL_TRIAL,,,,,,,,2000,2,
EM00013,2765905,BTH_Rennes_2000_SetB2_PIETIN-VERSE,BTH_Rennes_2000_SetB2_PIETIN-VERSE,48376,gnpis_pui:holding-921_taxon-4898_accession-48376,EM00013,VIRTUAL_TRIAL,,,,,,,,2000,5,
