observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rj(CO_321:1000162),rj(CO_321:1000162).date
Ornicar,2770243,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,25609,https://doi.org/10.15454/ZUZBM9,ORNICAR,VIRTUAL_TRIAL,,,,,,,,2001,NA,,NA,,NA,,NA,
DI00010,2770261,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,2001,"2,5",,"7,78",,5445,,1,
EM00002,2770239,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,2001,"4,5",,"4,96",,617,,1,
DI00024,2770241,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,2001,"4,5",,"2,64",,891,,1,
Soissons,2770263,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2001,NA,,NA,,NA,,NA,
Isengrain,2770259,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,2001,NA,,NA,,NA,,NA,
DI00004,2770248,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,26856,https://doi.org/10.15454/N04VLE,DI00004,VIRTUAL_TRIAL,,,,,,,,2001,4,,"2,36",,"0,97",,3,
EM00302,2770252,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,26864,https://doi.org/10.15454/XVZVZD,EM00302,VIRTUAL_TRIAL,,,,,,,,2001,5,,"1,35",,774,,1,
EM00006,2770238,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,26861,https://doi.org/10.15454/UEZ7EW,EM00006,VIRTUAL_TRIAL,,,,,,,,2001,4,,"7,32",,4921,,1,
EM00019,2770256,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,26862,https://doi.org/10.15454/SKKWNL,EM00019,VIRTUAL_TRIAL,,,,,,,,2001,"4,5",,"1,2",,813,,1,
EM00004,2770240,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,26860,https://doi.org/10.15454/4WHHJZ,EM00004,VIRTUAL_TRIAL,,,,,,,,2001,3,,"2,64",,703,,1,
RE00010,2770247,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,26869,https://doi.org/10.15454/46HA0A,RE00010,VIRTUAL_TRIAL,,,,,,,,2001,"4,5",,"2,5",,416,,6,
RE00009,2770251,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,26868,https://doi.org/10.15454/NP8MBD,RE00009,VIRTUAL_TRIAL,,,,,,,,2001,3,,"3,24",,1267,,3,
RE00014,2770264,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,26870,https://doi.org/10.15454/SUO7RH,RE00014,VIRTUAL_TRIAL,,,,,,,,2001,4,,"5,77",,3521,,3,
RE00008,2770250,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,26867,https://doi.org/10.15454/PZEUL6,RE00008,VIRTUAL_TRIAL,,,,,,,,2001,6,,"5,86",,3249,,1,
EM00015,2770258,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,48653,gnpis_pui:holding-921_taxon-4898_accession-48653,EM00015,VIRTUAL_TRIAL,,,,,,,,2001,"6,5",,"2,88",,767,,1,
EM00301,2770254,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,48481,gnpis_pui:holding-921_taxon-4898_accession-48481,EM00301,VIRTUAL_TRIAL,,,,,,,,2001,6,,"2,87",,"0,66",,1,
Oratorio,2770246,BTH_Rennes_2001_SetA2_PIETIN-VERSE,BTH_Rennes_2001_SetA2_PIETIN-VERSE,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,2001,NA,,NA,,NA,,NA,
