observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
AO06407itkfi,2816442,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26982,https://doi.org/10.15454/FCNCUR,AO06407,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,"54,2",,146,,"9,69",,"70,4",,"108,1",,"90,5",,2,
DI06008itkfi,2816496,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49044,gnpis_pui:holding-921_taxon-4898_accession-49044,DI06008,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,78,,"46,6",,149,,"11,02",,"70,2",,"103,6",,"86,7",,NA,
CF05159itkt,2816495,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48381,gnpis_pui:holding-921_taxon-4898_accession-48381,CF05159,VIRTUAL_TRIAL,,,,,,,,treated,2006,82,,"43,3",,145,,"11,44",,"65,6",,"100,5",,"107,9",,,
AO06407itkt,2816443,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26982,https://doi.org/10.15454/FCNCUR,AO06407,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,"53,6",,"144,5",,"11,01",,"68,1",,"104,1",,"111,7",,,
RE05047itkt,2816437,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26903,https://doi.org/10.15454/QRI3MM,RE05047,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,"52,6",,"142,5",,"11,6",,"72,3",,"95,6",,"102,6",,,
RE05047itkfi,2816436,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26903,https://doi.org/10.15454/QRI3MM,RE05047,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,"54,2",,"143,5",,"10,2",,"71,9",,"105,2",,"88,1",,2,
CF05084itkt,2816435,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48438,gnpis_pui:holding-921_taxon-4898_accession-48438,CF05084,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,"46,6",,144,,"10,42",,"72,6",,"100,1",,"107,4",,,
CF05084itkfi,2816434,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48438,gnpis_pui:holding-921_taxon-4898_accession-48438,CF05084,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,82,,"43,2",,"143,5",,"10,27",,"71,8",,96,,"80,4",,7,
RE05038itkt,2816475,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26902,https://doi.org/10.15454/JZRTIK,RE05038,VIRTUAL_TRIAL,,,,,,,,treated,2006,88,,"48,8",,146,,"10,73",,"72,5",,"96,3",,"103,4",,,
DI06009itkt,2816499,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48923,gnpis_pui:holding-921_taxon-4898_accession-48923,DI06009,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,"46,7",,147,,"12,49",,"72,4",,"95,9",,"102,9",,,
DI06009itkfi,2816498,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48923,gnpis_pui:holding-921_taxon-4898_accession-48923,DI06009,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,"47,5",,148,,"11,02",,"73,2",,"104,3",,"87,4",,2,
RE05038itkfi,2816474,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26902,https://doi.org/10.15454/JZRTIK,RE05038,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,92,,"50,7",,"146,5",,"9,87",,70,,"106,4",,"89,1",,NA,
Farandoleitkfi,2816468,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,82,,"49,8",,"143,5",,"11,08",,"68,3",,"103,7",,"86,9",,5,
DI06013itkfi,2816450,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49342,gnpis_pui:holding-921_taxon-4898_accession-49342,DI06013,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,"45,9",,"149,5",,"11,47",,69,,"92,6",,"77,5",,3,
RE05031itkfi,2816464,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49144,gnpis_pui:holding-921_taxon-4898_accession-49144,RE05031,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,"47,6",,145,,"10,32",,"67,8",,"104,7",,"87,7",,NA,
RE05037itkt,2816473,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26901,https://doi.org/10.15454/WC63BJ,RE05037,VIRTUAL_TRIAL,,,,,,,,treated,2006,92,,NA,,"145,5",,"10,58",,"67,2",,105,,"112,7",,,
DI06013itkt,2816451,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49342,gnpis_pui:holding-921_taxon-4898_accession-49342,DI06013,VIRTUAL_TRIAL,,,,,,,,treated,2006,78,,"45,9",,149,,"12,77",,"61,6",,"83,5",,"89,6",,,
RE05037itkfi,2816472,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26901,https://doi.org/10.15454/WC63BJ,RE05037,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,"55,4",,145,,"9,2",,"69,6",,"106,3",,89,,2,
CF04060itkt,2816463,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49634,gnpis_pui:holding-921_taxon-4898_accession-49634,CF04060,VIRTUAL_TRIAL,,,,,,,,treated,2006,78,,"43,7",,144,,"10,8",,70,,"105,5",,"113,2",,,
CF04060itkfi,2816462,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49634,gnpis_pui:holding-921_taxon-4898_accession-49634,CF04060,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,82,,"41,2",,"144,5",,"10,53",,"61,9",,"100,5",,"84,2",,8,
RE05008itkt,2816427,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49422,https://doi.org/10.15454/9VMAGV,RE05008,VIRTUAL_TRIAL,,,,,,,,treated,2006,82,,"46,7",,"143,5",,"11,66",,"70,1",,"97,7",,"104,9",,,
CF05169itkfi,2816440,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48736,https://doi.org/10.15454/X75WAV,CF05169,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,"51,8",,143,,"10,75",,"70,5",,"106,4",,"89,1",,2,
CF05169itkt,2816441,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48736,https://doi.org/10.15454/X75WAV,CF05169,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,"51,3",,143,,"11,92",,"64,7",,"98,7",,"105,9",,,
CF05235itkfi,2816438,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48770,https://doi.org/10.15454/EKVXQT,CF05235,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,"45,6",,"146,5",,"10,9",,"72,1",,"106,3",,89,,NA,
DI06010itkt,2816449,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48551,gnpis_pui:holding-921_taxon-4898_accession-48551,DI06010,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,"45,8",,148,,"12,5",,"74,2",,"93,1",,"99,9",,,
Orvantisitkt,2816489,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,"47,6",,143,,"11,93",,"75,5",,"104,5",,"112,1",,,
DI06010itkfi,2816448,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48551,gnpis_pui:holding-921_taxon-4898_accession-48551,DI06010,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,78,,"46,3",,148,,"10,89",,73,,100,,"83,8",,NA,
Farandoleitkt,2816469,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,"53,4",,"143,5",,"11,95",,"71,8",,"103,6",,"111,2",,,
RE05031itkt,2816465,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49144,gnpis_pui:holding-921_taxon-4898_accession-49144,RE05031,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,"52,2",,145,,"11,58",,"71,6",,"94,3",,"101,3",,,
CF05235itkt,2816439,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48770,https://doi.org/10.15454/EKVXQT,CF05235,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,44,,146,,"12,34",,"69,2",,"97,9",,105,,,
DI06012itkfi,2816452,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49037,gnpis_pui:holding-921_taxon-4898_accession-49037,DI06012,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,"52,8",,147,,"10,46",,"69,1",,"97,9",,82,,2,
RE05011itkt,2816479,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26899,https://doi.org/10.15454/3NYQAY,RE05011,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,49,,"146,5",,"11,53",,"67,9",,"100,2",,"107,6",,,
CF05161itkt,2816445,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,"53,5",,"143,5",,"12,48",,"67,3",,"99,7",,107,,,
DI06012itkt,2816453,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49037,gnpis_pui:holding-921_taxon-4898_accession-49037,DI06012,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,"43,6",,"146,5",,"12,63",,"68,7",,"91,9",,"98,6",,,
RE05011itkfi,2816478,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26899,https://doi.org/10.15454/3NYQAY,RE05011,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,46,,148,,"10,46",,"69,8",,"106,8",,"89,4",,4,
Orvantisitkfi,2816488,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,88,,45,,143,,"10,16",,70,,"97,7",,"81,8",,9,
DI06015itkfi,2816454,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49503,gnpis_pui:holding-921_taxon-4898_accession-49503,DI06015,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,"52,8",,146,,"10,47",,69,,"101,3",,"84,8",,3,
DI06014itkt,2816457,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49534,https://doi.org/10.15454/1WVZPY,DI06014,VIRTUAL_TRIAL,,,,,,,,treated,2006,82,,"51,8",,146,,"11,35",,"70,1",,"92,9",,"99,7",,,
CF05161itkfi,2816444,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,82,,"53,5",,"144,5",,"10,5",,"71,4",,"108,3",,"90,7",,NA,
EM05274itkt,2816485,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48852,gnpis_pui:holding-921_taxon-4898_accession-48852,EM05274,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,"51,6",,143,,"12,54",,"71,8",,"92,8",,"99,6",,,
DI06015itkt,2816455,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49503,gnpis_pui:holding-921_taxon-4898_accession-49503,DI06015,VIRTUAL_TRIAL,,,,,,,,treated,2006,82,,"51,4",,146,,"11,62",,"73,1",,"93,7",,"100,6",,,
Chargeritkt,2816477,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2006,78,,"43,9",,145,,"11,28",,"65,7",,"98,5",,"105,7",,,
Chargeritkfi,2816476,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,"43,6",,146,,"9,64",,69,,"97,4",,"81,6",,8,
DI06014itkfi,2816456,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49534,https://doi.org/10.15454/1WVZPY,DI06014,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,88,,"51,7",,147,,"10,44",,"69,2",,"102,1",,"85,5",,2,
EM05274itkfi,2816484,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48852,gnpis_pui:holding-921_taxon-4898_accession-48852,EM05274,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,88,,"53,2",,"142,5",,"10,77",,"70,3",,"103,7",,"86,8",,2,
RE05039itkt,2816459,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,27825,https://doi.org/10.15454/FYAJT8,RE05039,VIRTUAL_TRIAL,,,,,,,,treated,2006,88,,"51,1",,"143,5",,"12,26",,"67,3",,"96,2",,"103,3",,,
AO05003itkfi,2816492,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49730,gnpis_pui:holding-921_taxon-4898_accession-49730,AO05003,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,82,,"43,6",,142,,"10,31",,"69,4",,"99,5",,"83,3",,8,
AO05003itkt,2816493,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49730,gnpis_pui:holding-921_taxon-4898_accession-49730,AO05003,VIRTUAL_TRIAL,,,,,,,,treated,2006,72,,NA,,141,,"11,73",,"66,5",,"97,8",,105,,,
CF05031itkt,2816491,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49286,gnpis_pui:holding-921_taxon-4898_accession-49286,CF05031,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,"46,5",,145,,"11,62",,"73,7",,"99,6",,"106,9",,,
CF05031itkfi,2816490,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49286,gnpis_pui:holding-921_taxon-4898_accession-49286,CF05031,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,82,,"43,6",,"143,5",,"10,24",,"72,8",,"107,4",,90,,5,
RE05039itkfi,2816458,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,27825,https://doi.org/10.15454/FYAJT8,RE05039,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,"54,1",,144,,"10,51",,"67,2",,"108,4",,"90,7",,2,
Caphornitkfi,2816466,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,"49,1",,143,,"10,5",,68,,"105,3",,"88,2",,5,
CF05089itkfi,2816430,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49702,gnpis_pui:holding-921_taxon-4898_accession-49702,CF05089,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,"45,4",,"144,5",,"10,66",,"72,4",,"101,1",,"84,6",,2,
RE05016itkt,2816481,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26900,https://doi.org/10.15454/YMFJQC,RE05016,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,"49,4",,"147,5",,"11,93",,"74,3",,"96,6",,"103,7",,,
Caphornitkt,2816467,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,"47,5",,142,,"11,6",,"73,1",,"100,4",,"107,8",,,
DI06016itkfi,2816500,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49166,gnpis_pui:holding-921_taxon-4898_accession-49166,DI06016,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,"47,4",,145,,"10,96",,"69,6",,"93,9",,"78,6",,5,
RE05016itkfi,2816480,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26900,https://doi.org/10.15454/YMFJQC,RE05016,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,"49,8",,148,,"10,39",,"70,2",,"110,3",,"92,3",,3,
DI06016itkt,2816501,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49166,gnpis_pui:holding-921_taxon-4898_accession-49166,DI06016,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,"48,2",,145,,"11,65",,"71,6",,"96,9",,104,,,
RE05050itkfi,2816470,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,92,,"53,1",,144,,"10,75",,"71,2",,"105,1",,88,,5,
RE05079itkfi,2816482,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48975,https://doi.org/10.15454/JTGRMP,RE05079,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,"51,7",,"144,5",,"11,04",,"62,6",,"107,1",,"89,7",,NA,
RE05065itkt,2816433,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49606,gnpis_pui:holding-921_taxon-4898_accession-49606,RE05065,VIRTUAL_TRIAL,,,,,,,,treated,2006,72,,"42,1",,"147,5",,"13,06",,67,,"86,5",,"92,8",,,
DI06011itkfi,2816446,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48760,gnpis_pui:holding-921_taxon-4898_accession-48760,DI06011,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,75,,"46,9",,"144,5",,"10,92",,"68,6",,"102,1",,"85,5",,4,
CF05159itkfi,2816494,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48381,gnpis_pui:holding-921_taxon-4898_accession-48381,CF05159,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,"44,7",,"145,5",,"9,57",,"71,7",,"103,9",,87,,3,
RE05079itkt,2816483,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48975,https://doi.org/10.15454/JTGRMP,RE05079,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,"45,9",,"142,5",,"12,63",,"68,2",,"98,3",,"105,5",,,
RE05065itkfi,2816432,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,49606,gnpis_pui:holding-921_taxon-4898_accession-49606,RE05065,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,"44,7",,148,,"11,06",,72,,"96,4",,"80,8",,NA,
DI06011itkt,2816447,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48760,gnpis_pui:holding-921_taxon-4898_accession-48760,DI06011,VIRTUAL_TRIAL,,,,,,,,treated,2006,70,,"49,1",,"144,5",,"12,2",,"63,2",,"96,1",,"103,1",,,
EM05256itkt,2816425,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48632,gnpis_pui:holding-921_taxon-4898_accession-48632,EM05256,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,49,,148,,"12,04",,"71,3",,"91,1",,"97,8",,,
EM05256itkfi,2816424,BTH_Le_Moulon_2006_SetB2,BTH_Le_Moulon_2006_SetB2,48632,gnpis_pui:holding-921_taxon-4898_accession-48632,EM05256,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,"49,5",,149,,"11,12",,"69,4",,"101,9",,"85,3",,2,
