observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
Musikitkt,2852791,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,treated,2010,NA,,NA,,91,,"72,7",,91,,"254,7",,NA,,NA,,NA,,"50,5",,437,,"12,1",,NA,,1675,,44,
Karillonitkt,2852833,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2010,"21,6",,95,,94,,"49,7",,92,,"235,7",,68,,"0,72",,202,,"71,5",,359,,"11,2",,NA,,1498,,33,
Ghaytaitkt,2852829,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2010,"21,7",,96,,NA,,NA,,NA,,NA,,104,,"1,09",,349,,72,,446,,"14,4",,NA,,NA,,65,
CF08027itkt,2852843,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,1",,59,,94,,46,,69,,209,,76,,"1,29",,177,,"61,5",,384,,11,,NA,,1415,,"29,5",
Granamaxitkt,2852825,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2010,"18,4",,69,,94,,72,,84,,250,,87,,"1,28",,216,,"76,5",,382,,"11,2",,NA,,1658,,"34,5",
Gallixeitkt,2852832,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2010,"22,1",,99,,88,,51,,88,,227,,63,,"0,64",,188,,5,,NA,,"11,6",,"77,9",,1673,,NA,
Caphornitkt,2852810,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2010,"18,9",,72,,100,,76,,78,,254,,94,,"1,31",,263,,59,,386,,"12,3",,NA,,1768,,54,
AO10005itkt,2852811,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,49146,https://doi.org/10.15454/H6MB7G,AO10005,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,5",,62,,100,,73,,80,,253,,104,,"1,68",,238,,"61,5",,428,,"11,4",,NA,,1880,,35,
AO10008itkt,2852813,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,49349,https://doi.org/10.15454/7PE32Q,AO10008,VIRTUAL_TRIAL,,,,,,,,treated,2010,"12,2",,30,,76,,7,,57,,140,,109,,"3,63",,150,,60,,412,,12,,NA,,980,,"45,5",
AO10011itkt,2852778,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,49125,https://doi.org/10.15454/CTNPK9,AO10011,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,5",,62,,100,,82,,99,,281,,108,,"1,74",,242,,"74,5",,400,,"11,7",,NA,,1863,,"37,5",
