observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Barokitkfi,2819788,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"52,3",,128,,"8,71",,"69,7",,"110,6",,1,,"85,1",,1,,,
Toisondoritkfi,2819797,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"72,5",,"36,5",,124,,"9,84",,"66,7",,"91,3",,1,,"70,3",,"6,5",,,
Barokitkt,2819790,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,traité,2007,90,,"54,9",,"128,5",,"10,82",,"68,6",,"103,3",,,,"108,2",,,,1,
Soissonsitkfi,2819884,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,41,,120,,"9,56",,"72,2",,"89,2",,8,,"68,7",,1,,,
CF04214itkt,2819889,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,VIRTUAL_TRIAL,,,,,,,,traité,2007,"87,5",,45,,131,,"11,71",,"75,1",,"98,8",,,,"103,4",,,,1,
CF04214itknt,2819888,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"82,5",,,,132,,,,"63,2",,"61,5",,7,,"46,1",,1,,1,
Barokitknt,2819789,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,90,,,,"128,5",,,,"64,6",,"121,3",,1,,"90,9",,1,,1,
CF04214itkfi,2819887,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"35,5",,"128,5",,"9,34",,70,,"69,1",,7,,"53,2",,2,,,
Soissonsitkt,2819886,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,traité,2007,85,,"46,4",,"120,5",,"11,17",,"74,8",,"97,6",,,,"102,2",,,,1,
EM03332itkt,2819883,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,traité,2007,"92,5",,"55,4",,133,,"11,2",,"69,6",,100,,,,"104,7",,,,1,
EM03332itkfi,2819881,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"52,5",,132,,"9,78",,"69,4",,"106,4",,3,,"81,9",,"1,5",,,
Flamenkoitkfi,2819851,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,"45,5",,"121,5",,"9,7",,"69,6",,"116,1",,"2,5",,"89,4",,1,,,
EM04241itkfi,2819866,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,"43,2",,"128,5",,"9,36",,"71,6",,"94,6",,"3,5",,"72,9",,1,,,
EM04145itknt,2819819,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"82,5",,,,129,,,,"63,5",,"105,9",,3,,"79,4",,1,,1,
Flamenkoitkt,2819853,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,traité,2007,80,,48,,"122,5",,"10,86",,71,,"106,2",,,,"111,2",,,,1,
EM03332itknt,2819882,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"92,5",,,,"133,5",,,,"65,2",,"110,3",,3,,"82,6",,2,,1,
RE05074itknt,2819864,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"82,5",,,,124,,,,"63,8",,130,,1,,"97,4",,1,,1,
Mendelitkt,2819832,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,traité,2007,80,,"58,7",,124,,"11,49",,"68,7",,"101,3",,,,106,,,,1,
DI05014itkt,2819811,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,traité,2007,"92,5",,"40,9",,131,,"11,22",,"65,4",,103,,,,"107,9",,,,1,
DI05014itknt,2819810,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"92,5",,,,"131,5",,,,"64,1",,"115,6",,2,,"86,6",,1,,1,
Flamenkoitknt,2819852,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"82,5",,,,"122,5",,,,"67,1",,"128,6",,4,,"96,4",,1,,1,
EM03193itkfi,2819824,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"41,1",,"129,5",,"8,98",,"66,4",,"104,4",,"1,5",,"80,4",,1,,,
EM04145itkt,2819820,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,traité,2007,"82,5",,"45,4",,129,,"11,34",,"71,9",,"99,4",,,,"104,1",,,,1,
DI05014itkfi,2819809,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"36,3",,"129,5",,"9,2",,"66,4",,"104,4",,1,,"80,4",,1,,,
EM03193itkt,2819826,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,traité,2007,90,,"47,4",,130,,"10,69",,"69,8",,"105,6",,,,"110,6",,,,1,
EM04181itknt,2819858,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,90,,,,"128,5",,,,"62,6",,"87,3",,3,,"65,4",,"5,5",,1,
AO05004itkt,2819805,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,traité,2007,90,,"48,7",,127,,"11,04",,"72,3",,"100,7",,,,"105,4",,,,1,
