observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
EM11537itkt,2879535,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,4",,55,,100,,NA,,82,,NA,,97,,NA,,279,,NA,,116,,"2,15",,242,,90,,441,,NA,,"12,3",,NA,,1623,,NA,,"31,5",
AO13013itkt,2879584,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,treated,2013,"12,2",,30,,91,,NA,,60,,NA,,97,,NA,,248,,NA,,127,,"4,23",,162,,"98,5",,410,,NA,,"11,5",,NA,,1303,,NA,,29,
AO13015itkt,2879586,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,treated,2013,"13,7",,38,,91,,NA,,61,,NA,,80,,NA,,232,,NA,,109,,"2,87",,163,,92,,435,,NA,,"12,1",,NA,,1463,,NA,,37,
AO13045itkt,2879608,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,treated,2013,"15,9",,52,,NA,,100,,NA,,"78,1",,NA,,"98,5",,NA,,"276,6",,137,,"2,67",,262,,86,,399,,"56,5",,"11,2",,81,,NA,,1677,,NA,
CF09117itkt,2879601,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2013,"24,8",,125,,88,,NA,,19,,NA,,85,,NA,,192,,NA,,113,,"0,91",,500,,80,,411,,NA,,"16,9",,NA,,1493,,NA,,64,
RE12001itkt,2879547,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49097,https://doi.org/10.15454/ANZWH3,RE12001,VIRTUAL_TRIAL,,,,,,,,treated,2013,18,,65,,NA,,100,,NA,,"76,3",,NA,,"92,63",,NA,,"268,93",,99,,"1,52",,237,,96,,387,,"52,8",,"11,7",,83,,NA,,1615,,NA,
RE12040itkt,2879582,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48352,https://doi.org/10.15454/YWSWUD,RE12040,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,1",,90,,NA,,100,,NA,,"63,3",,NA,,"98,5",,NA,,"261,8",,86,,"0,96",,208,,85,,464,,"48,5",,"12,2",,83,,NA,,1712,,NA,
RE12042itkt,2879580,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49556,https://doi.org/10.15454/GYCEHY,RE12042,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,9",,97,,NA,,100,,NA,,"66,3",,NA,,"85,5",,NA,,"251,8",,92,,"0,95",,282,,86,,375,,"51,3",,"12,7",,"82,6",,NA,,1812,,NA,
RE12050itkt,2879578,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49040,https://doi.org/10.15454/B2JKAS,RE12050,VIRTUAL_TRIAL,,,,,,,,treated,2013,19,,73,,NA,,100,,NA,,"79,3",,NA,,"88,13",,NA,,"267,43",,115,,"1,56",,279,,83,,408,,"55,4",,"12,3",,"82,6",,NA,,1712,,NA,
RE12051itkt,2879579,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48435,https://doi.org/10.15454/0FR6IX,RE12051,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,5",,85,,NA,,100,,NA,,"82,9",,NA,,"82,25",,NA,,"265,15",,114,,"1,33",,329,,97,,377,,52,,"12,1",,"82,3",,NA,,1730,,NA,
RE12073itkt,2879576,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49588,https://doi.org/10.15454/8XOG9B,RE12073,VIRTUAL_TRIAL,,,,,,,,treated,2013,"27,3",,151,,NA,,100,,NA,,"93,4",,NA,,"91,5",,NA,,"284,9",,68,,"0,45",,278,,67,,394,,53,,"12,3",,"80,8",,NA,,1985,,NA,
RE12100itkt,2879532,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49484,https://doi.org/10.15454/GT4HPR,RE12100,VIRTUAL_TRIAL,,,,,,,,treated,2013,"25,3",,130,,NA,,97,,NA,,"86,5",,NA,,72,,NA,,"255,5",,53,,"0,41",,152,,71,,372,,"45,9",,"12,1",,"82,6",,NA,,1907,,NA,
Apacheitkt,2879570,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,4",,69,,91,,NA,,67,,NA,,85,,NA,,243,,NA,,85,,"1,25",,204,,61,,406,,NA,,"12,2",,NA,,1508,,NA,,35,
Lyrikitkt,2879607,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,5",,69,,91,,NA,,72,,NA,,84,,NA,,247,,NA,,96,,"1,39",,236,,"61,5",,421,,NA,,12,,NA,,1565,,NA,,"39,5",
Grapeliitkt,2879555,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2013,"15,1",,46,,94,,NA,,52,,NA,,84,,NA,,230,,NA,,95,,"2,07",,172,,"37,5",,391,,NA,,"11,7",,NA,,1463,,NA,,25,
CF08027itkt,2879609,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2013,17,,59,,91,,NA,,70,,NA,,77,,NA,,238,,NA,,90,,"1,55",,187,,"77,5",,400,,NA,,12,,NA,,1443,,NA,,"30,5",
Granamaxitkt,2879572,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2013,"14,4",,42,,100,,NA,,76,,NA,,93,,NA,,269,,NA,,117,,"2,79",,198,,82,,383,,NA,,"11,4",,NA,,1600,,NA,,33,
AO11011itkt,2879536,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2013,13,,34,,97,,NA,,67,,NA,,79,,NA,,243,,NA,,136,,4,,192,,79,,384,,NA,,"11,6",,NA,,1638,,NA,,"34,5",
Gotikitkt,2879590,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,8",,64,,100,,NA,,80,,NA,,77,,NA,,257,,NA,,100,,"1,56",,221,,"77,5",,424,,NA,,"12,5",,NA,,1660,,NA,,"42,5",
CF11029itkt,2879566,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,1",,66,,100,,NA,,73,,NA,,86,,NA,,259,,NA,,77,,"1,17",,173,,"81,5",,423,,NA,,12,,NA,,1610,,NA,,32,
CF11051itkt,2879539,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,4",,69,,100,,NA,,81,,NA,,83,,NA,,264,,NA,,109,,"1,6",,259,,"90,5",,405,,NA,,"12,2",,NA,,1638,,NA,,"41,5",
CF11177itkt,2879604,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,9",,89,,100,,NA,,76,,NA,,78,,NA,,254,,NA,,112,,"1,27",,351,,80,,400,,NA,,"13,6",,NA,,1635,,NA,,"61,5",
CF11291itkt,2879597,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,1",,74,,88,,NA,,13,,NA,,76,,NA,,177,,NA,,128,,"1,73",,381,,"92,5",,435,,NA,,"13,7",,NA,,1348,,NA,,53,
DI11013itkt,2879602,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2013,"13,7",,38,,94,,NA,,48,,NA,,82,,NA,,224,,NA,,121,,"3,18",,194,,"76,5",,435,,NA,,"11,4",,NA,,1268,,NA,,"31,5",
DI12005itkt,2879560,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,treated,2013,"15,6",,49,,88,,NA,,41,,NA,,69,,NA,,198,,NA,,72,,"1,47",,148,,"45,5",,390,,NA,,"11,3",,NA,,1318,,NA,,"23,5",
EM11441itkt,2879565,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,5",,94,,85,,NA,,40,,NA,,50,,NA,,175,,NA,,54,,"0,58",,128,,"79,5",,446,,NA,,"12,8",,NA,,1545,,NA,,27,
EM11604itkt,2879571,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,6",,95,,91,,NA,,77,,NA,,82,,NA,,250,,NA,,68,,"0,72",,209,,85,,459,,NA,,13,,NA,,1673,,NA,,"36,5",
RE10042itkt,2879583,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,9",,65,,91,,NA,,73,,NA,,92,,NA,,256,,NA,,99,,"1,52",,235,,"89,5",,406,,NA,,"12,8",,NA,,1690,,NA,,"32,5",
RE11058itkt,2879599,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,treated,2013,"14,3",,41,,85,,NA,,25,,NA,,60,,NA,,170,,NA,,103,,"2,51",,183,,92,,395,,NA,,"11,4",,NA,,1115,,NA,,"24,5",
RE11073itkt,2879545,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,8",,57,,91,,NA,,54,,NA,,92,,NA,,237,,NA,,92,,"1,61",,200,,87,,405,,NA,,"12,4",,NA,,1465,,NA,,31,
RE11075itkt,2879594,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,4",,69,,97,,NA,,55,,NA,,92,,NA,,244,,NA,,91,,"1,34",,224,,90,,399,,NA,,"12,4",,NA,,1495,,NA,,"32,5",
RE11087itkt,2879587,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,8",,88,,91,,NA,,80,,NA,,92,,NA,,263,,NA,,80,,"0,92",,243,,87,,401,,NA,,"12,6",,NA,,1560,,NA,,"37,5",
RE11113itkt,2879588,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,treated,2013,"23,8",,115,,100,,NA,,79,,NA,,86,,NA,,265,,NA,,68,,"0,6",,227,,76,,415,,NA,,"12,5",,NA,,1745,,NA,,38,
RE11116itkt,2879591,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,treated,2013,"22,7",,105,,94,,NA,,75,,NA,,72,,NA,,241,,NA,,57,,"0,55",,164,,81,,308,,NA,,"11,3",,NA,,1573,,NA,,"29,5",
AO13027itkt,2879548,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49214,https://doi.org/10.15454/8SM83Z,AO13027,VIRTUAL_TRIAL,,,,,,,,treated,2013,"14,9",,45,,91,,NA,,66,,NA,,89,,NA,,246,,NA,,112,,"2,49",,189,,"98,5",,430,,NA,,"11,7",,NA,,1425,,NA,,31,
Gallixeitkt,2879549,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2013,"22,3",,101,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,51,,"0,51",,128,,36,,364,,NA,,"11,8",,NA,,NA,,NA,,18,
Croustyitkt,2879585,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,8",,80,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,79,,1,,187,,49,,349,,NA,,"12,6",,NA,,NA,,NA,,28,
Galibieritkt,2879574,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,9",,89,,94,,NA,,59,,NA,,91,,NA,,244,,NA,,121,,"1,38",,399,,85,,373,,NA,,16,,NA,,1648,,NA,,59,
CF12108itkt,2879605,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48357,https://doi.org/10.15454/2XAWEY,CF12108,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,9",,80,,NA,,100,,NA,,"55,35",,NA,,"76,13",,NA,,"231,48",,97,,"1,21",,253,,92,,406,,54,,"13,3",,"81,4",,NA,,1675,,NA,
EM12096itkt,2879533,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,8",,71,,NA,,97,,NA,,"57,45",,NA,,"88,5",,NA,,"242,95",,125,,"1,75",,315,,100,,439,,"50,5",,"13,7",,"83,2",,NA,,1447,,NA,
EM12205itkt,2879538,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49562,https://doi.org/10.15454/EJSRJK,EM12205,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,8",,96,,NA,,100,,NA,,"80,5",,NA,,"88,13",,NA,,"268,63",,86,,"0,89",,264,,80,,387,,"48,4",,"12,5",,"81,5",,NA,,1650,,NA,
EM12231itkt,2879567,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,3",,75,,NA,,97,,NA,,"78,7",,NA,,"67,63",,NA,,"243,33",,82,,"1,09",,185,,88,,427,,"53,2",,"11,5",,"83,1",,NA,,1590,,NA,
EM12234itkt,2879564,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,treated,2013,"14,8",,45,,NA,,88,,NA,,32,,NA,,"57,5",,NA,,"177,5",,138,,"3,1",,251,,100,,459,,"54,2",,"12,7",,"81,5",,NA,,1105,,NA,
EM12340itkt,2879575,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48377,https://doi.org/10.15454/KP9UFC,EM12340,VIRTUAL_TRIAL,,,,,,,,treated,2013,"14,3",,42,,NA,,97,,NA,,"60,15",,NA,,"85,5",,NA,,"242,65",,158,,"3,8",,270,,81,,450,,"49,8",,12,,"79,5",,NA,,1535,,NA,
EM12359itkt,2879562,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48644,https://doi.org/10.15454/BZ52A8,EM12359,VIRTUAL_TRIAL,,,,,,,,treated,2013,"23,5",,112,,NA,,97,,NA,,"58,95",,NA,,"89,63",,NA,,"245,58",,81,,"0,72",,269,,79,,413,,"46,8",,"12,8",,"80,3",,NA,,1647,,NA,
RE12002itkt,2879573,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,8",,71,,NA,,100,,NA,,"79,6",,NA,,"92,63",,NA,,"272,23",,103,,"1,44",,259,,99,,392,,47,,"12,1",,"82,9",,NA,,1627,,NA,
RE12020itkt,2879531,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,treated,2013,"22,1",,99,,NA,,100,,NA,,"45,8",,NA,,"77,75",,NA,,"223,55",,130,,"1,31",,469,,100,,518,,"54,3",,"15,1",,"81,9",,NA,,1815,,NA,
EM12044itkt,2879595,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49319,https://doi.org/10.15454/QHF1AL,EM12044,VIRTUAL_TRIAL,,,,,,,,treated,2013,"14,1",,41,,NA,,100,,NA,,"55,35",,NA,,"77,75",,NA,,"233,1",,150,,"3,7",,247,,92,,443,,"51,7",,"11,4",,"82,7",,NA,,1372,,NA,
AO13016itkt,2879534,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,60850,https://doi.org/10.15454/R4ROYJ,AO13016,VIRTUAL_TRIAL,,,,,,,,treated,2013,"23,1",,108,,NA,,100,,NA,,82,,NA,,"98,5",,NA,,"280,5",,68,,"0,63",,200,,74,,445,,"53,7",,"11,5",,"82,5",,NA,,1700,,NA,
AO12021itkt,2879542,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2013,"14,9",,45,,94,,NA,,67,,NA,,73,,NA,,234,,NA,,125,,"2,78",,232,,"80,5",,390,,NA,,"11,4",,NA,,1375,,NA,,"30,5",
AO13022itkt,2879551,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,treated,2013,"11,3",,26,,NA,,88,,NA,,"30,5",,NA,,"53,75",,NA,,"172,25",,177,,"6,87",,203,,95,,399,,"52,9",,"10,8",,83,,NA,,987,,NA,
EM11366itkt,2879593,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,treated,2013,"15,1",,46,,100,,NA,,70,,NA,,84,,NA,,254,,NA,,124,,"2,7",,240,,77,,427,,NA,,"11,9",,NA,,1545,,NA,,"28,5",
EM11400itkt,2879581,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,7",,79,,100,,NA,,73,,NA,,90,,NA,,263,,NA,,87,,"1,12",,238,,"79,5",,430,,NA,,"13,2",,NA,,1770,,NA,,39,
DI11014itkt,2879603,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2013,"15,4",,48,,91,,NA,,58,,NA,,86,,NA,,235,,NA,,95,,"1,98",,173,,82,,433,,NA,,"11,5",,NA,,1560,,NA,,29,
DI12004itkt,2879561,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,1",,53,,88,,NA,,28,,NA,,82,,NA,,198,,NA,,100,,"1,92",,214,,77,,424,,NA,,"11,6",,NA,,1323,,NA,,"30,5",
Bermudeitkt,2879546,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,"12,8",,33,,94,,NA,,70,,NA,,81,,NA,,245,,NA,,135,,"4,09",,194,,"80,5",,430,,NA,,"11,9",,NA,,1583,,NA,,42,
AO12014itkt,2879600,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2013,"13,9",,39,,100,,NA,,70,,NA,,86,,NA,,256,,NA,,102,,"2,62",,167,,"80,5",,389,,NA,,"10,9",,NA,,1520,,NA,,26,
AO13030itkt,2879589,BTH_Dijon_2013_TECH,BTH_Dijon_2013_TECH,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,9",,65,,91,,NA,,74,,NA,,77,,NA,,242,,NA,,78,,"1,2",,165,,91,,408,,NA,,"11,8",,NA,,1480,,NA,,35,
