observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
Bermudeitkfi,2878894,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,155,,"10,2",,"74,4",,"103,1",,"84,1",,"7,2",
RE12100itkt,2878883,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,49484,https://doi.org/10.15454/GT4HPR,RE12100,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,154,,"11,6",,"78,5",,"96,7",,"101,4",,,
CF12372itkt,2878949,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61717,https://doi.org/10.15454/ONKOGJ,CF12372,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,155,,"12,6",,"72,6",,97,,"101,7",,,
AO13031itkt,2878945,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,154,,"11,9",,"79,2",,"105,6",,"110,7",,,
AO13031itkfi,2878944,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,154,,"10,8",,"76,8",,"110,3",,90,,"4,2",
RE12100itkfi,2878882,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,49484,https://doi.org/10.15454/GT4HPR,RE12100,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,153,,"11,2",,"75,5",,"111,3",,"90,8",,"2,8",
CF12372itkfi,2878948,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61717,https://doi.org/10.15454/ONKOGJ,CF12372,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,154,,"11,2",,"72,8",,"106,4",,"86,8",,"2,8",
AO13041itkfi,2878920,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61254,https://doi.org/10.15454/TWWXEK,AO13041,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,81,,156,,"9,8",,"73,8",,"112,4",,"91,7",,"2,2",
AO13041itkt,2878921,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61254,https://doi.org/10.15454/TWWXEK,AO13041,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,155,,"11,1",,"71,2",,"105,2",,"110,4",,,
EM12340itkt,2878955,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,48377,https://doi.org/10.15454/KP9UFC,EM12340,VIRTUAL_TRIAL,,,,,,,,treated,2013,74,,156,,"11,8",,"71,2",,"94,7",,"99,3",,,
AO13030itkfi,2878898,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,79,,153,,"10,3",,"74,2",,"111,9",,"91,3",,"6,5",
EM12273itkfi,2878930,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,62019,https://doi.org/10.15454/HJW1L8,EM12273,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,152,,"11,8",,"74,4",,98,,80,,"7,5",
AO13042itkt,2878917,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,treated,2013,83,,156,,"11,1",,"73,7",,"101,4",,"106,3",,,
AO13043itkfi,2878884,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61286,https://doi.org/10.15454/F0IUDT,AO13043,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,75,,156,,"10,9",,"64,7",,"98,7",,"80,5",,"5,5",
AO13043itkt,2878885,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61286,https://doi.org/10.15454/F0IUDT,AO13043,VIRTUAL_TRIAL,,,,,,,,treated,2013,78,,156,,"11,6",,73,,"98,2",,103,,,
EM12273itkt,2878931,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,62019,https://doi.org/10.15454/HJW1L8,EM12273,VIRTUAL_TRIAL,,,,,,,,treated,2013,96,,151,,"11,9",,"77,6",,"99,7",,"104,6",,,
AO13042itkfi,2878916,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,154,,"10,9",,"73,4",,"104,4",,"85,1",,8,
Bermudeitkt,2878895,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,156,,"11,5",,"74,8",,"102,1",,"107,1",,,
EM12359itkt,2878927,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,48644,https://doi.org/10.15454/BZ52A8,EM12359,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,154,,"12,3",,"74,5",,"99,8",,"104,7",,,
EM12359itkfi,2878926,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,48644,https://doi.org/10.15454/BZ52A8,EM12359,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,78,,154,,"11,4",,"73,8",,"103,3",,"84,3",,"6,2",
EM12252itkt,2878935,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,62002,https://doi.org/10.15454/XMLVLJ,EM12252,VIRTUAL_TRIAL,,,,,,,,treated,2013,79,,154,,"11,9",,"76,3",,"98,1",,"102,8",,,
AO13046itkt,2878947,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61333,https://doi.org/10.15454/JD3ICY,AO13046,VIRTUAL_TRIAL,,,,,,,,treated,2013,93,,156,,"11,4",,"73,8",,"102,3",,"107,3",,,
AO13046itkfi,2878946,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61333,https://doi.org/10.15454/JD3ICY,AO13046,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,156,,"11,4",,"68,8",,107,,"87,3",,"4,2",
EM12252itkfi,2878934,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,62002,https://doi.org/10.15454/XMLVLJ,EM12252,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,154,,"11,3",,"73,6",,"96,3",,"78,6",,6,
CF12376itkt,2878953,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,49458,https://doi.org/10.15454/WEEH9V,CF12376,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,154,,"11,8",,"77,8",,"106,7",,"111,9",,,
RE12071itkfi,2878928,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61543,https://doi.org/10.15454/8TKSMS,RE12071,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,157,,"10,9",,"71,5",,"108,8",,"88,8",,"3,2",
RE12071itkt,2878929,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61543,https://doi.org/10.15454/8TKSMS,RE12071,VIRTUAL_TRIAL,,,,,,,,treated,2013,93,,157,,"12,4",,"69,9",,96,,"100,7",,,
AO13028itkt,2878893,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61053,https://doi.org/10.15454/MLAKF0,AO13028,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,153,,"11,8",,"77,5",,"97,2",,"101,9",,,
AO13028itkfi,2878892,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61053,https://doi.org/10.15454/MLAKF0,AO13028,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,150,,11,,"75,5",,"103,4",,"84,4",,5,
AO13030itkt,2878899,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,treated,2013,83,,154,,"11,2",,"74,6",,"109,1",,"114,5",,,
DI13005itkfi,2878900,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,89,,156,,"10,2",,"71,2",,117,,"95,4",,"2,2",
Apacheitkt,2878923,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,153,,"11,4",,"77,3",,"101,7",,"106,7",,,
Apacheitkfi,2878922,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,78,,154,,"10,7",,"72,3",,"90,6",,"73,9",,8,
RE12080itkfi,2878936,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,154,,11,,"73,6",,"115,2",,94,,3,
RE12080itkt,2878937,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,154,,"11,9",,"77,3",,106,,"111,1",,,
RE12068itkt,2878887,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,49026,https://doi.org/10.15454/MZDFOJ,RE12068,VIRTUAL_TRIAL,,,,,,,,treated,2013,96,,160,,"11,8",,"72,9",,"96,3",,101,,,
CF12307itkt,2878909,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61676,https://doi.org/10.15454/KFG2VK,CF12307,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,152,,"11,5",,"74,5",,97,,"101,7",,,
RE12068itkfi,2878886,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,49026,https://doi.org/10.15454/MZDFOJ,RE12068,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,96,,158,,"10,8",,"75,6",,"111,7",,"91,1",,"2,5",
RE12095itkfi,2878950,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61619,https://doi.org/10.15454/JV6VFM,RE12095,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,152,,"11,6",,"77,9",,95,,"77,5",,"2,2",
RE12095itkt,2878951,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61619,https://doi.org/10.15454/JV6VFM,RE12095,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,154,,"12,7",,"79,2",,"90,1",,"94,5",,,
CF12307itkfi,2878908,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61676,https://doi.org/10.15454/KFG2VK,CF12307,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,151,,"10,9",,"73,2",,"98,9",,"80,7",,"4,5",
AO13027itkfi,2878896,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,49214,https://doi.org/10.15454/8SM83Z,AO13027,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,87,,154,,"11,2",,"76,8",,"107,1",,"87,3",,"6,5",
AO13027itkt,2878897,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,49214,https://doi.org/10.15454/8SM83Z,AO13027,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,154,,"11,9",,"79,1",,106,,"111,2",,,
CF12376itkfi,2878952,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,49458,https://doi.org/10.15454/WEEH9V,CF12376,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,81,,154,,"11,4",,"75,3",,"110,4",,"90,1",,"4,8",
CF12278itkfi,2878942,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61646,https://doi.org/10.15454/XUD1JH,CF12278,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,87,,155,,"11,7",,"73,8",,"94,4",,77,,8,
CF12278itkt,2878943,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61646,https://doi.org/10.15454/XUD1JH,CF12278,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,156,,"12,2",,"76,2",,"94,8",,"99,4",,,
RE12087itkt,2878905,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61603,https://doi.org/10.15454/P7UTSC,RE12087,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,155,,"11,6",,77,,"96,4",,"101,1",,,
DI13005itkt,2878901,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,treated,2013,91,,156,,"11,1",,"70,9",,"108,3",,"113,6",,,
AO13047itkt,2878907,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,155,,"11,8",,"78,8",,"105,2",,"110,3",,,
RE12097itkfi,2878956,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61633,https://doi.org/10.15454/QMBOQP,RE12097,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,154,,"11,4",,"76,5",,"100,5",,"81,9",,"3,2",
RE12097itkt,2878957,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61633,https://doi.org/10.15454/QMBOQP,RE12097,VIRTUAL_TRIAL,,,,,,,,treated,2013,94,,154,,"12,6",,"74,5",,"91,9",,"96,3",,,
RE12087itkfi,2878904,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61603,https://doi.org/10.15454/P7UTSC,RE12087,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,154,,"11,2",,75,,"105,3",,"85,9",,"2,8",
DI13006itkfi,2878902,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,49207,https://doi.org/10.15454/DM26Q1,DI13006,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,154,,"10,2",,"73,7",,"115,1",,"93,9",,"2,8",
Pakitoitkfi,2878914,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,154,,"10,9",,"74,9",,"103,2",,"84,2",,9,
Altigoitkfi,2878938,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,154,,11,,"76,3",,"103,1",,"84,1",,"7,5",
CF12300itkt,2878919,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61661,https://doi.org/10.15454/6WYD8D,CF12300,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,148,,12,,"76,2",,"94,7",,"99,3",,,
CF12300itkfi,2878918,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61661,https://doi.org/10.15454/6WYD8D,CF12300,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,75,,148,,"11,6",,"77,2",,"98,3",,"80,2",,"6,5",
AO13045itkt,2878911,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,155,,"11,5",,"75,7",,"103,3",,"108,3",,,
Solehioitkt,2878925,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,27088,https://doi.org/10.15454/E4TDMS,SOLEHIO,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,148,,"11,2",,"73,4",,"106,4",,"111,6",,,
AO13045itkfi,2878910,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,154,,"11,2",,"71,3",,"100,9",,"82,3",,"6,2",
Pakitoitkt,2878915,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,153,,"11,4",,"77,7",,"97,5",,"102,3",,,
RE12073itkt,2878933,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,49588,https://doi.org/10.15454/8XOG9B,RE12073,VIRTUAL_TRIAL,,,,,,,,treated,2013,93,,156,,"11,9",,"74,5",,"106,4",,"111,6",,,
CF12340itkt,2878889,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61689,https://doi.org/10.15454/1WJFDJ,CF12340,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,156,,"12,4",,"74,1",,"98,4",,"103,2",,,
Altigoitkt,2878939,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,153,,"11,8",,"74,9",,"98,7",,"103,5",,,
CF12340itkfi,2878888,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,61689,https://doi.org/10.15454/1WJFDJ,CF12340,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,87,,156,,"11,8",,"73,2",,98,,80,,"7,2",
Solehioitkfi,2878924,BTH_Le_Moulon_2013_SetB3,BTH_Le_Moulon_2013_SetB3,27088,https://doi.org/10.15454/E4TDMS,SOLEHIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,148,,"10,1",,"75,6",,"109,6",,"89,4",,"5,5",
