observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE09036,2851199,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,48544,gnpis_pui:holding-921_taxon-4898_accession-48544,RE09036,VIRTUAL_TRIAL,,,,,,,,2010,4,,2,,5,,1,
CF09172,2851222,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,48708,gnpis_pui:holding-921_taxon-4898_accession-48708,CF09172,VIRTUAL_TRIAL,,,,,,,,2010,4,,2,,4,,1,
AO10023,2851206,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,48559,gnpis_pui:holding-921_taxon-4898_accession-48559,AO10023,VIRTUAL_TRIAL,,,,,,,,2010,6,,5,,6,,1,
Apache,2851213,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2010,4,,5,,3,,1,
EM09310,2851212,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,48345,gnpis_pui:holding-921_taxon-4898_accession-48345,EM09310,VIRTUAL_TRIAL,,,,,,,,2010,9,,5,,1,,3,
CF09122,2851215,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,49265,gnpis_pui:holding-921_taxon-4898_accession-49265,CF09122,VIRTUAL_TRIAL,,,,,,,,2010,3,,2,,3,,1,
CF09198,2851233,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,48921,gnpis_pui:holding-921_taxon-4898_accession-48921,CF09198,VIRTUAL_TRIAL,,,,,,,,2010,5,,NA,,5,,6,
Attlass,2851229,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,2010,7,,3,,2,,1,
Caphorn,2851216,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2010,8,,5,,1,,4,
AO10016,2851200,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,49175,gnpis_pui:holding-921_taxon-4898_accession-49175,AO10016,VIRTUAL_TRIAL,,,,,,,,2010,5,,2,,6,,1,
CF09169,2851209,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,2010,5,,2,,3,,1,
DI10011,2851202,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,2010,7,,2,,NA,,7,
AO10021,2851224,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,49282,gnpis_pui:holding-921_taxon-4898_accession-49282,AO10021,VIRTUAL_TRIAL,,,,,,,,2010,8,,5,,6,,1,
EM09318,2851214,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,2010,"7,5",,5,,3,,6,
AO10020,2851223,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,48598,gnpis_pui:holding-921_taxon-4898_accession-48598,AO10020,VIRTUAL_TRIAL,,,,,,,,2010,"5,5",,5,,6,,1,
Bermude,2851205,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,2010,8,,2,,NA,,6,
RE09034,2851198,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,48900,gnpis_pui:holding-921_taxon-4898_accession-48900,RE09034,VIRTUAL_TRIAL,,,,,,,,2010,"6,5",,2,,1,,1,
CF09133,2851210,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,48903,gnpis_pui:holding-921_taxon-4898_accession-48903,CF09133,VIRTUAL_TRIAL,,,,,,,,2010,4,,2,,4,,3,
DI10010,2851207,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,49025,gnpis_pui:holding-921_taxon-4898_accession-49025,DI10010,VIRTUAL_TRIAL,,,,,,,,2010,"5,5",,5,,1,,1,
EM09221,2851232,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,2010,4,,5,,1,,1,
EM09222,2851231,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,2010,"7,5",,2,,3,,1,
AO10019,2851217,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,49053,gnpis_pui:holding-921_taxon-4898_accession-49053,AO10019,VIRTUAL_TRIAL,,,,,,,,2010,"8,5",,2,,4,,4,
EM09225,2851230,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,49109,gnpis_pui:holding-921_taxon-4898_accession-49109,EM09225,VIRTUAL_TRIAL,,,,,,,,2010,4,,5,,2,,1,
AO10017,2851204,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,49185,gnpis_pui:holding-921_taxon-4898_accession-49185,AO10017,VIRTUAL_TRIAL,,,,,,,,2010,"8,5",,5,,5,,1,
RE09061,2851218,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,49193,gnpis_pui:holding-921_taxon-4898_accession-49193,RE09061,VIRTUAL_TRIAL,,,,,,,,2010,9,,5,,5,,1,
AO10018,2851219,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,49584,gnpis_pui:holding-921_taxon-4898_accession-49584,AO10018,VIRTUAL_TRIAL,,,,,,,,2010,6,,2,,6,,1,
DI10008,2851221,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,49226,gnpis_pui:holding-921_taxon-4898_accession-49226,DI10008,VIRTUAL_TRIAL,,,,,,,,2010,"7,5",,5,,6,,3,
DI10009,2851220,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,48858,gnpis_pui:holding-921_taxon-4898_accession-48858,DI10009,VIRTUAL_TRIAL,,,,,,,,2010,5,,2,,1,,3,
AO10022,2851225,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,48862,gnpis_pui:holding-921_taxon-4898_accession-48862,AO10022,VIRTUAL_TRIAL,,,,,,,,2010,6,,5,,4,,8,
EM09307,2851234,BTH_Rennes_2010_SetB2_PIETIN-VERSE,BTH_Rennes_2010_SetB2_PIETIN-VERSE,48864,gnpis_pui:holding-921_taxon-4898_accession-48864,EM09307,VIRTUAL_TRIAL,,,,,,,,2010,9,,3,,1,,3,
