observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
RE04017itkfi,2807104,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,49275,gnpis_pui:holding-921_taxon-4898_accession-49275,RE04017,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,86,,1,,"140,5",,"64,6",,"95,9",,"2,2",,"66,7",,"2,5",
EM04115itkfi,2807103,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,48943,gnpis_pui:holding-921_taxon-4898_accession-48943,EM04115,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"84,5",,1,,139,,"73,4",,"100,9",,"1,5",,"70,2",,"3,2",
RE04004itkfi,2807089,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,49332,gnpis_pui:holding-921_taxon-4898_accession-49332,RE04004,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,84,,1,,141,,"68,5",,"94,5",,1,,"65,7",,"3,8",
RE03034itkfi,2807109,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,48409,gnpis_pui:holding-921_taxon-4898_accession-48409,RE03034,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,110,,1,,143,,"73,1",,93,,1,,"64,7",,2,
CF03326itkfi,2807112,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,48539,gnpis_pui:holding-921_taxon-4898_accession-48539,CF03326,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,94,,1,,141,,"70,8",,"99,8",,1,,"69,4",,"4,8",
DI05003itkfi,2807123,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,49683,gnpis_pui:holding-921_taxon-4898_accession-49683,DI05003,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,1,,138,,"68,9",,99,,"4,5",,"68,9",,2,
RE03012itkfi,2807094,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,49336,gnpis_pui:holding-921_taxon-4898_accession-49336,RE03012,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,80,,1,,142,,"72,2",,"89,7",,1,,"62,4",,3,
DI05007itkfi,2807119,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,49452,gnpis_pui:holding-921_taxon-4898_accession-49452,DI05007,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,78,,1,,"142,5",,"74,1",,"83,8",,2,,"58,3",,"5,5",
LM04022itkfi,2807126,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,48922,gnpis_pui:holding-921_taxon-4898_accession-48922,LM04022,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,84,,1,,141,,"67,8",,"92,4",,"2,5",,"64,2",,"4,2",
EM04145itkfi,2807099,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"81,5",,1,,139,,"74,6",,"104,4",,1,,"72,6",,"4,2",
LM04017itkfi,2807096,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,48520,gnpis_pui:holding-921_taxon-4898_accession-48520,LM04017,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"75,5",,1,,"139,5",,"71,5",,"97,9",,5,,"68,1",,4,
Orvantisitkfi,2807113,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,135,,"75,4",,"103,1",,2,,"71,7",,6,
Chargeritkfi,2807108,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,74,,1,,"140,5",,"69,9",,"91,9",,1,,"63,9",,"4,2",
DI05008itkfi,2807118,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,49104,gnpis_pui:holding-921_taxon-4898_accession-49104,DI05008,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,83,,"2,5",,142,,"71,8",,"83,5",,1,,"58,1",,"6,5",
DI05005itkfi,2807121,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,48604,gnpis_pui:holding-921_taxon-4898_accession-48604,DI05005,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,81,,1,,142,,73,,"95,6",,1,,"66,4",,"3,8",
DI05009itkfi,2807117,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,48521,gnpis_pui:holding-921_taxon-4898_accession-48521,DI05009,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"81,5",,1,,"141,5",,"76,1",,"87,1",,1,,"60,6",,"5,5",
RE04008itkfi,2807091,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,48687,gnpis_pui:holding-921_taxon-4898_accession-48687,RE04008,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,1,,"139,5",,"72,2",,"102,5",,1,,"71,2",,"4,2",
Caphornitkfi,2807105,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,86,,1,,135,,"74,1",,"113,5",,1,,79,,6,
EM04187itkfi,2807110,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,48861,gnpis_pui:holding-921_taxon-4898_accession-48861,EM04187,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"85,5",,1,,"139,5",,"70,6",,"100,2",,"1,5",,"69,7",,4,
RE04005itkfi,2807090,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,48454,gnpis_pui:holding-921_taxon-4898_accession-48454,RE04005,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,"136,5",,"69,1",,"100,6",,"1,5",,70,,"3,5",
LM04003itkfi,2807114,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,48824,gnpis_pui:holding-921_taxon-4898_accession-48824,LM04003,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"81,5",,1,,135,,"76,8",,107,,1,,"74,4",,"4,5",
EM04081itkfi,2807102,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,48571,https://doi.org/10.15454/RRGUYW,EM04081,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"97,5",,1,,141,,72,,"91,7",,1,,"63,8",,2,
EM04181itkfi,2807111,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,"137,5",,"69,6",,104,,1,,"72,3",,3,
CF03092itkfi,2807127,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,49643,gnpis_pui:holding-921_taxon-4898_accession-49643,CF03092,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"83,5",,1,,"141,5",,"71,9",,"93,6",,1,,"65,1",,2,
EM04149itkfi,2807101,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,49385,gnpis_pui:holding-921_taxon-4898_accession-49385,EM04149,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,91,,1,,"139,5",,"76,6",,"101,8",,1,,"70,8",,"3,8",
DI05001itkfi,2807125,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,49480,gnpis_pui:holding-921_taxon-4898_accession-49480,DI05001,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"75,5",,1,,141,,"67,3",,"94,8",,1,,66,,3,
DI05006itkfi,2807120,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,48563,gnpis_pui:holding-921_taxon-4898_accession-48563,DI05006,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,"140,5",,"69,8",,"82,4",,"5,5",,"57,3",,5,
CF04264itkfi,2807097,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,49186,gnpis_pui:holding-921_taxon-4898_accession-49186,CF04264,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,1,,143,,"67,5",,"86,5",,"4,2",,"60,1",,4,
Apacheitkfi,2807100,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,81,,1,,134,,"75,2",,"91,5",,1,,"63,6",,"4,5",
RE03019itkfi,2807116,BTH_Lusignan_2005_SetB1,BTH_Lusignan_2005_SetB1,26829,https://doi.org/10.15454/NMOYD6,RE03019,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,100,,1,,"138,5",,"75,9",,"103,6",,1,,"72,1",,3,
