observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF08139itkfi,2848115,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27801,https://doi.org/10.15454/1DEONX,CF08139,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"1,5",,91,,50,,144,,"9,46",,"77,8",,"107,4",,"67,1",
Skerzzoitkfi,2848167,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,86,,47,,144,,"10,54",,"80,2",,"95,2",,"59,5",
CF08139itkt,2848116,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27801,https://doi.org/10.15454/1DEONX,CF08139,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,100,,"50,5",,144,,"9,88",,79,,"103,9",,"81,9",
Skerzzoitkt,2848168,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,100,,"48,6",,144,,"11,29",,"81,4",,"91,5",,"72,1",
CF08021itkt,2848156,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,49645,https://doi.org/10.15454/GXTRDY,CF08021,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,100,,"46,1",,143,,"10,52",,"76,6",,"92,8",,"73,1",
EM08221itkfi,2848127,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,82,,"42,2",,146,,"9,14",,"71,4",,"108,4",,"67,7",
AO10006itkt,2848126,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,49352,https://doi.org/10.15454/NHNCAM,AO10006,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,97,,"52,6",,144,,"8,94",,"80,4",,102,,"80,4",
DI09015itkt,2848170,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27811,https://doi.org/10.15454/N3NIWD,DI09015,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,96,,"53,4",,146,,"8,94",,"79,3",,"102,1",,"80,5",
DI09015itkfi,2848169,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27811,https://doi.org/10.15454/N3NIWD,DI09015,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,87,,"51,6",,145,,"8,92",,"77,8",,"106,5",,"66,5",
CF08027itkt,2848188,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,102,,47,,146,,"9,22",,"80,6",,101,,"79,6",
CF08021itkfi,2848155,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,49645,https://doi.org/10.15454/GXTRDY,CF08021,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"1,5",,91,,"46,4",,143,,"9,43",,"74,8",,"95,8",,"59,9",
CF08027itkfi,2848187,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,87,,"44,8",,146,,"8,69",,"77,2",,"104,6",,"65,3",
DI09017itkfi,2848181,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"2,5",,82,,"55,4",,142,,"9,84",,"78,4",,"97,4",,"60,9",
CF08137itkfi,2848129,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27312,https://doi.org/10.15454/CPWBIX,CF08137,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,82,,"45,2",,144,,"9,51",,"77,8",,"105,2",,"65,7",
AO10006itkfi,2848125,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,49352,https://doi.org/10.15454/NHNCAM,AO10006,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"3,8",,82,,"50,6",,144,,"8,93",,"78,4",,"95,6",,"59,7",
DI09017itkt,2848182,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,96,,"59,1",,142,,"9,16",,"79,2",,"98,3",,"77,5",
EM08223itkfi,2848131,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"2,8",,83,,"47,6",,143,,"10,11",,"73,4",,94,,"58,8",
DI09005itkfi,2848141,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27809,https://doi.org/10.15454/VX6AQV,DI09005,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"1,5",,85,,"49,2",,144,,"9,8",,"74,3",,"96,2",,"60,1",
DI09004itkfi,2848143,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27808,https://doi.org/10.15454/GGTVHF,DI09004,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,88,,"53,6",,144,,"9,64",,"75,6",,"99,9",,"62,4",
Hadm01601-07itkt,2848134,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,90,,"49,6",,143,,"9,52",,"77,3",,"99,3",,"78,2",
EM08221itkt,2848128,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,90,,"43,5",,146,,"9,34",,73,,"97,7",,77,
Croustyitkt,2848154,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,96,,"49,6",,144,,"10,6",,80,,"96,7",,"76,2",
DI09004itkt,2848144,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27808,https://doi.org/10.15454/GGTVHF,DI09004,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,97,,"54,8",,144,,"10,23",,"77,3",,"97,5",,"76,9",
Croustyitkfi,2848153,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"1,5",,86,,"46,8",,144,,"9,4",,"79,2",,"97,9",,"61,1",
AO09014itkfi,2848121,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27781,https://doi.org/10.15454/NMD5FO,AO09014,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"2,5",,84,,"43,2",,144,,"9,52",,"77,9",,"95,6",,"59,7",
Hadm01601-07itkfi,2848133,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,3,,78,,"47,4",,142,,"9,12",,"75,8",,"101,1",,"63,2",
AO09014itkt,2848122,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27781,https://doi.org/10.15454/NMD5FO,AO09014,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,92,,"43,6",,144,,"10,74",,"79,5",,"97,9",,"77,1",
HadmF11671itkt,2848158,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,97,,"51,3",,144,,"9,13",,"80,2",,"108,3",,"85,3",
Caphornitkt,2848146,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,92,,"49,9",,142,,"10,38",,77,,"91,5",,"72,1",
Caphornitkfi,2848145,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"3,5",,85,,"47,8",,142,,"10,03",,"76,4",,"94,2",,"58,8",
CF08109itkt,2848176,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27799,https://doi.org/10.15454/G9QV0Y,CF08109,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,100,,"52,8",,144,,"10,72",,"76,5",,"88,6",,"69,8",
DI09006itkfi,2848139,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,88,,"46,8",,145,,"8,65",,"75,1",,"101,8",,"63,6",
EM08223itkt,2848132,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,83,,48,,143,,"11,3",,"74,8",,"81,6",,"64,3",
DI09006itkt,2848140,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,94,,"47,4",,146,,"8,96",,"77,6",,"103,8",,"81,8",
Bermudeitkfi,2848123,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"3,5",,85,,"50,2",,144,,"8,54",,"79,1",,"105,2",,"65,8",
DI09018itkt,2848172,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,97,,54,,145,,"9,18",,"80,2",,"107,4",,"84,6",
AO10007itkfi,2848147,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,49608,https://doi.org/10.15454/ZH8TXM,AO10007,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,86,,54,,140,,"10,24",,"76,8",,"94,6",,"59,1",
HadmF11671itkfi,2848157,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,86,,"48,7",,143,,"9,14",,"78,7",,"108,7",,"67,9",
RE08030itkt,2848150,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27308,https://doi.org/10.15454/4AWT90,RE08030,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,100,,"48,3",,144,,"10,32",,"80,8",,"91,6",,"72,1",
DI09016itkt,2848186,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27313,https://doi.org/10.15454/SGNING,DI09016,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,100,,"56,2",,146,,"9,04",,"79,6",,"97,1",,"76,5",
RE08030itkfi,2848149,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27308,https://doi.org/10.15454/4AWT90,RE08030,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,91,,"47,2",,144,,"9,87",,80,,"96,9",,"60,5",
Bermudeitkt,2848124,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,94,,"50,4",,144,,"9,35",,"80,8",,"104,2",,"82,1",
AO10007itkt,2848148,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,49608,https://doi.org/10.15454/ZH8TXM,AO10007,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,93,,"54,8",,140,,"10,14",,78,,"99,5",,"78,4",
AO10008itkfi,2848151,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,49349,https://doi.org/10.15454/7PE32Q,AO10008,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,92,,45,,139,,"9,6",,"77,7",,101,,"63,1",
Barokitkfi,2848113,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,86,,47,,143,,"9,38",,"78,3",,"113,6",,71,
Premioitkfi,2848117,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,85,,51,,143,,"10,45",,"76,6",,"97,1",,"60,7",
Premioitkt,2848118,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,90,,53,,143,,"10,29",,"77,6",,"100,2",,79,
DI09016itkfi,2848185,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27313,https://doi.org/10.15454/SGNING,DI09016,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"1,5",,89,,"54,2",,146,,"9,08",,"77,8",,"99,3",,"62,1",
AO10008itkt,2848152,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,49349,https://doi.org/10.15454/7PE32Q,AO10008,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,105,,46,,142,,"9,47",,"79,4",,"98,8",,"77,8",
EM08019itkt,2848162,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,85,,"46,4",,144,,"9,48",,"74,9",,"93,6",,"73,7",
EM08019itkfi,2848161,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,4,,72,,"43,6",,142,,"9,36",,"71,1",,"96,7",,"60,4",
DI09018itkfi,2848171,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"2,5",,88,,"51,9",,145,,"8,65",,"78,6",,"106,7",,"66,7",
CF08049itkt,2848178,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,94,,"47,5",,144,,"10,08",,"78,7",,"98,6",,"77,7",
CF08049itkfi,2848177,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"1,5",,84,,48,,143,,"10,07",,"77,4",,"97,9",,"61,2",
Hadm04969-06itkt,2848120,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,49117,gnpis_pui:holding-921_taxon-4898_accession-49117,Hadm04969-06,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,106,,"48,3",,146,,"9,69",,"79,2",,"99,2",,"78,2",
Hadm04969-06itkfi,2848119,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,49117,gnpis_pui:holding-921_taxon-4898_accession-49117,Hadm04969-06,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,98,,"47,6",,145,,"8,69",,"78,8",,"107,5",,"67,2",
EM08024itkfi,2848135,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27822,https://doi.org/10.15454/KNNDVP,EM08024,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,90,,"45,3",,144,,"9,69",,"77,6",,"109,7",,"68,6",
CF08084itkt,2848160,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,97,,"51,5",,145,,"9,5",,"79,8",,"106,3",,"83,8",
DI09005itkt,2848142,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27809,https://doi.org/10.15454/VX6AQV,DI09005,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,92,,"50,5",,144,,"10,07",,"75,4",,"92,7",,73,
EM08024itkt,2848136,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27822,https://doi.org/10.15454/KNNDVP,EM08024,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,98,,"44,5",,144,,"10,06",,"78,8",,"101,5",,80,
Apacheitkfi,2848137,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,88,,45,,141,,"8,59",,"76,3",,"103,5",,"64,7",
CF08106itkt,2848184,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27311,https://doi.org/10.15454/4DNWV7,CF08106,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,96,,"50,3",,144,,"11,23",,"78,3",,"94,4",,"74,4",
Apacheitkt,2848138,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,91,,"50,8",,142,,"9,26",,"79,1",,104,,82,
CF08106itkfi,2848183,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27311,https://doi.org/10.15454/4DNWV7,CF08106,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,87,,52,,143,,"10,56",,"77,6",,"95,3",,"59,6",
EM08277itkt,2848180,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27824,https://doi.org/10.15454/OUS6AU,EM08277,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,97,,"45,9",,144,,"10,66",,"76,6",,"91,9",,"72,4",
CF08109itkfi,2848175,BTH_Lusignan_2010_SetA2,BTH_Lusignan_2010_SetA2,27799,https://doi.org/10.15454/G9QV0Y,CF08109,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,92,,"52,8",,144,,"10,14",,"76,6",,"101,1",,"63,2",
