observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,AwnLength(WIPO:0000273),AwnLength(WIPO:0000273).date,GrainWeight(CO_321:1000177),GrainWeight(CO_321:1000177).date,Heading(CO_321:1000036),Heading(CO_321:1000036).date,Height(CO_321:1000218),Height(CO_321:1000218).date,PeduncleExtrusion(WIPO:0000284),PeduncleExtrusion(WIPO:0000284).date,PlantEstablishment(WIPO:0000272),PlantEstablishment(WIPO:0000272).date,RowType(WIPO:0000285),RowType(WIPO:0000285).date,SeedArea(CO_321:1000144),SeedArea(CO_321:1000144).date,SeedLength(CO_321:1000146),SeedLength(CO_321:1000146).date,SeedWidth(CO_321:1000147),SeedWidth(CO_321:1000147).date,SpikeLength(CO_321:1000079),SpikeLength(CO_321:1000079).date
16,3291626,BS2,Barley_Spring_JHI,63731,https://doi.org/10.15454/DGSXRD,HID114,BLOCK>PLOT,,,,,1,22,"BLOCK>PLOT:16,BLOCK:3",2015,12,,41.19,2015-11-30T01:00:00Z,92,2015-06-30T02:00:00Z,120.5,,19,,2,2015-05-19T02:00:00Z,2,,36,2015-11-30T01:00:00Z,15.9,2015-11-30T01:00:00Z,3,2015-11-30T01:00:00Z,92.5,
60,3291443,BS2,Barley_Spring_JHI,63722,https://doi.org/10.15454/NTU3ED,HID55,BLOCK>PLOT,,,,,4,9,"BLOCK>PLOT:60,BLOCK:1",2015,15.5,,36.07,2015-11-30T01:00:00Z,84,2015-06-22T02:00:00Z,101.25,,21.5,,2,2015-05-19T02:00:00Z,2,,36,2015-11-30T01:00:00Z,16.2,2015-11-30T01:00:00Z,2.9,2015-11-30T01:00:00Z,100,
13,3291347,BS2,Barley_Spring_JHI,63724,https://doi.org/10.15454/RLAHJB,HID65,BLOCK>PLOT,,,,,6,2,"BLOCK>PLOT:13,BLOCK:1",2015,11.5,,22.54,2015-11-03T01:00:00Z,88,2015-06-26T02:00:00Z,95.25,,23.75,,2,2015-05-19T02:00:00Z,2,,25.6,2015-11-03T01:00:00Z,12.8,2015-11-03T01:00:00Z,2.5,2015-11-03T01:00:00Z,250,
26,3291519,BS2,Barley_Spring_JHI,63726,https://doi.org/10.15454/WIZNP7,HID80,BLOCK>PLOT,,,,,8,14,"BLOCK>PLOT:26,BLOCK:6",2015,13,,37.55,2015-11-30T01:00:00Z,86,2015-06-24T02:00:00Z,101.75,,29.5,,1,2015-05-19T02:00:00Z,2,,29.4,2015-11-30T01:00:00Z,14,2015-11-30T01:00:00Z,2.8,2015-11-30T01:00:00Z,77.5,
25,3291649,BS2,Barley_Spring_JHI,63727,https://doi.org/10.15454/8KOSGZ,HID99,BLOCK>PLOT,,,,,10,23,"BLOCK>PLOT:25,BLOCK:7",2015,11,,50.63,2015-11-30T01:00:00Z,77,2015-06-15T02:00:00Z,76,,18.5,,2,2015-05-19T02:00:00Z,2,,31.8,2015-11-30T01:00:00Z,12.8,2015-11-30T01:00:00Z,3.4,2015-11-30T01:00:00Z,60,
41,3291817,BS2,Barley_Spring_JHI,63728,https://doi.org/10.15454/7WMH7J,HID101,BLOCK>PLOT,,,,,8,35,"BLOCK>PLOT:41,BLOCK:8",2015,12.25,,45.92,2015-11-30T01:00:00Z,81,2015-06-19T02:00:00Z,100.5,,24.5,,1,2015-05-19T02:00:00Z,2,,37.4,2015-11-30T01:00:00Z,16.1,2015-11-30T01:00:00Z,3,2015-11-30T01:00:00Z,67.5,
47,3291416,BS2,Barley_Spring_JHI,63729,https://doi.org/10.15454/1ICTF8,HID102,BLOCK>PLOT,,,,,5,7,"BLOCK>PLOT:47,BLOCK:1",2015,8.75,,33.08,2015-11-30T01:00:00Z,91,2015-06-29T02:00:00Z,103.25,,19.5,,2,2015-05-19T02:00:00Z,2,,26.8,2015-11-30T01:00:00Z,13,2015-11-30T01:00:00Z,2.7,2015-11-30T01:00:00Z,75,
30,3291792,BS2,Barley_Spring_JHI,63732,https://doi.org/10.15454/CBJQYX,HID138,BLOCK>PLOT,,,,,11,33,"BLOCK>PLOT:30,BLOCK:8",2015,12.5,,32.8,2015-12-01T01:00:00Z,74,2015-06-12T02:00:00Z,90,,20.75,,2,2015-05-19T02:00:00Z,2,,26.2,2015-12-01T01:00:00Z,12.6,2015-12-01T01:00:00Z,2.8,2015-12-01T01:00:00Z,62.5,
8,3291473,BS2,Barley_Spring_JHI,63734,https://doi.org/10.15454/DTJFZZ,HID144,BLOCK>PLOT,,,,,4,11,"BLOCK>PLOT:8,BLOCK:2",2015,10.75,,30.32,2015-11-30T01:00:00Z,73,2015-06-11T02:00:00Z,82.5,,24.5,,1,2015-05-19T02:00:00Z,2,,26.6,2015-11-30T01:00:00Z,13.4,2015-11-30T01:00:00Z,2.6,2015-11-30T01:00:00Z,80,
45,3291821,BS2,Barley_Spring_JHI,63736,https://doi.org/10.15454/S835AV,HID249,BLOCK>PLOT,,,,,12,35,"BLOCK>PLOT:45,BLOCK:8",2015,9,,40.63,2015-12-01T01:00:00Z,84,2015-06-22T02:00:00Z,90.75,,20,,1,2015-05-19T02:00:00Z,2,,30.7,2015-12-01T01:00:00Z,14.6,2015-12-01T01:00:00Z,2.8,2015-12-01T01:00:00Z,70,
32,3291525,BS2,Barley_Spring_JHI,63737,https://doi.org/10.15454/AJTGSW,HID294,BLOCK>PLOT,,,,,14,14,"BLOCK>PLOT:32,BLOCK:6",2015,12.75,,29.54,2015-12-01T01:00:00Z,78,2015-06-16T02:00:00Z,104.5,,26.75,,1,2015-05-19T02:00:00Z,2,,26.4,2015-12-01T01:00:00Z,13.2,2015-12-01T01:00:00Z,2.7,2015-12-01T01:00:00Z,65,
28,3291514,BS2,Barley_Spring_JHI,63738,https://doi.org/10.15454/WFXN7P,HID295,BLOCK>PLOT,,,,,3,14,"BLOCK>PLOT:28,BLOCK:2",2015,14.25,,33.45,2015-11-30T01:00:00Z,79,2015-06-17T02:00:00Z,109,,29,,2,2015-05-19T02:00:00Z,2,,29,2015-11-30T01:00:00Z,13.7,2015-11-30T01:00:00Z,2.8,2015-11-30T01:00:00Z,72.5,
21,3291631,BS2,Barley_Spring_JHI,63739,https://doi.org/10.15454/ANY083,HID357,BLOCK>PLOT,,,,,6,22,"BLOCK>PLOT:21,BLOCK:3",2015,16,,33.42,2015-11-03T01:00:00Z,91,2015-06-29T02:00:00Z,100,,21,,2,2015-05-19T02:00:00Z,2,,31.7,2015-11-03T01:00:00Z,13.7,2015-11-03T01:00:00Z,2.9,2015-11-03T01:00:00Z,85,
7,3291341,BS2,Barley_Spring_JHI,63280,https://doi.org/10.15454/CZD0RM,HID20A,BLOCK>PLOT,,,,,14,1,"BLOCK>PLOT:7,BLOCK:5",2015,8.25,,39.96,2015-12-01T01:00:00Z,73,2015-06-11T02:00:00Z,115,,26.5,,2,2015-05-19T02:00:00Z,2,,28.1,2015-12-01T01:00:00Z,13.3,2015-12-01T01:00:00Z,2.8,2015-12-01T01:00:00Z,190,
48,3291555,BS2,Barley_Spring_JHI,63281,https://doi.org/10.15454/T9OMFQ,HID58,BLOCK>PLOT,,,,,2,17,"BLOCK>PLOT:48,BLOCK:2",2015,12,,25.09,2015-11-30T01:00:00Z,85,2015-06-23T02:00:00Z,124.25,,34.5,,2,2015-05-19T02:00:00Z,2,,27.6,2015-11-30T01:00:00Z,14.4,2015-11-30T01:00:00Z,2.5,2015-11-30T01:00:00Z,77.5,
65,3291858,BS2,Barley_Spring_JHI,63282,https://doi.org/10.15454/BRXMPM,HID264,BLOCK>PLOT,,,,,6,38,"BLOCK>PLOT:65,BLOCK:4",2015,11.5,,44.5,2015-11-30T01:00:00Z,87,2015-06-25T02:00:00Z,103.333333333333,,29,,2,2015-05-19T02:00:00Z,2,,37.6,2015-11-30T01:00:00Z,16.1,2015-11-30T01:00:00Z,3.1,2015-11-30T01:00:00Z,95,
23,3291647,BS2,Barley_Spring_JHI,63283,https://doi.org/10.15454/N9YMGG,HSI41,BLOCK>PLOT,,,,,8,23,"BLOCK>PLOT:23,BLOCK:7",2015,13.5,,46,2015-11-30T01:00:00Z,93,2015-07-01T02:00:00Z,102.75,,19,,2,2015-05-19T02:00:00Z,2,,42.5,2015-11-30T01:00:00Z,18.9,2015-11-30T01:00:00Z,3.1,2015-11-30T01:00:00Z,95,
40,3291809,BS2,Barley_Spring_JHI,63401,https://doi.org/10.15454/LNOVUG,Belford,BLOCK>PLOT,,,,,14,34,"BLOCK>PLOT:40,BLOCK:8",2015,0,,54.46,2015-11-30T01:00:00Z,81,2015-06-19T02:00:00Z,93.5,,15.25,,3,2015-05-19T02:00:00Z,6,,26.4,2015-11-30T01:00:00Z,9.5,2015-11-30T01:00:00Z,3.7,2015-11-30T01:00:00Z,102.5,
36,3291536,BS2,Barley_Spring_JHI,63707,https://doi.org/10.15454/5NNKY4,HOR1464,BLOCK>PLOT,,,,,11,15,"BLOCK>PLOT:36,BLOCK:6",2015,8.25,,28.3,2015-12-01T01:00:00Z,86,2015-06-24T02:00:00Z,101,,12.5,,2,2015-05-19T02:00:00Z,6,,16,2015-12-01T01:00:00Z,7.1,2015-12-01T01:00:00Z,2.9,2015-12-01T01:00:00Z,85,
14,3291762,BS2,Barley_Spring_JHI,63708,https://doi.org/10.15454/TVCVMM,HOR7321,BLOCK>PLOT,,,,,9,31,"BLOCK>PLOT:14,BLOCK:8",2015,7.5,,39.78,2015-10-28T01:00:00Z,77,2015-06-15T02:00:00Z,65,,4,,2,2015-05-19T02:00:00Z,6,,20.6,2015-10-28T01:00:00Z,7.9,2015-10-28T01:00:00Z,3.3,2015-10-28T01:00:00Z,82.5,
53,3291698,BS2,Barley_Spring_JHI,63299,https://doi.org/10.15454/VF1AIA,HOR2573,BLOCK>PLOT,,,,,3,27,"BLOCK>PLOT:53,BLOCK:3",2015,7.75,,44.9,2015-11-02T01:00:00Z,85,2015-06-23T02:00:00Z,90.25,,10.5,,2,2015-05-19T02:00:00Z,6,,24.8,2015-11-02T01:00:00Z,10,2015-11-02T01:00:00Z,3.4,2015-11-02T01:00:00Z,62.5,
2,3291336,BS2,Barley_Spring_JHI,63317,https://doi.org/10.15454/E7TXP4,HOR6253,BLOCK>PLOT,,,,,9,1,"BLOCK>PLOT:2,BLOCK:5",2015,13.5,,52.17,2015-11-19T01:00:00Z,77,2015-06-15T02:00:00Z,85.25,,13,,2,2015-05-19T02:00:00Z,6,,27.5,2015-11-19T01:00:00Z,10,2015-11-19T01:00:00Z,3.7,2015-11-19T01:00:00Z,140,
58,3291441,BS2,Barley_Spring_JHI,63319,https://doi.org/10.15454/0MQZGO,HOR3536,BLOCK>PLOT,,,,,2,9,"BLOCK>PLOT:58,BLOCK:1",2015,10.75,,59.17,2015-11-03T01:00:00Z,81,2015-06-19T02:00:00Z,85.25,,12.75,,2,2015-05-19T02:00:00Z,2,,23.6,2015-11-03T01:00:00Z,7.9,2015-11-03T01:00:00Z,3.9,2015-11-03T01:00:00Z,82.5,
45,3291545,BS2,Barley_Spring_JHI,63326,https://doi.org/10.15454/QBQVDJ,HOR10761,BLOCK>PLOT,,,,,6,16,"BLOCK>PLOT:45,BLOCK:2",2015,8.25,,55.27,2015-11-30T01:00:00Z,86,2015-06-24T02:00:00Z,95.25,,16.25,,2,2015-05-19T02:00:00Z,2,,28.8,2015-11-30T01:00:00Z,10.9,2015-11-30T01:00:00Z,3.6,2015-11-30T01:00:00Z,95,
48,3291562,BS2,Barley_Spring_JHI,63308,https://doi.org/10.15454/IIW81P,HOR4031,BLOCK>PLOT,,,,,9,17,"BLOCK>PLOT:48,BLOCK:6",2015,2,,48.45,2015-11-30T01:00:00Z,76,2015-06-14T02:00:00Z,96.25,,21.25,,3,2015-05-19T02:00:00Z,6,,24.5,2015-11-30T01:00:00Z,9.2,2015-11-30T01:00:00Z,3.5,2015-11-30T01:00:00Z,55,
58,3291579,BS2,Barley_Spring_JHI,63323,https://doi.org/10.15454/EQF6XO,HOR8658,BLOCK>PLOT,,,,,12,18,"BLOCK>PLOT:58,BLOCK:6",2015,9.75,,55.06,2015-11-20T01:00:00Z,74,2015-06-12T02:00:00Z,68.5,,10.5,,2,2015-05-19T02:00:00Z,2,,31.2,2015-11-20T01:00:00Z,12,2015-11-20T01:00:00Z,3.7,2015-11-20T01:00:00Z,67.5,
28,3291652,BS2,Barley_Spring_JHI,63355,https://doi.org/10.15454/2HVRPA,Shayir IG 32973,BLOCK>PLOT,,,,,13,23,"BLOCK>PLOT:28,BLOCK:7",2015,9.75,,53.93,2015-10-27T01:00:00Z,70,2015-06-08T02:00:00Z,80,,22.5,,2,2015-05-19T02:00:00Z,6,,28.4,2015-10-27T01:00:00Z,10.9,2015-10-27T01:00:00Z,3.6,2015-10-27T01:00:00Z,75,
14,3291617,BS2,Barley_Spring_JHI,63254,https://doi.org/10.15454/SOSSPT,Saffron,BLOCK>PLOT,,,,,6,21,"BLOCK>PLOT:14,BLOCK:3",2015,11.75,,61.16,2015-10-26T01:00:00Z,98,2015-07-06T02:00:00Z,82.5,,2.25,,3,2015-05-19T02:00:00Z,2,,29.6,2015-10-26T01:00:00Z,9.9,2015-10-26T01:00:00Z,3.9,2015-10-26T01:00:00Z,97.5,
61,3291592,BS2,Barley_Spring_JHI,63286,https://doi.org/10.15454/09YYMB,Istos,BLOCK>PLOT,,,,,9,19,"BLOCK>PLOT:61,BLOCK:6",2015,,,,,,,,,,,,,,,,,,,,,0,
43,3291943,BS2,Barley_Spring_JHI,63286,https://doi.org/10.15454/09YYMB,Istos,BLOCK>PLOT,,,,,6,44,"BLOCK>PLOT:43,BLOCK:9",2015,11.25,,66.75,2015-10-21T02:00:00Z,88,2015-06-26T02:00:00Z,84.75,,8,,2,2015-05-19T02:00:00Z,2,,28.4,2015-10-21T02:00:00Z,9.8,2015-10-21T02:00:00Z,4,2015-10-21T02:00:00Z,85,
30,3291661,BS2,Barley_Spring_JHI,63725,https://doi.org/10.15454/VQCVOI,HID69,BLOCK>PLOT,,,,,8,24,"BLOCK>PLOT:30,BLOCK:7",2015,13.25,,36.26,2015-11-30T01:00:00Z,79,2015-06-17T02:00:00Z,91.25,,28.5,,2,2015-05-19T02:00:00Z,2,,27.6,2015-11-30T01:00:00Z,13.2,2015-11-30T01:00:00Z,2.8,2015-11-30T01:00:00Z,45,
22,3291632,BS2,Barley_Spring_JHI,63733,https://doi.org/10.15454/IEYOAX,HID140,BLOCK>PLOT,,,,,7,22,"BLOCK>PLOT:22,BLOCK:3",2015,9.25,,31.47,2015-11-30T01:00:00Z,73,2015-06-11T02:00:00Z,104.5,,33.25,,2,2015-05-19T02:00:00Z,2,,23.9,2015-11-30T01:00:00Z,12.5,2015-11-30T01:00:00Z,2.6,2015-11-30T01:00:00Z,57.5,
14,3291486,BS2,Barley_Spring_JHI,63641,https://doi.org/10.15454/YBKTZH,HOR940,BLOCK>PLOT,,,,,3,12,"BLOCK>PLOT:14,BLOCK:2",2015,9.5,,53.69,2015-11-19T01:00:00Z,86,2015-06-24T02:00:00Z,111.25,,17,,2,2015-05-19T02:00:00Z,6,,27.3,2015-11-19T01:00:00Z,10.7,2015-11-19T01:00:00Z,3.5,2015-11-19T01:00:00Z,50,
26,3291912,BS2,Barley_Spring_JHI,63641,https://doi.org/10.15454/YBKTZH,HOR940,BLOCK>PLOT,,,,,3,42,"BLOCK>PLOT:26,BLOCK:9",2015,11.5,,54.85,2015-10-26T01:00:00Z,87,2015-06-25T02:00:00Z,110.5,,18,,2,2015-05-19T02:00:00Z,6,,30.9,2015-10-26T01:00:00Z,11.7,2015-10-26T01:00:00Z,3.7,2015-10-26T01:00:00Z,52.5,
37,3291399,BS2,Barley_Spring_JHI,63255,https://doi.org/10.15454/LPRPDX,Joy,BLOCK>PLOT,,,,,2,6,"BLOCK>PLOT:37,BLOCK:1",2015,12.5,,61.91,2015-11-19T01:00:00Z,96,2015-07-04T02:00:00Z,76.75,,0.25,,2,2015-05-19T02:00:00Z,2,,25.8,2015-11-19T01:00:00Z,9,2015-11-19T01:00:00Z,3.8,2015-11-19T01:00:00Z,100,
50,3291826,BS2,Barley_Spring_JHI,63256,https://doi.org/10.15454/JWQWPH,Wintmalt,BLOCK>PLOT,,,,,3,36,"BLOCK>PLOT:50,BLOCK:4",2015,12.75,,63.58,2015-10-26T01:00:00Z,98,2015-07-06T02:00:00Z,75.5,,0.25,,2,2015-05-19T02:00:00Z,2,,28.9,2015-10-26T01:00:00Z,9.5,2015-10-26T01:00:00Z,4,2015-10-26T01:00:00Z,102.5,
42,3291411,BS2,Barley_Spring_JHI,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,14,6,"BLOCK>PLOT:42,BLOCK:5",2015,11.5,,56.68,2015-12-01T01:00:00Z,93,2015-07-01T02:00:00Z,98.5,,8.25,,2,2015-05-19T02:00:00Z,6,,27.6,2015-12-01T01:00:00Z,10.5,2015-12-01T01:00:00Z,3.7,2015-12-01T01:00:00Z,80,
31,3291386,BS2,Barley_Spring_JHI,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,3,5,"BLOCK>PLOT:31,BLOCK:1",2015,9.75,,53.12,2015-11-30T01:00:00Z,93,2015-07-01T02:00:00Z,99.75,,6.5,,3,2015-05-19T02:00:00Z,6,,26.3,2015-11-30T01:00:00Z,10.1,2015-11-30T01:00:00Z,3.6,2015-11-30T01:00:00Z,72.5,
49,3291425,BS2,Barley_Spring_JHI,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,14,7,"BLOCK>PLOT:49,BLOCK:5",2015,11.5,,56.22,2015-12-01T01:00:00Z,94,2015-07-02T02:00:00Z,93.5,,7.5,,2,2015-05-19T02:00:00Z,6,,26.9,2015-12-01T01:00:00Z,10.2,2015-12-01T01:00:00Z,3.7,2015-12-01T01:00:00Z,77.5,
3,3291457,BS2,Barley_Spring_JHI,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,3,10,"BLOCK>PLOT:3,BLOCK:2",2015,10.5,,57.1,2015-11-19T01:00:00Z,93,2015-07-01T02:00:00Z,97,,6.5,,2,2015-05-19T02:00:00Z,6,,25.6,2015-11-19T01:00:00Z,9.5,2015-11-19T01:00:00Z,3.7,2015-11-19T01:00:00Z,82.5,
21,3291507,BS2,Barley_Spring_JHI,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,10,13,"BLOCK>PLOT:21,BLOCK:6",2015,10.75,,56.93,2015-11-30T01:00:00Z,93,2015-07-01T02:00:00Z,97.5,,7.5,,2,2015-05-19T02:00:00Z,6,,27.6,2015-11-30T01:00:00Z,10.4,2015-11-30T01:00:00Z,3.8,2015-11-30T01:00:00Z,75,
40,3291671,BS2,Barley_Spring_JHI,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,4,25,"BLOCK>PLOT:40,BLOCK:3",2015,9.75,,56.65,2015-10-26T01:00:00Z,93,2015-07-01T02:00:00Z,96.75,,6.25,,2,2015-05-19T02:00:00Z,6,,28.6,2015-10-26T01:00:00Z,10.3,2015-10-26T01:00:00Z,3.9,2015-10-26T01:00:00Z,75,
58,3291717,BS2,Barley_Spring_JHI,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,8,28,"BLOCK>PLOT:58,BLOCK:7",2015,11,,58.43,2015-10-28T01:00:00Z,93,2015-07-01T02:00:00Z,94.25,,7.75,,2,2015-05-19T02:00:00Z,6,,29.3,2015-10-28T01:00:00Z,10.4,2015-10-28T01:00:00Z,3.9,2015-10-28T01:00:00Z,82.5,
12,3291746,BS2,Barley_Spring_JHI,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,7,30,"BLOCK>PLOT:12,BLOCK:4",2015,11,,58.55,2015-10-28T01:00:00Z,94,2015-07-02T02:00:00Z,96.5,,7.25,,2,2015-05-19T02:00:00Z,6,,29.2,2015-10-28T01:00:00Z,10.3,2015-10-28T01:00:00Z,3.9,2015-10-28T01:00:00Z,80,
53,3291836,BS2,Barley_Spring_JHI,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,13,36,"BLOCK>PLOT:53,BLOCK:8",2015,10.75,,56.75,2015-10-28T01:00:00Z,94,2015-07-02T02:00:00Z,94.75,,6,,2,2015-05-19T02:00:00Z,6,,26.5,2015-10-28T01:00:00Z,9.8,2015-10-28T01:00:00Z,3.7,2015-10-28T01:00:00Z,77.5,
62,3291593,BS2,Barley_Spring_JHI,63258,https://doi.org/10.15454/Q4AGLT,Escadre,BLOCK>PLOT,,,,,10,19,"BLOCK>PLOT:62,BLOCK:6",2015,11.75,,53.16,2015-11-30T01:00:00Z,86,2015-06-24T02:00:00Z,87.5,,8.5,,2,2015-05-19T02:00:00Z,6,,24.7,2015-11-30T01:00:00Z,9.2,2015-11-30T01:00:00Z,3.6,2015-11-30T01:00:00Z,77.5,
55,3291569,BS2,Barley_Spring_JHI,63259,https://doi.org/10.15454/UAAW9V,Lomerit,BLOCK>PLOT,,,,,2,18,"BLOCK>PLOT:55,BLOCK:2",2015,11,,60.3,2015-11-19T01:00:00Z,93,2015-07-01T02:00:00Z,96.25,,6,,2,2015-05-19T02:00:00Z,6,,27.4,2015-11-19T01:00:00Z,9.9,2015-11-19T01:00:00Z,3.7,2015-11-19T01:00:00Z,77.5,
18,3291766,BS2,Barley_Spring_JHI,63260,https://doi.org/10.15454/MMEZWL,Tenor,BLOCK>PLOT,,,,,13,31,"BLOCK>PLOT:18,BLOCK:8",2015,11,,56.02,2015-10-28T01:00:00Z,99,2015-07-07T02:00:00Z,88,,-2,,2,2015-05-19T02:00:00Z,6,,29.2,2015-10-28T01:00:00Z,10.4,2015-10-28T01:00:00Z,3.8,2015-10-28T01:00:00Z,82.5,
47,3291692,BS2,Barley_Spring_JHI,63261,https://doi.org/10.15454/RMF2SY,Tonic,BLOCK>PLOT,,,,,11,26,"BLOCK>PLOT:47,BLOCK:7",2015,12.5,,59.77,2015-10-27T01:00:00Z,88,2015-06-26T02:00:00Z,90,,9.75,,1,2015-05-19T02:00:00Z,6,,28.7,2015-10-27T01:00:00Z,10.6,2015-10-27T01:00:00Z,3.7,2015-10-27T01:00:00Z,77.5,
