"Lot Number";"Accession Number";"Accession Name";"itk";"Trial Name";"Trial Site";"X(m)";"Y(m)";"Campaign";"GDD";"rdt: Grain yield at 0% humidity ";"Date [rdt]";"r: Yield";"Date [r]";"prec: Earliness at earing";"Date [prec]";"ps: Test weight";"Date [ps]";"ht: Height";"Date [ht]";"prot: Grain protein concentration";"Date [prot]";"rb: Susceptibility to leaf rust";"Date [rb]";"sept: Septoria score";"Date [sept]";"vr: Lodging score";"Date [vr]";"rj: Yellow rust score";"Date [rj]";"oid: Powdey mildew score";"Date [oid]";"pmg: Thousand grain weight at 0% humidity";"Date [pmg]"
"EM11537";"37829";"EM11537";"non traite fongicides";"BTH_Orgeval_2015_SetA1";"Orgeval";"";"";"2015";"";"71";"";"95.3";"";"148";"";"67.8";"";"85";"";"";"";"2.5";"";"2";"";"";"";"1";"";"";"";"";""
"DI14001";"DI14001";"DI14001";"non traite fongicides";"BTH_Orgeval_2015_SetA1";"Orgeval";"";"";"2015";"";"77.5";"";"104";"";"145";"";"65.7";"";"90";"";"";"";"1";"";"2";"";"";"";"1";"";"";"";"";""
"RE10042";"37832";"RE10042";"traite";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"114.5";"";"95.9";"";"142";"";"80.3";"";"101";"";"10.7";"";"";"";"";"";"1";"";"";"";"";"";"48.4";""
"AO14008";"AO14008";"AO14008";"traite";"BTH_Clermont-Ferrand_2015_SetA2";"Clermont-Ferrand";"";"";"2015";"";"91.4";"";"102.9";"";"133";"";"83";"";"";"";"9.8";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO14026";"AO14026";"AO14026";"faible intrant";"BTH_Dijon_2015_SetA2";"Dijon";"";"";"2015";"";"79.5";"";"93.8";"";"137";"";"75.9";"";"93";"";"";"";"2";"";"3";"";"";"";"1";"";"";"";"";""
"RE13094";"RE13094";"RE13094";"faible intrant";"BTH_Le_Moulon_2015_SetA2";"Le Moulon";"";"";"2015";"";"104.2";"";"108.2";"";"132";"";"";"";"105";"";"9.9";"";"2.8";"";"2.5";"";"";"";"2.2";"";"";"";"";""
"AO14035";"AO14035";"AO14035";"faible intrant";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"106.3";"";"126.3";"";"135";"";"81.1";"";"110";"";"10.2";"";"2.5";"";"3";"";"1";"";"1";"";"1";"";"";""
"Folklor";"35310";"FOLKLOR";"faible intrant";"BTH_Lusignan_2015_SetB1";"Lusignan";"";"";"2015";"";"80.04";"";"113.6";"";"132";"";"";"";"92";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";""
"Gotik";"37251";"GOTIK";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"98";"";"93.3";"";"134";"";"81";"";"103";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";""
"CF14300";"CF14300";"CF14300";"faible intrant";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"96";"";"99.1";"";"142";"";"80.4";"";"";"";"12.1";"";"2.5";"";"6";"";"6.5";"";"2";"";"";"";"";""
"RE14089";"RE14089";"RE14089";"traite";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"119.7";"";"97.8";"";"132";"";"";"";"93";"";"10.9";"";"";"";"";"";"";"";"";"";"";"";"";""
"DI15009";"DI15009";"DI15009";"traite";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"137.7";"";"112.6";"";"138";"";"";"";"92";"";"10.6";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE14090";"RE14090";"RE14090";"faible intrant";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"104.8";"";"109.4";"";"133";"";"";"";"92";"";"10";"";"1";"";"2.2";"";"";"";"1.5";"";"";"";"";""
"AO15007";"AO15007";"AO15007";"traite";"BTH_Estrées-Mons_2015_SetB3";"Estrées-Mons";"";"";"2015";"";"121.8";"";"101.1";"";"140";"";"76.4";"";"";"";"11.5";"";"";"";"";"";"3.5";"";"";"";"";"";"";""
"AO15006";"AO15006";"AO15006";"";"BTH_Le_Moulon_2015_SetB3";"Le Moulon";"";"";"2015";"";"120.7";"";"100.7";"";"141";"";"";"";"96";"";"10.8";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15023";"AO15023";"AO15023";"";"BTH_Le_Moulon_2015_SetB3";"Le Moulon";"";"";"2015";"";"122.4";"";"102.1";"";"142";"";"";"";"106";"";"10.3";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM14193";"EM14193";"EM14193";"faible intrant";"BTH_Lusignan_2015_SetB3";"Lusignan";"";"";"2015";"";"78.1";"";"103";"";"134";"";"76";"";"90";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";""
"AO15014";"AO15014";"AO15014";"faible intrant";"BTH_Lusignan_2015_SetB3";"Lusignan";"";"";"2015";"";"78.3";"";"103.4";"";"132";"";"82.6";"";"95";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";""
"RUBISKO";"36680";"RUBISKO";"non traite fongicides";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"82.4";"";"110";"";"";"";"";"";"";"";"";"";"1";"";"2.5";"";"";"";"1.5";"";"";"";"";""
"AO13100";"AO13100";"AO13100";"traite";"BTH_Epi-centre_2015_SetA1";"Epi-centre";"";"";"2015";"";"100.6";"";"97";"";"134";"";"81";"";"100";"";"11.5";"";"";"";"";"";"";"";"";"";"";"";"46";""
"Galibier";"3250";"GALIBIER";"traite";"BTH_Epi-centre_2015_SetA1";"Epi-centre";"";"";"2015";"";"79.2";"";"76.4";"";"121";"";"81";"";"95";"";"16";"";"";"";"";"";"";"";"";"";"";"";"49.6";""
"EM11537";"37829";"EM11537";"non traite fongicides";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"103.1";"";"98.7";"";"142";"";"";"";"92";"";"";"";"4";"";"3.5";"";"1";"";"2";"";"";"";"";""
"DI11010";"DI11010";"DI11010";"non traite fongicides";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"88.1";"";"84.3";"";"140";"";"";"";"96";"";"";"";"1.8";"";"4.5";"";"1";"";"3.5";"";"";"";"";""
"RE10042";"37832";"RE10042";"faible intrant";"BTH_Lusignan_2015_SetA1";"Lusignan";"";"";"2015";"";"73.3";"";"108.8";"";"135";"";"81.2";"";"94";"";"10.4";"";"1";"";"1";"";"1";"";"1";"";"";"";"";""
"AO14013";"AO14013";"AO14013";"faible intrant";"BTH_Clermont-Ferrand_2015_SetA2";"Clermont-Ferrand";"";"";"2015";"";"78.8";"";"101.5";"";"136";"";"77.5";"";"";"";"9.5";"";"3";"";"";"";"";"";"1";"";"";"";"";""
"RE13014";"39435";"RE13014";"faible intrant";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"102.3";"";"121.6";"";"134";"";"82.7";"";"122";"";"10.7";"";"2.5";"";"3.5";"";"1";"";"2.5";"";"1";"";"";""
"AO15029";"AO15029";"AO15029";"traite";"BTH_Clermont-Ferrand_2015_SetB1";"Clermont-Ferrand";"";"";"2015";"";"90.1";"";"104.3";"";"133";"";"78";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM14001";"EM14001";"EM14001";"traite";"BTH_Clermont-Ferrand_2015_SetB1";"Clermont-Ferrand";"";"";"2015";"";"77.9";"";"90.2";"";"136";"";"80";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Bermude";"TX9";"Bermude";"faible intrant";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"96.2";"";"98.5";"";"138";"";"";"";"92";"";"9.5";"";"3";"";"3.8";"";"";"";"1.5";"";"";"";"";""
"RE14041";"RE14041";"RE14041";"faible intrant";"BTH_Lusignan_2015_SetB1";"Lusignan";"";"";"2015";"";"77.34";"";"109.8";"";"133";"";"";"";"100";"";"";"";"";"";"3";"";"6.5";"";"";"";"";"";"";""
"ATTLASS";"28926";"ATTLASS";"non traite fongicides";"BTH_Orgeval_2015_SetB1";"Orgeval";"";"";"2015";"";"74.9";"";"98.4";"";"";"";"";"";"";"";"";"";"1";"";"2";"";"";"";"1";"";"";"";"";""
"EM14097";"EM14097";"EM14097";"traite";"BTH_Clermont-Ferrand_2015_SetB2";"Clermont-Ferrand";"";"";"2015";"";"87.8";"";"98.7";"";"138";"";"79.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"RUBISKO";"36680";"RUBISKO";"traite";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"111.8";"";"96.5";"";"141";"";"79.2";"";"";"";"10.9";"";"";"";"";"";"4.5";"";"";"";"";"";"";""
"DI15010";"DI15010";"DI15010";"faible intrant";"BTH_Lusignan_2015_SetB2";"Lusignan";"";"";"2015";"";"68.8";"";"92.5";"";"133";"";"77.1";"";"92";"";"";"";"1";"";"1";"";"1";"";"";"";"";"";"";""
"CELLULE";"36658";"CELLULE";"";"BTH_Rennes_2015_SetB2";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"AO15004";"AO15004";"AO15004";"";"BTH_Le_Moulon_2015_SetB3";"Le Moulon";"";"";"2015";"";"93.5";"";"97.5";"";"142";"";"";"";"92";"";"9.8";"";"1";"";"3";"";"";"";"1.5";"";"";"";"";""
"AO15015";"AO15015";"AO15015";"";"BTH_Le_Moulon_2015_SetB3";"Le Moulon";"";"";"2015";"";"94";"";"98";"";"132";"";"";"";"82";"";"11.6";"";"1.5";"";"2.8";"";"";"";"1.5";"";"";"";"";""
"Grapeli";"36801";"GRAPELI";"faible intrant";"BTH_Lusignan_2015_SetB3";"Lusignan";"";"";"2015";"";"76.3";"";"100.7";"";"132";"";"79.8";"";"102";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";""
"AO15011";"AO15011";"AO15011";"faible intrant";"BTH_Lusignan_2015_SetB3";"Lusignan";"";"";"2015";"";"85.1";"";"112.4";"";"134";"";"82.5";"";"116";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";""
"EM14205";"EM14205";"EM14205";"faible intrant";"BTH_Lusignan_2015_SetB3";"Lusignan";"";"";"2015";"";"74";"";"97.7";"";"135";"";"81.2";"";"90";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";""
"AREZZO";"32759";"AREZZO";"faible intrant";"BTH_Lusignan_2015_SetB3";"Lusignan";"";"";"2015";"";"73.8";"";"97.4";"";"131";"";"84";"";"92";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";""
"AO15013";"AO15013";"AO15013";"non traite fongicides";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"78.7";"";"105.1";"";"";"";"";"";"";"";"";"";"2";"";"3";"";"";"";"1";"";"";"";"";""
"DI13005";"39310";"DI13005";"faible intrant";"BTH_Clermont-Ferrand_2015_SetA1";"Clermont-Ferrand";"";"";"2015";"";"75.4";"";"";"";"140";"";"74.5";"";"";"";"9.5";"";"1";"";"";"";"";"";"1";"";"";"";"";""
"AO13022";"AO13022";"AO13022";"faible intrant";"BTH_Dijon_2015_SetA1";"Dijon";"";"";"2015";"";"80.5";"";"107.3";"";"134";"";"80.7";"";"84";"";"";"";"3.5";"";"2";"";"";"";"5.5";"";"";"";"";""
"DI13005";"39310";"DI13005";"non traite fongicides";"BTH_Epi-centre_2015_SetA1";"Epi-centre";"";"";"2015";"";"82.2";"";"96.7";"";"";"";"71.5";"";"";"";"";"";"7";"";"4";"";"";"";"1";"";"";"";"";""
"RE12080";"RE12080";"RE12080";"traite";"BTH_Epi-centre_2015_SetA1";"Epi-centre";"";"";"2015";"";"101.8";"";"98.2";"";"131";"";"76.4";"";"96";"";"12.7";"";"";"";"";"";"";"";"";"";"";"";"46";""
"CROUSTY";"13450";"CROUSTY";"faible intrant";"BTH_Lusignan_2015_SetA1";"Lusignan";"";"";"2015";"";"57.4";"";"85.2";"";"132";"";"78.8";"";"102";"";"9.1";"";"2.5";"";"4";"";"1";"";"1";"";"";"";"";""
"DI14001";"DI14001";"DI14001";"faible intrant";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"93.3";"";"99.8";"";"134";"";"78";"";"105";"";"10.9";"";"2";"";"2";"";"1";"";"3.5";"";"1";"";"48.8";""
"AO14005";"AO14005";"AO14005";"faible intrant";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"95.8";"";"102.5";"";"135";"";"80.2";"";"85";"";"11.2";"";"2.5";"";"3.5";"";"1";"";"2";"";"1";"";"44.2";""
"AO14005";"AO14005";"AO14005";"non traite fongicides";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"102.7";"";"109.5";"";"135";"";"82";"";"84";"";"11.4";"";"2.5";"";"5";"";"1";"";"1";"";"1";"";"42";""
"RE13005";"39434";"RE13005";"faible intrant";"BTH_Clermont-Ferrand_2015_SetA2";"Clermont-Ferrand";"";"";"2015";"";"86.5";"";"111.5";"";"134";"";"78.5";"";"";"";"9.5";"";"1";"";"";"";"";"";"1";"";"";"";"";""
"AREZZO";"32759";"AREZZO";"faible intrant";"BTH_Clermont-Ferrand_2015_SetA2";"Clermont-Ferrand";"";"";"2015";"";"74.4";"";"95.9";"";"132";"";"83";"";"";"";"9.4";"";"4";"";"";"";"";"";"1";"";"";"";"";""
"AO14028";"AO14028";"AO14028";"traite";"BTH_Dijon_2015_SetA2";"Dijon";"";"";"2015";"";"102.5";"";"99.1";"";"135";"";"80.8";"";"98";"";"10.5";"";"";"";"";"";"2";"";"";"";"";"";"";""
"RE13007";"RE13007";"RE13007";"faible intrant";"BTH_Dijon_2015_SetA2";"Dijon";"";"";"2015";"";"97.1";"";"114.5";"";"131";"";"79.2";"";"87";"";"";"";"2";"";"2.5";"";"";"";"1";"";"";"";"";""
"AO14020";"AO14020";"AO14020";"traite";"BTH_Le_Moulon_2015_SetA2";"Le Moulon";"";"";"2015";"";"123.7";"";"100.7";"";"142";"";"";"";"88";"";"11.3";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15028";"AO15028";"AO15028";"traite";"BTH_Estrées-Mons_2015_SetB1";"Estrées-Mons";"";"";"2015";"";"126";"";"102.1";"";"140";"";"78.6";"";"";"";"11.6";"";"";"";"";"";"3";"";"";"";"";"";"";""
"EM13013";"EM13013";"EM13013";"traite";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"123.5";"";"99.9";"";"142";"";"";"";"116";"";"10.4";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF14034";"CF14034";"CF14034";"faible intrant";"BTH_Lusignan_2015_SetB1";"Lusignan";"";"";"2015";"";"70.98";"";"100.7";"";"132";"";"";"";"90";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";""
"CF14072";"CF14072";"CF14072";"faible intrant";"BTH_Rennes_2015_SetB1";"Rennes";"";"";"2015";"";"99.1";"";"112.7";"";"131";"";"84.4";"";"101";"";"";"";"2";"";"3";"";"1";"";"1.5";"";"";"";"";""
"CF14270";"CF14270";"CF14270";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"94.1";"";"89.6";"";"133";"";"79.1";"";"88";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";""
"DI15008";"DI15008";"DI15008";"traite";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"115.6";"";"99.9";"";"145";"";"78.8";"";"";"";"11.7";"";"";"";"";"";"1";"";"";"";"";"";"";""
"CF14255";"CF14255";"CF14255";"traite";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"122.1";"";"99.8";"";"130";"";"";"";"89";"";"11.5";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15024";"AO15024";"AO15024";"traite";"BTH_Dijon_2015_SetB3";"Dijon";"";"";"2015";"";"111.2";"";"104.8";"";"132";"";"81.5";"";"92";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";""
"AO15009";"AO15009";"AO15009";"faible intrant";"BTH_Estrées-Mons_2015_SetB3";"Estrées-Mons";"";"";"2015";"";"108.7";"";"106";"";"137";"";"81.3";"";"";"";"11.1";"";"5";"";"6.5";"";"5";"";"1";"";"";"";"";""
"AO15019";"AO15019";"AO15019";"";"BTH_Le_Moulon_2015_SetB3";"Le Moulon";"";"";"2015";"";"118.9";"";"99.2";"";"139";"";"";"";"96";"";"10.6";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM14202";"EM14202";"EM14202";"";"BTH_Le_Moulon_2015_SetB3";"Le Moulon";"";"";"2015";"";"121.3";"";"101.2";"";"141";"";"";"";"92";"";"11.4";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM12096";"39321";"EM12096";"traite";"BTH_Champagne-céréales_2015_SetA1";"Champagne-céréales";"";"";"2015";"";"79";"";"84.4";"";"144";"";"81.2";"";"";"";"13.13";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO13047";"39291";"AO13047";"traite";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"121.5";"";"98.5";"";"142";"";"80.5";"";"";"";"12.6";"";"";"";"";"";"6.5";"";"";"";"";"";"";""
"ARKEOS";"36693";"ARKEOS";"non traite fongicides";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"92.7";"";"86.3";"";"138";"";"";"";"";"";"";"";"NA";"";"NA";"";"7";"";"9";"";"";"";"";""
"EM12096";"39321";"EM12096";"non traite fongicides";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"102.3";"";"97.9";"";"142";"";"";"";"92";"";"";"";"6";"";"3";"";"1";"";"1.5";"";"";"";"";""
"AO13026";"AO13026";"AO13026";"traite";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"126.7";"";"99.8";"";"140";"";"";"";"96";"";"10.5";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO13029";"AO13029";"AO13029";"traite";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"127.5";"";"100.4";"";"138";"";"";"";"90";"";"10.6";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO13100";"AO13100";"AO13100";"non traite fongicides";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"89.4";"";"85.6";"";"138";"";"";"";"98";"";"";"";"1";"";"7";"";"1";"";"1.8";"";"";"";"";""
"AO12021-1";"AO12021-1";"AO12021-1";"traite";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"129.8";"";"102.2";"";"138";"";"";"";"99";"";"10.8";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO13031";"AO13031";"AO13031";"traite";"BTH_Lusignan_2015_SetA1";"Lusignan";"";"";"2015";"";"96.3";"";"102.6";"";"130";"";"81.9";"";"94";"";"11.3";"";"";"";"";"";"5";"";"";"";"";"";"";""
"AO14041";"AO14041";"AO14041";"traite";"BTH_Estrées-Mons_2015_SetA2";"Estrées-Mons";"";"";"2015";"";"116.7";"";"95.5";"";"142";"";"74.9";"";"";"";"10.5";"";"";"";"";"";"1";"";"";"";"";"";"";""
"RUBISKO";"36680";"RUBISKO";"traite";"BTH_Le_Moulon_2015_SetA2";"Le Moulon";"";"";"2015";"";"125.9";"";"102.4";"";"137";"";"";"";"90";"";"10.5";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF13085";"CF13085";"CF13085";"traite";"BTH_Orgeval_2015_SetA2";"Orgeval";"";"";"2015";"";"81.8";"";"97.1";"";"142";"";"76.4";"";"92";"";"10.4";"";"";"";"";"";"";"";"";"";"";"";"";""
"RUBISKO";"36680";"RUBISKO";"traite";"BTH_Orgeval_2015_SetA2";"Orgeval";"";"";"2015";"";"91.1";"";"108.1";"";"143";"";"75.5";"";"85";"";"10.3";"";"";"";"";"";"";"";"";"";"";"";"";""
"CELLULE";"36658";"CELLULE";"traite";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"130.6";"";"112.8";"";"128";"";"85.2";"";"100";"";"10.8";"";"";"";"";"";"1";"";"";"";"";"";"";""
"EM14001";"EM14001";"EM14001";"traite";"BTH_Estrées-Mons_2015_SetB1";"Estrées-Mons";"";"";"2015";"";"114.5";"";"92.8";"";"148";"";"80.8";"";"";"";"12";"";"";"";"";"";"2";"";"";"";"";"";"";""
"CF14034";"CF14034";"CF14034";"traite";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"122.1";"";"98.8";"";"139";"";"";"";"94";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF14072";"CF14072";"CF14072";"traite";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"122.3";"";"99";"";"138";"";"";"";"98";"";"11.6";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE14007";"RE14007";"RE14007";"traite";"BTH_Orgeval_2015_SetB1";"Orgeval";"";"";"2015";"";"77.9";"";"94.8";"";"148";"";"66.1";"";"82";"";"10.2";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM14001";"EM14001";"EM14001";"faible intrant";"BTH_Rennes_2015_SetB1";"Rennes";"";"";"2015";"";"84.4";"";"95.9";"";"140";"";"82.5";"";"115";"";"";"";"2";"";"4.5";"";"1";"";"1";"";"";"";"";""
"RE14111";"RE14111";"RE14111";"traite";"BTH_Orgeval_2015_SetB2";"Orgeval";"";"";"2015";"";"81.9";"";"98.1";"";"150";"";"68.3";"";"95";"";"10.7";"";"";"";"";"";"";"";"";"";"";"";"";""
